"label","genus","species","species.name","s.name","common.name","common.short","genome","node","clade","node.type","branch.length"
"hg38","Homo","sapiens","Homo sapiens","H. sapiens","Human","Human","GRCh37/hg19",1,"hg38","tip",0.00635811
"panTro4","Pan","troglodytes","Pan troglodytes","P. troglodytes","Chimp","Chimp","CSAC 2.1.4/panTro4",2,"panTro4","tip",0.00639727
"gorGor3","Gorilla","gorilla","Gorilla gorilla gorilla","G. gorilla","Gorilla","Gorilla","gorGor3.1/gorGor3",3,"gorGor3","tip",0.00871122
"ponAbe2","Pongo","pygmaeus abelii","Pongo pygmaeus abelii","P. pygmaeus abelii","Orangutan","Orangutan","WUGSC 2.0.2/ponAbe2",4,"ponAbe2","tip",0.0183964
"nomLeu3","Nomascus","leucogenys","Nomascus leucogenys","N. leucogenys","Gibbon","Gibbon","GGSC Nleu3.0/nomLeu3",5,"nomLeu3","tip",0.0213327
"rheMac3","Macaca","mulatta","Macaca mulatta","R. mulatta","Rhesus","Rhesus","BGI CR_1.0/rheMac3",6,"rheMac3","tip",0.0028622
"macFas5","Macaca","fascicularis","Macaca fascicularis","M. fascicularis","Crab-eating macaque","macaque","Macaca_fascicularis_5.0/macFas5",7,"macFas5","tip",0.00197199
"papAnu2","Papio","hamadryas","Papio hamadryas","P. hamadryas","Baboon","Baboon","Baylor Pham_1.0/papHam1",8,"papAnu2","tip",0.00751373
"chlSab2","Chlorocebus","sabaeus","Chlorocebus sabaeus","C. sabaeus","Green monkey","Green monkey","Chlorocebus_sabeus 1.0/chlSab1",9,"chlSab2","tip",0.0122377
"calJac3","Callithrix","jacchus","Callithrix jacchus","C. jacchus","Marmoset","Marmoset","WUGSC 3.2/calJac3",10,"calJac3","tip",0.0333897
"saiBol1","Saimiri","boliviensis","Saimiri boliviensis","S. boliviensis","Squirrel monkey","Squirrel monkey","Broad/saiBol1",11,"saiBol1","tip",0.0323178
"otoGar3","Otolemur","garnettii","Otolemur garnettii","O. garnettii","Bushbaby","Bushbaby","Broad/otoGar3",12,"otoGar3","tip",0.152902
"tupChi1","Tupaia","chinensis","Tupaia chinensis","T. chinensis","Chinese tree shrew","Tree shrew","TupChi_1.0/tupChi1",13,"tupChi1","tip",0.187728
