genus,species,species.name,s.name,common.name,common.short,label,genome
Homo,sapiens,Homo sapiens,H. sapiens,Human,Human,hg38,GRCh37/hg19
Pan,troglodytes,Pan troglodytes,P. troglodytes,Chimp,Chimp,panTro4,CSAC 2.1.4/panTro4
Gorilla,gorilla,Gorilla gorilla gorilla,G. gorilla,Gorilla,Gorilla,gorGor3,gorGor3.1/gorGor3
Pongo,pygmaeus abelii,Pongo pygmaeus abelii,P. pygmaeus abelii,Orangutan,Orangutan,ponAbe2,WUGSC 2.0.2/ponAbe2
Nomascus,leucogenys,Nomascus leucogenys,N. leucogenys,Gibbon,Gibbon,nomLeu3,GGSC Nleu3.0/nomLeu3
Macaca,mulatta,Macaca mulatta,R. mulatta,Rhesus,Rhesus,rheMac3,BGI CR_1.0/rheMac3
Macaca,fascicularis,Macaca fascicularis,M. fascicularis,Crab-eating macaque,macaque,macFas5,Macaca_fascicularis_5.0/macFas5
Papio,hamadryas,Papio hamadryas,P. hamadryas,Baboon,Baboon,papAnu2,Baylor Pham_1.0/papHam1
Chlorocebus,sabaeus,Chlorocebus sabaeus,C. sabaeus,Green monkey,Green monkey,chlSab2,Chlorocebus_sabeus 1.0/chlSab1
Callithrix,jacchus,Callithrix jacchus,C. jacchus,Marmoset,Marmoset,calJac3,WUGSC 3.2/calJac3
Saimiri,boliviensis,Saimiri boliviensis,S. boliviensis,Squirrel monkey,Squirrel monkey,saiBol1,Broad/saiBol1
Otolemur,garnettii,Otolemur garnettii,O. garnettii,Bushbaby,Bushbaby,otoGar3,Broad/otoGar3
Tupaia,chinensis,Tupaia chinensis,T. chinensis,Chinese tree shrew,Tree shrew,tupChi1,TupChi_1.0/tupChi1
Spermophilus,tridecemlineatus,Spermophilus tridecemlineatus,S. tridecemlineatus,Squirrel,Squirrel,speTri2,Broad/speTri2
Jaculus,jaculus,Jaculus jaculus,J. jaculus,Lesser Egyptian jerboa,Jerboa,jacJac1,JacJac1.0/jacJac1
Microtus,ochrogaster,Microtus ochrogaster,M. ochrogaster,Prairie vole,Prairie vole,micOch1,MicOch1.0/micOch1
Cricetulus,griseus,Cricetulus griseus,C. griseus,Chinese hamster,Chinese hamster,criGri1,C_griseus_v1.0/criGri1
Mesocricetus,auratus,Mesocricetus auratus,M. auratus,Golden hamster,Golden hamster,mesAur1,MesAur1.0/mesAur1
Mus,musculus,Mus musculus,M. musculus,Mouse,Mouse,mm10,GRCm38/mm10
Rattus,norvegicus,Rattus norvegicus,R. norvegicus,Rat,Rat,rn6,RGSC 5.0/rn5
Heterocephalus,glaber,Heterocephalus glaber,H. glaber,Naked mole-rat,Naked mole-rat,hetGla2,Broad HetGla_female_1.0/hetGla2
Cavia,porcellus,Cavia porcellus,C. porcellus,Guinea pig,Guinea pig,cavPor3,Broad/cavPor3
Chinchilla,lanigera,Chinchilla lanigera,C. lanigera,Chinchilla,Chinchilla,chiLan1,ChiLan1.0/chiLan1
Octodon,degus,Octodon degus,O. degus,Brush-tailed rat,Brush-tailed rat,octDeg1,OctDeg1.0/octDeg1
Oryctolagus,cuniculus,Oryctolagus cuniculus,O. cuniculus,Rabbit,Rabbit,oryCun2,Broad/oryCun2
Ochotona,princeps,Ochotona princeps,O. princeps,Pika,Pika,ochPri3,OchPri3.0/ochPri3
Sus,scrofa,Sus scrofa,S. scrofa,Pig,Pig,susScr3,SGSC Sscrofa10.2/susScr3
Vicugna,pacos,Vicugna pacos,V. pacos,Alpaca,Alpaca,vicPac2,Vicugna_pacos-2.0.1/vicPac2
Camelus,ferus,Camelus ferus,C. ferus,Bactrian camel,Camel,camFer1,CB1/camFer1
Tursiops,truncatus,Tursiops truncatus,T. truncatus,Dolphin,Dolphin,turTru2,Baylor Ttru_1.4/turTru2
Orcinus,orca,Orcinus orca,O. orca,Killer whale,Killer whale,orcOrc1,Oorc_1.1/orcOrc1
Pantholops,hodgsonii,Pantholops hodgsonii,P. hodgsonii,Tibetan antelope,Tibetan antelope,panHod1,PHO1.0/panHod1
Bos,taurus,Bos taurus,B. taurus,Cow,Cow,bosTau8,Baylor Btau_4.6.1/bosTau7
Ovis,aries,Ovis aries,O. aries,Sheep,Sheep,oviAri3,ISGC Oar_v3.1/oviAri3
Capra,hircus,Capra hircus,C. hircus,Domestic goat,Goat,capHir1,CHIR_1.0/capHir1
Equus,caballus,Equus caballus,E. caballus,Horse,Horse,equCab2,Broad/equCab2
Ceratotherium,simum,Ceratotherium simum,C. simum,White rhinoceros,Rhinoceros,cerSim1,CerSimSim1.0/cerSim1
Felis,catus,Felis catus,F. catus,Cat,Cat,felCat8,ICGSC Felis_catus 6.2/felCat5
Canis,lupus familiaris,Canis lupus familiaris,C. lupus familiaris,Dog,Dog,canFam3,Broad CanFam3.1/canFam3
