genus,species,s.name,common.name,common.short,label,type
Crocodylus,porosus,C. porosus,Saltwater Crocodile,Crocodile,croPor,outgroup
Gavialis,gangeticus,G. Gangeticus,Indian Gharial,Gharial,gavGan,volant
Gallus,gallus,G. gallus,Red Junglefowl (Chicken),Chicken,galGal,volant
Anolis,carolinensis,A. carolinensis,Green Anole,Anole,anoCar,outgroup
Meleagris,gallopavo,M. gallopavo,Turkey,Turkey,melGal,volant
Taeniopygia,guttata,T. guttata,Zebra Finch,Finch,taeGut,volant
Melopsittacus,undulatus,M. undulatus,Budgerigar,Budgerigar,melUnd,volant
Chrysemys,picta,C. picta,Painted Turtle,Turtle1,chrPic,outgroup
Ficedula,albicollis,F. albicollis,Collared Flycatcher,Flycatcher,ficAlb,volant
Alligator,mississippiensis,A. mississippiensis,American Alligator,Alligator1,allMis,outgroup
Pseudopodoces,humilis,P. humilis,Tibetan Ground-tit,Ground-tit,pseHum,volant
Columba,livia,C. livia,Rock Pigeon (domestic),Pigeon,colLiv,volant
Falco,peregrinus,F. peregrinus,Peregrine Falcon,Falcon,falPer,volant
Chelonia,mydas,C. mydas,Green Sea Turtle,Turtle2,cheMyd,outgroup
Anas,platyrhynchos,A. platyrhynchos,Mallard (domestic),Mallard,anaPla,volant
Alligator,sinensis,A. sinensis,Chinese Alligator,Alligator2,allSin,outgroup
Fulmaris,glacialis,F. glacialis,Northern Fulmar,Fulmar,fulGla,volant
Leptosomus,discolor,L. discolor,Cuckoo Roller,Courol,lepDis,volant
Corvus,brachyrhynchos,C. brachyrhynchos,American Crow,Crow,corBra,volant
Mesitornis,unicolor,M. unicolor,Brown Mesite,Mesite,mesUni,volant
Picoides,pubescens,P. pubescens,Downy Woodpecker,Woodpecker,picPub,volant
Calypte,anna,C. anna,Annas Hummingbird,Hummingbird,calAnn,volant
Pygoscelis,adelie,P. adelie,Adelie Penguin,Penguin2,pygAde,volant
Aptenodytes,forsteri,A. forsteri,Emperor Penguin,Penguin1,aptFor,volant
Tinamus,guttatus,T. gutattus,White throated tinamou,Tinamou2,tinGut,volant
Charadrius,vociferus,C. vociferus,Killdeer,Killdeer,chaVoc,volant
Nipponia,nippon,N. nippon,Crested Ibis,Ibis,nipNip,volant
Cuculus,canorus,C. canorus,Common Cuckoo,Cuckoo,cucCan,volant
Balearica,regulorum,B. regulorum,Grey Crowned Crane,Crane,balReg,volant
Haliaeetus,leucocephalus,H. leucocephalus,Bald Eagle,Eagle,halLeu,volant
Chaetura,pelagica,C. pelagica,Chimney Swift,Swift,chaPel,volant
Apteryx,haastii,A. haastii,Great spotted kiwi,Kiwi1,aptHaa,ratite
Apteryx,owenii,A. owenii,Little spotted kiwi,Kiwi2,aptOwe,ratite
Apteryx,rowi,A. rowi,Okarito brown kiwi,Kiwi3,aptRow,ratite
Casuarius,casuarius,C. casuarius,Southern cassowary,Cassowary,casCas,ratite
Crypturellus,cinnamomeus,C. cinnamomeus,Thicket tinamou,Tinamou1,cryCin,volant
Dromaius,novaehollandiae,D. novaehollandiae,Emu,Emu,droNov,ratite
Eudromia,elegans,E. elegans,Elegant crested tinamou,Tinamou3,eudEle,volant
Nothoprocta,perdicaria,N. perdicaria,Chilean tinamou,Tinamou4,notPer,volant
Rhea,americana,R. americana,Greater rhea,Rhea1,rheAme,ratite
Rhea,pennata,R. pennata,Lesser rhea,Rhea2,rhePen,ratite
Struthio,calemus,S. calemus,Ostrich,Ostrich,strCam,ratite
Anomalopteryx,didiformis,A. didiformis,Little Bush Moa,Moa,anoDid,ratite
