No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2
22	0	-816.28491	-797.50651	-829.14606	18.7784	31.63955
1	0	-1818.1994	-1810.3263	-1872.3539	7.8731	62.0276
1	1	-1348.0106	-1336.4925	-1386.9666	11.5181	50.4741
1	2	-1042.7574	-1038.8947	-1051.3784	3.8627	12.4837
1	3	-2782.9671	-2784.2529	-2857.6648	-1.2858	73.4119
1	4	-1572.5917	-1493.2871	-1618.1445	79.3046	124.8574
1	5	-866.27964	-856.09481	-865.8874	10.18483	9.79259
1	6	-483.20656	-481.91379	-494.29978	1.29277	12.38599
1	7	-2143.5627	-2131.1036	-2141.5434	12.4591	10.4398
1	8	-995.14995	-983.94284	-1001.6646	11.20711	17.72176
1	9	-787.99348	-782.51933	-796.62146	5.47415	14.10213
1	10	-990.79819	-985.03139	-1004.4699	5.7668	19.43851
1	11	-1084.6264	-1081.8138	-1088.4435	2.8126	6.6297
1	12	-1341.6363	-1335.2533	-1347.7989	6.383	12.5456
1	13	-1186.1979	-1182.7829	-1191.472	3.415	8.6891
1	14	-1388.1316	-1386.0948	-1403.2156	2.0368	17.1208
1	15	-1208.9343	-1201.6414	-1253.6621	7.2929	52.0207
1	16	-1276.5089	-1253.9245	-1307.2484	22.5844	53.3239
1	17	-1649.4546	-1648.9407	-1663.7956	0.5139	14.8549
1	18	-1657.9478	-1642.6094	-1713.2787	15.3384	70.6693
1	19	-2617.59	-2602.6879	-2660.0518	14.9021	57.3639
1	20	-1063.0474	-1062.2043	-1075.7205	0.8431	13.5162
1	21	-683.10026	-676.94336	-698.07206	6.1569	21.1287
1	22	-831.51203	-832.689	-847.76664	-1.17697	15.07764
1	23	-1527.6209	-1486.5438	-1512.0653	41.0771	25.5215
1	24	-2039.5917	-2009.4352	-2025.4025	30.1565	15.9673
1	25	-1388.296	-1377.5305	-1409.5307	10.7655	32.0002
1	26	-3072.9082	-3042.1339	-3170.5964	30.7743	128.4625
1	27	-1415.3045	-1400.8423	-1466.7504	14.4622	65.9081
1	28	-1056.0755	-1052.2628	-1071.1753	3.8127	18.9125
1	29	-735.9436	-725.36429	-746.69977	10.57931	21.33548
1	30	-2245.4241	-2233.7088	-2248.5264	11.7153	14.8176
1	31	-923.04156	-924.31557	-966.7098	-1.27401	42.39423
1	32	-1053.3642	-1052.632	-1063.4013	0.7322	10.7693
1	33	-1851.0481	-1822.6634	-1843.08	28.3847	20.4166
1	34	-921.12092	-916.7175	-950.76189	4.40342	34.04439
1	35	-3070.0757	-3064.8709	-3099.6323	5.2048	34.7614
1	36	-2104.1106	-2093.3373	-2122.084	10.7733	28.7467
1	37	-1335.5178	-1336.9739	-1344.916	-1.4561	7.9421
1	38	-2945.3951	-2927.0272	-2943.8745	18.3679	16.8473
1	39	-2033.9072	-2051.1334	-2093.3843	-17.2262	42.2509
1	40	-1304.7964	-1304.1354	-1359.8807	0.661	55.7453
1	41	-2026.1995	-2007.8489	-2138.1317	18.3506	130.2828
1	42	-1675.0138	-1673.6139	-1687.7817	1.3999	14.1678
1	43	-915.13202	-923.59687	-919.46228	-8.46485	-4.13459
1	44	-2715.6843	-2702.5547	-2728.0724	13.1296	25.5177
1	45	-1031.5332	-1022.9467	-1042.2622	8.5865	19.3155
1	46	-927.85544	-919.89393	-936.63951	7.96151	16.74558
1	47	-1272.8175	-1271.0122	-1293.7701	1.8053	22.7579
