No.	prop	genetree
5	0.0166667	((dasNov3:0.169959,((tupChi1:0.224507,((((otoGar3:0.159941,((((gorGor3:0.0123146,(hg38:0.00940864,panTro4:0.0094478):0.00269875):0.0177555,(ponAbe2:0.025872,nomLeu3:0.0254428):0.00434827):0.0246825,((rheMac3:0.00580426,macFas5:0.00491405):0.0229364,(papAnu2:0.0125594,chlSab2:0.0132124):0.0157495):0.0308466):0.0130208,(calJac3:0.0356667,saiBol1:0.0345948):0.0467801):0.0577975):0.0157666,(speTri2:0.156149,((hetGla2:0.0904169,chiLan1:0.125888):0.0419949,(cavPor3:0.149418,octDeg1:0.167517):0.0394135):0.0699108):0.0327035):0.00153287,(oryCun2:0.153077,ochPri3:0.238179):0.0761512):0.00650912,(jacJac1:0.200549,(micOch1:0.163379,((criGri1:0.0637809,mesAur1:0.0760443):0.0604784,(mm10:0.107464,rn6:0.11414):0.0489148):0.0202308):0.105745):0.0983266):0.0234972):0.0131266,((((susScr3:0.124582,((turTru2:0.0171517,orcOrc1:0.0162843):0.064021,(panHod1:0.0285737,(oviAri3:0.0212461,(bosTau8:0.0523194,capHir1:0.0204512):0.000292506):0.0109719):0.118963):0.00946744):0.0221499,(vicPac2:0.0264578,camFer1:0.0256709):0.115471):0.0307453,(equCab2:0.0836709,cerSim1:0.0652789):0.0484556):0.0107818,(((felCat8:0.129312,(canFam3:0.116544,(musFur1:0.0963566,(ailMel1:0.0654359,lepWed1:0.0559259):0.00436754):0.0429956):0.0340862):0.0184175,(odoRosDiv1:0.156468,((pteAle1:0.0146108,pteVam1:0.0156506):0.101494,(myoLuc2:0.050183,(eptFus1:0.0399355,myoDav1:0.0514707):0.0103788):0.0972209):0.0315571):0.00194588):0.0150457,(eriEur2:0.261683,(sorAra2:0.308461,conCri1:0.183213):0.0128071):0.0213727):0.00580675):0.0395279):0.00144843):0.0217848,(eleEdw1:0.253928,((loxAfr3:0.117057,echTel2:0.262316):0.00033411,(triMan1:0.0987643,(chrAsi1:0.173049,oryAfe1:0.118465):0.00158258):0.00158815):0.00145202):0.0820478);
5	0.016	(((tupChi1:0.224507,(((otoGar3:0.159941,(((nomLeu3:0.0307766,(gorGor3:0.0126559,(hg38:0.0070363,panTro4:0.00707546):0.00541232):0.0183998):0.0236969,((rheMac3:0.00580426,macFas5:0.00491405):0.00876416,(papAnu2:0.0125594,chlSab2:0.0132124):0.00157728):0.0450189):0.0130208,(ponAbe2:0.0560378,(calJac3:0.0356667,saiBol1:0.0345948):0.0348943):0.0118858):0.0577975):0.0157666,((speTri2:0.160076,((hetGla2:0.0904169,chiLan1:0.125888):0.0419949,(cavPor3:0.149418,octDeg1:0.167517):0.0394135):0.0738383):0.0256331,(oryCun2:0.153077,ochPri3:0.238179):0.0714754):0.0031429):0.008042,(jacJac1:0.254325,((micOch1:0.152896,(mm10:0.103896,rn6:0.110573):0.0622296):0.0104836,(criGri1:0.0637809,mesAur1:0.0760443):0.0807092):0.159521):0.0445502):0.0234972):0.0145751,(dasNov3:0.167642,((((susScr3:0.124582,((turTru2:0.0171517,orcOrc1:0.0162843):0.064021,(panHod1:0.0285737,(oviAri3:0.0212461,(bosTau8:0.0523194,capHir1:0.0204512):0.000292506):0.0109719):0.118963):0.00946744):0.0221499,(vicPac2:0.0264578,camFer1:0.0256709):0.115471):0.0301929,(equCab2:0.0836709,cerSim1:0.0652789):0.0479032):0.0113341,(((felCat8:0.110519,(canFam3:0.120727,(musFur1:0.110052,(ailMel1:0.0612301,lepWed1:0.0517201):0.022269):0.0334824):0.0111106):0.0372106,(odoRosDiv1:0.157667,((pteAle1:0.0146108,pteVam1:0.0156506):0.101494,(myoLuc2:0.050183,(eptFus1:0.0399355,myoDav1:0.0514707):0.0103788):0.0972209):0.0327567):0.000746302):0.0170903,(eriEur2:0.261683,(sorAra2:0.308461,conCri1:0.183213):0.0128071):0.0234173):0.00376223):0.038659):0.00231732):0.0217848,(eleEdw1:0.253928,((loxAfr3:0.11687,oryAfe1:0.121114):0.000520835,(triMan1:0.0980655,(chrAsi1:0.15517,echTel2:0.2416):0.0187629):0.00228691):0.00145202):0.0820478);
5	0.016	(((tupChi1:0.224507,(((otoGar3:0.159941,((ponAbe2:0.0652671,((hg38:0.0122705,(panTro4:0.00938332,gorGor3:0.0095514):0.00292635):0.0430853,(nomLeu3:0.0536285,((rheMac3:0.00511467,macFas5:0.00422446):0.0185245,(papAnu2:0.0130662,chlSab2:0.0137192):0.0101413):0.0351031):0.00165555):0.00955382):0.00265649,(calJac3:0.0581902,saiBol1:0.0571183):0.0242566):0.0577975):0.015773,(jacJac1:0.279626,(oryCun2:0.153077,ochPri3:0.238179):0.063411):0.0112137):0.0166666,((speTri2:0.157925,((hetGla2:0.0904169,chiLan1:0.125888):0.0419949,(cavPor3:0.149418,octDeg1:0.167517):0.0394135):0.0716866):0.0327317,(micOch1:0.20693,((criGri1:0.0602463,mesAur1:0.0725097):0.0624982,(mm10:0.107464,rn6:0.11414):0.0474001):0.0652963):0.154282):0.0148691):0.0148662):0.0311276,(triMan1:0.101804,(eleEdw1:0.251794,(echTel2:0.261377,(chrAsi1:0.172991,(loxAfr3:0.113838,oryAfe1:0.118083):0.000323685):0.00195662):0.000589731):0.00213452):0.0768155):0.00523229,(dasNov3:0.169959,((((susScr3:0.155576,((vicPac2:0.0264578,camFer1:0.0256709):0.119328,((turTru2:0.0199441,orcOrc1:0.0190767):0.0612287,((panHod1:0.0176018,bosTau8:0.0526119):0.0109719,(oviAri3:0.0214681,capHir1:0.0209657):0.01075):0.118963):0.035475):0.0049863):0.0321781,(canFam3:0.14105,(odoRosDiv1:0.125098,(ailMel1:0.115873,(felCat8:0.0928351,(musFur1:0.136212,lepWed1:0.100149):0.000749621):0.00546434):0.0161142):0.0053174):0.0483458):0.000660195,((pteAle1:0.0146108,pteVam1:0.0156506):0.130149,(eptFus1:0.0503143,(myoDav1:0.0516523,myoLuc2:0.0399858):0.0101972):0.125876):0.0258558):0.00101095,((equCab2:0.0836709,cerSim1:0.0652789):0.0556646,(eriEur2:0.275384,(sorAra2:0.321268,conCri1:0.19602):0.0137014):0.0099053):0.00473894):0.0398102):0.0217848);
5	0.0146667	((dasNov3:0.169959,((tupChi1:0.224507,(((otoGar3:0.159941,((((gorGor3:0.0123146,(hg38:0.00994718,panTro4:0.00998634):0.00216021):0.0368832,((rheMac3:0.00580426,macFas5:0.00491405):0.0229364,(papAnu2:0.0125594,chlSab2:0.0132124):0.0157495):0.0252919):0.00555471,(ponAbe2:0.025872,nomLeu3:0.0254428):0.0290308):0.0130208,(calJac3:0.0356667,saiBol1:0.0345948):0.0467801):0.0577975):0.0234869,(speTri2:0.156149,((hetGla2:0.0904169,chiLan1:0.125888):0.0419949,(cavPor3:0.149418,octDeg1:0.167517):0.0394135):0.0699108):0.0404238):0.000321691,((jacJac1:0.200549,(micOch1:0.163379,((criGri1:0.0637809,mesAur1:0.0760443):0.0604784,(mm10:0.107464,rn6:0.11414):0.0489148):0.0202308):0.105745):0.0776944,(oryCun2:0.153077,ochPri3:0.238179):0.0620281):0.0206322):0.0234972):0.0131266,(((susScr3:0.142029,(vicPac2:0.0264578,camFer1:0.0256709):0.110768):0.00470243,((turTru2:0.0171517,orcOrc1:0.0162843):0.064021,(panHod1:0.0285737,(oviAri3:0.0212461,(bosTau8:0.0520418,capHir1:0.0201736):0.000570072):0.0109719):0.118963):0.0316173):0.0415271,(((equCab2:0.0836709,cerSim1:0.0652789):0.0553949,(conCri1:0.19602,(eriEur2:0.260197,sorAra2:0.319782):0.00148562):0.023337):0.0034898,(felCat8:0.147729,((odoRosDiv1:0.141105,(canFam3:0.116544,(musFur1:0.0963566,(ailMel1:0.0654359,lepWed1:0.0559259):0.00436754):0.0429956):0.0351949):0.015363,((pteAle1:0.0146108,pteVam1:0.0156506):0.101494,(myoLuc2:0.050183,(eptFus1:0.0399355,myoDav1:0.0514707):0.0103788):0.0972209):0.0315571):0.00194588):0.0204998):0.000352717):0.0395279):0.00144843):0.0217848,(eleEdw1:0.253928,((loxAfr3:0.109982,chrAsi1:0.168811):0.00707963,(echTel2:0.261941,(triMan1:0.0964657,oryAfe1:0.117749):0.00317822):0.000379026):0.00178154):0.0820478);
5	0.014	((dasNov3:0.169959,((tupChi1:0.224507,((otoGar3:0.159941,(((gorGor3:0.0123146,(hg38:0.00994718,panTro4:0.00998634):0.00216021):0.0424379,((ponAbe2:0.025872,nomLeu3:0.0254428):0.0169258,((rheMac3:0.00580426,macFas5:0.00491405):0.0229364,(papAnu2:0.0125594,chlSab2:0.0132124):0.0157495):0.0187417):0.0121049):0.0130208,(calJac3:0.0356667,saiBol1:0.0345948):0.0467801):0.0577975):0.0238086,((speTri2:0.156149,((hetGla2:0.0904169,chiLan1:0.125888):0.0419949,(cavPor3:0.149418,octDeg1:0.167517):0.0394135):0.0699108):0.0367551,((jacJac1:0.200549,(micOch1:0.163379,((criGri1:0.0637809,mesAur1:0.0760443):0.0604784,(mm10:0.107464,rn6:0.11414):0.0489148):0.0202308):0.105745):0.0776944,(oryCun2:0.153077,ochPri3:0.238179):0.0620281):0.0166418):0.00399036):0.0234972):0.0132981,(((susScr3:0.142029,(vicPac2:0.0264578,camFer1:0.0256709):0.110768):0.00470243,((turTru2:0.0195452,orcOrc1:0.0186778):0.0616276,((panHod1:0.0219669,capHir1:0.0251088):0.00660683,(bosTau8:0.0526119,oviAri3:0.0212461):0.0109719):0.118963):0.0316173):0.0415271,(((equCab2:0.0836709,cerSim1:0.0652789):0.0553949,(conCri1:0.19602,(eriEur2:0.260197,sorAra2:0.319782):0.00148562):0.023337):0.0034898,(felCat8:0.147729,((odoRosDiv1:0.141105,(canFam3:0.116544,(musFur1:0.0963566,(ailMel1:0.0654359,lepWed1:0.0559259):0.00436754):0.0429956):0.0351949):0.015363,((pteAle1:0.0146108,pteVam1:0.0156506):0.101494,(myoLuc2:0.050183,(eptFus1:0.0399355,myoDav1:0.0514707):0.0103788):0.0972209):0.0315571):0.00194588):0.0204998):0.000352717):0.0396993):0.001277):0.0217848,(eleEdw1:0.253928,((loxAfr3:0.109982,chrAsi1:0.168811):0.00707985,(echTel2:0.261941,(triMan1:0.0964657,oryAfe1:0.117749):0.00317822):0.000379244):0.00178132):0.0820478);
5	0.014	((dasNov3:0.169959,((tupChi1:0.224507,((otoGar3:0.159941,(((gorGor3:0.0123146,(hg38:0.00994718,panTro4:0.00998634):0.00216021):0.0424379,((ponAbe2:0.025872,nomLeu3:0.0254428):0.0169258,((rheMac3:0.00580426,macFas5:0.00491405):0.0229364,(papAnu2:0.0125594,chlSab2:0.0132124):0.0157495):0.0187417):0.0121049):0.0130208,(calJac3:0.0356667,saiBol1:0.0345948):0.0467801):0.0577975):0.0238086,((speTri2:0.156149,((hetGla2:0.0904169,chiLan1:0.125888):0.0419949,(cavPor3:0.149418,octDeg1:0.167517):0.0394135):0.0699108):0.0375039,((jacJac1:0.200549,(micOch1:0.163379,((criGri1:0.0637809,mesAur1:0.0760443):0.0604784,(mm10:0.107464,rn6:0.11414):0.0489148):0.0202308):0.105745):0.0776944,(oryCun2:0.153077,ochPri3:0.238179):0.0620281):0.0173906):0.00324157):0.0234972):0.0133517,(((susScr3:0.142029,(vicPac2:0.0264578,camFer1:0.0256709):0.110768):0.00470243,((turTru2:0.0199441,orcOrc1:0.0190767):0.0612287,((panHod1:0.0219669,capHir1:0.0251088):0.00660683,(bosTau8:0.0526119,oviAri3:0.0212461):0.0109719):0.118963):0.0316173):0.0415271,(((eriEur2:0.283784,(equCab2:0.0836709,cerSim1:0.0652789):0.054159):0.0012359,(sorAra2:0.321268,conCri1:0.19602):0.023337):0.0034898,(felCat8:0.147729,((odoRosDiv1:0.141105,(canFam3:0.116544,(musFur1:0.0963566,(ailMel1:0.0654359,lepWed1:0.0559259):0.00436754):0.0429956):0.0351949):0.015363,((pteAle1:0.0146108,pteVam1:0.0156506):0.101494,(myoLuc2:0.050183,(eptFus1:0.0399355,myoDav1:0.0514707):0.0103788):0.0972209):0.0315571):0.00194588):0.0204998):0.000352717):0.0397529):0.00122342):0.0217848,(eleEdw1:0.253928,((loxAfr3:0.110205,chrAsi1:0.169034):0.00685662,(echTel2:0.261941,(triMan1:0.0964657,oryAfe1:0.117749):0.00317822):0.000379244):0.00178132):0.0820478);
5	0.014	((dasNov3:0.169959,((tupChi1:0.224507,((otoGar3:0.159941,(((gorGor3:0.0123146,(hg38:0.0103843,panTro4:0.0104234):0.00172311):0.0424379,((ponAbe2:0.025872,nomLeu3:0.0254428):0.0169258,((rheMac3:0.00580426,macFas5:0.00491405):0.0229364,(papAnu2:0.0125594,chlSab2:0.0132124):0.0157495):0.0187417):0.0121049):0.0130208,(calJac3:0.0356667,saiBol1:0.0345948):0.0467801):0.0577975):0.0238086,((speTri2:0.156149,((hetGla2:0.0904169,chiLan1:0.125888):0.0419949,(cavPor3:0.149418,octDeg1:0.167517):0.0394135):0.0699108):0.0362528,((jacJac1:0.200549,(micOch1:0.167527,((criGri1:0.0637809,mesAur1:0.0760443):0.0604784,(mm10:0.107464,rn6:0.11414):0.0489148):0.0243785):0.101597):0.0776944,(oryCun2:0.153077,ochPri3:0.238179):0.0620281):0.0161395):0.00449271):0.0234972):0.0133517,((((susScr3:0.142029,(vicPac2:0.0264578,camFer1:0.0256709):0.110768):0.00470243,((turTru2:0.0199441,orcOrc1:0.0190767):0.0612287,((panHod1:0.0219669,capHir1:0.0251088):0.00660683,(bosTau8:0.0526119,oviAri3:0.0212461):0.0109719):0.118963):0.0316173):0.0381626,((eriEur2:0.283369,(equCab2:0.0836709,cerSim1:0.0652789):0.0537442):0.00165071,(sorAra2:0.321268,conCri1:0.19602):0.023337):0.000478082):0.00336444,(felCat8:0.147729,((odoRosDiv1:0.141105,(canFam3:0.116544,(musFur1:0.0963566,(ailMel1:0.0654359,lepWed1:0.0559259):0.00436754):0.0429956):0.0351949):0.015363,((pteAle1:0.0146108,pteVam1:0.0156506):0.101494,(myoLuc2:0.050183,(eptFus1:0.0399355,myoDav1:0.0514707):0.0103788):0.0972209):0.0315571):0.00194588):0.0208525):0.0397529):0.00122342):0.0217848,(eleEdw1:0.253928,((loxAfr3:0.112326,chrAsi1:0.171154):0.00473596,(echTel2:0.261941,(triMan1:0.0964657,oryAfe1:0.117749):0.00317822):0.000379244):0.00178132):0.0820478);
5	0.014	((dasNov3:0.189352,((tupChi1:0.231112,(((otoGar3:0.161782,(nomLeu3:0.0674943,((ponAbe2:0.0245743,(gorGor3:0.0128804,(hg38:0.0111121,panTro4:0.0111512):0.00156109):0.0115437):0.0314635,((chlSab2:0.0147897,(papAnu2:0.0129256,(rheMac3:0.00580426,macFas5:0.00491405):0.00755313):0.00121104):0.0453416,(calJac3:0.0356667,saiBol1:0.0345948):0.034082):0.000812344):0.0118858):0.0596381):0.0203882,(jacJac1:0.254325,(micOch1:0.163379,((criGri1:0.0637809,mesAur1:0.0760443):0.0726335,(mm10:0.103741,rn6:0.110418):0.0647926):0.00807572):0.159521):0.0429703):0.00157986,((speTri2:0.160076,((hetGla2:0.0904169,chiLan1:0.125888):0.00950534,(cavPor3:0.149875,octDeg1:0.167974):0.00646703):0.106328):0.0304393,(oryCun2:0.153077,ochPri3:0.238179):0.0762816):0.00637876):0.0301019):0.00797038,(((((susScr3:0.124582,((turTru2:0.0106581,orcOrc1:0.00979075):0.0705146,((panHod1:0.0176629,capHir1:0.0208048):0.0109108,(bosTau8:0.0526119,oviAri3:0.0212461):0.0109719):0.118963):0.00946744):0.0262577,(vicPac2:0.0264578,camFer1:0.0256709):0.119578):0.0328945,(((felCat8:0.0905305,(canFam3:0.0900417,musFur1:0.11285):0.0218075):0.00186275,(ailMel1:0.0612301,lepWed1:0.0517201):0.0487366):0.0553361,(odoRosDiv1:0.158254,((pteAle1:0.0146108,pteVam1:0.0156506):0.117288,(myoLuc2:0.050183,(eptFus1:0.0417328,myoDav1:0.053268):0.00858149):0.113014):0.0175506):0.000159057):0.0163277):0.00401885,(sorAra2:0.321268,conCri1:0.19602):0.0266736):0.000505917,(eriEur2:0.287455,(equCab2:0.0836709,cerSim1:0.0652789):0.0578297):0.00140765):0.0409763):0.0193931):0.00239165,((chrAsi1:0.173108,(echTel2:0.256745,(loxAfr3:0.0914888,eleEdw1:0.226574):0.019997):0.00279338):0.00456372,(triMan1:0.0966024,oryAfe1:0.117885):0.00520209):0.0820478);
5	0.014	(((tupChi1:0.224987,((otoGar3:0.161782,((nomLeu3:0.0307766,(gorGor3:0.0126707,(hg38:0.00674854,panTro4:0.0067877):0.00571491):0.018385):0.0367178,((ponAbe2:0.0560378,(calJac3:0.0356667,saiBol1:0.0345948):0.0348943):0.0115674,((rheMac3:0.00580426,macFas5:0.00491405):0.00876416,(papAnu2:0.0125594,chlSab2:0.0132124):0.00157728):0.0577214):0.000318367):0.0596381):0.0219681,((speTri2:0.160076,((hetGla2:0.0904169,chiLan1:0.125888):0.0419949,(cavPor3:0.149418,octDeg1:0.167517):0.0394135):0.0738383):0.0256331,((jacJac1:0.254325,((micOch1:0.148962,(mm10:0.103741,rn6:0.110418):0.0584508):0.0144176,(criGri1:0.0637809,mesAur1:0.0760443):0.0807092):0.159521):0.0295335,(oryCun2:0.153077,ochPri3:0.238179):0.0676436):0.00383179):0.0111849):0.0239776):0.0140947,(dasNov3:0.168777,((((susScr3:0.124582,((turTru2:0.0171517,orcOrc1:0.0162843):0.064021,(panHod1:0.0285737,(oviAri3:0.0212461,(bosTau8:0.0523469,capHir1:0.0204787):0.000264963):0.0109719):0.118963):0.00946744):0.0262577,(vicPac2:0.0264578,camFer1:0.0256709):0.119578):0.0368143,(equCab2:0.0836709,cerSim1:0.0652789):0.0586324):0.000604957,(((felCat8:0.110519,((canFam3:0.0915846,musFur1:0.114393):0.0221273,(ailMel1:0.0612301,lepWed1:0.0517201):0.0487366):0.0181255):0.0372106,(odoRosDiv1:0.158142,((pteAle1:0.0146108,pteVam1:0.0156506):0.101494,(myoLuc2:0.050183,(eptFus1:0.0399355,myoDav1:0.0514707):0.0103788):0.0972209):0.0332321):0.000270913):0.0203466,(sorAra2:0.321268,(eriEur2:0.247727,conCri1:0.182064):0.0139557):0.0266736):0.000505917):0.0397935):0.00118282):0.0217848,(((loxAfr3:0.0914888,eleEdw1:0.226574):0.0242039,(chrAsi1:0.15517,echTel2:0.2416):0.0193516):0.00315026,(triMan1:0.0966024,oryAfe1:0.117885):0.00520209):0.0820478);
5	0.014	(((tupChi1:0.224507,(((otoGar3:0.161519,((nomLeu3:0.0307766,(gorGor3:0.0126707,(hg38:0.00681375,panTro4:0.00685291):0.0056497):0.018385):0.0367178,((ponAbe2:0.0560378,(calJac3:0.0356667,saiBol1:0.0345948):0.0348943):0.0115674,((rheMac3:0.00580426,macFas5:0.00491405):0.00876416,(papAnu2:0.0125594,chlSab2:0.0132124):0.00157728):0.0577214):0.000318367):0.0593751):0.017836,(jacJac1:0.254325,((micOch1:0.15121,(mm10:0.103741,rn6:0.110418):0.0606987):0.0121696,(criGri1:0.0637809,mesAur1:0.0760443):0.0807092):0.159521):0.0401551):0.00439505,((speTri2:0.160076,((hetGla2:0.0904169,chiLan1:0.125888):0.0419949,(cavPor3:0.149418,octDeg1:0.167517):0.0394135):0.0738383):0.0256331,(oryCun2:0.153077,ochPri3:0.238179):0.0714754):0.0111849):0.0234972):0.0145751,(dasNov3:0.168789,((((susScr3:0.124582,((turTru2:0.0171517,orcOrc1:0.0162843):0.064021,(panHod1:0.0285737,(oviAri3:0.0212461,(bosTau8:0.0523469,capHir1:0.0204787):0.000264963):0.0109719):0.118963):0.00946744):0.0233235,(vicPac2:0.0264578,camFer1:0.0256709):0.116644):0.0397485,(equCab2:0.0836709,cerSim1:0.0652789):0.0586324):0.000604957,(((felCat8:0.110519,((canFam3:0.0915846,musFur1:0.114393):0.0221273,(ailMel1:0.0612301,lepWed1:0.0517201):0.0487366):0.0181255):0.0372106,(odoRosDiv1:0.157667,((pteAle1:0.0146108,pteVam1:0.0156506):0.101494,(myoLuc2:0.050183,(eptFus1:0.0399355,myoDav1:0.0514707):0.0103788):0.0972209):0.0327567):0.000746302):0.0187959,(sorAra2:0.321268,(eriEur2:0.247727,conCri1:0.182064):0.0139557):0.025123):0.00205654):0.0398059):0.00117045):0.0217848,(((loxAfr3:0.100251,eleEdw1:0.235336):0.0154421,(chrAsi1:0.15517,echTel2:0.2416):0.0193516):0.00315026,(triMan1:0.0966024,oryAfe1:0.117885):0.00520209):0.0820478);
