chr	No.	triMan1_3	lepWed1_3	odoRosDiv1_3	orcOrc1_3	turTru2_3	odoRosDiv1.lepWed1_3	turTru2.orcOrc1_3
22	0	0.0113333	0.0143333	0.00933333	1	1	0.000166667	1
1	0	0.00966667	0.990333	0.984667	0.981667	0.5865	0.319	0.480167
1	1	0.000166667	0.0338333	0.0311667	1	1	0	1
1	2	0.00683333	0.0111667	0.0085	1	1	0	1
1	4	0	0	0	0	1	0	0
1	5	0.168	0.704167	0.669833	0.992333	0.991833	0.563667	0.986667
1	7	0.336	0.0035	0.008	1	1	0	1
1	8	0.9535	0.986167	0.913	0.9735	0.9725	0.766833	0.956667
1	9	0.309167	0.440833	0.223667	0.998	0.998	0.102667	0.997667
1	10	0.0905	0.950333	0.934167	0.544167	0.4925	0.906667	0.154667
1	11	0.159833	0.958	0.842167	0.989333	0.981167	0.690333	0.972333
1	12	0.963833	0.532667	0.662	0.846333	0.955	0.296	0.7725
1	13	0.9835	0.462833	0.586167	0.815667	0.762333	0.292333	0.395333
1	14	0.948833	0.033	0.115333	0.184167	0.4055	0.00166667	0.00133333
1	15	0.993	0.3355	0.0846667	0.977833	0.955667	0.00283333	0.947333
1	16	0	0	0	0.986167	1	0	0
1	18	0.00183333	0.773833	0.995833	0.994167	0.985333	0.458167	0.983833
1	19	1	0.304667	0.344333	0.979	0.999833	0.011	0.9615
1	21	0.0313333	0.886	0.852833	0.464167	0.721	0.610667	0.234667
1	23	0	0	0	1	1	0	1
1	24	0	0.006	0.0131667	1	1	0	1
1	25	0	0	0	1	0.0831667	0	0
1	26	0	0	0	0	1	0	0
1	27	0	0	0	0.0745	1	0	0
1	28	0.1115	0.959167	0.750333	0.2925	0.281667	0.595667	0.0265
1	29	0.8505	0.999667	0.9995	0.9705	0.934333	0.987167	0.885167
1	30	1	0.925667	0.188	0.136	0.118167	0.052	0.000166667
1	33	0	1	0	0.162833	0.00133333	0	0
1	34	0	0.379	0.012	0.996833	0.952333	0.000666667	0.0085
1	35	0.848	0.356333	0.1105	0.994167	0.998833	0.000333333	0.891333
1	36	0	0	0	0.0418333	1	0	0
