No.	prop	genetree
2674	0.01575	(anoCar:0.273429,((((lepDis:0.182923,(mesUni:0.175958,((((cucCan:0.114649,(((taeGut:0.100465,ficAlb:0.107737):0.00502813,(pseHum:0.06243,corBra:0.0398325):0.0313583):0.102269,(picPub:0.176972,halLeu:0.0591479):0.00184873):0.00660268):0.0325465,(((melUnd:0.131846,calAnn:0.139752):0.00510941,(aptFor:0.0162352,pygAde:0.0183981):0.0445606):0.0216959,((falPer:0.0941558,fulGla:0.0589952):0.0196704,(nipNip:0.0685197,(balReg:0.0525626,chaVoc:0.0566831):0.0186767):0.0182425):0.00376836):0.00764615):0.00664395,(anaPla:0.0920136,(galGal:0.0631941,melGal:0.0678903):0.072806):0.0415525):0.0102611,(chaPel:0.129732,colLiv:0.115112):0.0446734):0.0255959):0.0197962):0.00857389,((casCas:0.0776619,(droNov:0.064097,((aptRow:0.00580058,(aptHaa:0.00282283,aptOwe:0.00306968):0.0033106):0.0301191,(rheAme:0.0293489,rhePen:0.0299888):0.0331904):0.0189214):0.015752):0.00735005,(strCam:0.0557684,((cryCin:0.0502166,tinGut:0.0419796):0.0910896,(anoDid:0.052467,(eudEle:0.108362,notPer:0.115919):0.0355378):0.00660276):0.0318175):0.0251173):0.0462394):0.137956,((allMis:0.0103949,allSin:0.00918513):0.027568,(croPor:0.0190457,gavGan:0.0156567):0.0252616):0.13585):0.0534354,(chrPic:0.037206,cheMyd:0.0400419):0.100732):0.248572);
2674	0.00825	(anoCar:0.273429,(((((((cucCan:0.114649,(((taeGut:0.0823198,ficAlb:0.0895918):0.0231728,(pseHum:0.0691655,corBra:0.046568):0.0246228):0.106908,(picPub:0.183063,halLeu:0.0652384):0.000397231):0.0019637):0.0298045,(fulGla:0.0621682,((melUnd:0.130204,(falPer:0.0749912,lepDis:0.070376):0.0141563):0.00640504,(calAnn:0.138412,(aptFor:0.0247592,pygAde:0.0269221):0.0295869):0.00610339):0.00177629):0.0251699):0.000912403,(mesUni:0.121314,(balReg:0.0712393,(nipNip:0.0685142,chaVoc:0.0753544):5.47948e-06):0.0175136):0.0103138):0.00796395,((chaPel:0.129732,colLiv:0.115112):0.0318466,(anaPla:0.111454,(galGal:0.0572742,melGal:0.0619704):0.0981665):0.0195461):0.00205612):0.0647366,((((aptRow:0.00555497,(aptHaa:0.00177861,aptOwe:0.00202546):0.00410921):0.0303065,(rheAme:0.013372,rhePen:0.0140119):0.0491091):0.0179298,(casCas:0.0233017,droNov:0.0254888):0.0375585):0.0144333,(strCam:0.0619917,(anoDid:0.0547943,((cryCin:0.0838566,notPer:0.10061):0.0237501,(tinGut:0.0635817,eudEle:0.0810146):0.035788):0.0294241):0.0423162):0.00917562):0.0559579):0.137956,((allMis:0.0103949,allSin:0.00918513):0.027568,(croPor:0.0190457,gavGan:0.0156567):0.0252616):0.13585):0.0534354,(chrPic:0.037206,cheMyd:0.0400419):0.100732):0.248572);
2674	0.00775	(anoCar:0.273429,((((lepDis:0.171145,((mesUni:0.158833,((((cucCan:0.121957,(corBra:0.0711908,(pseHum:0.0757937,(taeGut:0.065335,ficAlb:0.072607):0.022163):0.0179946):0.116179):0.0102294,(picPub:0.201223,halLeu:0.0833993):0.00173716):0.00831925,(calAnn:0.155298,(melUnd:0.136085,(aptFor:0.0281906,pygAde:0.0303535):0.0317345):0.0113071):0.0122154):0.00454338,((falPer:0.0892016,fulGla:0.054041):0.0182039,(chaVoc:0.0753598,(nipNip:0.0574439,balReg:0.0601635):0.0110758):0.0118218):0.0156885):0.027523):0.00533258,((chaPel:0.123703,colLiv:0.109083):0.0361165,(anaPla:0.112944,(galGal:0.040813,melGal:0.0455092):0.116117):0.0162976):0.0283897):0.0198102):0.0203519,(strCam:0.0697258,(((aptRow:0.00555497,(aptHaa:0.00434588,aptOwe:0.00459273):0.00154194):0.0487195,((cryCin:0.0883099,notPer:0.105064):0.0563459,(anoDid:0.0601199,(tinGut:0.0963567,eudEle:0.11379):0.0377627):0.00229938):0.0299167):0.00762797,((casCas:0.0198484,droNov:0.0220355):0.0253997,(rheAme:0.00989572,rhePen:0.0105356):0.0549032):0.0237232):0.00488071):0.0573993):0.137956,((allMis:0.0103949,allSin:0.00918513):0.027568,(croPor:0.0190457,gavGan:0.0156567):0.0252616):0.13585):0.0534354,(chrPic:0.037206,cheMyd:0.0400419):0.100732):0.248572);
2674	0.007	(anoCar:0.273429,((((mesUni:0.17526,((((taeGut:0.0599353,pseHum:0.048231):0.0455573,(ficAlb:0.0988143,corBra:0.0572405):0.0139503):0.108872,(cucCan:0.113966,(picPub:0.176972,halLeu:0.0591479):0.00776833):0.000683088):0.0699948,(((((melUnd:0.136955,(aptFor:0.0162352,pygAde:0.0183981):0.0445606):0.0184163,(nipNip:0.0685197,(balReg:0.0585536,chaVoc:0.0626741):0.0126858):0.0187313):0.00630408,(calAnn:0.154006,(falPer:0.0869672,(lepDis:0.0751469,fulGla:0.0446014):0.00720512):0.0180756):0.0155764):0.00542304,(anaPla:0.0920136,(galGal:0.0631941,melGal:0.0678903):0.072806):0.03571):0.0107328,(chaPel:0.129732,colLiv:0.115112):0.0393026):0.0259141):0.00435504):0.0290676,((((aptRow:0.00555497,(aptHaa:0.00329806,aptOwe:0.00354491):0.00258976):0.0303647,(rheAme:0.0335137,rhePen:0.0341535):0.0290256):0.0306567,(casCas:0.0233017,droNov:0.0254888):0.0503435):0.0113667,(strCam:0.0579341,(anoDid:0.0513631,((cryCin:0.0745454,notPer:0.0912991):0.030478,(tinGut:0.0596078,eudEle:0.0770407):0.0371786):0.0285762):0.0416898):0.0229517):0.0462394):0.137956,((allMis:0.0103949,allSin:0.00918513):0.027568,(croPor:0.0190457,gavGan:0.0156567):0.0252616):0.13585):0.0534353,(chrPic:0.037206,cheMyd:0.0400419):0.100732):0.248572);
2674	0.006	(anoCar:0.273429,((((mesUni:0.179067,(colLiv:0.159078,(((((falPer:0.114588,(lepDis:0.0704367,(corBra:0.0625441,(pseHum:0.0663334,(taeGut:0.0746068,ficAlb:0.0818788):0.00343095):0.0188083):0.0998759):0.0395358):0.00649854,(fulGla:0.085651,((melUnd:0.145209,(aptFor:0.0178064,pygAde:0.0199693):0.051243):0.00748639,(picPub:0.188087,(calAnn:0.111163,chaPel:0.0944595):0.0331576):0.0162809):0.00917285):0.000274627):0.00274441,(halLeu:0.0643086,cucCan:0.111358):0.0344271):0.00415248,(balReg:0.0748236,(nipNip:0.0718578,chaVoc:0.078698):0.000246128):0.0288151):0.00692293,(anaPla:0.0947355,(galGal:0.038127,melGal:0.0428232):0.100595):0.041852):0.00653237):0.0294125):0.0369014,(strCam:0.0670145,(((aptRow:0.00555497,(aptHaa:0.00182762,aptOwe:0.00207447):0.0040602):0.0513495,((casCas:0.0134798,droNov:0.0156669):0.0294724,(rheAme:0.00942106,rhePen:0.0100609):0.0530819):0.0210211):0.00301085,(cryCin:0.165516,(tinGut:0.141058,(anoDid:0.0552239,(eudEle:0.0742938,notPer:0.0818516):0.0723625):0.011835):0.0162202):0.0146977):0.0041565):0.0717512):0.126316,((allMis:0.0103949,allSin:0.00918513):0.027568,(croPor:0.0190457,gavGan:0.0156567):0.0252616):0.13585):0.0534353,(chrPic:0.037206,cheMyd:0.0400419):0.100732):0.248572);
2674	0.006	(anoCar:0.273429,((((melUnd:0.196311,((fulGla:0.0843073,(((((cucCan:0.111358,(halLeu:0.0553705,(corBra:0.0637002,(ficAlb:0.0677259,(taeGut:0.0588839,pseHum:0.0471796):0.00156999):0.0375481):0.104133):0.00893803):0.00444402,(chaPel:0.123703,colLiv:0.109083):0.00240409):0.000196733,((falPer:0.0755073,lepDis:0.0708921):0.0166376,(aptFor:0.0153731,pygAde:0.017536):0.0416688):0.00189935):0.0220397,(nipNip:0.0685197,(balReg:0.0647669,chaVoc:0.0688874):0.00647239):0.0205002):0.002416,(picPub:0.207816,mesUni:0.123304):0.00341273):0.000967965):0.0272304,(calAnn:0.177569,(anaPla:0.0875396,(galGal:0.040813,melGal:0.0455092):0.0907131):0.0427476):0.0180924):0.00855569):0.0408578,((((aptRow:0.00555497,(aptHaa:0.00304287,aptOwe:0.00328972):0.00284494):0.0439572,(casCas:0.0351287,droNov:0.0373158):0.0214524):0.00727754,(rheAme:0.00989572,rhePen:0.0105356):0.0735137):0.00999343,(strCam:0.062914,(cryCin:0.154355,(anoDid:0.0613505,(eudEle:0.14161,(tinGut:0.0846462,notPer:0.109637):0.0395304):0.0111733):0.0107678):0.0259145):0.00681187):0.0573993):0.137956,((allMis:0.0103949,allSin:0.00918513):0.027568,(croPor:0.0190457,gavGan:0.0156567):0.0252616):0.13585):0.0534353,(chrPic:0.037206,cheMyd:0.0400419):0.100732):0.248572);
2674	0.006	(anoCar:0.273429,((((((((taeGut:0.105444,(ficAlb:0.0997651,(pseHum:0.0645437,corBra:0.0419462):0.0162451):0.0129509):0.106967,(halLeu:0.0635177,cucCan:0.110567):0.00212794):0.0353533,(falPer:0.105372,picPub:0.198101):0.0207217):0.00158469,(((melUnd:0.131627,mesUni:0.0987866):0.0260309,(colLiv:0.116673,(((lepDis:0.0761382,fulGla:0.0455928):0.0069335,(calAnn:0.131349,chaPel:0.114645):0.00530087):0.00142272,(aptFor:0.0255347,pygAde:0.0276976):0.0284718):0.00992401):0.0175675):0.00547923,(nipNip:0.0614337,(balReg:0.0536067,chaVoc:0.0577272):0.0105467):0.0335825):0.00559824):0.0279016,(anaPla:0.10317,(galGal:0.054769,melGal:0.0594652):0.0923872):0.0540918):0.0454035,((strCam:0.0902674,(((aptRow:0.0088237,(aptHaa:0.00140734,aptOwe:0.00165419):0.00774921):0.0254324,(casCas:0.0222374,droNov:0.0244245):0.0190876):0.00701234,(rheAme:0.00753605,rhePen:0.00817591):0.0603521):0.0460562):0.0136801,(cryCin:0.162427,(anoDid:0.0749142,(notPer:0.14622,(tinGut:0.0602052,eudEle:0.0776381):0.0610244):0.0276842):0.00527656):0.0588755):0.0280496):0.133084,((allMis:0.0103949,allSin:0.00918513):0.027568,(croPor:0.0190457,gavGan:0.0156567):0.0252616):0.13585):0.0534353,(chrPic:0.037206,cheMyd:0.0400419):0.100732):0.248572);
2674	0.006	(anoCar:0.273429,(((((mesUni:0.130715,(((((taeGut:0.105493,(ficAlb:0.107065,(pseHum:0.0731347,corBra:0.0505372):0.0149542):0.00569933):0.108872,(cucCan:0.114532,(picPub:0.183063,halLeu:0.0652384):0.00224404):0.000116894):0.00901638,(nipNip:0.0685197,(balReg:0.0597043,chaVoc:0.0638248):0.011535):0.00612688):0.00236849,((calAnn:0.150036,(melUnd:0.136955,(aptFor:0.0247592,pygAde:0.0269221):0.0360365):0.00517478):0.0007898,(falPer:0.0749912,lepDis:0.070376):0.0268722):0.00221577):0.00196564,(fulGla:0.0705035,(chaPel:0.129732,colLiv:0.115112):0.00819169):0.000380664):0.016454):0.00887635,(anaPla:0.111454,(galGal:0.0572742,melGal:0.0619704):0.0981665):0.0216022):0.0647366,((((aptRow:0.00555497,(aptHaa:0.00177861,aptOwe:0.00202546):0.00410921):0.0303065,(rheAme:0.013372,rhePen:0.0140119):0.0491091):0.0179298,(casCas:0.0233017,droNov:0.0254888):0.0375585):0.0322294,(strCam:0.0754738,(anoDid:0.0547943,((cryCin:0.0838566,notPer:0.10061):0.0450048,(tinGut:0.0763133,eudEle:0.0937462):0.0443111):0.00816939):0.0557983):0.0134896):0.0381617):0.137956,((allMis:0.0103949,allSin:0.00918513):0.027568,(croPor:0.0190457,gavGan:0.0156567):0.0252616):0.13585):0.0534353,(chrPic:0.037206,cheMyd:0.0400419):0.100732):0.248572);
2674	0.006	(anoCar:0.273429,((((((picPub:0.229363,(falPer:0.121405,(((cucCan:0.111358,(halLeu:0.0561477,(taeGut:0.098002,(ficAlb:0.0887595,(pseHum:0.0635899,corBra:0.0409924):0.00619329):0.0165145):0.10491):0.00816093):0.0116846,((fulGla:0.0465278,(aptFor:0.0153731,pygAde:0.017536):0.0312123):0.0114368,(colLiv:0.108567,(calAnn:0.119814,chaPel:0.10311):0.0200772):0.0021973):0.00796293):0.0187398,(chaVoc:0.0789441,(nipNip:0.0557999,balReg:0.0585196):0.0163041):0.0206599):0.001577):0.0152286):0.0172448,(melUnd:0.16667,mesUni:0.13383):0.0282651):0.00257645,(anaPla:0.0875396,(galGal:0.040813,melGal:0.0455092):0.0907131):0.0705966):0.0396569,(lepDis:0.187418,(strCam:0.082932,(((aptRow:0.00555497,(aptHaa:0.00410367,aptOwe:0.00435052):0.00178414):0.0514524,(cryCin:0.166668,(anoDid:0.0659508,(notPer:0.134638,(tinGut:0.0578731,eudEle:0.075306):0.051774):0.0303032):0.0184807):0.0106373):0.00524699,((casCas:0.037236,droNov:0.0394231):0.0107193,(rheAme:0.00989572,rhePen:0.0105356):0.0576103):0.021368):0.0177349):0.0401142):0.00407897):0.137956,((allMis:0.0103949,allSin:0.00918513):0.027568,(croPor:0.0190457,gavGan:0.0156567):0.0252616):0.13585):0.0534353,(chrPic:0.037206,cheMyd:0.0400419):0.100732):0.248572);
2674	0.006	(anoCar:0.273429,((((((picPub:0.229363,((colLiv:0.118728,(((cucCan:0.111358,(halLeu:0.0561477,(taeGut:0.098002,(ficAlb:0.0887595,(pseHum:0.0601472,corBra:0.0375497):0.00963596):0.0165145):0.10491):0.00816093):0.00613609,(falPer:0.0764513,lepDis:0.0718361):0.0190883):0.00118341,((fulGla:0.0446908,(aptFor:0.0153731,pygAde:0.017536):0.0293753):0.0104789,(calAnn:0.119814,chaPel:0.10311):0.0194797):0.00639269):0.0043651):0.0223451,(chaVoc:0.0789441,(nipNip:0.0571039,balReg:0.0598235):0.0150001):0.0242652):0.0132003):0.0172448,(melUnd:0.16667,mesUni:0.13383):0.0282651):0.00257645,(anaPla:0.0875396,(galGal:0.040813,melGal:0.0455092):0.0907131):0.0705966):0.0396569,(strCam:0.082932,((aptRow:0.00555497,(aptHaa:0.00410367,aptOwe:0.00435052):0.00178414):0.0668306,(((casCas:0.037236,droNov:0.0394231):0.0107193,(rheAme:0.00989572,rhePen:0.0105356):0.0576103):0.0214168,(cryCin:0.166668,(anoDid:0.0659508,(notPer:0.136245,(tinGut:0.0578731,eudEle:0.075306):0.0533815):0.0286957):0.0184807):0.0159331):0.0100825):0.00760368):0.0441932):0.137956,((allMis:0.0103949,allSin:0.00918513):0.027568,(croPor:0.0190457,gavGan:0.0156567):0.0252616):0.13585):0.0534353,(chrPic:0.037206,cheMyd:0.0400419):0.100732):0.248572);
