No.	prop	genetree
3148	0.0017	(anoCar:0.442525,(((((cucCan:0.146605,((halLeu:0.0524452,(pseHum:0.0868153,(corBra:0.0440988,(taeGut:0.0489336,ficAlb:0.0562056):0.0294671):0.0201191):0.10069):0.0222333,(chaPel:0.121276,(nipNip:0.0465239,(fulGla:0.0351471,(aptFor:0.014868,pygAde:0.0170309):0.0203366):0.00328028):0.0154284):0.0107571):0.0248767):0.0186884,((chaVoc:0.0900327,(mesUni:0.107974,(melUnd:0.11365,falPer:0.0725936):0.0271641):0.0104989):0.0116519,(calAnn:0.143468,(balReg:0.0631517,(picPub:0.157908,lepDis:0.0605639):0.022317):0.00700945):0.0274029):0.02143):0.0141768,(colLiv:0.158062,(anaPla:0.0957002,(galGal:0.0775981,melGal:0.0822943):0.0620886):0.0464031):0.0170933):0.188581,((allMis:0.0156743,allSin:0.0144645):0.0797576,(croPor:0.0227608,gavGan:0.0193718):0.0790153):0.090409):0.0436587,((((aptRow:0.00650319,(aptHaa:0.00310979,aptOwe:0.00335664):0.00372624):0.0288412,(rheAme:0.010581,rhePen:0.0112208):0.0513831):0.0406648,(strCam:0.0681274,((casCas:0.0129129,droNov:0.0151):0.0407229,(anoDid:0.0562429,((cryCin:0.0569942,tinGut:0.0487572):0.0520899,(eudEle:0.100784,notPer:0.108342):0.0174961):0.0293952):0.0283856):0.0186177):0.0108244):0.226665,(chrPic:0.0511185,cheMyd:0.0539544):0.0739194):0.0151515):0.415416);
3148	0.0015	(anoCar:0.449815,(((((((mesUni:0.103352,(melUnd:0.0991334,((taeGut:0.0623988,pseHum:0.0506944):0.0444271,(ficAlb:0.0912828,corBra:0.0497089):0.0228151):0.0729209):0.0370584):0.00470795,(balReg:0.0596769,(picPub:0.164745,halLeu:0.0469205):0.0120059):0.0158218):0.013161,((chaVoc:0.078265,((falPer:0.0940673,(lepDis:0.0867926,colLiv:0.109047):0.00265952):0.00172516,(cucCan:0.111076,(fulGla:0.0415668,(nipNip:0.0465993,(aptFor:0.0182818,pygAde:0.0204447):0.0202785):0.00306407):0.0123939):0.00667108):0.00269642):0.00429826,(calAnn:0.111412,chaPel:0.0947082):0.0403382):0.010217):0.0312556,(anaPla:0.097124,(galGal:0.0392441,melGal:0.0439403):0.101866):0.0488172):0.12052,(((aptRow:0.0107637,(aptHaa:0.00294947,aptOwe:0.00319632):0.00814703):0.0242206,(rheAme:0.0112376,rhePen:0.0118774):0.0503663):0.042263,(strCam:0.0707206,((casCas:0.0196964,droNov:0.0218835):0.0328792,(anoDid:0.0542233,(tinGut:0.0811278,(notPer:0.10269,(cryCin:0.0831509,eudEle:0.0923468):0.00278556):0.00342836):0.047095):0.0293449):0.0222711):0.00946934):0.115604):0.0763303,((allMis:0.0171555,allSin:0.0159457):0.108152,(croPor:0.0245358,gavGan:0.0211468):0.107116):0.0555475):0.0582007,(chrPic:0.0454612,cheMyd:0.0482971):0.104285):0.413149);
3148	0.00135	(anoCar:0.415264,(((((((chaVoc:0.0822676,((cucCan:0.110546,((lepDis:0.0708372,(melUnd:0.104422,((taeGut:0.0624614,pseHum:0.0507571):0.0652263,(ficAlb:0.104743,corBra:0.0631693):0.0302165):0.0573477):0.0120871):0.0052633,(fulGla:0.0419489,(nipNip:0.0475631,(aptFor:0.0217237,pygAde:0.0238866):0.0178005):0.00248239):0.00360617):0.0078756):0.0086783,(falPer:0.0928289,colLiv:0.110468):0.00444078):0.00522192):0.00737602,(calAnn:0.114779,chaPel:0.098075):0.0440518):0.00604363,(mesUni:0.109146,(balReg:0.0601765,(picPub:0.165345,halLeu:0.0475207):0.0119053):0.0164088):0.0149815):0.0279812,(anaPla:0.100545,(galGal:0.0621811,melGal:0.0668773):0.0823499):0.0450292):0.0506583,(((aptRow:0.00881143,(aptHaa:0.00425981,aptOwe:0.00450666):0.00488447):0.0267995,(rheAme:0.0102077,rhePen:0.0108475):0.0520229):0.0394312,(strCam:0.0677053,((casCas:0.0205547,droNov:0.0227418):0.031622,(anoDid:0.0614978,(eudEle:0.119984,(tinGut:0.0783747,(cryCin:0.0714266,notPer:0.0881803):0.0151851):0.0241765):0.0329461):0.0216715):0.0196548):0.0102795):0.0475792):0.153163,((allMis:0.0131021,allSin:0.0118923):0.0887936,(croPor:0.0235901,gavGan:0.0202011):0.08465):0.0855629):0.0584354,(chrPic:0.0386972,cheMyd:0.0415331):0.117887):0.371761);
3148	0.0013	(anoCar:0.291453,((((((((chaVoc:0.0634795,(pseHum:0.0725017,(corBra:0.0422229,(taeGut:0.0520244,ficAlb:0.0592964):0.0245004):0.00768129):0.121167):0.00990579,(chaPel:0.117353,cucCan:0.107049):0.00851525):0.0113571,(melUnd:0.116903,halLeu:0.0507511):0.0291203):0.0388445,((calAnn:0.155501,(lepDis:0.0796366,balReg:0.0599073):0.0222867):0.0322337,(colLiv:0.147282,(anaPla:0.0965635,(galGal:0.0577276,melGal:0.0624238):0.0828224):0.0347605):0.00912959):0.00503871):0.0105006,(mesUni:0.111614,((falPer:0.0764143,picPub:0.169143):0.0169003,(fulGla:0.0399683,(nipNip:0.0460832,(aptFor:0.014737,pygAde:0.0168999):0.0233073):0.00198165):0.0181856):0.0100832):0.0509137):0.0734708,(((aptHaa:0.0128226,(aptOwe:0.0082779,aptRow:0.0076982):0.0047915):0.0228952,(rheAme:0.0119177,rhePen:0.0125576):0.0500868):0.0429736,(strCam:0.0614818,((casCas:0.021718,droNov:0.0239051):0.0302444,(anoDid:0.0545889,(eudEle:0.105181,(cryCin:0.070197,(tinGut:0.0588057,notPer:0.0837964):0.00315424):0.025788):0.0408405):0.0283661):0.0136456):0.0198194):0.0774944):0.119115,((allMis:0.0191005,allSin:0.0178907):0.053607,(croPor:0.0237001,gavGan:0.0203111):0.0553517):0.113934):0.0442783,(chrPic:0.0526935,cheMyd:0.0555294):0.0889163):0.262923);
3148	0.00125	(anoCar:0.409993,(((((chaVoc:0.108473,((((cucCan:0.109759,((lepDis:0.0728958,((taeGut:0.0491501,ficAlb:0.0564221):0.0714664,(pseHum:0.0773041,corBra:0.0547066):0.0316081):0.0785644):0.00668277,(melUnd:0.111551,falPer:0.0704945):0.0136992):0.00361043):0.000695143,(fulGla:0.0416929,(nipNip:0.0479219,(aptFor:0.022477,pygAde:0.0246399):0.0174059):0.00186751):0.0116458):0.0193984,((picPub:0.18096,(balReg:0.0633005,chaPel:0.119904):0.000585466):0.00738384,(halLeu:0.0676759,colLiv:0.11041):0.00284342):0.0122835):0.0107584,(calAnn:0.148612,mesUni:0.107865):0.0190074):0.0100406):0.0147801,(anaPla:0.0996147,(galGal:0.0630647,melGal:0.0677609):0.0805365):0.0455435):0.0897355,((strCam:0.0601985,((aptRow:0.00953399,(aptHaa:0.0026691,aptOwe:0.00291595):0.00719774):0.0262662,(rheAme:0.0160693,rhePen:0.0167092):0.0463505):0.0214556):0.00842993,((casCas:0.030018,droNov:0.0322051):0.0218345,(anoDid:0.0559567,(notPer:0.124812,(eudEle:0.0901954,(cryCin:0.0542579,tinGut:0.0460209):0.0267416):0.0270589):0.0301347):0.0268884):0.0209021):0.0955972):0.103594,((allMis:0.0148792,allSin:0.0136694):0.0503546,(croPor:0.0262084,gavGan:0.0228194):0.0453697):0.111318):0.054518,(chrPic:0.034699,cheMyd:0.0375349):0.10706):0.381314);
3148	0.00125	(anoCar:0.625322,((((((((balReg:0.062022,((halLeu:0.0513651,(melUnd:0.099609,(pseHum:0.115397,(corBra:0.0550835,(taeGut:0.0494319,ficAlb:0.0567039):0.0399534):0.0377164):0.0531206):0.0179077):0.00638162,(nipNip:0.0495856,(fulGla:0.0374854,(aptFor:0.0162058,pygAde:0.0183687):0.0213372):0.00400356):0.00619205):0.00352472):0.00184331,(chaPel:0.115643,cucCan:0.105338):0.00482606):0.0185745,(mesUni:0.104862,(calAnn:0.137338,(falPer:0.0849963,chaVoc:0.0647724):0.00337835):0.00827146):0.0101381):0.00766138,(picPub:0.161681,lepDis:0.0643366):0.0454938):0.0389829,(colLiv:0.146531,(anaPla:0.0938164,(galGal:0.0565914,melGal:0.0612876):0.0812114):0.0367569):0.0245366):0.0527217,((strCam:0.0689295,((aptRow:0.00797519,(aptHaa:0.00308194,aptOwe:0.00332879):0.0052261):0.0275613,(rheAme:0.0105059,rhePen:0.0111457):0.0516502):0.0304504):0.00582942,((casCas:0.0242963,droNov:0.0264834):0.0241497,(anoDid:0.0604976,(eudEle:0.10162,(cryCin:0.0758828,(tinGut:0.0619769,notPer:0.0869676):0.00566889):0.0165416):0.0503097):0.0189409):0.0304392):0.0624046):0.141079,((allMis:0.0178835,allSin:0.0166737):0.0805544,(croPor:0.025017,gavGan:0.021628):0.0797653):0.0885361):0.0391287,(chrPic:0.034478,cheMyd:0.0373139):0.102314):0.601611);
3148	0.00125	(anoCar:0.291465,((((((((colLiv:0.115732,((balReg:0.058749,(pseHum:0.0942207,(corBra:0.0517626,(taeGut:0.0497585,ficAlb:0.0570305):0.036306):0.0198606):0.0988383):0.005551,(melUnd:0.128843,cucCan:0.109741):0.000857838):0.00944813):0.00886708,((falPer:0.0759579,lepDis:0.0713427):0.00342786,(picPub:0.165673,halLeu:0.0478492):0.00644166):0.0275738):0.00747926,((nipNip:0.046897,(fulGla:0.0366532,(aptFor:0.0150449,pygAde:0.0172078):0.0216659):0.0021472):0.0350327,(chaVoc:0.0756461,chaPel:0.128129):0.0131238):0.00544505):0.0195547,(calAnn:0.154369,mesUni:0.113623):0.0285871):0.023336,(anaPla:0.0995335,(galGal:0.0426859,melGal:0.0473821):0.100834):0.0594774):0.176602,((allMis:0.0181073,allSin:0.0168975):0.0535501,(croPor:0.0201254,gavGan:0.0167364):0.0578764):0.102019):0.00952117,(strCam:0.0910161,(((aptOwe:0.0106977,(aptHaa:0.00675006,aptRow:0.00641721):0.00370081):0.0254781,(rheAme:0.00910473,rhePen:0.00974459):0.0531111):0.0505906,((casCas:0.020905,droNov:0.0230921):0.0308412,(anoDid:0.0568067,(notPer:0.122749,(eudEle:0.0951083,(cryCin:0.0538184,tinGut:0.0455814):0.032094):0.0200827):0.033048):0.0259321):0.0415094):0.00188668):0.18345):0.0280021,(chrPic:0.0301542,cheMyd:0.0329901):0.0917351):0.282656);
3148	0.00125	(anoCar:0.299162,((((((((chaVoc:0.062855,(falPer:0.0702121,(pseHum:0.084512,(corBra:0.042665,(taeGut:0.0504911,ficAlb:0.0577631):0.0264758):0.0192495):0.0956657):0.0128668):0.0130082,(chaPel:0.124021,colLiv:0.109401):0.0043255):0.0143697,(balReg:0.0700199,mesUni:0.102581):0.0160926):0.0306041,((lepDis:0.0751698,(melUnd:0.117061,halLeu:0.050909):0.00378104):0.0514531,(anaPla:0.0937245,(galGal:0.0973062,melGal:0.102002):0.0404048):0.039195):0.00982287):0.013904,(calAnn:0.144106,(picPub:0.182153,(cucCan:0.110626,(fulGla:0.0410724,(nipNip:0.0465436,(aptFor:0.0256103,pygAde:0.0277732):0.0128944):0.0026253):0.0124379):0.000752549):0.00571933):0.0598222):0.185687,((allMis:0.0134541,allSin:0.0122443):0.0970772,(croPor:0.0224261,gavGan:0.0190371):0.0944495):0.0698655):0.0127119,(strCam:0.0846405,(((aptRow:0.00908726,(aptHaa:0.00274895,aptOwe:0.0029958):0.00667115):0.0269142,(rheAme:0.0180543,rhePen:0.0186941):0.0445668):0.0347549,((casCas:0.0155377,droNov:0.0177248):0.0357624,(anoDid:0.0560945,((cryCin:0.0732965,eudEle:0.0824924):0.00717828,(tinGut:0.0686754,notPer:0.0936661):0.00356234):0.0578563):0.0261982):0.0265252):0.0109414):0.199737):0.00945204,(chrPic:0.0723047,cheMyd:0.0751406):0.0409457):0.298992);
3148	0.00125	(anoCar:0.3198,(((((mesUni:0.159735,(((((melUnd:0.101339,(corBra:0.0601152,(ficAlb:0.0718112,(taeGut:0.0615753,pseHum:0.0498709):0.00296388):0.0298779):0.0875353):0.0158683,(lepDis:0.0682243,halLeu:0.0477446):0.00331121):0.0293009,(falPer:0.10273,(colLiv:0.114009,(cucCan:0.11017,((aptFor:0.0175913,pygAde:0.0197542):0.0244801,(fulGla:0.0397999,nipNip:0.0478964):0.00221397):0.0110412):0.00815396):0.00636019):0.00272179):0.00973219,(balReg:0.0540311,chaVoc:0.0581516):0.0368083):0.0198816,(picPub:0.188464,(calAnn:0.119966,chaPel:0.103262):0.024732):0.0393303):0.0164531):0.0128701,(anaPla:0.0957831,(galGal:0.0882676,melGal:0.0929638):0.051502):0.0702868):0.1228,(((aptHaa:0.0108039,(aptOwe:0.00873677,aptRow:0.00815707):0.002314):0.025319,(rheAme:0.00937787,rhePen:0.0100177):0.0530318):0.0354964,(strCam:0.0649088,((casCas:0.0227282,droNov:0.0249153):0.0293017,(anoDid:0.0579941,((cryCin:0.0763681,notPer:0.0931218):0.0229914,(tinGut:0.0713417,eudEle:0.0887746):0.0197807):0.0408711):0.0250284):0.017005):0.00932029):0.143973):0.0501686,((allMis:0.0182822,allSin:0.0170724):0.0627357,(croPor:0.0232688,gavGan:0.0198798):0.0640935):0.0960839):0.0330113,(chrPic:0.0462407,cheMyd:0.0490766):0.0745621):0.312078);
3148	0.00125	(anoCar:0.378527,((((calAnn:0.200914,((picPub:0.204866,((((halLeu:0.0496706,(pseHum:0.134916,(ficAlb:0.115613,(taeGut:0.0728423,corBra:0.0385405):0.035499):0.0382786):0.0498155):0.00359859,(melUnd:0.111975,falPer:0.0709187):0.00744538):0.026459,(mesUni:0.101931,(balReg:0.0627298,((aptFor:0.0176612,pygAde:0.0198241):0.0224749,(fulGla:0.0380317,nipNip:0.0461283):0.00204678):0.0118351):0.00664012):0.0111087):0.00305387,(chaPel:0.129553,(cucCan:0.110849,(lepDis:0.0805662,chaVoc:0.0649575):0.00371241):0.0084):0.0105831):0.00425983):0.0300974,(colLiv:0.145987,(anaPla:0.094254,(galGal:0.0878445,melGal:0.0925407):0.050396):0.0357747):0.0138869):0.00971655):0.227986,(chrPic:0.0417817,cheMyd:0.0446176):0.0885899):0.0137811,((strCam:0.06536,((aptOwe:0.0146049,(aptHaa:0.00550572,aptRow:0.00517287):0.00885237):0.0217218,(rheAme:0.0110932,rhePen:0.0117331):0.0512734):0.0266703):0.015659,((casCas:0.0227295,droNov:0.0249166):0.0285082,(anoDid:0.0511698,(eudEle:0.0902438,(notPer:0.0853843,(cryCin:0.0555005,tinGut:0.0472635):0.0131301):0.0124173):0.0523584):0.0310606):0.0339074):0.243713):0.0135332,((allMis:0.012362,allSin:0.0111522):0.116119,(croPor:0.0230702,gavGan:0.0196812):0.111755):0.118516):0.333922);
