No.	ID	n_rate	c_rate	aptHaa_3	aptOwe_3	aptRow_3	casCas_3	droNov_3	rheAme_3	rhePen_3	anoDid_3	strCam_3	aptHaa.aptOwe_3	casCas.droNov_3	rheAme.rhePen_3	aptHaa.aptRow_3	aptHaa.casCas_3	aptHaa.rheAme_3
1	618	0.793979	0.106075	0.44625	0.27915	0.17675	0.97075	0.29125	0.21305	0.12575	0.99145	0.004	0.1432	0.2654	0.0626	4e-04	1e-04	0
1	671	0.623459	0.0947835	0.99965	0.99975	0.9792	1	0.99965	1	1	0.60355	1	0.99655	0.96185	1	0.9516	0.84745	0.6626
1	1493	1.65797	0.197073	0.2263	0.1026	0.03145	0.00765	0.0034	0.06225	0.05585	0.0241	1	0.02875	5e-05	5e-05	0.00045	0	0
1	1588	0.710131	0.0960807	0.45995	0.4621	0.63715	0.33835	0.84955	1	0.99985	0.99905	0.0594	0.26185	0.22025	0.99985	0.16305	0.126	0.09905
1	1686	1.31566	0.18948	1	1	1	0.19955	0.1757	0.87405	0.5059	1	0.0578	1	0.13835	0.40255	1	0.13505	0.111
1	2302	4.18576	0.22359	0.06965	0.06545	0.01645	3e-04	0.01905	0.01235	0.00835	1	0	0.0047	0	0	0	0	0
1	2322	1.61777	0.226809	1	0.99995	0.9999	0.7541	0.06235	0.19175	0.07245	0.0115	0.1864	0.9999	0.0451	0.01455	0.9999	0.0414	0.01195
1	2437	1.98039	0.168774	0.86265	0.8619	0.68575	1	1	1	1	0.0068	1	0.8076	1	1	0.59905	0.57725	0.49725
1	3350	3.7319	0.252786	0.12825	0.1193	0.1256	0.04715	0.0322	1	1	0	0	0.03645	0	1	0	0	0
1	3420	0.998853	0.166924	0.0831	0.0781	0.0211	0.01355	0.0385	0.04255	0.01035	1	0	0.01855	0	0	0.0039	0	0
1	3855	1.15256	0.174963	0.9887	0.9885	0.98665	0.97105	0.9997	0.9535	0.96665	0.3627	0.02685	0.9861	0.9603	0.9395	0.9847	0.9205	0.74445
1	3901	3.75419	0.173404	0.49775	0.69455	0.89905	0.0129	0.06955	1	1	0.014	4e-04	0.40815	0.00055	1	0.3387	5e-04	5e-04
1	4552	1.38968	0.15256	1	1	1	0.99495	0.9921	0.9497	0.95545	0.011	0.07815	1	0.9865	0.899	1	0.9755	0.7907
1	4554	1.23944	0.154033	0.88	0.77715	0.8665	0.0731	0.3612	0.41075	0.38165	0.96665	1	0.7103	0.03245	0.00455	0.3624	0.0216	0.0024
1	4565	0.784252	0.170736	1	1	1	1	1	0.99995	1	0.9963	0.84235	1	1	0.99995	1	0.99175	0.90385
1	4616	1.71956	0.240427	0.9546	0.9544	0.95635	0.9731	0.9738	1	1	0.9943	0.5155	0.9397	0.9648	1	0.9327	0.9136	0.8151
2	235	1.77844	0.127123	0.31015	0.31275	0.20415	0.3002	0.2109	0.18785	0.18635	0.0959	0.00015	0.18345	0.1228	0.1846	0.0775	0.05815	0.03775
