No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-539.77829	-537.64588	-517.02929	2.132408	-20.616594	-527.20987	-524.98542	-503.46464
1	1	-373.81093	-372.55649	-359.26909	1.2544367	-13.2874	-359.74535	-358.68396	-348.77633
2	2	-451.14883	-452.53279	-453.74714	-1.3839579	1.2143523	-443.1189	-444.30665	-443.88352
3	3	-334.30878	-331.04752	-330.46804	3.2612638	-0.57947486	-321.39224	-321.89095	-320.16191
4	4	-394.27037	-390.81898	-382.70729	3.4513925	-8.1116881	-381.5356	-381.9323	-369.45614
5	5	-415.35122	-410.95136	-410.09493	4.3998616	-0.85642839	-403.2385	-398.45855	-394.72773
6	6	-383.87603	-380.36455	-368.7277	3.5114838	-11.636844	-370.81324	-371.39418	-357.44995
7	7	-550.61104	-542.99249	-527.23568	7.6185556	-15.756811	-537.67659	-528.63471	-515.11125
8	8	-529.61513	-513.62647	-507.60493	15.988659	-6.0215397	-517.5348	-499.76226	-491.10517
9	9	-555.26726	-541.27833	-511.97346	13.988927	-29.304875	-542.39505	-526.38049	-503.4982
10	10	-565.69151	-553.23563	-545.79023	12.455877	-7.445397	-552.36667	-539.36775	-532.38426
11	11	-453.56859	-452.92922	-439.55289	0.63936958	-13.376335	-438.1299	-438.01268	-422.30929
12	12	-387.60821	-382.71238	-373.93504	4.895829	-8.7773411	-372.76509	-370.89048	-359.36388
13	13	-475.84481	-469.63821	-453.25215	6.2065968	-16.386068	-462.41278	-454.90644	-442.15296
14	14	-330.0697	-329.24642	-319.04439	0.82328303	-10.202027	-317.73249	-316.30244	-309.52028
15	15	-549.14442	-545.3077	-545.83074	3.8367196	0.52304016	-538.64066	-533.39724	-532.23814
16	16	-294.09529	-293.59653	-290.90647	0.49875723	-2.6900572	-283.9193	-283.71095	-280.8491
17	17	-435.91384	-426.91605	-429.78967	8.9977842	2.8736131	-426.7158	-419.5485	-415.97289
18	18	-402.73953	-401.48843	-389.94848	1.2511049	-11.539952	-388.9385	-387.94846	-376.89797
19	19	-417.10648	-414.27551	-399.95006	2.8309679	-14.325445	-405.63592	-399.06603	-389.1547
20	20	-405.59309	-406.31412	-394.20044	-0.72102878	-12.113676	-392.24078	-392.66099	-383.97964
21	21	-482.79873	-472.23005	-472.84193	10.568679	0.6118788	-467.70745	-460.64293	-459.0632
22	22	-389.61135	-386.0179	-385.85061	3.5934493	-0.16729572	-379.55871	-380.32335	-376.54691
23	23	-511.83388	-507.47127	-488.53798	4.3626187	-18.933283	-499.34717	-493.20709	-475.98435
24	24	-428.60206	-425.2104	-408.36649	3.3916605	-16.84391	-415.40758	-416.03461	-399.01808
25	25	-561.84001	-529.74427	-513.03955	32.095739	-16.704725	-549.55134	-516.7263	-499.45599
26	26	-481.77761	-474.41635	-467.61014	7.3612653	-6.8062064	-469.04982	-468.54744	-457.74181
27	27	-428.71814	-427.52114	-421.1871	1.1969972	-6.3340447	-416.31091	-414.51363	-410.65261
28	28	-405.67419	-405.77506	-397.0564	-0.10086704	-8.7186567	-392.44951	-392.92134	-387.40954
29	29	-494.91478	-492.02007	-475.30837	2.8947093	-16.711703	-482.04346	-478.97129	-460.98786
30	30	-584.58098	-582.55928	-574.25262	2.0216972	-8.3066553	-569.56562	-566.74007	-559.84281
31	31	-435.27892	-435.1824	-438.21234	0.096524054	3.0299419	-428.3862	-427.73685	-427.68883
32	32	-474.99125	-470.43671	-452.80321	4.5545386	-17.6335	-462.56093	-457.29483	-437.44016
33	33	-517.76158	-505.43227	-503.31925	12.329313	-2.1130155	-504.50507	-494.06193	-489.2635
34	34	-431.34258	-432.42844	-419.24628	-1.0858574	-13.182158	-419.73147	-420.29371	-408.31732
35	35	-450.39341	-449.72982	-427.12401	0.6635902	-22.605807	-437.50439	-436.29383	-417.10568
36	36	-439.71323	-433.72424	-411.7304	5.9889908	-21.993836	-426.42914	-419.07817	-398.77638
37	37	-402.20929	-395.01578	-391.60491	7.1935052	-3.4108679	-389.17509	-384.48231	-379.14866
38	38	-507.23517	-502.80943	-493.34349	4.4257452	-9.4659416	-494.35144	-488.24116	-478.05513
39	39	-479.25145	-476.17356	-467.87268	3.0778906	-8.3008783	-466.2199	-462.94974	-455.12341
40	40	-508.74157	-496.85494	-489.64631	11.886625	-7.2086298	-495.61418	-486.42228	-475.35724
41	41	-493.58898	-490.82381	-483.28392	2.7651734	-7.5398835	-479.98772	-473.85221	-465.40457
42	42	-440.16708	-438.92838	-428.43885	1.2387001	-10.489539	-428.33351	-426.30225	-413.13738
43	43	-386.9347	-387.37595	-373.43477	-0.44125253	-13.941185	-375.17163	-375.706	-361.73761
44	44	-426.8933	-427.77074	-418.72917	-0.87743538	-9.0415662	-415.17975	-415.67573	-406.22515
45	45	-332.73348	-332.36691	-326.2529	0.36657209	-6.1140019	-321.87516	-322.30591	-315.07526
46	46	-605.12859	-590.27071	-592.59846	14.857876	2.3277435	-593.81893	-577.46708	-576.85711
