No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2
0	0	-545.17703	-542.71073	-531.26177	2.4663037	-11.448961
1	1	-383.592	-383.10379	-373.82213	0.48821033	-9.2816579
2	2	-459.71469	-461.80277	-463.60921	-2.088088	1.8064361
3	3	-338.27337	-334.34734	-336.21613	3.9260314	1.8687851
4	4	-407.10846	-403.44644	-401.82231	3.6620188	-1.6241297
5	5	-409.77888	-410.2849	-410.7669	-0.50602681	0.48199788
6	6	-403.22348	-396.34233	-386.9552	6.8811519	-9.387127
7	7	-550.67746	-547.80561	-536.26794	2.8718525	-11.537669
8	8	-528.33315	-528.93283	-519.75007	-0.59967913	-9.1827589
9	9	-506.22957	-505.50922	-482.15522	0.72035409	-23.353996
10	10	-565.81006	-567.27344	-556.66004	-1.4633805	-10.613401
11	11	-448.8498	-448.72712	-444.74477	0.12267801	-3.9823454
12	12	-386.79618	-384.31437	-383.06706	2.4818103	-1.2473111
13	13	-497.4931	-495.56107	-479.72472	1.9320375	-15.836349
14	14	-353.73348	-352.21902	-346.09028	1.5144601	-6.1287362
15	15	-556.5277	-553.72331	-555.29276	2.8043891	1.5694474
16	16	-301.66678	-303.04637	-303.06939	-1.3795849	0.023020868
17	17	-431.57338	-427.38158	-432.74534	4.1917977	5.3637656
18	18	-406.30436	-406.65215	-395.22278	-0.3477945	-11.429372
19	19	-389.53363	-388.22853	-377.88234	1.3050999	-10.346191
20	20	-420.75133	-420.89291	-409.67321	-0.14157385	-11.219697
21	21	-440.53815	-440.4663	-437.3933	0.071850007	-3.0729984
22	22	-375.58924	-374.31465	-374.47952	1.2745977	0.16487791
23	23	-531.72562	-528.16624	-517.11041	3.5593825	-11.055832
24	24	-440.48553	-437.97945	-425.25187	2.5060854	-12.727579
25	25	-522.56537	-518.69963	-494.2231	3.8657414	-24.476521
26	26	-504.7208	-504.65953	-497.60762	0.061269958	-7.0519081
27	27	-449.53865	-448.48385	-443.59403	1.0547983	-4.8898173
28	28	-412.68425	-411.61586	-406.72117	1.0683908	-4.8946837
29	29	-489.93709	-488.29344	-476.48837	1.643657	-11.805061
30	30	-595.34325	-593.90531	-591.81954	1.437942	-2.0857704
31	31	-462.61418	-461.57353	-464.1109	1.0406486	2.5373647
32	32	-482.83876	-483.0933	-473.47635	-0.2545343	-9.6169408
33	33	-518.17713	-515.62906	-513.12992	2.548065	-2.4991487
34	34	-451.34354	-452.12428	-443.79981	-0.7807458	-8.324468
