No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-570.80718	-570.2352	-552.34214	0.57197497	-17.89306	-557.37887	-555.6006	-538.79701
1	1	-377.57802	-373.60961	-370.79317	3.968409	-2.816444	-364.70949	-364.57121	-359.88439
2	2	-780.85898	-733.45784	-701.53699	47.40114	-31.920856	-766.23886	-714.12421	-680.08848
3	3	-515.24214	-499.57965	-494.58303	15.662489	-4.996616	-501.60824	-480.5034	-478.38293
4	4	-398.11802	-398.23575	-387.40058	-0.11772788	-10.835172	-384.6293	-385.04927	-371.48521
5	5	-551.07559	-545.80837	-516.80245	5.2672261	-29.005919	-536.61908	-528.21429	-504.3405
6	6	-512.11986	-511.99241	-488.67777	0.12745302	-23.31464	-498.42784	-498.84767	-476.48335
7	7	-363.62085	-358.69979	-353.90901	4.9210546	-4.7907806	-350.57021	-341.78089	-336.78972
8	8	-397.45101	-395.9274	-385.31912	1.5236017	-10.608288	-382.98654	-380.30436	-369.07826
9	9	-492.85564	-492.31705	-479.86557	0.53858976	-12.451479	-478.98959	-477.57445	-464.8101
10	10	-630.8094	-630.35257	-599.57689	0.45683407	-30.775676	-618.35628	-617.70511	-586.57162
11	11	-629.53022	-622.87611	-609.54256	6.6541033	-13.333553	-614.65111	-603.67012	-596.16721
12	12	-427.24069	-426.75438	-420.30956	0.48630788	-6.4448233	-414.14768	-409.45369	-404.51378
13	13	-398.79851	-396.36696	-383.0257	2.4315528	-13.341256	-384.373	-379.58511	-370.56195
14	14	-541.62857	-541.59379	-514.02301	0.034779245	-27.570783	-527.9833	-528.40916	-498.55423
15	15	-439.14391	-438.83761	-426.1637	0.3063067	-12.673908	-425.45503	-425.87363	-416.21686
16	16	-496.94586	-491.1638	-479.14929	5.7820639	-12.014503	-483.69462	-473.81326	-465.22773
17	17	-536.06252	-534.47675	-530.06095	1.5857729	-4.4157937	-523.05446	-521.10054	-514.37592
18	18	-588.33664	-585.84079	-534.21772	2.4958491	-51.623071	-573.62461	-570.13132	-521.42252
19	19	-663.39286	-652.81338	-631.73837	10.579472	-21.075008	-650.25915	-643.75971	-616.23298
20	20	-330.91053	-330.66944	-327.86333	0.24108434	-2.8061175	-322.43881	-321.30008	-314.54502
21	21	-586.25961	-585.76303	-566.15033	0.49658191	-19.612704	-572.19962	-571.69506	-555.88367
22	22	-607.4348	-606.24137	-576.96928	1.1934264	-29.27209	-593.94224	-590.22964	-565.43046
23	23	-586.25459	-585.6378	-563.07339	0.61679051	-22.564415	-573.09141	-569.67019	-551.35528
24	24	-389.68348	-389.66443	-389.24079	0.019049874	-0.42363904	-387.37667	-386.10329	-380.50305
25	25	-452.94418	-450.96375	-441.14169	1.980425	-9.822065	-439.00387	-434.06821	-423.72523
26	26	-506.20646	-490.69498	-488.57836	15.511487	-2.1166206	-492.81477	-482.87512	-474.44045
27	27	-494.6027	-494.62576	-481.26807	-0.023058052	-13.357691	-481.41715	-481.85099	-467.75287
28	28	-440.38805	-432.03172	-432.8275	8.3563264	0.79578562	-428.74036	-420.93352	-420.93609
29	29	-546.865	-546.79276	-515.142	0.072235473	-31.650763	-532.47563	-532.89694	-502.72853
30	30	-473.36589	-473.40041	-465.35505	-0.034516051	-8.0453568	-459.72275	-460.14942	-452.2856
31	31	-430.95878	-430.67087	-418.1909	0.28790984	-12.479969	-417.19318	-414.69314	-406.60602
32	32	-691.97595	-690.53144	-648.70003	1.444502	-41.831414	-676.08254	-675.30999	-633.06851
33	33	-443.66574	-442.65458	-431.2874	1.0111599	-11.367186	-429.88509	-426.30032	-419.87059
34	34	-373.45695	-368.73927	-368.25395	4.7176844	-0.48531989	-359.6177	-354.68531	-355.30888
35	35	-698.48714	-693.18902	-641.39141	5.2981234	-51.797611	-684.42276	-675.32349	-629.44261
36	36	-659.76944	-650.92502	-638.57414	8.8444223	-12.350872	-645.23404	-637.25087	-622.37248
37	37	-666.0744	-665.74865	-645.52128	0.32574658	-20.227372	-653.44936	-651.94235	-633.23805
38	38	-369.00165	-360.59198	-358.68037	8.4096683	-1.9116164	-354.98499	-352.20713	-344.14757
39	39	-641.57816	-616.79144	-597.75214	24.786727	-19.039293	-627.73813	-597.46002	-581.23131
40	40	-515.0883	-510.62559	-505.36062	4.4627144	-5.264966	-501.63058	-498.1026	-492.55042
41	41	-521.19959	-521.01512	-498.68032	0.18446864	-22.334795	-507.35109	-505.72305	-486.49463
42	42	-532.1626	-530.08353	-520.76937	2.0790734	-9.3141547	-518.66252	-517.4721	-504.88409
43	43	-603.18431	-600.41485	-578.57155	2.7694593	-21.843298	-589.69043	-583.67315	-567.90141
44	44	-528.74249	-528.12178	-517.62273	0.62070897	-10.499051	-515.55228	-512.89647	-504.72759
45	45	-416.80846	-416.82196	-406.56541	-0.013498883	-10.256556	-403.32874	-403.77955	-390.17255
