No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
50	2.97034	0.19127	0.836511	0.175846	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0.00285714	0.997143	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0614286	0.938571	0	0	0	1	0	0	0.239286	0.760714	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.432857	0.567143	0
0	2.38801	0.19467	0.780294	0.176218	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000714286	0.999286	0	0	0	1	0	0	0.999286	0.000714286	0	0	0.998571	0.00142857	0	0	0.998571	0.00142857	0	0	0.998571	0.00142857	0	0	0.0128571	0.987143	0	0.0235714	0	0.976429	0	0.00285714	0.997143	0	0	0.619286	0.380714	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0392857	0.960714	0	0	0.000714286	0.999286	0	0	0.192143	0.807857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00428571	0.995714	0	0	0.0235714	0.976429	0	0	0.777857	0.222143	0
51	2.22061	0.101071	0.833664	0.213635	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0885714	0.911429	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0.999286	0.000714286	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0.000714286	0.999286	0	0	0.00214286	0.997857	0	0	0	0	1	0	0	0	1	0	0	0.635	0.365	0	0	0.646429	0.353571	0	0	0	1	0	0	0.702857	0.297143	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.435	0.565	0
1	1.37783	0.130361	0.827921	0.136038	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00214286	0.00214286	0.995714	0	0.00428571	0	0.995714	0	0.00428571	0.00214286	0.993571	0	0.00428571	0	0.995714	0	0.00428571	0.255	0.740714	0	0.00428571	0.00571429	0.99	0	0.00357143	0.360714	0.635714	0	0	1	0	0	0	0.905	0.095	0	0	0.997143	0.00285714	0	0	0.999286	0.000714286	0	0.00142857	0.959286	0.0392857	0	0.0371429	0.46	0.502857	0	0	1	0	0	0.00214286	0.997857	0	0	0.00428571	0	0.995714	0	0.00428571	0.0121429	0.983571	0	0.00428571	0.302857	0.692857	0	0.00428571	0.342143	0.653571	0	0.00428571	0.422143	0.573571	0	0.005	0.522143	0.472857	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00214286	0.997857	0	0	0.00642857	0.993571	0	0	0.0385714	0.961429	0	0	0.422143	0.577857	0
52	3.80111	0.161232	0.777172	0.183865	0	0	0.03	0.97	0	0	0.00142857	0.998571	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0.998571	0.00142857	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0.0364286	0.963571	0	0	0.707857	0.292143	0	0	0	0	1	0	0	0	1	0	0	0.00428571	0.995714	0	0	0.0807143	0.919286	0	0	0	1	0	0	0.269286	0.730714	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.826429	0.173571	0
2	8.25101	0.166962	0.504258	0.272754	0	0	0.00142857	0.998571	0	0	0.000714286	0.999286	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.920714	0.0792857	0	0	0.998571	0.00142857	0	0	0.00142857	0.998571	0	0	0.005	0.995	0	0	0	0.0678571	0.932143	0	0	1	0	0	0	1	0	0	0.110714	0.889286	0	0	0	1	0	0	0.344286	0.655714	0	0	0.000714286	0.999286	0	0	0.000714286	0.999286	0	0	0.00571429	0.994286	0	0	0.920714	0.0792857	0	0	0.938571	0.0614286	0	0	0.998571	0.00142857	0	0	0.999286	0.000714286	0
53	2.15691	0.181635	0.748364	0.139229	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.00285714	0.353571	0.643571	0	0.000714286	0.999286	0	0	0.000714286	0.999286	0	0	0	1	0	0	0.00928571	0.976429	0.0142857	0	0.365714	0.139286	0.495	0	0.00142857	0.998571	0	0	0.0414286	0.958571	0	0	0	0	1	0	0	0	1	0	0	0.00142857	0.998571	0	0	0.0164286	0.983571	0	0	0	1	0	0	0.140714	0.859286	0	0.00285714	0.997143	0	0	0.00142857	0.998571	0	0	0.00357143	0.996429	0	0	0.0135714	0.986429	0	0	0.0192857	0.980714	0	0	0.368571	0.631429	0	0	0.65	0.35	0
3	2.58343	0.163133	0.828942	0.223561	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00214286	0	0.997857	0	0.000714286	0.0114286	0.987857	0	0.00928571	0.00428571	0.986429	0	0.0114286	0.0128571	0.975714	0	0.0107143	0.438571	0.550714	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0.997857	0.00214286	0	0	1	0	0	0	1	0	0	0.015	0.000714286	0.984286	0	0.0178571	0	0.982143	0	0	1	0	0	0.00428571	0.995714	0	0	0.00214286	0.0114286	0.986429	0	0.0135714	0	0.986429	0	0.0121429	0.497143	0.490714	0	0.0135714	0.622143	0.364286	0	0	1	0	0	0.0135714	0.986429	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.015	0.985	0	0	0.015	0.985	0	0	0.0178571	0.982143	0	0	0.457143	0.542857	0
54	3.7813	0.131665	0.831085	0.224454	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0.00357143	0.996429	0	0	0	0	1	0	0	0.000714286	0.999286	0	0	0.725	0.275	0	0	0.743571	0.256429	0	0	0.00142857	0.998571	0	0	0.793571	0.206429	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.432143	0.567857	0
4	1.6607	0.0956264	0.824516	0.192775	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.00142857	0.998571	0	0	0.000714286	0.999286	0	0	0.00142857	0.998571	0	0	0.0207143	0.979286	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0.999286	0.000714286	0	0	1	0	0	0	1	0	0	0	0	1	0	0.00428571	0	0.995714	0	0	1	0	0	0.00285714	0.997143	0	0	0	0.00142857	0.998571	0	0	0.00214286	0.997857	0	0	0.326429	0.673571	0	0	0.355714	0.644286	0	0	0	1	0	0	0.452143	0.547857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00428571	0.995714	0	0	0.435	0.565	0
