No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
30	1.93418	0.193158	0.231111	0.560454	0	0	0.000142857	0.999857	0	0	0	1	0	0	0.00142857	0.998571	0	0	0.536714	0.226714	0.236571	0	0.580429	0.151857	0.267714	0	0.637857	0.229	0.133143	0	0.761714	0.238286	0	0	0.738714	0.261286	0	0	0.759429	0.169429	0.0711429	0	0.718429	0.210286	0.0712857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.297429	0.702571	0	0	0.991	0.009	0	0	0.00128571	0.998714	0	0	0.100143	0.899857	0	0	0.687429	0.158286	0.154286	0	0.830857	0.100143	0.069	0	0.911	0.089	0	0	0.922	0.078	0	0	0.927714	0.005	0.0672857	0	0.932571	0.0674286	0	0	0	1	0	0	0	1	0	0	0.000571429	0.999429	0	0	0.377286	0.622714	0	0	0.968429	0.0315714	0	0	0.997	0.003	0	0	0.998143	0.00185714	0
19	2.61841	0.42224	0.44539	0.77746	0	0	0.00857143	0.991429	0	0	0.00214286	0.997857	0	0	0.00257143	0.997429	0	0	0.0782857	0.0201429	0.901571	0	0.08	0.0178571	0.902143	0	0.09	0.0171429	0.892857	0	0.0978571	0.902143	0	0	0.0904286	0.909571	0	0	0.0977143	0.0287143	0.873571	0	0.0977143	0.0284286	0.873857	0	0.001	0.999	0	0	0.000571429	0.999429	0	0	0.000428571	0.999571	0	0	0.000285714	0.999714	0	0	0.339714	0.660286	0	0	0.463571	0.536429	0	0	0.023	0.977	0	0	0.0548571	0.945143	0	0	0.0942857	0.0128571	0.892857	0	0.107143	0.000285714	0.892571	0	0.107143	0.892857	0	0	0.107429	0.892571	0	0	0.125714	0.000714286	0.873571	0	0.126	0.874	0	0	0.00142857	0.998571	0	0	0.000857143	0.999143	0	0	0.005	0.995	0	0	0.366429	0.633571	0	0	0.425714	0.574286	0	0	0.485286	0.514714	0	0	0.597429	0.402571	0
40	1.62478	0.362397	0.56509	0.762795	0	0	0.00128571	0.998714	0	0	0.000285714	0.999714	0	0	0.00142857	0.998571	0	0	0.0261429	0.0362857	0.937571	0	0.029	0.037	0.934	0	0.0375714	0.0478571	0.914571	0	0.0317143	0.968286	0	0	0.0207143	0.979286	0	0	0.0492857	0.0138571	0.936857	0	0.0378571	0.0654286	0.896714	0	0.000285714	0.999714	0	0	0.000142857	0.999857	0	0	0.000571429	0.999429	0	0	0.00257143	0.997429	0	0	0.0427143	0.957286	0	0	0.0805714	0.919429	0	0	0.00285714	0.997143	0	0	0.0345714	0.965429	0	0	0.0377143	0.0442857	0.918	0	0.0561429	0.0438571	0.9	0	0.0397143	0.960286	0	0	0.0575714	0.942429	0	0	0.0555714	0.0737143	0.870714	0	0.068	0.932	0	0	0.000857143	0.999143	0	0	0.003	0.997	0	0	0.00442857	0.995571	0	0	0.0558571	0.944143	0	0	0.0955714	0.904429	0	0	0.157286	0.842714	0	0	0.385	0.615	0
52	3.02655	0.200611	0.369468	0.774882	0	0	0.00971429	0.990286	0	0	0.00271429	0.997286	0	0	0	1	0	0	0.0762857	0.023	0.900714	0	0.086	0.00871429	0.905286	0	0.100429	0.00671429	0.892857	0	0.0995714	0.900429	0	0	0.097	0.903	0	0	0.0917143	0.0175714	0.890714	0	0.0957143	0.0135714	0.890714	0	0	1	0	0	0.000142857	0.999857	0	0	0	1	0	0	0	1	0	0	0.999143	0.000857143	0	0	1	0	0	0	0.0128571	0.987143	0	0	0.120143	0.879857	0	0	0.0937143	0.0135714	0.892714	0	0.107143	0.000428571	0.892429	0	0.107571	0.892429	0	0	0.107571	0.892429	0	0	0.109286	0	0.890714	0	0.109286	0.890714	0	0	0.000142857	0.999857	0	0	0.000285714	0.999714	0	0	0.00142857	0.998571	0	0	0.999857	0.000142857	0	0	1	0	0	0	1	0	0	0	1	0	0
58	1.95473	0.159132	0.239314	0.53076	0	0	0	1	0	0	0.00128571	0.998714	0	0	0.000285714	0.999714	0	0	0.554286	0.292143	0.153571	0	0.598	0.213143	0.188857	0	0.776143	0.169143	0.0547143	0	0.850714	0.149286	0	0	0.513429	0.486571	0	0	0.666	0.319286	0.0147143	0	0.655857	0.329429	0.0147143	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.390571	0.609429	0	0	0.998143	0.00185714	0	0	0.00385714	0.996143	0	0	0.07	0.93	0	0	0.733429	0.213	0.0535714	0	0.945	0.0108571	0.0441429	0	0.938857	0.0611429	0	0	0.955429	0.0445714	0	0	0.980714	0.00657143	0.0127143	0	0.986857	0.0131429	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.522857	0.477143	0	0	0.999286	0.000714286	0	0	1	0	0	0	1	0	0
44	1.9774	0.273757	0.218412	0.516211	0	0	0.0302857	0.969714	0	0	0.184857	0.815143	0	0	0.392143	0.607857	0	0	0.406429	0.315	0.278571	0	0.407	0.320143	0.272857	0	0.552286	0.160714	0.287	0	0.731143	0.268857	0	0	0.803	0.197	0	0	0.686286	0.236714	0.077	0	0.727429	0.180857	0.0917143	0	0.000285714	0.999714	0	0	0.000285714	0.999714	0	0	0.00142857	0.998571	0	0	0.00442857	0.995571	0	0	0.863	0.137	0	0	0.997714	0.00228571	0	0	0.242714	0.757286	0	0	0.445143	0.554857	0	0	0.501857	0.364143	0.134	0	0.656286	0.335	0.00871429	0	0.934	0.066	0	0	0.953143	0.0468571	0	0	0.885286	0.0995714	0.0151429	0	0.970429	0.0295714	0	0	0.000857143	0.999143	0	0	0.00557143	0.994429	0	0	0.009	0.991	0	0	0.883571	0.116429	0	0	0.980857	0.0191429	0	0	0.997857	0.00214286	0	0	0.998429	0.00157143	0
0	1.96222	0.190801	0.198516	0.532399	0	0	0.000142857	0.999857	0	0	0.000428571	0.999571	0	0	0	1	0	0	0.602286	0.257714	0.14	0	0.627429	0.202286	0.170286	0	0.806	0.155714	0.0382857	0	0.947429	0.0525714	0	0	0.844	0.156	0	0	0.667	0.275286	0.0577143	0	0.802	0.0925714	0.105429	0	0.000428571	0.999571	0	0	0.001	0.999	0	0	0.0124286	0.987571	0	0	0.00757143	0.992429	0	0	0.770857	0.229143	0	0	1	0	0	0	0.00128571	0.998714	0	0	0.0567143	0.943286	0	0	0.753714	0.212286	0.034	0	0.95	0.0498571	0.000142857	0	0.999857	0.000142857	0	0	0.999857	0.000142857	0	0	0.893571	0.106286	0.000142857	0	0.999857	0.000142857	0	0	0.00285714	0.997143	0	0	0.0147143	0.985286	0	0	0.0232857	0.976714	0	0	0.872429	0.127571	0	0	1	0	0	0	1	0	0	0	1	0	0
64	1.90332	0.233463	0.194751	0.5	0	0	0.00671429	0.993286	0	0	0.0108571	0.989143	0	0	0.0325714	0.967429	0	0	0.593286	0.278429	0.128286	0	0.598143	0.270429	0.131429	0	0.765143	0.18	0.0548571	0	0.783571	0.216429	0	0	0.919	0.081	0	0	0.717286	0.257143	0.0255714	0	0.874571	0.0888571	0.0365714	0	0.000142857	0.999857	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.000571429	0.999429	0	0	0.941857	0.0581429	0	0	1	0	0	0	0.016	0.984	0	0	0.0731429	0.926857	0	0	0.748857	0.202429	0.0487143	0	0.922143	0.0567143	0.0211429	0	0.966571	0.0334286	0	0	0.976	0.024	0	0	0.961429	0.0218571	0.0167143	0	0.982857	0.0171429	0	0	0.000428571	0.999571	0	0	0.000857143	0.999143	0	0	0.00357143	0.996429	0	0	0.961429	0.0385714	0	0	0.999	0.001	0	0	1	0	0	0	1	0	0
55	2.4645	0.098544	0.361214	0.766259	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.106714	0.0302857	0.863	0	0.110286	0.0252857	0.864429	0	0.136857	0.0185714	0.844571	0	0.146286	0.853714	0	0	0.117714	0.882286	0	0	0.147286	0.0161429	0.836571	0	0.144857	0.0185714	0.836571	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.999571	0.000428571	0	0	1	0	0	0	0.000285714	0.999714	0	0	0.00742857	0.992571	0	0	0.129429	0.026	0.844571	0	0.155429	0	0.844571	0	0.155286	0.844714	0	0	0.155429	0.844571	0	0	0.163429	0	0.836571	0	0.163429	0.836571	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
61	1.9932	0.231499	0.182624	0.541842	0	0	0.000428571	0.999571	0	0	0.00171429	0.998286	0	0	0.000714286	0.999286	0	0	0.675714	0.153571	0.170714	0	0.684857	0.14	0.175143	0	0.801714	0.116857	0.0814286	0	0.849143	0.150857	0	0	0.877143	0.122857	0	0	0.807429	0.135571	0.057	0	0.764143	0.179	0.0568571	0	0.000142857	0.999857	0	0	0.000142857	0.999857	0	0	0	1	0	0	0	1	0	0	0.805429	0.194571	0	0	0.994	0.006	0	0	0.00271429	0.997286	0	0	0.0215714	0.978429	0	0	0.790857	0.127571	0.0815714	0	0.918286	0.000571429	0.0811429	0	0.918857	0.0811429	0	0	0.918857	0.0811429	0	0	0.943	0.000285714	0.0567143	0	0.943286	0.0567143	0	0	0.000142857	0.999857	0	0	0.000142857	0.999857	0	0	0.000571429	0.999429	0	0	0.842429	0.157571	0	0	0.995429	0.00457143	0	0	0.996	0.004	0	0	0.996571	0.00342857	0
25	1.76397	0.205058	0.424746	0.720108	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.151714	0.0942857	0.754	0	0.161857	0.0735714	0.764571	0	0.186714	0.104857	0.708429	0	0.151857	0.848143	0	0	0.154286	0.845714	0	0	0.244857	0.0358571	0.719286	0	0.206857	0.0738571	0.719286	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.132	0.868	0	0	0.841143	0.158857	0	0	0	1	0	0	0.018	0.982	0	0	0.198143	0.0888571	0.713	0	0.255857	0.0982857	0.645857	0	0.206429	0.793571	0	0	0.259	0.741	0	0	0.280714	0.000142857	0.719143	0	0.280857	0.719143	0	0	0	1	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.184571	0.815429	0	0	0.558714	0.441286	0	0	0.854	0.146	0	0	0.880571	0.119429	0
