No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
25	1.96948	0.118752	0.245087	0.474193	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.951	0.049	0	0	0.9515	0.0485	0	0	1	0	0	0	0.999	0.001	0	0	1	0	0	0	0.353	0.11	0.537	0	0.3495	0.1375	0.513	0	0.0005	0.9995	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.003	0.991	0.006	0	0.057	0.943	0	0	0.0005	0.9995	0	0	0.0235	0.9765	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.3705	0.6295	0	0	1	0	0	0	0.0005	0.9995	0	0	0	1	0	0	0.0005	0.9995	0	0	0.064	0.936	0	0	1	0	0	0	1	0	0	0	1	0	0
58	1.8563	0.206566	0.282855	0.225403	0	0	0.011	0.989	0	0	0.028	0.972	0	0	0.002	0.998	0	0	0.9995	0.0005	0	0	0.9315	0.0685	0	0	0.8995	0.1005	0	0	0.9695	0.0305	0	0	0.88	0.12	0	0	0.0245	0.8	0.1755	0	0.023	0.813	0.164	0	0.0015	0.9985	0	0	0.0025	0.9975	0	0	0	1	0	0	0	1	0	0	0.013	0.9715	0.0155	0	0.058	0.942	0	0	0.057	0.943	0	0	0.0665	0.9335	0	0	0.9995	0.0005	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.035	0.965	0	0	1	0	0	0	0.0025	0.9975	0	0	0	1	0	0	0.0035	0.9965	0	0	0.0565	0.9435	0	0	1	0	0	0	1	0	0	0	1	0	0
0	1.89803	0.26457	0.230395	0.29946	0	0	0.0025	0.9975	0	0	0.0075	0.9925	0	0	0.031	0.969	0	0	0.743	0.257	0	0	0.9925	0.0075	0	0	0.978	0.022	0	0	1	0	0	0	0.9985	0.0015	0	0	0.3555	0.54	0.1045	0	0.3545	0.5485	0.097	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0.0015	0.9985	0	0	0.0785	0.901	0.0205	0	0.5915	0.4085	0	0	0.0125	0.9875	0	0	0.1365	0.8635	0	0	0.995	0.005	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.4845	0.5155	0	0	1	0	0	0	0	1	0	0	0.0025	0.9975	0	0	0.0045	0.9955	0	0	0.229	0.771	0	0	1	0	0	0	1	0	0	0	1	0	0
44	1.76209	0.267097	0.324937	0.303879	0	0	0.002	0.998	0	0	0.001	0.999	0	0	0.0155	0.9845	0	0	0.2915	0.7085	0	0	0.2955	0.7045	0	0	0.4235	0.5765	0	0	0.8535	0.1465	0	0	0.8625	0.1375	0	0	0.034	0.714	0.252	0	0.037	0.7225	0.2405	0	0.021	0.979	0	0	0.003	0.997	0	0	0.073	0.927	0	0	0.0445	0.9555	0	0	0.361	0.5	0.139	0	0.4745	0.518	0.0075	0	0.0275	0.9725	0	0	0.132	0.868	0	0	0.41	0.59	0	0	0.643	0.357	0	0	0.863	0.137	0	0	0.863	0.137	0	0	0.0505	0.9495	0	0	0.863	0.137	0	0	0.024	0.976	0	0	0.0735	0.9265	0	0	0.079	0.921	0	0	0.4345	0.5655	0	0	0.8645	0.1355	0	0	0.8715	0.1285	0	0	0.9125	0.0875	0
59	1.87357	0.267638	0.34064	0.189067	0	0	0.001	0.999	0	0	0.002	0.998	0	0	0.0055	0.9945	0	0	0.409	0.591	0	0	0.508	0.492	0	0	0.528	0.472	0	0	0.6185	0.3815	0	0	0.626	0.374	0	0	0.0615	0.8085	0.13	0	0.056	0.8105	0.1335	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.034	0.9585	0.0075	0	0.131	0.8675	0.0015	0	0.0035	0.9965	0	0	0.038	0.962	0	0	0.547	0.453	0	0	0.598	0.402	0	0	0.6285	0.3715	0	0	0.6285	0.3715	0	0	0.092	0.9075	0.0005	0	0.629	0.371	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.129	0.871	0	0	0.6305	0.3695	0	0	0.636	0.364	0	0	0.7375	0.2625	0
1	1.93385	0.112206	0.270888	0.23171	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.9235	0.0765	0	0	0.662	0.338	0	0	0.933	0.067	0	0	1	0	0	0	1	0	0	0	0.147	0.7325	0.1205	0	0.144	0.735	0.121	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0015	0.9975	0.001	0	0.2905	0.7095	0	0	0	1	0	0	0.008	0.992	0	0	0.9475	0.0525	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.204	0.796	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0385	0.9615	0	0	1	0	0	0	1	0	0	0	1	0	0
26	1.62241	0.22942	0.30376	0.495821	0	0	0.036	0.964	0	0	0.01	0.99	0	0	0	1	0	0	0.649	0.351	0	0	0.6585	0.3415	0	0	0.9985	0.0015	0	0	0.52	0.48	0	0	0.994	0.006	0	0	0.2345	0.518	0.2475	0	0.221	0.545	0.234	0	0.001	0.999	0	0	0.009	0.991	0	0	0.0085	0.9915	0	0	0.028	0.972	0	0	0.286	0.2115	0.5025	0	0.133	0.867	0	0	0.0415	0.9585	0	0	0.109	0.891	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.3415	0.6585	0	0	1	0	0	0	0.011	0.989	0	0	0.03	0.97	0	0	0.032	0.968	0	0	0.3045	0.6955	0	0	1	0	0	0	1	0	0	0	1	0	0
45	1.90184	0.207872	0.435811	0.159582	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.132	0.868	0	0	0.1365	0.8635	0	0	0.3525	0.6475	0	0	0.333	0.667	0	0	0.3605	0.6395	0	0	0.0075	0.863	0.1295	0	0.0055	0.8725	0.122	0	0	1	0	0	0.001	0.999	0	0	0	1	0	0	0	1	0	0	0.005	0.994	0.001	0	0.019	0.98	0.001	0	0	1	0	0	0.0075	0.9925	0	0	0.2005	0.7995	0	0	0.359	0.641	0	0	0.3615	0.6385	0	0	0.3615	0.6385	0	0	0.0105	0.9895	0	0	0.3615	0.6385	0	0	0.001	0.999	0	0	0.001	0.999	0	0	0.0015	0.9985	0	0	0.0555	0.9445	0	0	0.3615	0.6385	0	0	0.3635	0.6365	0	0	0.51	0.49	0
2	1.82509	0.398794	0.484426	0.191624	0	0	0.007	0.993	0	0	0.0035	0.9965	0	0	0.044	0.956	0	0	0.087	0.913	0	0	0.0845	0.9155	0	0	0.1205	0.8795	0	0	0.102	0.898	0	0	0.1445	0.8555	0	0	0.0625	0.7845	0.153	0	0.062	0.787	0.151	0	0.052	0.948	0	0	0.0975	0.9025	0	0	0.11	0.89	0	0	0.03	0.97	0	0	0.1375	0.752	0.1105	0	0.147	0.809	0.044	0	0.0115	0.9885	0	0	0.0925	0.9075	0	0	0.1165	0.8835	0	0	0.1785	0.8215	0	0	0.182	0.818	0	0	0.1925	0.8075	0	0	0.0965	0.8835	0.02	0	0.2	0.8	0	0	0.1225	0.8775	0	0	0.1535	0.8465	0	0	0.1555	0.8445	0	0	0.177	0.823	0	0	0.21	0.79	0	0	0.264	0.736	0	0	0.444	0.556	0
46	1.92174	0.273743	0.118494	0.460719	0	0	0.5665	0.4335	0	0	0.6595	0.3405	0	0	0.556	0.444	0	0	0.929	0.071	0	0	0.8435	0.1565	0	0	0.9975	0.0025	0	0	0.976	0.024	0	0	0.9145	0.0855	0	0	0.6175	0.2865	0.096	0	0.6715	0.1645	0.164	0	0.263	0.737	0	0	0.27	0.73	0	0	0.647	0.353	0	0	0.6765	0.3235	0	0	0.6055	0.3845	0.01	0	0.9845	0.0155	0	0	0.6885	0.3115	0	0	0.7475	0.2525	0	0	0.9995	0.0005	0	0	0.9995	0.0005	0	0	0.9955	0.0045	0	0	0.9995	0.0005	0	0	0.713	0.287	0	0	0.9995	0.0005	0	0	0.333	0.667	0	0	0.6885	0.3115	0	0	0.7055	0.2945	0	0	0.7545	0.2455	0	0	0.9995	0.0005	0	0	1	0	0	0	1	0	0
