No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa	genetree
0	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	((galGal:0.199299,(halLeu:0.0541092,nipNip:0.0521401):0.0744273):0.0115084,((((((aptOwe:0.0041211,aptHaa:0.00387425):0.00254125,aptRow:0.00608265):0.0293604,(rheAme:0.00798557,rhePen:0.00862543):0.0540771):0.0132161,strCam:0.0516019):0.00038229,(droNov:0.0289693,casCas:0.0267822):0.0293282):0.00127537,(anoDid:0.060003,((notPer:0.0730934,eudEle:0.0655356):0.0286256,(cryCin:0.0475693,tinGut:0.0393323):0.037396):0.0572742):0.0283753):0.0428938);
1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((((rheAme:0.0115121,rhePen:0.012152):0.0507081,((casCas:0.0341439,droNov:0.036331):0.00820522,(aptHaa:0.011575,(aptOwe:0.00478581,aptRow:0.00420611):0.00703605):0.0240381):0.000320295):0.0154997,(strCam:0.0531557,((notPer:0.153052,anoDid:0.0540618):0.0183604,((cryCin:0.0484318,tinGut:0.0401948):0.0223444,eudEle:0.0799721):0.0838825):0.0158522):0.000887283):0.0421104,(galGal:0.168731,(halLeu:0.0565637,nipNip:0.0545945):0.0414043):0.042077);
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	((galGal:0.170389,(halLeu:0.0597162,nipNip:0.0577471):0.03991):0.0404188,(((strCam:0.0514107,(rheAme:0.0106804,rhePen:0.0113203):0.0644073):0.000591559,(((aptOwe:0.00378521,aptHaa:0.00353836):0.0010447,aptRow:0.00425021):0.0319432,(casCas:0.0210634,droNov:0.0232505):0.0221988):0.0128662):0.00921623,((cryCin:0.0531118,tinGut:0.0448748):0.0957536,(anoDid:0.0589543,(eudEle:0.0794667,notPer:0.0870245):0.0709199):0.00767463):0.0297084):0.0349348);
3	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((galGal:0.171925,(halLeu:0.0579242,nipNip:0.055955):0.0432382):0.0570371,((((notPer:0.0979658,(cryCin:0.0550314,tinGut:0.0467944):0.0261807):0.04895,eudEle:0.139358):0.00688954,anoDid:0.0548152):0.0336155,((aptRow:0.0133543,(aptHaa:0.00178394,aptOwe:0.00203079):0.0119032):0.0357743,(((rheAme:0.0110966,rhePen:0.0117365):0.0516705,(casCas:0.0139964,droNov:0.0161835):0.0292198):0.0124351,strCam:0.0515252):0.000546114):0.00124062):0.0609959);
4	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(galGal:0.210808,((nipNip:0.0688296,halLeu:0.0707987):0.0651818,((((anoDid:0.0667642,((cryCin:0.0481111,tinGut:0.0398741):0.0245272,(notPer:0.0751537,eudEle:0.0675959):0.0142383):0.0763623):0.0135369,(droNov:0.0403594,casCas:0.0381723):0.0111361):0.00749064,strCam:0.0526729):0.00644966,(((aptOwe:0.00297885,aptHaa:0.002732):0.00448075,aptRow:0.0068799):0.042345,(rheAme:0.00578948,rhePen:0.00642934):0.0700551):0.00695494):0.0329663):0.00406443);
5	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((((casCas:0.0301387,droNov:0.0323258):0.0204991,((aptHaa:0.00207172,aptOwe:0.00231857):0.0281466,aptRow:0.0298855):0.0136835):0.00526108,(((cryCin:0.0477746,tinGut:0.0395376):0.0718855,(eudEle:0.0707196,notPer:0.0782774):0.0581363):0.0195317,anoDid:0.0569552):0.0299364):0.000678203,((rheAme:0.00707215,rhePen:0.00771201):0.0686641,strCam:0.0520593):0.00039168):0.0434422,((halLeu:0.0579017,nipNip:0.0559326):0.0430499,galGal:0.171714):0.0388332);
6	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((((anoDid:0.0545324,((cryCin:0.0642051,tinGut:0.0559681):0.00370318,eudEle:0.0771041):0.0688607):0.0331579,strCam:0.0525715):0.00129008,(((casCas:0.0322661,droNov:0.0344532):0.0108779,(rheAme:0.00774161,rhePen:0.00838147):0.0549532):0.013815,((aptRow:0.00993298,(aptHaa:0.00196567,aptOwe:0.00221252):0.00830016):0.0347934,notPer:0.181778):0.00516384):0.00102873):0.0392376,(galGal:0.173919,(halLeu:0.0640069,nipNip:0.0620378):0.0391488):0.0338351);
7	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((halLeu:0.0858366,nipNip:0.0838674):0.0181578,galGal:0.174757):0.0360507,(((rheAme:0.0198176,rhePen:0.0204575):0.0556524,(anoDid:0.0630445,(eudEle:0.0822204,(notPer:0.0825783,(tinGut:0.0392044,cryCin:0.0474414):0.0183831):0.00719996):0.0722565):0.0238674):0.0023035,(((droNov:0.0376261,casCas:0.035439):0.0119238,((aptRow:0.00577805,aptHaa:0.0061109):0.016163,aptOwe:0.0225208):0.0183529):0.00837675,strCam:0.0516134):0.00248318):0.0420567);
8	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	0	2	2	2	2	1	1	1	1	1	1	1	1	0	((galGal:0.184551,(halLeu:0.064793,nipNip:0.0628238):0.0489954):0.0262566,(((((aptHaa:0.0016923,aptOwe:0.00193915):0.0377342,(rheAme:0.0127603,rhePen:0.0134001):0.0529531):0.00232697,(((notPer:0.0786274,eudEle:0.0710696):0.0156046,(tinGut:0.0537135,cryCin:0.0619505):0.0155278):0.0559873,anoDid:0.0512291):0.0282531):0.00906997,aptRow:0.0504906):0.00291917,(strCam:0.0519135,(casCas:0.027736,droNov:0.0299231):0.0283037):0.00443897):0.0398008);
9	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((nipNip:0.0550386,halLeu:0.0570078):0.0441559,galGal:0.171926):0.0388813,((((((tinGut:0.0535027,cryCin:0.0617397):0.0125241,eudEle:0.0834598):0.0260788,notPer:0.117096):0.0368472,anoDid:0.0549535):0.0317029,strCam:0.0515375):0.00327066,((rheAme:0.016964,rhePen:0.0176039):0.0588369,((casCas:0.036816,droNov:0.0390031):0.00648929,((aptRow:0.0117069,aptHaa:0.0120397):0.00846079,aptOwe:0.0207474):0.0160687):0.0129449):0.00268428):0.0413451);
