No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
34	1.74547	0.210969	0.562963	0.122253	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000142857	0.174286	0.825571	0	0.000142857	0.177	0.822857	0	0.000142857	0.203	0.796857	0	0.000285714	0.000285714	0.999429	0	0.000285714	0.004	0.995714	0	0	0.912857	0.0871429	0	0	0.920143	0.0798571	0	0	0.611286	0.388714	0	0	0.964286	0.0357143	0	0	0.999143	0.000857143	0	0	0.999286	0.000714286	0	0.000285714	0.981571	0.0181429	0	0.00514286	0.964714	0.0301429	0	0	1	0	0	0.00414286	0.995857	0	0	0.000142857	0.193143	0.806714	0	0.000142857	0.217429	0.782429	0	0.000571429	0.00471429	0.994714	0	0.000857143	0.286429	0.712714	0	0.000142857	0.995857	0.004	0	0.00128571	0.995714	0.003	0	0	0.985571	0.0144286	0	0	1	0	0	0	1	0	0	0.000571429	0.999429	0	0	0.00385714	0.996143	0	0	0.0211429	0.978857	0	0	0.184857	0.815143	0
51	1.22446	0.0866569	0.554578	0.116114	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0317143	0.968286	0	0	0.0312857	0.968714	0	0	0.0574286	0.942571	0	0	0.0557143	0.944286	0	0	0.068	0.932	0	0	0.709571	0.290429	0	0	0.91	0.09	0	0	0.997571	0.00242857	0	0	0.996571	0.00342857	0	0	0.999857	0.000142857	0	0	0.999571	0.000428571	0	0	0.999	0.001	0	0.000142857	0.998143	0.00171429	0	0	1	0	0	0.00614286	0.993857	0	0	0	0.0342857	0.965714	0	0.000142857	0.062	0.937857	0	0.000142857	0.129857	0.87	0	0.000142857	0.233714	0.766143	0	0	0.989143	0.0108571	0	0.000142857	0.99	0.00985714	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0.00114286	0.998857	0	0	0.139857	0.860143	0
64	1.62878	0.396863	0.592558	0.0888862	0	0	0.0101429	0.989857	0	0	0.018	0.982	0	0	0.00842857	0.991571	0	0	0.00257143	0.459857	0.537571	0	0.002	0.482857	0.515143	0	0.00271429	0.711714	0.285571	0	0.00285714	0.557571	0.439571	0	0.00385714	0.452857	0.543286	0	0.00257143	0.795143	0.202286	0	0.00314286	0.782429	0.214429	0	0.000142857	0.965857	0.034	0	0	0.904429	0.0955714	0	0	0.952571	0.0474286	0	0	0.977	0.023	0	0.000428571	0.938286	0.0612857	0	0.012	0.923429	0.0645714	0	0.0328571	0.967143	0	0	0.0827143	0.917286	0	0	0.003	0.525714	0.471286	0	0.00442857	0.754143	0.241429	0	0.00414286	0.592429	0.403429	0	0.005	0.791429	0.203571	0	0.00371429	0.884286	0.112	0	0.00642857	0.911857	0.0817143	0	0.000142857	0.979286	0.0205714	0	0	0.982571	0.0174286	0	0.000142857	0.989571	0.0102857	0	0.00214286	0.989429	0.00842857	0	0.00928571	0.984286	0.00642857	0	0.0285714	0.968714	0.00271429	0	0.320143	0.679857	0
24	2.41969	0.157239	0.57587	0.101099	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000285714	0.999714	0	0	0	1	0	0	0.949571	0.0504286	0	0	0.955286	0.0447143	0	0	0.991714	0.00828571	0	0	0.997571	0.00242857	0	0	0.999857	0.000142857	0	0	1	0	0	0	0.999571	0.000428571	0	0	1	0	0	0.000714286	0.999286	0	0	0.014	0.986	0	0	0	0	1	0	0	0	1	0	0	0.000714286	0.999286	0	0	0.0682857	0.931714	0	0	1	0	0	0	1	0	0	0	0.999286	0.000714286	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000857143	0.999143	0	0	0.00842857	0.991571	0	0	0.210286	0.789714	0
58	1.93891	0.176219	0.622083	0.119567	0	0	0.0124286	0.987571	0	0	0.049	0.951	0	0	0.00214286	0.997857	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.918429	0.0815714	0	0	0.926143	0.0738571	0	0	0.996571	0.00342857	0	0	0.678429	0.321571	0	0	0.999857	0.000142857	0	0	0.999286	0.000714286	0	0	0.999143	0.000857143	0	0	0.999714	0.000285714	0	0.119286	0.880714	0	0	0.356143	0.643857	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.072	0.928	0	0	0.999571	0.000428571	0	0	0.999857	0.000142857	0	0	0.998714	0.00128571	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0.000714286	0.999286	0	0	0.008	0.992	0	0	0.534571	0.465429	0
0	2.70233	0.273416	0.648704	0.110124	0	0	0.000428571	0.999571	0	0	0.00114286	0.998857	0	0	0.00328571	0.996714	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.000285714	0.952714	0.047	0	0.000142857	0.957857	0.042	0	0	0.999857	0.000142857	0	0	0.999571	0.000428571	0	0	0.998143	0.00185714	0	0	1	0	0	0.000285714	0.999714	0	0	0.085	0.914143	0.000857143	0	0.00671429	0.993286	0	0	0.123	0.877	0	0	0	0	1	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.0944286	0.905571	0	0.000428571	0.999429	0.000142857	0	0.00285714	0.997	0.000142857	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00571429	0.994286	0	0	0.0685714	0.931429	0	0	0.388	0.612	0	0	0.694143	0.305857	0
13	2.11425	0.206861	0.590293	0.102611	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.943714	0.0562857	0	0	0.955143	0.0448571	0	0	0.999714	0.000285714	0	0	0.967857	0.0321429	0	0	0.999857	0.000142857	0	0	0.990714	0.00928571	0	0	1	0	0	0.001	0.996714	0.00228571	0	0	1	0	0	0.00842857	0.991571	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0874286	0.912571	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0.00628571	0.993714	0	0	0.246286	0.753714	0
43	1.90562	0.13267	0.588984	0.0996933	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.078	0.922	0	0	0.077	0.923	0	0	0.0908571	0.909143	0	0	0	1	0	0	0	1	0	0	0.940857	0.0591429	0	0	0.951143	0.0488571	0	0	0.995429	0.00457143	0	0	0.999714	0.000285714	0	0	1	0	0	0	1	0	0	0	0.993286	0.00671429	0	0	1	0	0	0	1	0	0	0.00185714	0.998143	0	0	0	0.0825714	0.917429	0	0	0.0951429	0.904857	0	0	0.000285714	0.999714	0	0	0.181	0.819	0	0	0.997143	0.00285714	0	0.000142857	0.997571	0.00228571	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.00314286	0.996857	0	0	0.00542857	0.994571	0	0	0.211714	0.788286	0
65	1.74815	0.135233	0.5719	0.114815	0	0	0	1	0	0	0.000142857	0.999857	0	0	0	1	0	0	0.000285714	0.0101429	0.989571	0	0.000285714	0.0102857	0.989429	0	0.000571429	0.00614286	0.993286	0	0.000285714	0.000857143	0.998857	0	0.000571429	0.000571429	0.998857	0	0.000285714	0.682714	0.317	0	0.000142857	0.895714	0.104143	0	0	0.992	0.008	0	0	0.997714	0.00228571	0	0	0.999857	0.000142857	0	0	1	0	0	0	0.999286	0.000714286	0	0.000285714	0.998571	0.00114286	0	0.000142857	0.999857	0	0	0.00242857	0.997571	0	0	0.000428571	0.0107143	0.988857	0	0.000714286	0.0105714	0.988714	0	0.000714286	0.000428571	0.998857	0	0.000714286	0.0858571	0.913429	0	0.000428571	0.962571	0.037	0	0.000714286	0.968	0.0312857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000857143	0.999143	0	0	0.006	0.994	0	0	0.167	0.833	0
59	1.6288	0.228568	0.589721	0.0978312	0	0	0	1	0	0	0.000857143	0.999143	0	0	0.000142857	0.999857	0	0	0.000428571	0.566143	0.433429	0	0.000285714	0.569	0.430714	0	0.000857143	0.492	0.507143	0	0.001	0.0171429	0.981857	0	0.000857143	0.00814286	0.991	0	0	0.932429	0.0675714	0	0	0.932571	0.0674286	0	0	0.998714	0.00128571	0	0	0.989143	0.0108571	0	0	0.976143	0.0238571	0	0	0.998	0.002	0	0	0.995429	0.00457143	0	0.00257143	0.993857	0.00357143	0	0.00314286	0.996857	0	0	0.0318571	0.968143	0	0	0.000714286	0.621286	0.378	0	0.001	0.644	0.355	0	0.00114286	0.0631429	0.935714	0	0.00128571	0.684714	0.314	0	0	0.997571	0.00242857	0	0.002	0.996286	0.00171429	0	0	0.999714	0.000285714	0	0	0.999429	0.000571429	0	0	1	0	0	0.000142857	0.999857	0	0	0.00428571	0.995714	0	0	0.0231429	0.976857	0	0	0.247714	0.752286	0
