No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa	genetree
0	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((galGal:0.169273,(halLeu:0.0570297,nipNip:0.0550606):0.041481):0.069437,((casCas:0.0567268,strCam:0.0526006):0.00322042,((droNov:0.0578232,(anoDid:0.0505166,((cryCin:0.0505863,tinGut:0.0423493):0.0205558,(notPer:0.0775694,eudEle:0.0700116):0.0103263):0.061611):0.0361122):0.000793043,((rheAme:0.0153721,rhePen:0.016012):0.0479316,(aptHaa:0.00720557,(aptOwe:0.00740847,aptRow:0.00682877):4.39474e-05):0.0298113):0.0126763):0.00351806):0.0682349);
1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	(((nipNip:0.0610889,halLeu:0.0630581):0.0536173,galGal:0.187438):0.0224622,(((aptRow:0.0106695,(aptHaa:0.0018031,aptOwe:0.00204995):0.00919924):0.0404396,(strCam:0.0513962,(anoDid:0.0507897,((eudEle:0.083351,notPer:0.0909088):0.00118099,(tinGut:0.0423017,cryCin:0.0505387):0.0247973):0.0576901):0.0357253):0.00265561):0.000619188,((rheAme:0.03189,rhePen:0.0325299):0.0320007,(casCas:0.0279981,droNov:0.0301852):0.0163418):0.0144572):0.0405749);
2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	((galGal:0.171291,(halLeu:0.0564404,nipNip:0.0544712):0.0440878):0.0483986,(((strCam:0.0517818,((((eudEle:0.0939191,cryCin:0.0847232):0.0708113,(tinGut:0.0648129,notPer:0.0898036):0.0824846):0.0133995,(rheAme:0.0050196,rhePen:0.00565946):0.0702361):4.77938e-05,(casCas:0.0177623,droNov:0.0199494):0.0379904):0.000155278):0.00012281,anoDid:0.0870234):0.00119847,(aptRow:0.0130527,(aptHaa:0.00157092,aptOwe:0.00181777):0.0118146):0.0371077):0.051932);
3	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((((rheAme:0.00580692,rhePen:0.00644678):0.0702595,(((tinGut:0.0516697,cryCin:0.0599067):0.0364495,(eudEle:0.0697866,notPer:0.0773444):0.0357655):0.0393662,anoDid:0.0534859):0.0340224):0.00289262,(((aptRow:0.0145344,(aptHaa:0.00409109,aptOwe:0.00433794):0.0107761):0.0258752,(casCas:0.0151902,droNov:0.0173773):0.0322882):0.00809047,strCam:0.0514427):0.00383939):0.041402,(galGal:0.171748,(nipNip:0.062041,halLeu:0.0640101):0.0369747):0.0395909);
4	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(((galGal:0.167845,halLeu:0.0970824):0.0249907,nipNip:0.120104):0.0310804,(((aptRow:0.0214905,(aptHaa:0.0017945,aptOwe:0.00204135):0.0200289):0.0199846,(((cryCin:0.0498959,tinGut:0.0416589):0.0709458,(eudEle:0.0683143,notPer:0.0758721):0.0617233):0.0209829,anoDid:0.0595881):0.0199486):0.0100102,((strCam:0.0516543,(rheAme:0.0102811,rhePen:0.010921):0.0650502):0.000318334,(droNov:0.0162538,casCas:0.0140667):0.0420322):0.00245538):0.0548338);
5	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0	((galGal:0.174903,(halLeu:0.0580102,nipNip:0.0560411):0.0461297):0.0418197,((((casCas:0.024492,droNov:0.0266791):0.0188732,(aptHaa:0.00375155,aptOwe:0.0039984):0.0328776):0.0121854,((((tinGut:0.0595768,notPer:0.0845675):0.0614635,(cryCin:0.0934,eudEle:0.102596):0.0358773):0.0129282,anoDid:0.0599691):0.0150838,aptRow:0.0369914):0.0114904):0.00774187,((rhePen:0.0523681,rheAme:0.0517283):0.0235907,strCam:0.051642):0.00752426):0.0429017);
6	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	((((rheAme:0.00511207,rhePen:0.00575193):0.0700334,strCam:0.0514685):0.00841677,((((aptHaa:0.00147828,aptOwe:0.00172513):0.0182752,aptRow:0.0194206):0.0202732,(casCas:0.0199503,droNov:0.0221374):0.0268124):0.00987576,((anoDid:0.0522536,(cryCin:0.0622718,tinGut:0.0540348):0.0722183):0.01909,(eudEle:0.0712071,notPer:0.0787649):0.0915688):0.0162875):0.00737297):0.0340473,((halLeu:0.0589294,nipNip:0.0569603):0.0446581,galGal:0.17435):0.0342368);
7	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(((aptRow:0.00545988,(aptHaa:0.00299629,aptOwe:0.00324314):0.00279644):0.0457974,((((notPer:0.148747,anoDid:0.0497565):0.024534,((cryCin:0.0511714,tinGut:0.0429344):0.0150166,eudEle:0.0753839):0.090339):0.0132482,((rheAme:0.018329,rhePen:0.0189689):0.0571405,strCam:0.0517925):0.000627392):0.0016358,(casCas:0.0334808,droNov:0.0356679):0.0247011):0.000144247):0.0463132,(galGal:0.168624,(nipNip:0.0635176,halLeu:0.0654867):0.0323741):0.0465441);
8	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(((nipNip:0.0785571,halLeu:0.0805262):0.0236177,galGal:0.174907):0.0478501,((aptRow:0.0498759,(((aptHaa:0.0015963,aptOwe:0.00184315):0.0359238,(((eudEle:0.0845067,(cryCin:0.0475936,tinGut:0.0393566):0.0277173):0.0456562,notPer:0.137721):0.0110527,anoDid:0.0497833):0.0254654):0.0115665,((droNov:0.0147824,casCas:0.0125953):0.0432006,(rheAme:0.0151172,rhePen:0.0157571):0.0602295):2.66886e-05):0.00112223):0.000620514,strCam:0.0534391):0.0546632);
9	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((galGal:0.181173,(nipNip:0.0558274,halLeu:0.0577965):0.0526133):0.0281269,((droNov:0.0201377,casCas:0.0179506):0.0399337,(((rheAme:0.0125369,rhePen:0.0131768):0.0519146,((((tinGut:0.042452,cryCin:0.050689):0.0166532,eudEle:0.076538):0.0521508,notPer:0.136247):0.0158904,anoDid:0.0531469):0.0227464):0.0116804,(strCam:0.0515616,((aptHaa:0.00493853,aptRow:0.00460568):0.00109138,aptOwe:0.00627676):0.0429218):0.000893351):0.00130318):0.040887);
