No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2
0	0	-533.12687	-521.52271	-526.68251	11.604158	5.159799
1	1	-497.41913	-491.15424	-494.80051	6.2648882	3.6462766
2	2	-496.52802	-490.95129	-495.47804	5.5767239	4.5267489
3	3	-428.91079	-408.77012	-415.97694	20.140669	7.2068221
4	4	-338.20935	-323.86759	-333.14997	14.341759	9.2823853
5	5	-531.2496	-521.05066	-525.51126	10.198938	4.4605966
6	6	-441.19956	-431.56701	-436.44594	9.6325497	4.8789301
7	7	-435.7114	-417.49838	-424.55826	18.21302	7.0598801
8	8	-422.12675	-409.40487	-415.82585	12.721877	6.4209764
9	9	-423.68684	-405.13428	-412.11734	18.552553	6.9830559
10	10	-382.91519	-371.21456	-377.72008	11.700628	6.5055251
11	11	-570.37874	-557.4462	-560.97631	12.93254	3.530109
12	12	-326.75659	-315.84993	-322.04619	10.906662	6.1962624
13	13	-514.59216	-502.67851	-507.91251	11.913651	5.2340038
14	14	-418.10786	-405.19413	-413.96761	12.913732	8.7734792
15	15	-566.20093	-547.44856	-551.38411	18.752376	3.935553
16	16	-376.561	-370.85896	-377.97048	5.7020409	7.1115212
17	17	-398.37669	-381.24999	-388.2473	17.126695	6.9973062
18	18	-407.72515	-394.36331	-401.32509	13.361836	6.9617776
19	19	-535.14182	-524.54544	-528.41968	10.596387	3.8742403
20	20	-557.59917	-545.16135	-553.14717	12.437817	7.985822
21	21	-389.59105	-388.22627	-391.19532	1.3647748	2.9690475
22	22	-420.00966	-402.55182	-410.30541	17.457834	7.7535881
23	23	-442.908	-432.88874	-437.74237	10.019262	4.8536286
24	24	-480.93054	-471.88206	-477.3479	9.0484819	5.465835
25	25	-446.47353	-444.53999	-445.84637	1.933537	1.3063803
26	26	-367.78159	-357.49113	-365.82283	10.290461	8.3316933
27	27	-448.59076	-436.98928	-443.72078	11.601488	6.7315075
28	28	-535.99602	-508.92884	-516.62257	27.067175	7.6937255
29	29	-460.88367	-450.27019	-456.0957	10.613485	5.825517
30	30	-502.92727	-490.63228	-496.78699	12.294989	6.1547026
31	31	-374.85276	-361.73459	-368.25464	13.118172	6.520049
32	32	-364.6211	-359.22762	-364.50411	5.3934796	5.2764924
33	33	-469.64548	-464.89911	-468.33965	4.7463716	3.4405385
34	34	-456.20181	-441.35038	-447.54917	14.851429	6.1987869
35	35	-392.68123	-379.14597	-386.85306	13.535266	7.7070925
36	36	-461.01881	-456.77003	-461.16615	4.2487781	4.3961145
37	37	-511.29752	-497.88686	-504.15671	13.410662	6.2698486
38	38	-406.70469	-396.88902	-402.90093	9.815666	6.011909
39	39	-319.36965	-306.94815	-315.07649	12.421502	8.1283472
40	40	-495.74157	-492.88968	-497.78208	2.8518837	4.8924011
41	41	-494.41044	-469.85796	-476.45914	24.552478	6.6011835
42	42	-391.6532	-392.63808	-393.68142	-0.984883	1.0433356
43	43	-456.85902	-443.52859	-448.51757	13.330428	4.9889768
44	44	-471.19112	-460.49664	-468.48255	10.694489	7.9859161
45	45	-517.19114	-504.17263	-509.91316	13.01851	5.7405355
46	46	-402.65947	-387.23553	-394.87399	15.423934	7.6384591
47	47	-416.86942	-405.89807	-412.86821	10.971349	6.9701476
48	48	-452.58376	-446.24919	-451.68127	6.3345705	5.4320819
49	49	-440.88165	-413.50401	-420.84089	27.377647	7.336887
50	50	-435.09406	-421.03738	-426.94937	14.05668	5.9119974
51	51	-377.31383	-358.91887	-366.97921	18.394963	8.0603402
52	52	-478.88266	-460.33678	-469.71205	18.545881	9.3752696
53	53	-373.67935	-364.84086	-369.46659	8.8384834	4.6257259
54	54	-522.06128	-512.04593	-520.16057	10.015351	8.1146383
55	55	-519.21289	-509.95686	-516.17735	9.2560275	6.2204904
56	56	-648.22466	-647.15686	-648.56863	1.0677968	1.4117624
57	57	-345.12302	-339.35951	-346.51736	5.7635067	7.1578474
58	58	-490.11848	-481.96415	-486.90455	8.1543256	4.9403923
59	59	-554.11001	-540.31141	-546.17282	13.798596	5.8614054
60	60	-431.72065	-425.84396	-431.85972	5.8766928	6.0157668
61	61	-366.5606	-344.52862	-352.69165	22.031976	8.1630312
62	62	-429.06832	-421.04991	-426.59839	8.0184165	5.5484854
63	63	-453.4141	-440.27722	-446.71521	13.136884	6.4379927
64	64	-387.02724	-377.59426	-384.3195	9.4329812	6.7252372
65	65	-446.3792	-436.22615	-442.60246	10.153045	6.3763081
66	66	-381.36472	-367.09726	-374.25041	14.267465	7.1531582
67	67	-447.20519	-439.88501	-443.57328	7.3201814	3.6882674
68	68	-496.30812	-484.42046	-491.46846	11.887658	7.0479976
69	69	-345.31194	-341.88755	-347.51498	3.4243836	5.6274289
70	70	-404.38081	-396.90205	-401.79162	7.4787581	4.8895662
71	71	-591.36172	-591.9565	-596.77148	-0.59478031	4.8149846
72	72	-537.66431	-522.39719	-528.96427	15.267121	6.567079
73	73	-416.56477	-403.01374	-409.73284	13.551026	6.7190957
74	74	-557.52581	-547.92597	-553.50394	9.5998372	5.5779653
75	75	-405.29262	-388.29506	-395.04094	16.99756	6.745878
76	76	-449.18175	-436.1075	-441.82508	13.074241	5.7175775
77	77	-397.91692	-387.98678	-394.53503	9.9301464	6.5482584
78	78	-376.18901	-362.11549	-369.96018	14.073513	7.844683
79	79	-374.13641	-358.23622	-365.03643	15.900189	6.8002093
80	80	-511.32844	-502.62753	-507.67447	8.700912	5.0469419
81	81	-470.67084	-462.953	-467.53256	7.7178363	4.5795561
82	82	-472.672	-460.03409	-467.83542	12.637913	7.8013338
83	83	-393.13904	-381.86741	-388.72054	11.271638	6.8531351
84	84	-553.04587	-539.74432	-540.74486	13.301552	1.0005451
85	85	-377.33974	-367.93295	-374.13546	9.4067843	6.2025095
86	86	-489.55689	-472.62805	-479.4975	16.928842	6.8694509
87	87	-424.89001	-406.30718	-413.20814	18.582828	6.9009611
88	88	-374.27465	-367.00391	-372.10075	7.2707466	5.0968437
89	89	-462.2681	-448.41498	-454.23372	13.853112	5.8187322
90	90	-404.70955	-398.43483	-404.39018	6.2747242	5.955354
91	91	-533.46964	-528.24177	-532.3559	5.2278666	4.1141226
92	92	-399.72043	-385.05364	-393.00045	14.666785	7.9468059
93	93	-429.68219	-410.57785	-418.96957	19.104344	8.3917202
94	94	-495.26476	-476.82512	-483.93679	18.439639	7.1116717
95	95	-550.34645	-534.387	-541.27275	15.959447	6.8857497
96	96	-478.63698	-467.21142	-472.02273	11.425558	4.8113161
97	97	-345.21739	-337.02672	-343.43759	8.1906704	6.4108661
98	98	-331.15619	-321.75297	-325.51949	9.4032158	3.7665186
99	99	-464.70634	-456.31135	-464.14458	8.3949857	7.8332255
