No.	prop	genetree
61	0.0121333	((galGal:0.18343,(halLeu:0.0750343,nipNip:0.0730651):0.0376326):0.0286464,((strCam:0.0528365,((aptRow:0.010206,(aptHaa:0.00335328,aptOwe:0.00360013):0.00718559):0.0382645,(anoDid:0.0651564,((cryCin:0.0572612,tinGut:0.0490242):0.0531376,(eudEle:0.0744152,notPer:0.081973):0.0451795):0.0369941):0.0213756):0.00142329):0.00519401,((casCas:0.025717,droNov:0.0279041):0.0316403,(rheAme:0.0126013,rhePen:0.0132412):0.0643068):0.0047994):0.039391);
61	0.0109333	((galGal:0.178266,(halLeu:0.0806521,nipNip:0.078683):0.0268512):0.0408588,(strCam:0.0602358,((((aptRow:0.009129,(aptHaa:0.00281991,aptOwe:0.00306676):0.00664194):0.0332984,(anoDid:0.0638425,((cryCin:0.052802,tinGut:0.044565):0.0426356,(eudEle:0.0758929,notPer:0.0834507):0.0287406):0.0506413):0.0166464):0.004865,(rheAme:0.0178884,rhePen:0.0185283):0.0560236):0.00412382,(casCas:0.0209653,droNov:0.0231524):0.0375197):0.00587693):0.0442345);
61	0.0092	((galGal:0.183064,(halLeu:0.0654223,nipNip:0.0634531):0.0468791):0.0399356,((strCam:0.0545599,((aptRow:0.0106534,(aptHaa:0.00267303,aptOwe:0.00291988):0.00831322):0.0339193,(rheAme:0.0185022,rhePen:0.0191421):0.0526901):0.00704452):0.00895508,((casCas:0.0200752,droNov:0.0222623):0.0354646,(anoDid:0.0651191,((cryCin:0.0597199,tinGut:0.0514829):0.0415315,(eudEle:0.0719413,notPer:0.0794991):0.038506):0.0461042):0.0214134):0.0121013):0.0448304);
61	0.0084	((galGal:0.18284,(halLeu:0.0683994,nipNip:0.0664303):0.0436774):0.0294682,(((aptRow:0.00961573,(aptHaa:0.00257,aptOwe:0.00281685):0.00737859):0.0381483,(anoDid:0.0622214,(eudEle:0.0812493,notPer:0.0888071):0.0724046):0.0236041):0.00477136,(strCam:0.0530808,(((casCas:0.0207003,droNov:0.0228874):0.0267598,(cryCin:0.0616709,tinGut:0.0534339):0.0990184):0.00524375,(rheAme:0.0136568,rhePen:0.0142967):0.0585978):0.0045031):0.00239727):0.0421753);
61	0.00826667	((galGal:0.178188,(halLeu:0.0770878,nipNip:0.0751187):0.030337):0.0299007,(((aptRow:0.00952167,(aptHaa:0.00305952,aptOwe:0.00330637):0.006795):0.0403283,((casCas:0.0219581,droNov:0.0241452):0.0268748,(rheAme:0.0128392,rhePen:0.0134791):0.0555444):0.00808592):0.00589876,(strCam:0.0521805,(anoDid:0.0657346,((cryCin:0.0692196,tinGut:0.0609826):0.0420035,(eudEle:0.0729433,notPer:0.0805011):0.0474757):0.0367481):0.0215647):0.00651082):0.0347425);
61	0.00826667	(galGal:0.243517,((halLeu:0.0742061,nipNip:0.0722369):0.0695542,(strCam:0.0559143,(((aptRow:0.0106227,(aptHaa:0.00291241,aptOwe:0.00315926):0.0080431):0.0363645,(rheAme:0.0132305,rhePen:0.0138704):0.0603763):0.0034119,((casCas:0.0178046,droNov:0.0199917):0.0355766,(anoDid:0.0587167,(eudEle:0.115683,(notPer:0.10078,(cryCin:0.0557381,tinGut:0.0475011):0.0282887):0.02246):0.0344664):0.0256572):0.00408668):0.00257258):0.0439542):0.0289934);
35	0.0198667	((galGal:0.176633,(halLeu:0.0652914,nipNip:0.0633223):0.0405784):0.0536976,((strCam:0.0528324,((aptRow:0.0312891,(aptHaa:0.00345046,aptOwe:0.00369731):0.0281715):0.0139768,(anoDid:0.0605304,((cryCin:0.0605524,tinGut:0.0523154):0.0548113,(eudEle:0.0820356,notPer:0.0895934):0.042524):0.0274032):0.022797):0.00462383):0.00395324,((casCas:0.0183208,droNov:0.0205079):0.0338611,(rheAme:0.00935984,rhePen:0.0099997):0.0623728):0.00872995):0.0588901);
35	0.0145333	((galGal:0.183566,(halLeu:0.0676143,nipNip:0.0656451):0.0451887):0.0300499,(((aptRow:0.0268403,(aptHaa:0.00320443,aptOwe:0.00345128):0.0239687):0.0242225,(strCam:0.0518404,((casCas:0.0223871,droNov:0.0245742):0.025096,(rheAme:0.0103264,rhePen:0.0109663):0.0567075):0.0084835):0.00216504):0.0059677,(anoDid:0.0670609,((cryCin:0.0602582,tinGut:0.0520212):0.0670029,(eudEle:0.082175,notPer:0.0897328):0.0542819):0.0220364):0.028031):0.038988);
35	0.0133333	((galGal:0.184572,(halLeu:0.0652954,nipNip:0.0633263):0.0485138):0.0320203,((strCam:0.0526274,(aptRow:0.0286429,(aptHaa:0.00367339,aptOwe:0.00392024):0.0253023):0.0210418):0.00794823,(((casCas:0.0182636,droNov:0.0204507):0.0264618,(rheAme:0.00977118,rhePen:0.010411):0.0545051):0.0108609,(anoDid:0.0635022,((cryCin:0.0650616,tinGut:0.0568246):0.0552631,(eudEle:0.0803157,notPer:0.0878735):0.0492048):0.025414):0.0230768):0.00911543):0.0413622);
35	0.0132	((galGal:0.18354,(halLeu:0.0659671,nipNip:0.063998):0.0468104):0.033694,(strCam:0.0591201,((aptRow:0.0282222,(aptHaa:0.00349318,aptOwe:0.00374003):0.0250618):0.02385,(((casCas:0.018642,droNov:0.0208291):0.0264218,(rheAme:0.00885961,rhePen:0.00949947):0.055755):0.0102177,((anoDid:0.056455,(cryCin:0.0537414,tinGut:0.0455044):0.08495):0.00961687,(eudEle:0.093933,notPer:0.101491):0.0635713):0.0202023):0.00385954):0.00410519):0.0434598);
35	0.0118667	((galGal:0.183106,(halLeu:0.0647666,nipNip:0.0627975):0.0475762):0.0369348,((aptRow:0.0314546,(aptHaa:0.00263599,aptOwe:0.00288284):0.0291515):0.0274883,(((casCas:0.0198171,droNov:0.0220042):0.0266524,(rheAme:0.00995168,rhePen:0.0105915):0.0560686):0.0147543,(strCam:0.0525766,(anoDid:0.0580514,((cryCin:0.061807,tinGut:0.05357):0.0533988,(eudEle:0.0783456,notPer:0.0859034):0.0460561):0.0250821):0.029644):0.004521):0.00478807):0.0435003);
52	0.00946667	(galGal:0.229494,((halLeu:0.06226,nipNip:0.0602909):0.0780601,(((aptHaa:0.011869,(aptOwe:0.00885347,aptRow:0.00827377):0.00326236):0.0404059,((casCas:0.0173156,droNov:0.0195027):0.0305094,(rheAme:0.0129752,rhePen:0.0136151):0.0544005):0.0111858):0.00654455,(strCam:0.0532488,(anoDid:0.0542267,(eudEle:0.129078,(notPer:0.0891323,(cryCin:0.0560191,tinGut:0.0477821):0.0163594):0.0475036):0.0165811):0.0341409):0.00818043):0.0349992):0.018411);
