No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa	genetree
0	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((galGal:0.175408,(halLeu:0.0556806,nipNip:0.0537115):0.0489644):0.0326011,(((casCas:0.0330135,droNov:0.0352006):0.0226799,(rheAme:0.00512478,rhePen:0.00576464):0.0701194):0.00150559,(strCam:0.0519739,((anoDid:0.0502542,((tinGut:0.0465961,cryCin:0.0548331):0.0353756,(eudEle:0.0655267,notPer:0.0730845):0.0338779):0.042282):0.0363586,((aptOwe:0.00910767,aptHaa:0.00886082):0.00104964,aptRow:0.00957761):0.0389736):0.000480008):0.00109884):0.0402816);
1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((nipNip:0.0607592,halLeu:0.0627283):0.0727624,galGal:0.206254):0.017424,(((((aptOwe:0.00414293,aptHaa:0.00389608):0.000559058,aptRow:0.00412229):0.0445906,(casCas:0.0301094,droNov:0.0322965):0.0256723):0.000721165,strCam:0.0523767):4.1201e-05,((((eudEle:0.0747949,(tinGut:0.0398006,cryCin:0.0480376):0.0175614):0.0689838,anoDid:0.0523463):0.00841853,notPer:0.159755):0.0150996,(rheAme:0.00907267,rhePen:0.00971253):0.0553499):0.0116723):0.0566051);
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	(((halLeu:0.0616729,nipNip:0.0597038):0.0346341,galGal:0.16707):0.0502063,(((cryCin:0.049955,tinGut:0.041718):0.0941331,(anoDid:0.0504675,(eudEle:0.0694642,notPer:0.077022):0.0724357):0.0113842):0.0291047,(((aptRow:0.00641442,(aptOwe:0.0038011,aptHaa:0.00355425):0.00319302):0.0370715,(casCas:0.0128406,droNov:0.0150277):0.0377142):0.00665427,(strCam:0.0515006,(rheAme:0.00999163,rhePen:0.0106315):0.0651859):0.00158229):0.00275466):0.0467841);
3	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	((galGal:0.170762,(halLeu:0.0538796,nipNip:0.0519104):0.0461192):0.0394373,((strCam:0.0521663,((anoDid:0.0518838,eudEle:0.143316):0.0142929,((cryCin:0.047687,tinGut:0.03945):0.028616,notPer:0.0930567):0.0721102):0.0211084):0.0012244,((casCas:0.0154232,droNov:0.0176103):0.0277421,((rheAme:0.00522379,rhePen:0.00586365):0.0562093,(aptRow:0.0107725,(aptHaa:0.00233818,aptOwe:0.00258503):0.00876714):0.024041):0.00128296):0.0143515):0.0421537);
4	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	(((nipNip:0.069993,halLeu:0.0719621):0.0676321,(((tinGut:0.0527167,cryCin:0.0609537):0.0126664,(notPer:0.0735607,eudEle:0.0660029):0.0168131):0.0963732,(anoDid:0.0876951,(((casCas:0.0346459,droNov:0.036833):0.0162376,((aptRow:0.00440571,(aptHaa:0.00185897,aptOwe:0.00210582):0.00287958):0.0317448,(rheAme:0.0050098,rhePen:0.00564966):0.0577604):0.00766409):0.00484876,strCam:0.0516061):0.000970238):6.16755e-05):0.0430645):0.0329017,galGal:0.243259);
5	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	(((halLeu:0.0680146,nipNip:0.0660455):0.0503673,galGal:0.189145):0.0382371,(((droNov:0.0162183,casCas:0.0140312):0.0418897,(((eudEle:0.0721732,notPer:0.079731):0.0707085,anoDid:0.0514493):0.00852831,(cryCin:0.0472718,tinGut:0.0390348):0.0949424):0.0269358):0.0016311,(((aptRow:0.0259796,(aptHaa:0.00201061,aptOwe:0.00225746):0.0243019):0.0230821,strCam:0.0520044):0.000418582,(rheAme:0.00497491,rhePen:0.00561477):0.071125):0.00100281):0.0593015);
6	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((((((rheAme:0.0056523,rhePen:0.00629216):0.0599058,(casCas:0.0238263,droNov:0.0260134):0.022181):0.0101692,strCam:0.0520503):0.00104122,(aptRow:0.00951559,(aptHaa:0.00161798,aptOwe:0.00186483):0.00823046):0.0406332):0.000124072,((((tinGut:0.0412028,cryCin:0.0494398):0.0335204,eudEle:0.0921561):0.0488317,anoDid:0.0495554):0.00815091,notPer:0.156696):0.0306281):0.0408297,(galGal:0.181849,(halLeu:0.0557147,nipNip:0.0537456):0.0553718):0.0268504);
7	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((galGal:0.175888,(nipNip:0.0662725,halLeu:0.0682416):0.0368837):0.0366175,(((((notPer:0.107946,(eudEle:0.0804369,(cryCin:0.0602323,tinGut:0.0519953):0.0110087):0.019951):0.0415912,anoDid:0.0505467):0.0365448,(rheAme:0.0112851,rhePen:0.011925):0.0643646):0.000138285,strCam:0.052111):0.00121945,((casCas:0.0326303,droNov:0.0348174):0.00797108,(aptOwe:0.0209039,(aptHaa:0.00501365,aptRow:0.0046808):0.0156434):0.0132083):0.0168553):0.0445207);
8	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	(((aptRow:0.0508591,((rheAme:0.00725032,rhePen:0.00789018):0.0578512,((aptHaa:0.00219498,aptOwe:0.00244183):0.0353009,(anoDid:0.058949,((eudEle:0.0670182,notPer:0.074576):0.00936489,(cryCin:0.0546931,tinGut:0.0464561):0.012494):0.0739983):0.0162756):0.00131878):0.0123773):0.000851482,(strCam:0.0523362,(casCas:0.0187153,droNov:0.0209024):0.0377471):0.00231707):0.0526016,((halLeu:0.059892,nipNip:0.0579228):0.0585849,galGal:0.18924):0.0326697);
9	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((((rheAme:0.00510042,rhePen:0.00574028):0.0577729,((aptOwe:0.0249641,(aptRow:0.00844432,aptHaa:0.00877717):0.0159401):0.008037,(droNov:0.0349372,casCas:0.0327501):0.00674018):0.00383223):0.0184625,((anoDid:0.0615105,((tinGut:0.0451664,cryCin:0.0534034):0.0157722,(notPer:0.0745952,eudEle:0.0670374):0.0113341):0.0745714):0.0255011,strCam:0.0518928):0.00576603):0.0359493,((halLeu:0.0779377,nipNip:0.0759686):0.0187697,galGal:0.16747):0.0407924);
