No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
67	1.94968	0.0884609	0.548314	0.607685	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.133067	0.866933	0	0	0.134533	0.865467	0	0	0.167733	0.832267	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0	1	0	0	0.00226667	0.997733	0	0	0	0.179867	0.820133	0	0	0.207333	0.792667	0	0	0.000266667	0.999733	0	0	0.316933	0.683067	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.000933333	0.999067	0	0	0.1408	0.8592	0
25	3.69583	0.136643	0.571026	0.701377	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00546667	0.994533	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0812	0.9188	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.0052	0.9948	0	0	0.2016	0.7984	0
64	1.3932	0.369289	0.566967	0.537165	0	0	0.00453333	0.995467	0	0	0.00706667	0.992933	0	0	0.00226667	0.997733	0	0	0.000133333	0.0632	0.936667	0	0.000133333	0.0722667	0.9276	0	0.000133333	0.289467	0.7104	0	0.000133333	0.18	0.819867	0	0.000133333	0.0805333	0.919333	0	0.000266667	0.999733	0	0	0.000266667	0.999733	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.004	0.996	0	0	0.0145333	0.985467	0	0	0.0433333	0.956667	0	0	0.000133333	0.104	0.895867	0	0.000266667	0.407733	0.592	0	0.000133333	0.237067	0.7628	0	0.000266667	0.541067	0.458667	0	0.000266667	0.999733	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00106667	0.998933	0	0	0.00933333	0.990667	0	0	0.1944	0.8056	0
58	2.10842	0.179247	0.609741	0.687022	0	0	0.000666667	0.999333	0	0	0.00373333	0.996267	0	0	0.000266667	0.999733	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0128	0.9872	0	0	0.0852	0.9148	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.138933	0.861067	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.002	0.998	0	0	0.334133	0.665867	0
7	2.23045	0.242146	0.601752	0.685132	0	0	0.00466667	0.995333	0	0	0.0142667	0.985733	0	0	0.00106667	0.998933	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.0096	0.9904	0	0	0.0349333	0.965067	0	0	0.066	0.934	0	0	0	0	1	0	0	0	1	0	0	0.00146667	0.998533	0	0	0.148267	0.851733	0	0	1	0	0	0.000933333	0.999067	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000533333	0.999467	0	0	0.00706667	0.992933	0	0	0.0465333	0.953467	0	0	0.3396	0.6604	0
19	2.56716	0.122466	0.560917	0.694384	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.000266667	0.999733	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000266667	0.999733	0	0	0	1	0	0	0.00173333	0.998267	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.134133	0.865867	0	0.000266667	0.999733	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00106667	0.998933	0	0	0.0036	0.9964	0	0	0.00773333	0.992267	0	0	0.159733	0.840267	0
48	1.49121	0.230764	0.574518	0.63827	0	0	0.000133333	0.999867	0	0	0.000533333	0.999467	0	0	0.00693333	0.993067	0	0	0.000133333	0.00333333	0.996533	0	0.000133333	0.0036	0.996267	0	0.000133333	0.00333333	0.996533	0	0.000133333	0.1248	0.875067	0	0.000133333	0.00613333	0.993733	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.00146667	0.998533	0	0	0.0218667	0.978133	0	0	0.000133333	0.0052	0.994667	0	0.000133333	0.00613333	0.993733	0	0.000133333	0.2192	0.780667	0	0.000266667	0.337467	0.662267	0	0	1	0	0	0.000266667	0.999733	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0004	0.9996	0	0	0.00986667	0.990133	0	0	0.214933	0.785067	0
40	1.73753	0.263657	0.545743	0.694836	0	0	0.000133333	0.999867	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0.000133333	0.999867	0	0	0	1	0	0	0.0008	0.9992	0	0	0.000266667	0.999733	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.000266667	0.999733	0	0	0.00426667	0.995733	0	0	0	0.000133333	0.999867	0	0	0.000133333	0.999867	0	0	0.0024	0.9976	0	0	0.135333	0.864667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.1128	0.8872	0
0	2.61395	0.268344	0.645542	0.695463	0	0	0.000266667	0.999733	0	0	0.000533333	0.999467	0	0	0.00226667	0.997733	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.0164	0.9836	0	0	0.00293333	0.997067	0	0	0.0636	0.9364	0	0	0	0	1	0	0	0	1	0	0	0.00106667	0.998933	0	0	0.127733	0.872267	0	0	1	0	0	0.00106667	0.998933	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00186667	0.998133	0	0	0.0144	0.9856	0	0	0.0902667	0.909733	0	0	0.467733	0.532267	0
35	2.56716	0.126109	0.533121	0.690106	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.002	0.998	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.1096	0.8904	0	0	1	0	0	0.000133333	0.999867	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000933333	0.999067	0	0	0.0032	0.9968	0	0	0.110933	0.889067	0
