No.	prop	genetree
67	0.0190667	((galGal:0.179681,(halLeu:0.0687953,nipNip:0.0668262):0.0401225):0.0531366,(strCam:0.0567762,(((aptRow:0.00777552,(aptHaa:0.00289854,aptOwe:0.00314539):0.00520983):0.035848,(rheAme:0.0108861,rhePen:0.011526):0.059357):0.00615465,((casCas:0.0254756,droNov:0.0276627):0.0250766,((anoDid:0.0535177,(cryCin:0.0530694,tinGut:0.0448324):0.0826848):0.013604,(eudEle:0.084105,notPer:0.0916628):0.0744491):0.0144232):0.0062947):0.00405535):0.0613865);
67	0.0146667	((galGal:0.189356,(halLeu:0.0605182,nipNip:0.058549):0.0580754):0.0325046,((strCam:0.0536271,((aptRow:0.00941387,(aptHaa:0.00223463,aptOwe:0.00248148):0.00751208):0.0357313,(eudEle:0.09008,notPer:0.0976378):0.084559):0.00553933):0.0064935,(((casCas:0.0231982,droNov:0.0253853):0.022838,(rheAme:0.0138211,rhePen:0.0144609):0.051766):0.00612435,(anoDid:0.0595847,(cryCin:0.0603622,tinGut:0.0521252):0.081459):0.0235686):0.0120862):0.0470859);
67	0.0133333	((galGal:0.179917,(halLeu:0.057631,nipNip:0.0556618):0.0515234):0.0397986,((strCam:0.0537539,(((aptRow:0.00961091,(aptHaa:0.00315211,aptOwe:0.00339896):0.00679164):0.0286818,(rheAme:0.017907,rhePen:0.0185468):0.0470054):0.00676473,(casCas:0.0229065,droNov:0.0250936):0.0292198):0.00575382):0.0039857,((anoDid:0.0556925,(cryCin:0.0646647,tinGut:0.0564277):0.0732644):0.0194721,(eudEle:0.0852581,notPer:0.0928159):0.0813389):0.0176939):0.0473217);
67	0.0117333	((galGal:0.192135,(halLeu:0.0589617,nipNip:0.0569926):0.0624101):0.0403949,((strCam:0.0532395,((aptRow:0.00603912,(aptHaa:0.00295412,aptOwe:0.00320097):0.00341785):0.0379719,(eudEle:0.0869576,notPer:0.0945154):0.0865473):0.00628575):0.0103806,(((casCas:0.0263063,droNov:0.0284934):0.0224967,(anoDid:0.0556722,(cryCin:0.0616639,tinGut:0.0534269):0.0762448):0.0241233):0.00838768,(rheAme:0.0129927,rhePen:0.0136326):0.0637487):0.0105556):0.0542549);
67	0.0104	((galGal:0.184868,(halLeu:0.0663962,nipNip:0.0644271):0.0477086):0.0495178,(strCam:0.0638051,((((aptRow:0.00761106,(aptHaa:0.00228945,aptOwe:0.0025363):0.00565445):0.0319505,(rheAme:0.0121302,rhePen:0.01277):0.054051):0.00663398,(casCas:0.0232673,droNov:0.0254544):0.0299971):0.00423709,((anoDid:0.0547393,(cryCin:0.053555,tinGut:0.045318):0.0834208):0.0164169,(eudEle:0.0728721,notPer:0.0804299):0.0897164):0.0173379):0.0104298):0.0559259);
19	0.0204	((galGal:0.180077,(halLeu:0.0685537,nipNip:0.0665845):0.0407601):0.0514867,((((aptRow:0.0126623,(aptHaa:0.00788068,aptOwe:0.00812753):0.00511445):0.0339394,(casCas:0.0189849,droNov:0.021172):0.0346856):0.0060025,(strCam:0.0524809,(rheAme:0.0113306,rhePen:0.0119704):0.0648273):0.00306597):0.00942214,(anoDid:0.0607247,((cryCin:0.0614064,tinGut:0.0531694):0.0493612,(eudEle:0.0743318,notPer:0.0818896):0.0456318):0.0321935):0.0393632):0.0519398);
19	0.0184	((galGal:0.177475,(halLeu:0.0660104,nipNip:0.0640413):0.0407013):0.043975,(((aptRow:0.0149918,(aptHaa:0.00558501,aptOwe:0.00583186):0.00973965):0.03389,((casCas:0.0194292,droNov:0.0216163):0.0292022,(rheAme:0.0188757,rhePen:0.0195156):0.0493064):0.00731932):0.00511997,(strCam:0.0530831,(anoDid:0.0593594,((cryCin:0.0548624,tinGut:0.0466254):0.0408718,(eudEle:0.0754388,notPer:0.0829966):0.0294913):0.0458617):0.0288425):0.0038614):0.0498505);
19	0.0184	((galGal:0.183765,(halLeu:0.0707345,nipNip:0.0687654):0.0422677):0.0411187,((strCam:0.0540145,(((aptRow:0.0162154,(aptHaa:0.0104248,aptOwe:0.0106717):0.00612344):0.0231949,(casCas:0.018753,droNov:0.0209401):0.0277261):0.0078258,(anoDid:0.0620129,((cryCin:0.0563974,tinGut:0.0481604):0.0404085,(eudEle:0.0706024,notPer:0.0781602):0.0353994):0.0474435):0.0232847):0.00383579):0.00694853,(rheAme:0.0139289,rhePen:0.0145688):0.0707111):0.0492661);
19	0.0161333	((galGal:0.179352,(halLeu:0.0723819,nipNip:0.0704128):0.0362069):0.0477523,(((aptRow:0.011879,(aptHaa:0.00662681,aptOwe:0.00687366):0.005585):0.0357,((casCas:0.0185838,droNov:0.0207709):0.0326331,(anoDid:0.0557727,((cryCin:0.053672,tinGut:0.045435):0.0393017,(eudEle:0.0738888,notPer:0.0814466):0.0282808):0.0450355):0.0264368):0.00343087):0.0106828,(strCam:0.0528841,(rheAme:0.0134707,rhePen:0.0141106):0.0630903):0.00832024):0.0512451);
19	0.0157333	((galGal:0.177325,(halLeu:0.0723834,nipNip:0.0704142):0.0341787):0.0448133,((((aptRow:0.013447,(aptHaa:0.00670929,aptOwe:0.00695614):0.0070706):0.027554,(casCas:0.0199139,droNov:0.022101):0.028156):0.00650312,(rheAme:0.0239273,rhePen:0.0245672):0.0501965):0.0139324,(strCam:0.0536134,(anoDid:0.0627217,((cryCin:0.05652,tinGut:0.048283):0.0417573,(eudEle:0.0700098,notPer:0.0775676):0.0374634):0.0466809):0.0260106):0.0107658):0.0431045);
