No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa	genetree
0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	(((nipNip:0.0536152,halLeu:0.0555843):0.050022,galGal:0.176369):0.0457518,((((eudEle:0.0717831,notPer:0.0793409):0.0163257,(tinGut:0.0509177,cryCin:0.0591547):0.0197582):0.0901864,((casCas:0.0279923,droNov:0.0301794):0.0276793,((aptOwe:0.0114224,(aptRow:0.00450941,aptHaa:0.00484226):0.00633328):0.026774,anoDid:0.0756782):0.010986):0.000198549):0.0123945,(strCam:0.0532609,(rheAme:0.0172362,rhePen:0.017876):0.0597016):0.0108776):0.0433279);
1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	(((((casCas:0.0270118,droNov:0.0291989):0.0220344,(rheAme:0.0109219,rhePen:0.0115617):0.057675):0.00692426,(aptRow:0.0193905,(aptHaa:0.00329023,aptOwe:0.00353708):0.0164331):0.029511):0.0024436,((anoDid:0.0622908,((eudEle:0.0744662,cryCin:0.0652703):0.0464801,(notPer:0.0936879,tinGut:0.0686972):0.0348162):0.0327769):0.0244095,strCam:0.0515815):0.0027063):0.0388312,(galGal:0.186125,(halLeu:0.0590376,nipNip:0.0570685):0.0563246):0.0216484);
2	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	(((halLeu:0.0830926,nipNip:0.0811235):0.0369486,galGal:0.190804):0.0178789,((((aptRow:0.0185203,aptOwe:0.0191):0.0271285,droNov:0.0549047):0.00597909,strCam:0.0545705):0.00288347,(((casCas:0.0535053,aptHaa:0.0467693):0.00202223,(((eudEle:0.0705341,notPer:0.0780919):0.0163353,(tinGut:0.0396325,cryCin:0.0478695):0.0298041):0.0733411,anoDid:0.0687782):0.017742):0.000716228,(rheAme:0.0517009,rhePen:0.0523408):0.0240937):0.00533639):0.0365744);
3	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	(((galGal:0.168509,nipNip:0.0957771):0.00722155,halLeu:0.104968):0.0339751,((((aptRow:0.00519216,aptOwe:0.00577186):0.00555444,aptHaa:0.0110794):0.0380963,rhePen:0.0761024):0.00636567,((((tinGut:0.054547,cryCin:0.062784):0.0702954,(notPer:0.0797605,eudEle:0.0722027):0.0700726):0.00286579,anoDid:0.0537087):0.0343227,((rheAme:0.0751601,strCam:0.0514832):0.000923813,(casCas:0.0132681,droNov:0.0154552):0.043265):0.000505607):0.00523862):0.0369);
4	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	(((droNov:0.0465138,((notPer:0.0804941,eudEle:0.0729363):0.0130292,(cryCin:0.0471744,tinGut:0.0389374):0.0295952):0.0807863):0.0124704,((rheAme:0.00882705,rhePen:0.00946691):0.0668639,(strCam:0.0517437,(casCas:0.0494382,(((aptOwe:0.00206626,aptHaa:0.00181941):0.00625295,aptRow:0.0077395):0.0292702,anoDid:0.0750712):0.00535959):0.00643166):0.000270281):0.000657003):0.0413055,((halLeu:0.0597699,nipNip:0.0578007):0.0416816,galGal:0.172214):0.0364166);
5	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	((((((casCas:0.0151661,droNov:0.0173532):0.0352049,anoDid:0.0813636):0.00517551,((notPer:0.0780678,eudEle:0.07051):0.0746637,(cryCin:0.0557786,tinGut:0.0475416):0.0801992):0.0327978):0.000204907,(aptRow:0.0285755,(aptHaa:0.0148453,aptOwe:0.0150922):0.014063):0.0201071):0.00212779,(strCam:0.052121,(rheAme:0.0208764,rhePen:0.0215163):0.0549215):0.00163202):0.0409779,((nipNip:0.0830138,halLeu:0.0849829):0.0123804,galGal:0.168126):0.0412593);
6	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	((((((tinGut:0.128157,(cryCin:0.0818986,(eudEle:0.0731742,notPer:0.080732):0.0179203):0.0544957):0.0126508,anoDid:0.0668086):0.0197826,(aptRow:0.0137344,(aptHaa:0.00169719,aptOwe:0.00194404):0.01237):0.0347954):0.00038244,strCam:0.0518549):0.0133043,((rheAme:0.0243226,rhePen:0.0249624):0.0511693,(casCas:0.0213021,droNov:0.0234892):0.034639):0.0133443):0.0269902,((halLeu:0.057803,nipNip:0.0558339):0.0521481,galGal:0.180714):0.02609);
7	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0	(((strCam:0.0523474,((anoDid:0.0524277,(((cryCin:0.0602644,tinGut:0.0520274):0.0057787,eudEle:0.075239):0.00129766,notPer:0.0840944):0.0673235):0.034433,(rhePen:0.0760463,((casCas:0.0244824,droNov:0.0266695):0.0198588,((aptOwe:0.00276849,aptHaa:0.00252164):0.00199749,aptRow:0.00418628):0.0330861):0.0115144):1.24828e-05):0.000605433):0.0121518,rheAme:0.0881762):0.0293687,(galGal:0.174829,(halLeu:0.0697608,nipNip:0.0677917):0.0343052):0.0336936);
8	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	((strCam:0.0561617,((anoDid:0.0560238,cryCin:0.13826):0.0336322,(((rheAme:0.0150251,rhePen:0.015665):0.0601678,((tinGut:0.0614378,(notPer:0.0745326,eudEle:0.0669748):0.011896):0.0923735,(casCas:0.0139408,droNov:0.0161279):0.0348784):0.00682291):0.000107874,((aptOwe:0.00515543,aptRow:0.00457573):0.00412238,aptHaa:0.00903096):0.039983):0.00291339):0.00162447):0.0413312,(galGal:0.169434,(halLeu:0.0541036,nipNip:0.0521345):0.0445675):0.0427135);
9	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	((((strCam:0.0514281,anoDid:0.0865469):0.00124108,(rheAme:0.0318827,rhePen:0.0325226):0.0444634):0.00706369,((droNov:0.0331843,casCas:0.0309972):0.0147571,(((aptOwe:0.00382124,aptHaa:0.00357439):0.00468603,aptRow:0.00792757):0.0305562,((cryCin:0.0478521,tinGut:0.0396151):0.0300863,(notPer:0.0797774,eudEle:0.0722196):0.0149147):0.0808433):0.000201656):0.0181047):0.0336323,(galGal:0.166291,(halLeu:0.0723971,nipNip:0.0704279):0.0231316):0.0417282);
10	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	(((halLeu:0.0647513,nipNip:0.0627822):0.0441622,galGal:0.179676):0.030313,(((rheAme:0.00965395,rhePen:0.0102938):0.0621837,(casCas:0.0361938,droNov:0.0383809):0.0160932):0.00807161,((strCam:0.0514722,anoDid:0.086591):0.00414251,(((aptRow:0.0052382,aptOwe:0.0058179):0.00788462,aptHaa:0.0134557):0.0358137,((notPer:0.0817704,(cryCin:0.0521109,tinGut:0.0438739):0.0129057):0.0330605,eudEle:0.107273):0.0711573):0.00373548):0.000617657):0.0391025);
11	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	((galGal:0.167756,(nipNip:0.0818293,halLeu:0.0837984):0.0131947):0.0540535,(strCam:0.0546586,(((rheAme:0.0431516,rhePen:0.0437914):0.0224398,(aptRow:0.0203083,(aptHaa:0.00392618,aptOwe:0.00417303):0.016715):0.0186634):0.00971121,((casCas:0.0128961,droNov:0.0150832):0.0426381,((eudEle:0.117018,(notPer:0.0830441,(cryCin:0.0518014,tinGut:0.0435644):0.014489):0.0415315):0.0303809,anoDid:0.0559663):0.0305606):0.000217529):0.00303305):0.0524963);
12	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	(((nipNip:0.072499,halLeu:0.0744682):0.0234998,galGal:0.168731):0.0401622,(((anoDid:0.0532886,(((tinGut:0.0489831,cryCin:0.0572201):0.0114681,eudEle:0.0778842):0.000758541,notPer:0.0862005):0.0660782):0.0344925,((rheAme:0.0403658,rhePen:0.0410057):0.0356159,((droNov:0.0256737,casCas:0.0234866):0.022297,((aptOwe:0.0030876,aptHaa:0.00284075):0.00160448,aptRow:0.00411239):0.0346023):0.0106474):0.000357453):0.0113077,strCam:0.0639699):0.0302686);
13	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	((((casCas:0.0217331,droNov:0.0239202):0.0364475,anoDid:0.0891731):0.00489745,((strCam:0.0516381,(((aptRow:0.00414556,aptOwe:0.00472526):0.0240595,aptHaa:0.028538):0.0203436,((notPer:0.0841113,(tinGut:0.0500552,cryCin:0.0582922):0.00906538):0.00659191,eudEle:0.0831454):0.0948971):0.000146744):0.00275503,(rheAme:0.00529272,rhePen:0.00593258):0.0727774):0.00455866):0.0341874,(galGal:0.167095,(nipNip:0.0773999,halLeu:0.0793691):0.0169631):0.0406987);
14	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	((halLeu:0.0601762,nipNip:0.0582071):0.0950284,(galGal:0.206942,((rheAme:0.0102413,rhePen:0.0108812):0.0708502,(((aptRow:0.0107617,(aptHaa:0.00408663,aptOwe:0.00433348):0.00700789):0.0380599,((casCas:0.0437351,anoDid:0.0747277):0.00641016,(eudEle:0.166462,droNov:0.0462241):0.00610833):0.00574511):0.00195564,(strCam:0.0516674,(notPer:0.0905464,(cryCin:0.051204,tinGut:0.042967):0.0225887):0.0952301):0.00205241):0.00369467):0.0348729):0.0190255);
15	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	(galGal:0.222415,((halLeu:0.0556483,nipNip:0.0536792):0.0812503,(((casCas:0.0320752,droNov:0.0342623):0.0238834,strCam:0.0518325):0.000263097,(((((rheAme:0.0138002,rhePen:0.01444):0.0476263,((aptOwe:0.00353036,aptHaa:0.00328351):0.00357327,aptRow:0.00652393):0.0282829):0.00278667,anoDid:0.075655):0.0105053,((cryCin:0.0680856,notPer:0.0848393):0.0222568,eudEle:0.0995383):0.0780544):0.000670317,tinGut:0.16083):0.00038377):0.0409113):0.0147537);
16	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	(((((notPer:0.116871,(eudEle:0.0781509,(tinGut:0.0454651,cryCin:0.0537021):0.0152529):0.0311625):0.0577227,((aptHaa:0.00254578,aptOwe:0.00279263):0.0025959,aptRow:0.00480884):0.0327334):0.012499,(casCas:0.0291232,droNov:0.0313103):0.0279869):0.00834229,(((rhePen:0.0495761,rheAme:0.0489362):0.027158,anoDid:0.0875361):0.000106394,strCam:0.0525237):0.00880254):0.0310855,((halLeu:0.0592915,nipNip:0.0573223):0.0576126,galGal:0.187667):0.0193994);
17	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	((galGal:0.166501,(halLeu:0.0674679,nipNip:0.0654987):0.02827):0.0510673,(((((tinGut:0.0408187,cryCin:0.0490557):0.0334976,(eudEle:0.0733196,notPer:0.0808774):0.0184296):0.0861991,(anoDid:0.0757226,(aptRow:0.0146928,(aptHaa:0.0036243,aptOwe:0.00387115):0.0114013):0.0229684):0.0107933):0.00309905,(casCas:0.0227326,droNov:0.0249197):0.0358897):0.00536159,(strCam:0.0522674,(rheAme:0.00967457,rhePen:0.0103144):0.0662698):0.00759038):0.0430557);
18	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	(((galGal:0.166851,(nipNip:0.0641861,halLeu:0.0661552):0.0299332):0.0410084,((anoDid:0.0868802,(aptRow:0.0149584,(aptHaa:0.00379213,aptOwe:0.00403898):0.0114991):0.0338604):0.00122603,(strCam:0.0525808,(((eudEle:0.0686595,notPer:0.0762173):0.0129316,(tinGut:0.0407092,cryCin:0.0489462):0.0234489):0.091559,(casCas:0.0264364,droNov:0.0286235):0.0242887):0.00598192):0.000406638):0.0402177):0.0272791,(rheAme:0.0202427,rhePen:0.0208826):0.123918);
19	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	(((aptRow:0.0250612,(aptHaa:0.00403713,aptOwe:0.00428398):0.021357):0.0270142,(((rheAme:0.00885323,rhePen:0.00949309):0.0666851,casCas:0.0559875):0.000742304,((droNov:0.057753,(((cryCin:0.0558152,tinGut:0.0475782):0.0469464,(eudEle:0.0699926,notPer:0.0775504):0.0419649):0.0369884,anoDid:0.0575134):0.0290451):0.000730407,strCam:0.0521702):0.000433454):0.00241452):0.037366,((halLeu:0.0567933,nipNip:0.0548242):0.0708606,galGal:0.198417):0.00862195);
20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	(((((notPer:0.0862987,((tinGut:0.0467855,cryCin:0.0550225):0.0092801,eudEle:0.0734985):0.00524237):0.0998012,(casCas:0.0131526,droNov:0.0153397):0.0429644):0.000724729,((rheAme:0.00749833,rhePen:0.00813819):0.0605161,(aptRow:0.0157555,(aptHaa:0.00345912,aptOwe:0.00370597):0.0126293):0.0256393):0.00837811):0.00844005,(strCam:0.0515449,anoDid:0.0866637):0.0096107):0.0313482,(galGal:0.168835,(halLeu:0.0609004,nipNip:0.0589313):0.0371721):0.038323);
21	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	((((aptRow:0.0181464,(aptHaa:0.00289924,aptOwe:0.00314609):0.01558):0.0313188,(anoDid:0.0872402,((eudEle:0.144801,((cryCin:0.0495888,tinGut:0.0413518):0.0173545,notPer:0.083697):0.0686615):0.027407,(rheAme:0.0102518,rhePen:0.0108917):0.0590816):0.00646496):0.000286503):0.00300204,(strCam:0.051704,(casCas:0.0336468,droNov:0.0358339):0.0221834):0.0037059):0.040152,(galGal:0.17608,(nipNip:0.0582262,halLeu:0.0601953):0.0451218):0.0341365);
22	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	(((rheAme:0.0147261,rhePen:0.0153659):0.0667066,(((aptRow:0.0170691,(aptHaa:0.00375188,aptOwe:0.00399873):0.01365):0.0320025,((casCas:0.0329384,droNov:0.0351255):0.0226186,(((notPer:0.0871303,(tinGut:0.0546424,cryCin:0.0628794):0.00749727):0.0137317,eudEle:0.0933042):0.063994,anoDid:0.0658658):0.0206838):0.000583445):5.16016e-05,strCam:0.0520658):0.00568988):0.0366249,((halLeu:0.0664726,nipNip:0.0645035):0.0488357,galGal:0.186071):0.022964);
