No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
67	1.56892	0.125068	0.555605	0.235218	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00506667	0.00346667	0.991467	0	0.00546667	0.00306667	0.991467	0	0.00573333	0.0032	0.991067	0	0.00573333	0.00333333	0.990933	0	0.00693333	0.00133333	0.991733	0	0.0052	0.00533333	0.989467	0	0.00586667	0.0048	0.989333	0	0	0.998133	0.00186667	0	0	0.966933	0.0330667	0	0	0.999733	0.000266667	0	0	0.9896	0.0104	0	0	0.450933	0.549067	0	0.0137333	0	0.986267	0	0.000133333	0.999867	0	0	0.00533333	0.994667	0	0	0.00653333	0.00253333	0.990933	0	0.00826667	0.00106667	0.990667	0	0.00826667	0.00226667	0.989467	0	0.00826667	0.0445333	0.9472	0	0.008	0.0028	0.9892	0	0.00826667	0.196133	0.7956	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.00826667	0.991733	0	0	0.0137333	0.986267	0	0	0.176267	0.823733	0
48	2.56972	0.14829	0.552798	0.267806	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0425333	0.957467	0	0	0.0266667	0.973333	0	0	0.0654667	0.934533	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.999867	0.000133333	0	0	0.987867	0.0121333	0	0	0.999867	0.000133333	0	0	0.9988	0.0012	0	0	0	1	0	0.000666667	0	0.999333	0	0	1	0	0	0.00186667	0.998133	0	0	0	0.0553333	0.944667	0	0	0.0761333	0.923867	0	0	0	1	0	0	0.108267	0.891733	0	0	0	1	0	0	0.2528	0.7472	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000266667	0.999733	0	0	0.000666667	0.999333	0	0	0.131867	0.868133	0
30	1.5287	0.171845	0.525	0.236789	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.100667	0.0476	0.851733	0	0.1112	0.0337333	0.855067	0	0.1124	0.0434667	0.844133	0	0.126133	0.0282667	0.8456	0	0.120933	0.0341333	0.844933	0	0.134	0.0254667	0.840533	0	0.120267	0.0390667	0.840667	0	0	0.979067	0.0209333	0	0.000133333	0.9608	0.0390667	0	0.000133333	0.9032	0.0966667	0	0	0.997733	0.00226667	0	0.0392	0.3348	0.626	0	0.547867	0.00253333	0.4496	0	0.000533333	0.999467	0	0	0.0568	0.9432	0	0	0.129067	0.0228	0.848133	0	0.1476	0.0101333	0.842267	0	0.1512	0.00826667	0.840533	0	0.153867	0.0388	0.807333	0	0.1592	0.000266667	0.840533	0	0.159333	0.1804	0.660267	0	0.000133333	0.9976	0.00226667	0	0.000133333	0.998933	0.000933333	0	0.000266667	0.999733	0	0	0.0524	0.9476	0	0	0.1988	0.8012	0	0	0.5496	0.4504	0	0	0.842533	0.157467	0
58	1.66228	0.154775	0.509674	0.245757	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.129733	0.0602667	0.81	0	0.1428	0.0421333	0.815067	0	0.156667	0.0372	0.806133	0	0.161467	0.0321333	0.8064	0	0.0965333	0.1092	0.794267	0	0.138933	0.0705333	0.790533	0	0.134267	0.0748	0.790933	0	0	0.979733	0.0202667	0	0	0.981067	0.0189333	0	0	0.996667	0.00333333	0	0	0.9996	0.0004	0	0.110533	0.0961333	0.793333	0	0.262933	0	0.737067	0	0.0004	0.9996	0	0	0.0349333	0.965067	0	0	0.1716	0.0224	0.806	0	0.193333	0.00146667	0.8052	0	0.182533	0.0242667	0.7932	0	0.1944	0.0352	0.7704	0	0.206133	0.0036	0.790267	0	0.207867	0.138133	0.654	0	0	0.9996	0.0004	0	0	1	0	0	0.000133333	0.999867	0	0	0.1336	0.8664	0	0	0.218133	0.781867	0	0	0.262933	0.737067	0	0	0.542667	0.457333	0
35	2.74697	0.130904	0.560026	0.263272	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.999467	0.000533333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.00133333	0.998667	0	0	0	1	0	0	1	0	0	0.00213333	0.997867	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0178667	0.982133	0	0	0	1	0	0	0.1576	0.8424	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.149333	0.850667	0
52	3.50163	0.177197	0.733236	0.286094	0	0	0.00186667	0.998133	0	0	0.000266667	0.999733	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0.997467	0.00253333	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0.00373333	0.996267	0	0	0.0554667	0.944533	0	0	0	0	1	0	0	0	1	0	0	0.0516	0.9484	0	0	0.0910667	0.908933	0	0	0	1	0	0	0.2636	0.7364	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.729867	0.270133	0
64	1.96155	0.229547	0.60036	0.268492	0	0	0.000133333	0.999867	0	0	0.000133333	0.999867	0	0	0	1	0	0	0.000266667	0.00826667	0.991467	0	0.000266667	0.00653333	0.9932	0	0.000266667	0.00733333	0.9924	0	0.0004	0.0217333	0.977867	0	0.0004	0.0056	0.994	0	0.0004	0.00173333	0.997867	0	0.000533333	0.0004	0.999067	0	0	0.9976	0.0024	0	0	0.998933	0.00106667	0	0	0.998533	0.00146667	0	0	0.9856	0.0144	0	0.000533333	0.0004	0.999067	0	0.0012	0	0.9988	0	0.000666667	0.999333	0	0	0.0196	0.9804	0	0	0.000266667	0.00866667	0.991067	0	0.0004	0.01	0.9896	0	0.0004	0.0268	0.9728	0	0.000533333	0.0714667	0.928	0	0.000533333	0.00186667	0.9976	0	0.000533333	0.2404	0.759067	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000533333	0.999467	0	0	0.000533333	0.999467	0	0	0.0012	0.9988	0	0	0.256667	0.743333	0
25	1.40582	0.153655	0.556997	0.268965	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00573333	0.0092	0.985067	0	0.00666667	0.00453333	0.9888	0	0.00586667	0.0261333	0.968	0	0.00546667	0.0553333	0.9392	0	0.0064	0.0201333	0.973467	0	0.00733333	0.00146667	0.9912	0	0.00613333	0.00266667	0.9912	0	0	0.976533	0.0234667	0	0	0.9932	0.0068	0	0	0.992	0.008	0	0	0.957067	0.0429333	0	0.00413333	0.0778667	0.918	0	0.0176	0.000533333	0.981867	0	0.000133333	0.999867	0	0	0.002	0.998	0	0	0.00733333	0.0102667	0.9824	0	0.008	0.0454667	0.946533	0	0.00733333	0.1184	0.874267	0	0.00826667	0.183467	0.808267	0	0.0088	0	0.9912	0	0.0088	0.330533	0.660667	0	0	0.9992	0.0008	0	0	0.998933	0.00106667	0	0	1	0	0	0.0044	0.9956	0	0	0.0096	0.9904	0	0	0.0176	0.9824	0	0	0.162667	0.837333	0
61	2.46353	0.188986	0.552879	0.260701	0	0	0	1	0	0	0.000133333	0.999867	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.999867	0.000133333	0	0	0.997467	0.00253333	0	0	0.999733	0.000266667	0	0	0.999733	0.000266667	0	0	0.0016	0.9984	0	0.0068	0.000266667	0.992933	0	0.000133333	0.999867	0	0	0.00573333	0.994267	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0114667	0.988533	0	0	0	1	0	0	0.1308	0.8692	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0068	0.9932	0	0	0.158667	0.841333	0
40	1.29253	0.286997	0.508869	0.233287	0	0	0.0004	0.9996	0	0	0.000266667	0.999733	0	0	0.00186667	0.998133	0	0	0.0792	0.154933	0.765867	0	0.0737333	0.1688	0.757467	0	0.101333	0.168133	0.730533	0	0.0594667	0.0962667	0.844267	0	0.0374667	0.386	0.576533	0	0.113867	0.132	0.754133	0	0.0918667	0.247333	0.6608	0	0.00346667	0.876267	0.120267	0	0.000666667	0.960267	0.0390667	0	0.00106667	0.916667	0.0822667	0	0.0144	0.488267	0.497333	0	0.111733	0.246533	0.641733	0	0.148533	0.734133	0.117333	0	0.002	0.998	0	0	0.0276	0.9724	0	0	0.107333	0.1528	0.739867	0	0.1544	0.124267	0.721333	0	0.0690667	0.371333	0.5596	0	0.1592	0.310533	0.530267	0	0.148	0.2124	0.6396	0	0.179733	0.4028	0.417467	0	0.00533333	0.9708	0.0238667	0	0.0174667	0.917733	0.0648	0	0.0212	0.959867	0.0189333	0	0.136267	0.8456	0.0181333	0	0.2064	0.7768	0.0168	0	0.272533	0.715067	0.0124	0	0.445333	0.554667	0
