No.	prop	genetree
67	0.00826667	((galGal:0.176515,(halLeu:0.0633324,nipNip:0.0613633):0.0424199):0.0379182,((((aptRow:0.0151867,(aptHaa:0.00311251,aptOwe:0.00335936):0.012407):0.0301242,(anoDid:0.0600882,((cryCin:0.0576921,tinGut:0.0494551):0.0213181,(eudEle:0.0735594,notPer:0.0811172):0.0146467):0.0633146):0.0232842):0.00613162,(droNov:0.0508536,(rheAme:0.00925155,rhePen:0.00989141):0.0589657):0.00984492):0.00604857,(casCas:0.0577457,strCam:0.0536195):0.00681427):0.039345);
67	0.00693333	((galGal:0.183434,(halLeu:0.0732769,nipNip:0.0713077):0.0393943):0.0285082,(((casCas:0.0518887,(aptRow:0.0127394,(aptHaa:0.00352923,aptOwe:0.00377608):0.00954297):0.0320805):0.00479314,((rheAme:0.0113762,rhePen:0.012016):0.0598398,(anoDid:0.0624831,(tinGut:0.116818,(cryCin:0.0948343,(eudEle:0.085034,notPer:0.0925918):0.0189962):0.0302208):0.0196646):0.0201746):0.00501667):0.0063295,(droNov:0.0590811,strCam:0.0527678):0.00611738):0.0384025);
67	0.006	((galGal:0.178438,(halLeu:0.0724366,nipNip:0.0704675):0.035239):0.0297078,(((casCas:0.0477183,(aptRow:0.0108796,(aptHaa:0.00275469,aptOwe:0.00300154):0.0084578):0.0297698):0.00910168,((rheAme:0.00666769,rhePen:0.00730755):0.0650754,(anoDid:0.0580385,(cryCin:0.0990425,(tinGut:0.067105,(eudEle:0.0732218,notPer:0.0807796):0.0113161):0.0237006):0.0412325):0.0251464):0.00462763):0.00716465,(droNov:0.0584935,strCam:0.0521803):0.00767814):0.0336332);
67	0.006	(galGal:0.219857,((halLeu:0.0956048,nipNip:0.0936357):0.0452488,(((casCas:0.048219,(aptRow:0.0110236,(aptHaa:0.00307279,aptOwe:0.00331964):0.00828369):0.0301265):0.00825754,(droNov:0.0490958,(rheAme:0.012927,rhePen:0.0135668):0.0535325):0.0095679):0.00142337,(strCam:0.0522516,(anoDid:0.0588242,(notPer:0.121677,(eudEle:0.0798033,(cryCin:0.0526793,tinGut:0.0444423):0.0179282):0.0343159):0.0361374):0.0285461):0.00152218):0.0431882):0.00824086);
67	0.006	(galGal:0.218044,((halLeu:0.07992,nipNip:0.0779508):0.0606377,((strCam:0.0530556,(aptRow:0.012894,(aptHaa:0.00304516,aptOwe:0.00329201):0.0101817):0.0372189):0.00667815,((casCas:0.0458708,((cryCin:0.0535117,tinGut:0.0452747):0.0214344,(eudEle:0.07433,notPer:0.0818878):0.00981197):0.0841539):0.0133938,(anoDid:0.0861578,(droNov:0.0503951,(rheAme:0.0138063,rhePen:0.0144462):0.0539524):0.00695721):0.00409943):0.00459529):0.0369322):0.00672374);
48	0.0228	((galGal:0.181808,(halLeu:0.0657392,nipNip:0.06377):0.0453056):0.028384,((strCam:0.0523934,(aptRow:0.0106394,(aptHaa:0.00352105,aptOwe:0.0037679):0.00745123):0.0388112):0.00848395,((casCas:0.0524247,(eudEle:0.134798,(notPer:0.103217,(cryCin:0.053423,tinGut:0.045186):0.0330404):0.0391389):0.0400517):0.00617183,((droNov:0.0526801,anoDid:0.0814856):0.00404051,(rheAme:0.00867729,rhePen:0.00931715):0.065407):0.00406308):0.00640693):0.0346597);
48	0.0206667	((galGal:0.181434,(halLeu:0.0607477,nipNip:0.0587786):0.0499232):0.0317868,(((strCam:0.0525873,(aptRow:0.00956074,(aptHaa:0.00316162,aptOwe:0.00340847):0.00673197):0.0400839):0.0028025,(casCas:0.0531173,(eudEle:0.127645,(notPer:0.101823,(cryCin:0.0531715,tinGut:0.0449345):0.0318982):0.0333794):0.0478973):0.0063987):0.00998689,(droNov:0.0624796,(anoDid:0.0832892,(rheAme:0.00659549,rhePen:0.00723535):0.0652518):0.00799594):0.00921038):0.0331893);
48	0.0129333	((galGal:0.181803,(halLeu:0.0679147,nipNip:0.0659456):0.0431258):0.0349661,((strCam:0.0539278,(aptRow:0.0121637,(aptHaa:0.00407812,aptOwe:0.00432497):0.00841846):0.0388214):0.0102123,(casCas:0.0601144,((droNov:0.0545225,(anoDid:0.0782307,(rheAme:0.00612649,rhePen:0.00676635):0.0606624):0.00509726):0.00394524,(eudEle:0.131283,(notPer:0.102929,(cryCin:0.0556521,tinGut:0.0474151):0.0305232):0.0359114):0.047423):0.00383379):0.00815191):0.0379748);
48	0.0128	((galGal:0.18767,(halLeu:0.0644207,nipNip:0.0624516):0.0524866):0.021536,(((aptRow:0.00584616,(aptHaa:0.00321686,aptOwe:0.00346371):0.00296216):0.0441427,(droNov:0.0531457,(anoDid:0.0780956,(rheAme:0.0111694,rhePen:0.0118093):0.0554843):0.00385571):0.00609906):0.00640327,((casCas:0.0576645,strCam:0.0535383):0.00249858,(eudEle:0.143643,(notPer:0.108469,(cryCin:0.0603322,tinGut:0.0520952):0.0313836):0.042731):0.0389454):0.00329791):0.0352168);
48	0.0126667	((galGal:0.187046,(halLeu:0.0699345,nipNip:0.0679654):0.0463487):0.0287163,((strCam:0.0525987,(aptRow:0.00902698,(aptHaa:0.00338984,aptOwe:0.00363669):0.00597):0.040629):0.0109562,((casCas:0.0540524,(eudEle:0.132634,(notPer:0.115157,(cryCin:0.0594086,tinGut:0.0511716):0.0389948):0.0250349):0.0438432):0.00572674,(droNov:0.0568122,(anoDid:0.0788629,(rheAme:0.00823563,rhePen:0.00887549):0.0591855):0.0067548):0.00515403):0.00790195):0.0375529);
