No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
18	2.58369	0.132019	0.592698	0.751717	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.034	0.966	0	0	0	1	0	0	0.002	0.998	0	0	0	0.067	0.933	0	0	0.2305	0.7695	0	0	1	0	0	0	1	0	0	0	0.0005	0.9995	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.0035	0.9965	0	0	0.0365	0.9635	0	0	0.276	0.724	0
0	2.72333	0.283818	0.609316	0.797323	0	0	0.0005	0.9995	0	0	0.0025	0.9975	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.15	0.85	0	0	0.0065	0.9935	0	0	0.157	0.843	0	0	0	0	1	0	0	0.0005	0.9995	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0	0.0215	0.9785	0	0	0.267	0.733	0	0	0.537	0.463	0
14	2.48562	0.172355	0.572145	0.78671	0	0	0.0005	0.9995	0	0	0.007	0.993	0	0	0.1985	0.8015	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.014	0.986	0	0	0.0105	0.9895	0	0	0.2755	0.7245	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0.0095	0.9905	0	0	0.1185	0.8815	0	0	0.523	0.477	0
8	3.00595	0.187817	0.620066	0.681185	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0.0005	0.9995	0	0	0	0.0055	0.9945	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.006	0.994	0	0	0.0005	0.9995	0	0	0.066	0.934	0	0	0	0	1	0	0	0.8325	0.1675	0	0.0005	0.9995	0	0	0.001	0.999	0	0	0	0.3905	0.6095	0	0.0025	0.9975	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0025	0.9975	0	0	0.007	0.993	0	0	0.0705	0.9295	0	0	0.3595	0.6405	0
19	3.07579	0.310715	0.475338	0.707551	0	0	0.0005	0.9995	0	0	0.001	0.999	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.1275	0.8725	0	0	0.1885	0.8115	0	0	0.189	0.04	0.771	0	0.138	0.1425	0.7195	0	0.0055	0.9945	0	0	0.0105	0.9895	0	0	0.0125	0.9875	0	0	0.0135	0.9865	0	0	0.003	0.997	0	0	0.0515	0.9485	0	0	0.0045	0.9955	0	0	0.0235	0.9765	0	0	0	0.004	0.996	0	0	0.826	0.174	0	0.1915	0.8085	0	0	0.204	0.796	0	0	0.216	0.076	0.708	0	0.218	0.782	0	0	0.0125	0.9875	0	0	0.0135	0.9865	0	0	0.0135	0.9865	0	0	0.034	0.966	0	0	0.221	0.779	0	0	0.2345	0.7655	0	0	0.4165	0.5835	0
1	3.08202	0.319507	0.593455	0.68327	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0005	0.9995	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0.0015	0.9985	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0	1	0	0	0.008	0.992	0	0	0	0.0005	0.9995	0	0	0.0025	0.9975	0	0	1	0	0	0	1	0	0	0	0.988	0.012	0	0.0025	0.9975	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.003	0.997	0	0	0.013	0.987	0	0	0.254	0.746	0
15	3.83918	0.312949	0.591174	0.700442	0	0	0.0005	0.9995	0	0	0.0015	0.9985	0	0	0.002	0.998	0	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.003	0.997	0	0	0.011	0.989	0	0	0	0	1	0	0	0.948	0.052	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.004	0.996	0	0	0.2555	0.7445	0
9	2.48763	0.141859	0.591448	0.789581	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0035	0.9965	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0.001	0.999	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0.273	0.727	0
2	1.66179	0.395294	0.547443	0.759734	0	0	0.075	0.925	0	0	0.044	0.956	0	0	0.006	0.994	0	0	0.0225	0.0155	0.962	0	0.022	0.019	0.959	0	0.024	0.08	0.896	0	0.0095	0.9905	0	0	0.0115	0.9885	0	0	0.033	0.024	0.943	0	0.039	0.0125	0.9485	0	0.0485	0.9515	0	0	0.0505	0.9495	0	0	0.051	0.949	0	0	0.05	0.95	0	0	0.05	0.95	0	0	0.032	0.968	0	0	0.099	0.901	0	0	0.122	0.878	0	0	0.027	0.018	0.955	0	0.0275	0.1245	0.848	0	0.016	0.984	0	0	0.028	0.972	0	0	0.041	0.027	0.932	0	0.041	0.959	0	0	0.0505	0.9495	0	0	0.051	0.949	0	0	0.051	0.949	0	0	0.054	0.946	0	0	0.055	0.945	0	0	0.087	0.913	0	0	0.3655	0.6345	0
16	1.55932	0.179295	0.596908	0.782455	0	0	0	1	0	0	0.0005	0.9995	0	0	0	1	0	0	0	0	1	0	0	0.003	0.997	0	0	0	1	0	0	1	0	0	0	1	0	0	0.001	0.0065	0.9925	0	0.001	0.0145	0.9845	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0015	0.9985	0	0	0	1	0	0	0.0005	0.9995	0	0	0.007	0.993	0	0	0	0.006	0.994	0	0	0.017	0.983	0	0	1	0	0	0	1	0	0	0.0015	0.0235	0.975	0	0.0015	0.9985	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0025	0.9975	0	0	0.003	0.997	0	0	0.0075	0.9925	0	0	0.251	0.749	0
10	2.13111	0.164628	0.608358	0.723406	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0055	0.9945	0	0	0.0065	0.9935	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0.0005	0.9995	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.0285	0.9715	0	0	0	0.008	0.992	0	0	0.616	0.384	0	0	1	0	0	0	1	0	0	0	0.069	0.931	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0045	0.9955	0	0	0.0265	0.9735	0	0	0.299	0.701	0
20	4.7887	0.377479	0.594455	0.626954	0	0	0.015	0.985	0	0	0.013	0.987	0	0	0.0045	0.9955	0	0	0	0	1	0	0	0	1	0	0	0.1825	0.8175	0	0.0005	0.9995	0	0	0.0005	0.9995	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0	1	0	0	0.0055	0.9945	0	0	0.0055	0.9945	0	0	0.0215	0.9785	0	0	0.053	0.947	0	0	0	0	1	0	0	0.7335	0.2665	0	0.001	0.999	0	0	0.004	0.996	0	0	0	0.97	0.03	0	0.011	0.989	0	0	0	1	0	0	0.001	0.999	0	0	0.001	0.999	0	0	0.0065	0.9935	0	0	0.022	0.978	0	0	0.0625	0.9375	0	0	0.33	0.67	0
3	2.72913	0.14252	0.591266	0.787704	0	0	0	1	0	0	0.0015	0.9985	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0025	0.9975	0	0	0.0015	0.9985	0	0	0.029	0.971	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.005	0.995	0	0	0.036	0.964	0	0	0.29	0.71	0
17	2.37882	0.118632	0.57903	0.742862	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	1	0	0	0	1	0	0	0	0.0005	0.9995	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0095	0.9905	0	0	0	0	1	0	0	0.3735	0.6265	0	0	1	0	0	0	1	0	0	0	0.0005	0.9995	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0065	0.9935	0	0	0.249	0.751	0
21	1.60844	0.269449	0.590743	0.613675	0	0	0.0005	0.9995	0	0	0.008	0.992	0	0	0	1	0	0	0	0.0755	0.9245	0	0	0.0255	0.9745	0	0	0.0635	0.9365	0	0	1	0	0	0	1	0	0	0.0005	0.038	0.9615	0	0	0.4035	0.5965	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.003	0.997	0	0	0.011	0.989	0	0	0.0285	0.9715	0	0	0	0.1145	0.8855	0	0	0.228	0.772	0	0	1	0	0	0	1	0	0	0.0005	0.644	0.3555	0	0.001	0.999	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.004	0.996	0	0	0.02	0.98	0	0	0.2775	0.7225	0
11	3.15106	0.368256	0.576132	0.658093	0	0	0.039	0.961	0	0	0.03	0.97	0	0	0.0005	0.9995	0	0	0	0	1	0	0	0	1	0	0	0.1915	0.8085	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0.008	0.992	0	0	0.001	0.999	0	0	0.0005	0.9995	0	0	0.0005	0.9995	0	0	0.004	0.996	0	0	0.019	0.981	0	0	0.0405	0.9595	0	0	0.0595	0.9405	0	0	0	0.025	0.975	0	0	0.9185	0.0815	0	0	1	0	0	0	1	0	0	0	0.0445	0.9555	0	0	1	0	0	0.008	0.992	0	0	0.001	0.999	0	0	0.0085	0.9915	0	0	0.0095	0.9905	0	0	0.0145	0.9855	0	0	0.059	0.941	0	0	0.3295	0.6705	0
4	2.22808	0.113165	0.627791	0.700571	0	0	0	1	0	0	0.0005	0.9995	0	0	0.0005	0.9995	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.0005	0.9995	0	0	0.027	0.973	0	0	0	0	1	0	0	0.9315	0.0685	0	0	1	0	0	0	1	0	0	0	0.0005	0.9995	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0015	0.9985	0	0	0.0265	0.9735	0	0	0.2895	0.7105	0
24	2.4195	0.252644	0.628282	0.761485	0	0	0.0015	0.9985	0	0	0.0005	0.9995	0	0	0.052	0.948	0	0	0	0.004	0.996	0	0	0.014	0.986	0	0	0.0005	0.9995	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0035	0.9965	0	0	0.007	0.993	0	0	0.2475	0.7525	0	0	0	0.028	0.972	0	0	0.2565	0.7435	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.014	0.986	0	0	0.208	0.792	0	0	0.5745	0.4255	0
22	2.92808	0.150656	0.582458	0.694793	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0045	0.9955	0	0	0	0	1	0	0	0.8305	0.1695	0	0	1	0	0	0	1	0	0	0	0.003	0.997	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0.0055	0.9945	0	0	0.254	0.746	0
12	1.90803	0.12123	0.610218	0.695735	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0	0.017	0.983	0	0	0.001	0.999	0	0	0.001	0.999	0	0.0005	0.9995	0	0	0	1	0	0	0	0.002	0.998	0	0.001	0.001	0.998	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.027	0.973	0	0	0	0.037	0.963	0	0	0.926	0.074	0	0.0005	0.9995	0	0	0.001	0.999	0	0	0.002	0	0.998	0	0.002	0.998	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0035	0.9965	0	0	0.0265	0.9735	0	0	0.2785	0.7215	0
5	5.08294	0.320874	0.603891	0.641743	0	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0.0055	0.9945	0	0	0.0055	0.9945	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0	0.0125	0.9875	0	0	0.0025	0.9975	0	0	0.031	0.969	0	0	0	0.0005	0.9995	0	0	0.999	0.001	0	0.0065	0.9935	0	0	0.009	0.991	0	0	0	1	0	0	0.012	0.988	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0035	0.9965	0	0	0.014	0.986	0	0	0.039	0.961	0	0	0.3015	0.6985	0
13	2.39997	0.342964	0.509545	0.779008	0	0	0.001	0.999	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0.0025	0.0005	0.997	0	0.0025	0.0005	0.997	0	0.1275	0.8725	0	0	0.13	0.87	0	0	0.1295	0.8705	0	0	0.1215	0.8785	0	0	0.119	0.881	0	0	0.0385	0.9615	0	0	0.001	0.999	0	0	0.006	0.994	0	0	0	0	1	0	0	0.001	0.999	0	0	1	0	0	0	1	0	0	0.003	0	0.997	0	0.003	0.997	0	0	0.13	0.87	0	0	0.13	0.87	0	0	0.13	0.87	0	0	0.13	0.87	0	0	0.13	0.87	0	0	0.1345	0.8655	0	0	0.3545	0.6455	0
