No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-540.32109	-511.53521	-517.40141	28.785884	5.8661959	-527.20936	-503.46641	-503.45031
1	1	-373.63265	-353.43387	-358.71075	20.19878	5.2768771	-359.74545	-348.76314	-348.7589
2	2	-451.32909	-451.70816	-453.03242	-0.37907524	1.3242607	-443.58186	-444.63732	-444.15653
3	3	-334.2744	-326.0959	-330.87028	8.1784984	4.774379	-321.39119	-321.32088	-320.1528
4	4	-393.94957	-376.67768	-382.99312	17.271887	6.3154317	-381.53558	-369.44881	-369.46437
5	5	-415.33516	-403.93742	-409.91666	11.39774	5.9792355	-403.23977	-394.73864	-394.72664
6	6	-383.82937	-363.47977	-369.33346	20.349592	5.8536897	-370.81327	-357.44544	-357.44529
7	7	-550.31726	-521.00024	-525.64624	29.317018	4.6460028	-537.67655	-513.3101	-513.81971
8	8	-530.21889	-501.69617	-507.476	28.522721	5.7798308	-517.53342	-492.15333	-491.15333
9	9	-555.30813	-506.7242	-512.217	48.583927	5.4927968	-542.39505	-503.49811	-503.50144
10	10	-564.71064	-539.2014	-544.80978	25.509235	5.6083819	-552.34923	-532.38647	-532.3734
11	11	-453.78343	-434.33909	-439.17637	19.444342	4.8372847	-438.06712	-423.4065	-422.23044
12	12	-387.88367	-375.08664	-373.72944	12.79703	-1.3572073	-372.63582	-366.1764	-359.35702
13	13	-475.21742	-452.18391	-453.63945	23.03351	1.4555335	-462.41278	-446.72074	-442.16789
14	14	-330.73507	-315.20909	-319.21857	15.525985	4.0094823	-317.73252	-311.41593	-309.51881
15	15	-549.53701	-544.23259	-545.6805	5.3044234	1.4479104	-538.62864	-532.25044	-532.30384
16	16	-294.26171	-287.09012	-291.24634	7.1715882	4.1562238	-283.84331	-280.82041	-280.82716
17	17	-435.61795	-425.78637	-430.66111	9.8315796	4.8747399	-427.68825	-416.91224	-415.91458
18	18	-401.34243	-384.14847	-389.15351	17.193955	5.0050417	-388.93815	-378.32181	-376.89848
19	19	-418.09301	-398.18608	-399.91778	19.906933	1.7317012	-405.63574	-394.41716	-389.14406
20	20	-405.49865	-388.21314	-393.01821	17.285507	4.8050707	-392.24078	-383.90392	-383.86283
21	21	-482.35554	-467.75348	-472.72955	14.602063	4.9760735	-467.3627	-459.19431	-459.16034
22	22	-390.0182	-380.87654	-386.08307	9.1416612	5.2065272	-379.64648	-376.55986	-376.57899
23	23	-511.93272	-487.22142	-488.7604	24.711297	1.5389832	-499.3472	-483.3186	-475.97475
24	24	-428.5015	-403.16671	-408.05085	25.33479	4.884136	-415.40752	-399.22634	-399.23312
25	25	-562.04877	-508.09299	-512.77854	53.955771	4.6855451	-549.55133	-501.42925	-499.46303
26	26	-481.59165	-462.14668	-466.82207	19.444963	4.675386	-469.04986	-457.74899	-457.73924
27	27	-429.19949	-417.8983	-421.48808	11.301197	3.5897814	-416.30106	-413.91001	-410.65277
28	28	-405.99874	-391.44466	-396.91434	14.55408	5.4696776	-392.45018	-387.41094	-387.41268
29	29	-495.48951	-472.23688	-474.97397	23.252623	2.7370834	-482.04268	-465.93405	-460.9992
30	30	-583.53383	-568.93809	-574.16004	14.59574	5.2219496	-569.93715	-560.45181	-559.73984
31	31	-435.46322	-435.53214	-437.68857	-0.068916273	2.1564321	-427.62156	-427.86717	-426.8893
32	32	-474.33824	-449.18106	-452.74931	25.157187	3.5682524	-462.56122	-442.20857	-437.43063
33	33	-517.70869	-497.34278	-503.48171	20.365904	6.1389297	-504.50499	-488.86597	-489.22797
34	34	-431.87318	-417.23507	-419.44861	14.638107	2.2135369	-419.73338	-412.70861	-408.30269
35	35	-450.67442	-422.51087	-427.80393	28.163549	5.2930687	-437.50439	-418.67245	-417.09606
36	36	-439.58331	-405.61857	-411.95902	33.964747	6.3404531	-426.42914	-398.7715	-398.77324
37	37	-402.61572	-389.60398	-391.64448	13.011742	2.0405017	-389.17506	-385.05998	-379.13666
38	38	-506.91383	-491.07125	-493.21474	15.842582	2.1434902	-494.34942	-483.90595	-478.06077
39	39	-478.9544	-465.18106	-467.04893	13.773344	1.8678734	-466.21874	-460.99769	-455.10771
40	40	-507.82735	-492.44309	-489.31531	15.38426	-3.1277767	-495.58954	-487.80952	-475.33878
41	41	-493.167	-485.01038	-483.67286	8.1566175	-1.3375224	-479.98744	-470.86157	-465.51279
42	42	-439.74646	-429.37486	-428.01365	10.371591	-1.3612147	-428.33586	-423.27338	-413.16181
43	43	-387.29914	-368.04351	-373.23332	19.255636	5.1898116	-375.17221	-361.54152	-361.77317
44	44	-426.21834	-414.31084	-418.71232	11.907504	4.4014782	-415.17963	-406.26406	-406.22517
45	45	-332.74767	-321.68609	-326.25563	11.061574	4.569539	-321.87513	-315.10007	-315.09522
46	46	-605.49287	-588.11787	-591.85986	17.375003	3.7419957	-593.67049	-577.29694	-577.24195
47	47	-431.99729	-421.03553	-421.31215	10.961758	0.27662401	-418.56868	-416.71949	-408.64846
48	48	-391.341	-381.9122	-386.81954	9.4287985	4.9073384	-380.34292	-376.20111	-376.23563
49	49	-459.02854	-439.62234	-445.29186	19.406201	5.6695234	-448.57455	-431.44844	-431.46198
50	50	-400.53672	-379.90718	-384.8992	20.629543	4.9920222	-387.26303	-376.21614	-376.21691
51	51	-277.01171	-267.9191	-272.27559	9.0926097	4.3564864	-265.90894	-264.31432	-262.22833
52	52	-482.74857	-449.8503	-455.10766	32.898275	5.2573667	-469.44656	-445.85103	-444.743
53	53	-364.58012	-346.79988	-351.93163	17.780234	5.1317434	-351.23865	-342.61127	-342.62116
54	54	-576.36442	-538.68106	-543.66897	37.683358	4.9879014	-562.29862	-528.57402	-527.94892
55	55	-339.67366	-325.03518	-330.27653	14.638479	5.241353	-327.00664	-321.34192	-321.34259
