No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
8	1	0.240529	0.188049	0.486314	0	0	0.378	0.622	0	0	0.3575	0.6425	0	0	0.2345	0.7655	0	0	0.787	0.213	0	0	0.935	0.065	0	0	1	0	0	0	0.993	0.007	0	0	0.9995	0.0005	0	0	0.424	0.576	0	0	0.357	0.643	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.016	0.984	0	0	0.872	0.128	0	0	0.492	0.508	0	0	0.5835	0.4165	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.448	0.552	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.0425	0.9575	0	0	1	0	0	0	1	0	0	0	1	0	0
18	1	0.191574	0.33135	0.509584	0	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0.5695	0.4305	0	0	0.565	0.435	0	0	0.5845	0.4155	0	0	0.999	0.001	0	0	1	0	0	0	0.0615	0.9385	0	0	0.052	0.948	0	0	0.0005	0.9995	0	0	0.0005	0.9995	0	0	0	1	0	0	0	1	0	0	0.003	0.997	0	0	0.1025	0.8975	0	0	0.001	0.999	0	0	0.017	0.983	0	0	0.8625	0.1375	0	0	0.996	0.004	0	0	1	0	0	0	1	0	0	0	0.0695	0.9305	0	0	1	0	0	0	0.001	0.999	0	0	0.0005	0.9995	0	0	0.003	0.997	0	0	0.038	0.962	0	0	1	0	0	0	1	0	0	0	1	0	0
14	1	0.119327	0.284736	0.511125	0	0	0.0025	0.9975	0	0	0.003	0.997	0	0	0	1	0	0	0.9335	0.0665	0	0	0.93	0.07	0	0	0.9255	0.0745	0	0	0.933	0.067	0	0	0.4605	0.5395	0	0	0.289	0.711	0	0	0.415	0.585	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.013	0.987	0	0	0.049	0.951	0	0	0.0755	0.9245	0	0	0.087	0.913	0	0	0.9945	0.0055	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.441	0.559	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0425	0.9575	0	0	1	0	0	0	1	0	0	0	1	0	0
0	1	0.270501	0.238447	0.516692	0	0	0.003	0.997	0	0	0.0125	0.9875	0	0	0.015	0.985	0	0	0.7235	0.2765	0	0	0.995	0.005	0	0	0.978	0.022	0	0	1	0	0	0	1	0	0	0	0.2985	0.7015	0	0	0.2935	0.7065	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0	0.003	0.997	0	0	0.028	0.972	0	0	0.582	0.418	0	0	0.019	0.981	0	0	0.1145	0.8855	0	0	0.997	0.003	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.394	0.606	0	0	1	0	0	0	0	1	0	0	0.0035	0.9965	0	0	0.0045	0.9955	0	0	0.0935	0.9065	0	0	1	0	0	0	1	0	0	0	1	0	0
9	1	0.108976	0.257807	0.488807	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0.998	0.002	0	0	1	0	0	0	1	0	0	0	0.008	0.992	0	0	0.01	0.99	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.008	0.992	0	0	0.2765	0.7235	0	0	0.0005	0.9995	0	0	0.0195	0.9805	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.012	0.988	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.029	0.971	0	0	1	0	0	0	1	0	0	0	1	0	0
19	1	0.07402	0.212161	0.515198	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.9955	0.0045	0	0	0.99	0.01	0	0	1	0	0	0	1	0	0	0	0.999	0.001	0	0	0.9175	0.0825	0	0	0.659	0.341	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.012	0.988	0	0	0.0365	0.9635	0	0	0.0005	0.9995	0	0	0.01	0.99	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.92	0.08	0	0	1	0	0	0	0.0005	0.9995	0	0	0.0005	0.9995	0	0	0.0005	0.9995	0	0	0.2015	0.7985	0	0	1	0	0	0	1	0	0	0	1	0	0
15	1	0.182093	0.11243	0.487514	0	0	0.666	0.334	0	0	0.3685	0.6315	0	0	0.712	0.288	0	0	0.7145	0.2855	0	0	0.8145	0.1855	0	0	0.84	0.16	0	0	0.8115	0.1885	0	0	0.7825	0.2175	0	0	0.786	0.214	0	0	0.7325	0.2675	0	0	0.696	0.304	0	0	0.604	0.396	0	0	0.6515	0.3485	0	0	0.609	0.391	0	0	0.654	0.346	0	0	0.1855	0.8145	0	0	0.707	0.293	0	0	0.783	0.217	0	0	0.844	0.156	0	0	0.8465	0.1535	0	0	0.8275	0.1725	0	0	0.847	0.153	0	0	0.845	0.155	0	0	0.85	0.15	0	0	0.6985	0.3015	0	0	0.673	0.327	0	0	0.7005	0.2995	0	0	0.7125	0.2875	0	0	0.8505	0.1495	0	0	0.8605	0.1395	0	0	0.9105	0.0895	0
1	1	0.110214	0.276308	0.48826	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.932	0.068	0	0	0.6845	0.3155	0	0	0.9285	0.0715	0	0	0.998	0.002	0	0	1	0	0	0	0.0405	0.9595	0	0	0.0405	0.9595	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0	0.3105	0.6895	0	0	0	1	0	0	0.014	0.986	0	0	0.9545	0.0455	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0555	0.9445	0	0	1	0	0	0	0	1	0	0	0.0005	0.9995	0	0	0.0005	0.9995	0	0	0.0265	0.9735	0	0	1	0	0	0	1	0	0	0	1	0	0
10	1	0.344331	0.237565	0.510837	0	0	0.016	0.984	0	0	0.014	0.986	0	0	0.017	0.983	0	0	0.889	0.111	0	0	0.732	0.268	0	0	0.997	0.003	0	0	0.9895	0.0105	0	0	0.8125	0.1875	0	0	0.5565	0.4435	0	0	0.54	0.46	0	0	0.0665	0.9335	0	0	0.07	0.93	0	0	0.0605	0.9395	0	0	0.069	0.931	0	0	0.2165	0.7835	0	0	0.346	0.654	0	0	0.021	0.979	0	0	0.126	0.874	0	0	0.9995	0.0005	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.782	0.218	0	0	1	0	0	0	0.07	0.93	0	0	0.071	0.929	0	0	0.0755	0.9245	0	0	0.337	0.663	0	0	1	0	0	0	1	0	0	0	1	0	0
20	1	0.15227	0.274656	0.489085	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0	0.9265	0.0735	0	0	0.938	0.062	0	0	0.957	0.043	0	0	1	0	0	0	1	0	0	0	0.0095	0.9905	0	0	0.011	0.989	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0	0.0615	0.9385	0	0	0.001	0.999	0	0	0.0415	0.9585	0	0	0.9955	0.0045	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0175	0.9825	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0275	0.9725	0	0	1	0	0	0	1	0	0	0	1	0	0
