No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
18	3.25613	0.0686264	0.615803	0.806077	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0.001	0.999	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.065	0.935	0	0	0	1	0	0	0.24	0.76	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.2685	0.7315	0
14	2.63098	0.183875	0.593879	0.744535	0	0	0.0005	0.9995	0	0	0	1	0	0	0.001	0.999	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.002	0	0.998	0	0.0015	0.0005	0.998	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0.01	0	0.99	0	0.0025	0.9975	0	0	0.011	0.989	0	0	0	0	1	0	0	0	1	0	0	0.3385	0.6615	0	0	0.3695	0.6305	0	0.002	0	0.998	0	0.002	0.4695	0.5285	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.003	0.997	0	0	0.01	0.99	0	0	0.2595	0.7405	0
8	1.44724	0.121769	0.59685	0.775635	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0035	0.9965	0	0	0.0025	0.9975	0	0	0.0705	0.9295	0	0	0.075	0.925	0	0.0005	0.0775	0.922	0	0.0005	0	0.9995	0	0.0005	0	0.9995	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0.002	0	0.998	0	0	1	0	0	0.001	0.999	0	0	0	0.0565	0.9435	0	0	0.1975	0.8025	0	0.0005	0.0895	0.91	0	0.0005	0.234	0.7655	0	0.0005	0	0.9995	0	0.0005	0.346	0.6535	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0.002	0.998	0	0	0.2555	0.7445	0
0	2.38537	0.2097	0.652511	0.816054	0	0	0	1	0	0	0.0005	0.9995	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0015	0.9985	0	0.0145	0	0.9855	0	0.005	0.995	0	0	0.449	0.551	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.032	0.968	0	0	0.0005	0.9995	0	0	0.172	0.828	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0045	0.9955	0	0	0.0145	0.9855	0	0	0.602	0.398	0
19	2.80314	0.312373	0.601993	0.691615	0	0	0.005	0.995	0	0	0	1	0	0	0.0005	0.9995	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.0005	0	0.9995	0	0.0005	0	0.9995	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.002	0	0.998	0	0.0655	0.07	0.8645	0	0.0185	0.9815	0	0	0.028	0.972	0	0	0	0	1	0	0	0	1	0	0	0.579	0.421	0	0	0.6025	0.3975	0	0.0005	0	0.9995	0	0.0005	0.6615	0.338	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.002	0.998	0	0	0.0155	0.9845	0	0	0.069	0.931	0	0	0.322	0.678	0
15	1.82321	0.19354	0.608929	0.631295	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.0015	0.0185	0.98	0	0.0015	0.0025	0.996	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0.018	0.892	0.09	0	0.0005	0.9995	0	0	0.021	0.979	0	0	0	0	1	0	0	0	1	0	0	0.0075	0.9925	0	0	0.0855	0.9145	0	0.0015	0.0305	0.968	0	0.0015	0.286	0.7125	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.008	0.992	0	0	0.0875	0.9125	0	0	0.335	0.665	0
9	2.04784	0.174619	0.62623	0.805413	0	0	0.001	0.999	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0005	0.0135	0.986	0	0.011	0	0.989	0	0.003	0.997	0	0	0.195	0.805	0	0	0	0	1	0	0	0	1	0	0	0.0675	0.9325	0	0	0.1075	0.8925	0	0	0.0015	0.9985	0	0	0.2385	0.7615	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.0015	0.9985	0	0	0.011	0.989	0	0	0.3975	0.6025	0
1	1.36035	0.132024	0.612833	0.569109	0	0	0.0005	0.9995	0	0	0.0005	0.9995	0	0	0	1	0	0	0.0005	0	0.9995	0	0.0005	0	0.9995	0	0.0005	0.002	0.9975	0	0.0005	0.0005	0.999	0	0.0005	0.105	0.8945	0	0.0005	0.0065	0.993	0	0.0005	0.3395	0.66	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0005	0.6155	0.384	0	0.024	0.1125	0.8635	0	0.0005	0.9995	0	0	0.0105	0.9895	0	0	0.0005	0.0005	0.999	0	0.0005	0.0175	0.982	0	0.0005	0.195	0.8045	0	0.0005	0.3065	0.693	0	0.0005	0.532	0.4675	0	0.003	0.636	0.361	0	0	1	0	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0.0045	0.9955	0	0	0.026	0.974	0	0	0.3025	0.6975	0
20	1.05883	0.121445	0.592396	0.677327	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0095	0.9905	0	0	0.0115	0.9885	0	0	0.01	0.99	0	0	0.0235	0.9765	0	0.0005	0.0145	0.985	0	0	0.2925	0.7075	0	0	0.0885	0.9115	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0175	0.9825	0	0.0025	0	0.9975	0	0	1	0	0	0.001	0.999	0	0	0	0.016	0.984	0	0	0.078	0.922	0	0.0005	0.037	0.9625	0	0.0005	0.214	0.7855	0	0	0.556	0.444	0	0.001	0.636	0.363	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0.0025	0.9975	0	0	0.255	0.745	0
16	2.11877	0.182729	0.576097	0.765148	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0575	0.9425	0	0	0.0125	0.9875	0	0	0.1275	0.8725	0	0	0	1	0	0	0.018	0.982	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0.0015	0.0015	0.997	0	0.0005	0.9995	0	0	0.0025	0.9975	0	0	0	0.099	0.901	0	0	0.188	0.812	0	0	0.0425	0.9575	0	0	0.2265	0.7735	0	0	0.038	0.962	0	0	0.357	0.643	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0005	0.9995	0	0	0.0015	0.9985	0	0	0.2495	0.7505	0
