No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-511.96921	-497.61388	-500.82537	14.35533	3.2114921	-501.17149	-486.58628	-486.57454
1	1	-487.1596	-470.33121	-475.39559	16.828387	5.0643785	-474.53714	-458.90864	-458.90566
2	2	-474.64908	-472.2358	-468.72616	2.4132753	-3.5096444	-461.96761	-461.83717	-451.57911
3	3	-428.21643	-409.12295	-411.06072	19.093482	1.9377737	-414.48534	-400.08787	-400.09262
4	4	-331.93244	-319.39141	-321.3161	12.541037	1.9246931	-319.2886	-309.27519	-309.27431
5	5	-542.07751	-505.35348	-509.19742	36.724031	3.8439409	-526.24911	-492.86508	-492.85927
6	6	-467.18477	-459.26207	-462.9533	7.9226957	3.6912307	-455.46324	-450.61643	-450.67345
7	7	-443.42552	-422.45402	-425.0494	20.971499	2.5953777	-429.7235	-413.59592	-413.59938
8	8	-435.47363	-420.29462	-423.1245	15.179004	2.8298759	-422.5515	-409.99261	-409.91467
9	9	-437.91586	-418.04943	-420.80065	19.866435	2.7512245	-425.02396	-409.65364	-409.65409
10	10	-385.10743	-375.64923	-378.06946	9.4582041	2.4202369	-372.41891	-365.22031	-365.21659
11	11	-560.03534	-541.80657	-540.10523	18.228771	-1.7013419	-545.58898	-530.62167	-524.85095
12	12	-344.00407	-335.25276	-337.74303	8.7513099	2.4902611	-331.53855	-325.04192	-325.04187
13	13	-505.93427	-497.83728	-495.24058	8.0969894	-2.5966953	-493.84639	-483.69855	-481.38975
14	14	-396.52693	-384.0073	-386.07114	12.519631	2.0638387	-384.31899	-373.74747	-373.75361
15	15	-586.31482	-554.43077	-557.92279	31.884055	3.4920216	-572.64344	-543.25053	-543.24398
16	16	-368.63147	-365.41246	-367.31045	3.2190107	1.8979937	-357.05816	-355.91093	-355.91783
17	17	-391.01098	-377.05258	-380.08839	13.958398	3.0358027	-378.36633	-368.24004	-368.20902
18	18	-410.2816	-394.86828	-397.21321	15.413318	2.3449238	-397.62263	-385.72076	-385.72617
19	19	-537.74163	-521.82757	-524.21397	15.914066	2.3864017	-524.43976	-508.29475	-508.24435
20	20	-567.05069	-542.11208	-545.352	24.938609	3.239918	-554.27531	-530.09313	-530.09307
21	21	-410.75966	-410.30035	-412.50563	0.45931476	2.2052859	-405.14936	-401.12132	-400.93898
22	22	-428.86868	-408.9246	-411.91322	19.944084	2.9886252	-415.84997	-398.88872	-398.88272
23	23	-451.68487	-441.66641	-443.82272	10.018457	2.1563115	-438.75026	-432.19472	-432.32025
24	24	-461.65279	-453.06328	-455.30347	8.5895198	2.2401901	-448.0062	-441.85091	-441.85571
25	25	-425.27503	-418.26705	-422.2906	7.0079808	4.0235445	-412.91694	-409.09581	-408.91376
26	26	-355.40207	-350.01105	-353.17114	5.3910249	3.1600938	-343.86752	-341.25273	-341.31088
27	27	-444.87893	-430.13865	-433.04749	14.740274	2.9088402	-431.99374	-419.91718	-419.93996
28	28	-590.96434	-544.45219	-548.32553	46.512143	3.8733349	-577.90017	-533.51695	-533.48811
29	29	-457.72159	-445.66472	-449.30067	12.05687	3.6359494	-444.05709	-436.04566	-436.05078
30	30	-491.14811	-480.53927	-482.98927	10.608841	2.4500022	-478.72907	-470.34366	-470.35
31	31	-400.10822	-389.55732	-391.76687	10.550901	2.209551	-386.98496	-380.79685	-379.93552
32	32	-356.48869	-349.41119	-351.35483	7.0775009	1.943646	-346.35397	-340.58857	-340.60107
33	33	-478.26047	-472.88278	-472.86225	5.3776855	-0.020526496	-466.24098	-465.2683	-462.5407
34	34	-458.00836	-438.50888	-443.01898	19.499478	4.510103	-445.72774	-428.41799	-428.40887
35	35	-400.49609	-379.61352	-382.02352	20.882569	2.4099968	-387.62265	-369.57446	-369.46007
36	36	-452.71416	-448.1809	-449.40062	4.5332568	1.219721	-441.11083	-439.19008	-437.00939
37	37	-499.90297	-485.84562	-487.6361	14.057354	1.7904803	-486.16661	-474.91176	-473.47456
38	38	-403.40673	-396.48627	-395.92372	6.9204563	-0.56255085	-391.08524	-386.53888	-383.61756
39	39	-334.40534	-327.86094	-330.40878	6.5444031	2.5478446	-322.02412	-318.64692	-318.62115
40	40	-497.73033	-493.40795	-495.51963	4.3223873	2.1116854	-484.4812	-485.32109	-483.78252
41	41	-510.20907	-479.87515	-483.52389	30.333924	3.6487381	-498.2022	-469.84228	-469.84096
42	42	-378.55433	-378.9989	-378.51536	-0.44456856	-0.48353338	-374.17666	-369.36722	-364.71937
43	43	-501.19821	-484.38609	-486.07116	16.812124	1.6850789	-489.05511	-474.08717	-474.08314
44	44	-463.61881	-454.8105	-457.5135	8.808318	2.703005	-451.47407	-444.04075	-443.25656
45	45	-514.59389	-492.21567	-493.56732	22.37822	1.3516583	-501.48897	-479.4754	-479.46393
46	46	-394.99691	-382.03878	-384.72549	12.95813	2.6867179	-382.43054	-371.21948	-371.22209
47	47	-398.02287	-387.63779	-391.36106	10.385078	3.7232696	-387.61012	-378.15824	-378.15514
48	48	-449.70682	-444.59838	-447.11469	5.1084393	2.516311	-434.47317	-433.24006	-432.79941
49	49	-455.53549	-418.52908	-422.04261	37.006406	3.5135241	-442.1423	-406.99605	-406.99998
