No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-381.0148	-369.94927	-364.44172	11.065527	-5.5075555	-366.80617	-363.09495	-354.52717
1	1	-455.11754	-453.37199	-434.01942	1.7455527	-19.352575	-440.58419	-436.77848	-426.55071
2	2	-605.12948	-596.57496	-559.81524	8.5545181	-36.759723	-590.65778	-580.1421	-552.86656
3	3	-417.70838	-412.78027	-404.69837	4.9281192	-8.0818976	-403.83788	-404.6276	-397.3035
4	4	-733.66947	-703.97553	-674.30999	29.693943	-29.665542	-720.28222	-691.3879	-659.79496
5	5	-463.85236	-463.72823	-444.15669	0.1241261	-19.571541	-449.41371	-448.40298	-436.45
6	6	-450.09078	-446.8231	-431.49612	3.2676758	-15.326983	-437.70424	-430.97068	-416.83916
7	7	-420.31648	-404.08372	-400.74752	16.23276	-3.3362012	-405.38724	-384.8039	-385.23741
8	8	-533.78181	-523.57208	-507.3469	10.209731	-16.225177	-519.67902	-513.20293	-499.9084
9	9	-362.26117	-362.20688	-347.1887	0.054287633	-15.01818	-347.59778	-348.01539	-337.81541
10	10	-533.42639	-533.18889	-510.52172	0.23749939	-22.667169	-520.09076	-519.25849	-495.51661
11	11	-403.69117	-403.25854	-388.92203	0.43262996	-14.336511	-390.37624	-389.32398	-381.38532
12	12	-420.59875	-409.33334	-410.29383	11.265407	0.96048952	-407.45265	-402.8314	-402.17657
13	13	-370.91988	-370.43889	-364.14374	0.48099404	-6.2951463	-358.60238	-355.71098	-351.54514
14	14	-416.11969	-415.68967	-402.0027	0.43001738	-13.686972	-402.20478	-400.64788	-391.25456
15	15	-446.92994	-440.26024	-416.86489	6.6697016	-23.395345	-431.69181	-432.16699	-402.82382
16	16	-490.89394	-485.82718	-479.03882	5.0667605	-6.788356	-474.5038	-472.15693	-466.35702
17	17	-511.55251	-499.40454	-496.03303	12.147971	-3.3715153	-497.69823	-490.98004	-485.79704
18	18	-453.92085	-451.38436	-440.77563	2.5364899	-10.608723	-440.56089	-441.05832	-432.91487
19	19	-680.5374	-657.7463	-635.45122	22.791099	-22.295082	-665.63291	-651.82002	-624.14422
20	20	-640.92671	-636.14904	-628.16833	4.7776725	-7.9807097	-627.45408	-628.04584	-620.08845
21	21	-493.08161	-492.88172	-465.13657	0.19988799	-27.745148	-478.47607	-478.6503	-457.16654
22	22	-588.26655	-582.69389	-554.05	5.5726603	-28.643897	-573.31752	-567.30518	-547.26575
23	23	-571.45507	-564.56727	-562.79323	6.8877987	-1.7740374	-557.12658	-556.73912	-551.92755
24	24	-525.54736	-517.31551	-503.04062	8.2318408	-14.274893	-511.8351	-511.13834	-495.13312
25	25	-557.72377	-556.18573	-506.88532	1.538042	-49.300408	-542.45717	-536.67289	-496.19771
26	26	-562.1261	-553.52226	-531.73387	8.6038444	-21.788391	-548.27231	-547.39453	-524.38098
27	27	-589.9724	-578.30818	-552.07369	11.664215	-26.234494	-576.51046	-562.44763	-544.25893
28	28	-509.92727	-504.05382	-492.03077	5.8734472	-12.023052	-494.96429	-492.88617	-479.83483
29	29	-548.3992	-548.44442	-528.32685	-0.045219912	-20.117572	-533.68225	-534.10616	-517.39874
30	30	-467.94912	-464.16088	-453.09278	3.7882391	-11.068101	-454.89448	-455.34404	-444.62738
31	31	-540.78764	-531.08723	-510.00871	9.700413	-21.078522	-527.08048	-524.94513	-502.46195
32	32	-463.97448	-459.85918	-445.0344	4.1152956	-14.824782	-449.7492	-447.80066	-436.54448
33	33	-549.86384	-549.95206	-521.37257	-0.088223649	-28.579499	-536.22712	-536.56743	-513.43832
34	34	-460.70562	-454.31518	-438.61649	6.390431	-15.698697	-446.05977	-440.56485	-431.48045
35	35	-496.70586	-490.48369	-490.20352	6.2221717	-0.28017152	-487.16078	-484.37842	-483.34146
36	36	-559.04232	-549.48834	-533.73023	9.5539725	-15.758113	-545.9651	-543.37827	-526.50777
37	37	-486.76072	-485.16366	-464.6875	1.5970646	-20.476159	-473.28374	-469.5453	-457.56203
38	38	-579.53384	-562.8808	-551.10916	16.653041	-11.77164	-565.95199	-548.46069	-543.46298
