No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-337.14151	-337.76202	-339.91457	-0.62050949	2.1525515	-332.85056	-331.49771	-331.49789
1	1	-301.57139	-302.62682	-304.37784	-1.0554272	1.7510224	-298.44265	-297.30825	-296.95177
2	2	-331.58483	-332.6546	-334.74518	-1.0697705	2.0905795	-327.36666	-326.33994	-325.17844
3	3	-249.226	-251.19038	-252.94906	-1.9643856	1.7586777	-245.33848	-245.761	-245.76242
4	4	-285.26381	-286.48683	-288.07293	-1.2230199	1.5861052	-281.8832	-282.30071	-281.96689
5	5	-361.33381	-362.46639	-363.38706	-1.1325757	0.92066581	-357.72875	-356.98093	-352.6339
6	6	-222.49669	-222.19963	-224.91789	0.29705709	2.7182536	-219.82055	-216.7741	-216.78401
7	7	-284.87187	-286.46909	-288.24085	-1.5972186	1.7717558	-281.71911	-282.13663	-282.13661
8	8	-269.62916	-271.40937	-273.63718	-1.7802103	2.2278104	-266.85209	-267.26953	-267.2697
9	9	-318.66279	-311.26099	-310.47541	7.401801	-0.7855812	-314.65473	-304.29425	-296.19371
10	10	-345.91711	-347.45568	-348.96842	-1.5385726	1.5127442	-342.0056	-342.42367	-338.59792
11	11	-302.74646	-299.57293	-302.15948	3.1735306	2.5865523	-295.21126	-291.95845	-291.95825
12	12	-372.86392	-372.59347	-375.15543	0.27044113	2.5619552	-369.3436	-366.34259	-366.34237
13	13	-357.82216	-358.63106	-360.27623	-0.80890267	1.645165	-354.20972	-354.62802	-352.98129
14	14	-374.93393	-376.09533	-376.8762	-1.1613976	0.78087116	-368.84558	-369.27947	-362.71512
15	15	-246.94143	-247.93744	-249.76637	-0.99600877	1.8289252	-243.12263	-241.40565	-240.45456
16	16	-366.01078	-363.82221	-366.80751	2.1885687	2.985298	-362.38646	-356.96608	-356.96491
17	17	-274.43809	-275.0127	-276.8317	-0.57460389	1.819005	-270.68223	-268.6864	-267.85447
18	18	-392.97968	-390.20915	-392.0032	2.7705245	1.7940444	-385.9805	-382.0852	-377.02925
19	19	-302.56559	-304.45294	-305.79006	-1.8873529	1.3371186	-299.61524	-300.03651	-297.55135
20	20	-285.80562	-286.38326	-288.85798	-0.57763999	2.4747145	-282.56432	-281.55294	-281.55518
21	21	-441.99674	-440.30188	-438.89415	1.6948611	-1.4077282	-432.77438	-427.99036	-424.20132
22	22	-289.88669	-291.03084	-292.80947	-1.1441463	1.778633	-286.80261	-285.75897	-284.91213
23	23	-341.55061	-340.91428	-343.58771	0.63632947	2.6734308	-337.68317	-335.04705	-335.04912
24	24	-229.42035	-230.33386	-232.18381	-0.91351084	1.8499484	-226.84471	-225.12152	-225.12094
25	25	-488.40187	-487.64985	-487.59697	0.75201891	-0.052885848	-481.44944	-479.80394	-474.65221
26	26	-338.64023	-339.72508	-341.99668	-1.0848452	2.2715973	-334.492	-333.56154	-333.5513
27	27	-199.03918	-200.97951	-202.22934	-1.940326	1.2498304	-196.58168	-197.00151	-196.99984
28	28	-298.10404	-299.0681	-301.13269	-0.96405719	2.0645907	-294.78011	-293.16042	-292.26687
29	29	-294.40891	-295.62307	-296.7288	-1.2141515	1.1057374	-288.46205	-287.05545	-282.82346
30	30	-349.46661	-350.64321	-348.29004	-1.1766051	-2.3531711	-344.031	-343.68707	-337.78024
31	31	-441.8375	-439.65084	-441.59925	2.186663	1.9484164	-425.6545	-424.2417	-422.67182
32	32	-327.86511	-329.628	-330.89713	-1.7628928	1.2691323	-324.53767	-324.95548	-322.03556
33	33	-298.13783	-299.60002	-300.6887	-1.4621925	1.088678	-294.67566	-295.09475	-293.71003
34	34	-350.8097	-352.48846	-352.08721	-1.6787502	-0.40124779	-345.96106	-346.38676	-339.37589
35	35	-281.14902	-281.59584	-283.31056	-0.44682101	1.7147222	-278.08863	-276.48859	-273.78482
36	36	-310.68853	-311.37727	-313.47768	-0.68873082	2.1004162	-307.62431	-305.21834	-304.16164
37	37	-299.80317	-300.41077	-301.72327	-0.60759911	1.3124958	-296.51274	-294.46263	-290.58707
38	38	-397.11859	-396.0371	-397.42539	1.0814872	1.3882925	-393.31	-389.45777	-384.49839
39	39	-498.73076	-495.43367	-494.16926	3.2970874	-1.2644094	-487.83579	-480.38859	-477.04138
40	40	-378.95681	-379.0078	-380.08249	-0.050987728	1.074692	-375.14612	-372.78284	-368.62474
41	41	-347.85612	-346.94345	-349.98255	0.91266821	3.0391034	-340.19279	-337.73623	-336.40484
42	42	-325.44825	-326.90937	-326.08444	-1.4611147	-0.82492578	-321.77936	-322.19702	-316.6769
