No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-539.6547	-540.97305	-516.98366	-1.3183506	-23.989394	-527.21047	-527.6305	-503.46343
1	1	-372.11723	-373.83514	-358.6353	-1.7179128	-15.199839	-359.74534	-360.16772	-348.79639
2	2	-451.12535	-452.26767	-453.02243	-1.1423211	0.75475507	-443.00685	-442.98064	-444.19913
3	3	-334.3293	-335.5645	-330.46423	-1.2351965	-5.1002734	-321.39167	-321.81909	-320.06001
4	4	-393.74467	-394.78791	-382.5248	-1.0432385	-12.263108	-381.53558	-381.95966	-369.46519
5	5	-415.50315	-416.73454	-410.11629	-1.2313818	-6.6182421	-403.23841	-403.67012	-394.72837
6	6	-383.81442	-384.98551	-369.43158	-1.1710914	-15.553934	-370.81328	-371.2316	-357.45365
7	7	-550.468	-551.11088	-526.28303	-0.64288179	-24.827855	-537.67656	-538.10706	-514.48537
8	8	-529.46119	-530.22745	-506.49369	-0.76626364	-23.733769	-517.53357	-516.77884	-491.07158
9	9	-555.25164	-556.83972	-511.43851	-1.5880806	-45.401207	-542.39505	-542.81307	-503.49758
10	10	-564.43499	-564.87895	-545.29467	-0.44395838	-19.584273	-552.39319	-552.85715	-532.37848
11	11	-453.38181	-453.72677	-439.86896	-0.34495338	-13.857807	-438.06598	-438.65126	-422.25901
12	12	-387.33747	-388.3229	-373.50336	-0.98543188	-14.819541	-372.67859	-373.1981	-359.36568
13	13	-475.53281	-476.15396	-453.64347	-0.62115034	-22.510488	-462.41278	-462.83516	-442.16531
14	14	-330.43956	-330.63438	-319.5667	-0.19482704	-11.067681	-317.73252	-316.28493	-309.5143
15	15	-549.34964	-549.84874	-545.55445	-0.49910775	-4.2942896	-538.79255	-539.18551	-532.20108
16	16	-294.29919	-295.56085	-291.40942	-1.2616587	-4.1514284	-283.81934	-284.28287	-280.82518
17	17	-435.87081	-436.27755	-430.01098	-0.40673552	-6.2665673	-427.01292	-426.94281	-415.87898
18	18	-402.09985	-402.29143	-389.43768	-0.19157947	-12.853757	-388.93844	-387.92242	-376.90633
19	19	-417.88964	-416.77634	-400.35768	1.1133036	-16.418652	-405.63633	-402.18139	-389.15058
20	20	-405.55537	-406.68111	-393.59091	-1.1257449	-13.090208	-392.24078	-392.65931	-383.87701
21	21	-482.7903	-482.78084	-472.45236	0.0094687218	-10.328477	-467.35455	-467.88762	-459.20122
22	22	-389.37735	-390.91812	-385.47261	-1.5407624	-5.4455099	-379.52717	-380.06049	-376.54871
23	23	-511.76425	-510.60592	-489.15968	1.1583277	-21.446244	-499.34719	-495.99932	-475.96685
24	24	-428.69415	-429.26907	-408.25186	-0.57491724	-21.017208	-415.40752	-415.83478	-399.04239
25	25	-561.92873	-561.1939	-513.05983	0.73483161	-48.134069	-549.55134	-546.74584	-499.47181
26	26	-481.6083	-481.90124	-467.46941	-0.29294179	-14.431839	-469.05017	-468.56613	-457.74176
27	27	-429.65708	-428.76559	-421.69807	0.89148451	-7.0675216	-416.29999	-414.51509	-410.6546
