No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2
0	0	-336.1342	-336.66908	-338.41083	-0.53488073	1.7417444
1	1	-286.96388	-289.6259	-289.42072	-2.6620179	-0.20517581
2	2	-328.93954	-331.36472	-331.67511	-2.4251714	0.31039754
3	3	-251.05128	-251.89785	-253.64378	-0.84657103	1.7459255
4	4	-264.01001	-264.94932	-261.85636	-0.93930421	-3.0929598
5	5	-360.31474	-362.68528	-362.08023	-2.3705424	-0.60505474
6	6	-218.0054	-219.90861	-221.70404	-1.9032039	1.7954313
7	7	-262.28771	-266.57583	-267.56317	-4.2881157	0.98734684
8	8	-266.75465	-268.24039	-269.41927	-1.4857424	1.1788852
9	9	-307.98285	-305.92742	-306.40418	2.0554255	0.47675977
10	10	-336.56185	-337.87358	-337.8629	-1.3117264	-0.010679572
11	11	-296.57899	-295.93848	-297.9812	0.64050838	2.0427168
12	12	-362.42374	-365.00521	-365.48007	-2.5814633	0.47486543
13	13	-331.46093	-332.38452	-336.12304	-0.92358669	3.7385234
14	14	-372.20439	-373.10209	-374.82069	-0.89769639	1.7186059
15	15	-245.05471	-246.59119	-247.98393	-1.5364805	1.3927455
16	16	-357.07055	-358.94723	-359.66912	-1.8766736	0.72189124
17	17	-273.37812	-274.10858	-276.5768	-0.73046266	2.4682115
18	18	-383.70294	-383.48024	-385.47995	0.22269394	1.9997107
19	19	-299.52132	-300.53822	-301.87546	-1.016904	1.3372323
20	20	-280.17227	-280.67637	-282.36785	-0.50409928	1.6914817
21	21	-430.65863	-431.25023	-432.10953	-0.59160115	0.85929451
22	22	-282.94405	-282.64297	-285.78499	0.30108226	3.1420207
23	23	-325.44548	-327.03026	-330.23619	-1.5847724	3.2059331
24	24	-222.4248	-223.56728	-225.30033	-1.142482	1.7330471
25	25	-474.28468	-473.54568	-475.92982	0.73900484	2.3841449
26	26	-305.92998	-311.0769	-308.23362	-5.1469275	-2.8432822
27	27	-201.94548	-203.03117	-204.75081	-1.085682	1.7196461
28	28	-288.49008	-289.17415	-291.70757	-0.68407228	2.5334252
29	29	-293.78297	-293.76508	-294.82717	0.017894337	1.0620906
30	30	-328.99693	-331.35856	-330.89275	-2.3616349	-0.46581401
31	31	-426.27807	-426.79677	-427.9141	-0.51869609	1.1173353
32	32	-322.7338	-323.59407	-325.18103	-0.86027228	1.5869519
33	33	-296.90919	-299.05054	-300.8363	-2.1413479	1.7857595
34	34	-343.38778	-347.83721	-345.04156	-4.4494311	-2.7956463
35	35	-275.03213	-276.93163	-278.81607	-1.8994974	1.8844465
36	36	-303.0651	-305.39161	-306.50879	-2.3265084	1.1171767
37	37	-288.31687	-288.95951	-291.71168	-0.64264119	2.7521749
38	38	-378.17147	-379.38591	-377.80723	-1.2144472	-1.5786844
39	39	-457.14964	-461.20906	-461.81771	-4.0594219	0.60865061
40	40	-374.48697	-376.2945	-377.5377	-1.8075255	1.2432043
41	41	-370.63489	-371.34892	-373.47058	-0.7140341	2.1216574
42	42	-331.80894	-333.0428	-334.31073	-1.2338588	1.2679323
43	43	-199.30899	-200.79049	-205.1627	-1.4814982	4.3722091
44	44	-337.02234	-339.07432	-340.12416	-2.0519832	1.0498389
45	45	-322.39897	-324.06106	-326.92547	-1.6620972	2.8644025
46	46	-335.86803	-337.69938	-338.18482	-1.8313503	0.48543615
47	47	-329.23982	-329.77754	-333.57847	-0.53772469	3.8009326
48	48	-239.20452	-240.76489	-243.51241	-1.5603752	2.7475156
49	49	-304.66525	-306.0634	-305.58706	-1.398152	-0.47634142
50	50	-332.97695	-334.66194	-334.79634	-1.6849882	0.13440554
51	51	-312.56008	-313.35363	-315.36194	-0.79354776	2.0083089
52	52	-301.11909	-302.53141	-305.9265	-1.4123273	3.3950854
53	53	-227.99017	-229.6806	-232.31702	-1.6904294	2.6364181
54	54	-400.93552	-400.75404	-404.04597	0.18148607	3.2919361
55	55	-318.01757	-319.8911	-321.12556	-1.8735254	1.2344597
56	56	-508.01407	-510.11698	-507.76427	-2.1029134	-2.3527103
57	57	-244.55554	-246.34747	-250.91552	-1.791923	4.5680583
58	58	-369.11856	-369.66844	-370.33371	-0.54987977	0.66527522
59	59	-285.13902	-285.53841	-287.29279	-0.39939007	1.7543825
60	60	-312.73449	-313.46279	-316.23592	-0.72830009	2.7731371
61	61	-312.4305	-313.94926	-318.45487	-1.5187562	4.5056126
62	62	-345.70206	-347.61149	-348.87942	-1.9094226	1.2679357
63	63	-252.83662	-254.11679	-257.51782	-1.2801669	3.4010327
64	64	-372.70002	-374.23396	-375.75535	-1.5339366	1.5213843
65	65	-355.78655	-355.7293	-357.2308	0.057252314	1.5015011
66	66	-336.44381	-337.76316	-338.74402	-1.3193447	0.98086321
67	67	-314.79705	-316.25958	-320.44971	-1.462534	4.1901257
68	68	-325.36548	-326.98307	-328.24837	-1.6175904	1.2653022
69	69	-265.23673	-265.95454	-269.71565	-0.71781587	3.7611102
70	70	-343.87771	-345.96546	-349.12827	-2.0877571	3.162805
71	71	-331.28569	-333.15444	-336.42831	-1.8687545	3.2738639
72	72	-407.02843	-407.80886	-407.71693	-0.78042861	-0.091934623
73	73	-324.93364	-326.45514	-328.53086	-1.5214995	2.0757113
74	74	-261.50922	-263.07473	-266.61992	-1.5655096	3.545183
75	75	-384.97626	-386.86519	-385.975	-1.8889303	-0.89018418
76	76	-283.77036	-285.10077	-287.30872	-1.3304069	2.207951
77	77	-330.50188	-331.31712	-334.61351	-0.81523811	3.2963856
78	78	-245.56517	-247.03754	-248.95491	-1.4723712	1.9173675
79	79	-309.3948	-311.54225	-313.98459	-2.1474432	2.4423409
80	80	-366.00381	-366.94395	-369.81137	-0.94013618	2.8674221
81	81	-445.82632	-439.67687	-444.76637	6.1494462	5.0894954
82	82	-306.14389	-307.86139	-308.01689	-1.7175004	0.15549938
83	83	-450.71572	-451.27856	-452.22742	-0.56283996	0.9488601
84	84	-334.61579	-335.22857	-337.37712	-0.61278821	2.1485448
85	85	-284.81006	-286.57715	-287.84878	-1.7670876	1.2716299
86	86	-415.93625	-417.26525	-417.26403	-1.3289998	-0.0012219741
87	87	-232.44826	-233.60818	-237.20985	-1.159924	3.6016628
88	88	-267.3613	-269.00067	-273.54298	-1.639363	4.542317
89	89	-319.73624	-321.21775	-319.43392	-1.4815155	-1.783827
90	90	-447.75947	-448.73899	-450.85807	-0.97952406	2.1190717
91	91	-324.7629	-326.10349	-328.91957	-1.3405925	2.8160827
92	92	-311.19012	-312.75398	-314.18495	-1.5638631	1.4309711
93	93	-272.08672	-273.77491	-277.51016	-1.688194	3.7352442
94	94	-241.2736	-242.99139	-245.35774	-1.7177832	2.3663575
95	95	-289.26229	-290.60881	-294.13072	-1.3465158	3.5219091
96	96	-209.45046	-211.96321	-215.36857	-2.5127492	3.4053596
97	97	-348.49817	-349.11344	-350.09552	-0.61527117	0.98207503
98	98	-242.21143	-243.54587	-248.02769	-1.3344441	4.4818193
99	99	-419.0996	-419.8623	-420.5834	-0.76270134	0.72109351
