No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-315.19204	-315.59339	-315.98965	-0.40134867	0.39626583	-312.056	-310.65632	-310.68825
1	1	-280.44533	-280.92416	-281.43683	-0.47883133	0.51266295	-277.64824	-276.07586	-276.15149
2	2	-310.19404	-310.75995	-311.09256	-0.56590994	0.33261069	-306.57177	-305.86842	-305.58821
3	3	-228.60699	-229.27977	-229.8031	-0.67277966	0.52332898	-224.54367	-224.98968	-224.97677
4	4	-264.01763	-264.76588	-265.03423	-0.74824948	0.26835152	-261.08879	-261.45944	-261.47811
5	5	-339.32752	-339.97032	-339.40631	-0.64280529	-0.56401372	-336.93434	-336.19373	-331.80393
6	6	-202.34269	-202.15608	-203.04877	0.18661138	0.89269485	-199.02613	-195.98022	-195.97699
7	7	-263.83497	-264.60569	-265.16606	-0.77072345	0.56036218	-260.9247	-261.34276	-261.34299
8	8	-248.92431	-249.67611	-250.06804	-0.75180096	0.3919266	-246.05767	-246.47661	-246.47514
9	9	-297.32325	-287.51558	-289.3388	9.8076702	1.8232212	-294.56692	-275.39898	-275.40033
10	10	-324.17617	-324.85914	-325.1494	-0.68296859	0.2902659	-321.21156	-321.65558	-318.61556
11	11	-281.05652	-278.60359	-279.4848	2.4529304	0.88120157	-274.4175	-271.16605	-271.16379
12	12	-350.98676	-350.44319	-351.08243	0.5435756	0.63924285	-348.54919	-345.5573	-345.54994
13	13	-335.93222	-336.69857	-336.88542	-0.76634675	0.18684561	-333.4153	-333.83336	-332.18898
14	14	-352.5568	-353.20522	-352.89593	-0.64841736	-0.30929102	-348.05128	-346.89333	-341.97185
15	15	-226.35211	-227.61819	-227.15009	-1.2660772	-0.46809599	-222.3282	-219.65494	-219.81371
16	16	-343.998	-342.94752	-343.76807	1.0504809	0.8205524	-341.59208	-336.17022	-336.17919
17	17	-253.31962	-253.60162	-254.08351	-0.28200259	0.48188911	-248.79288	-246.83063	-247.24142
18	18	-371.03213	-368.03517	-369.01496	2.9969546	0.9797904	-365.33539	-357.74311	-356.5158
19	19	-281.49944	-281.97415	-282.35959	-0.47470779	0.38544543	-278.82083	-276.77131	-276.76582
20	20	-264.646	-265.15535	-265.69192	-0.50935461	0.53657105	-261.76991	-260.76104	-260.75965
21	21	-419.25506	-418.54723	-415.726	0.70782753	-2.8212296	-412.23953	-406.67901	-403.45859
22	22	-268.84979	-269.317	-269.91992	-0.46721576	0.60291091	-266.0082	-264.30543	-264.20234
23	23	-319.50271	-319.47331	-320.0942	0.029402161	0.6208923	-316.88875	-314.25812	-314.25806
24	24	-209.61419	-211.13696	-210.36094	-1.5227618	-0.77601757	-206.0503	-204.32632	-204.33248
25	25	-465.8319	-464.4229	-464.97359	1.4089966	0.55068738	-463.78409	-457.35168	-455.14161
26	26	-316.67331	-317.3451	-317.76336	-0.67179836	0.41825597	-313.69756	-312.76313	-312.77073
27	27	-179.20943	-180.14681	-180.26936	-0.9373771	0.12255545	-175.78726	-176.20469	-176.20496
28	28	-276.85409	-277.11145	-277.58756	-0.25736802	0.4761086	-273.9857	-272.36536	-271.83984
29	29	-273.5667	-273.88228	-274.0877	-0.31557822	0.20542472	-267.66759	-266.09836	-262.14689
30	30	-327.61281	-328.24462	-325.25585	-0.63180751	-2.9887659	-322.69074	-323.40278	-316.8163
31	31	-421.90491	-418.54896	-419.5502	3.3559447	1.0012371	-405.13813	-402.03143	-401.87938
32	32	-306.45428	-307.01077	-307.26325	-0.55648954	0.25248125	-303.74325	-303.47889	-301.18405
33	33	-276.61343	-277.13136	-277.77097	-0.51792747	0.63960801	-273.88124	-272.91993	-272.92353
34	34	-328.8374	-328.31485	-329.04763	0.52254715	0.73277174	-325.16662	-321.3624	-318.58098
35	35	-260.08261	-259.93917	-260.54303	0.14343892	0.60385061	-257.29421	-253.0711	-253.08599
36	36	-289.57631	-289.92362	-290.32274	-0.34731256	0.39912162	-286.82987	-284.42343	-283.85658
37	37	-278.31955	-278.85243	-278.92617	-0.53287733	0.073748365	-275.71829	-273.70327	-269.29107
38	38	-374.87328	-374.498	-374.0252	0.37528744	-0.4727977	-372.51558	-368.66358	-363.86027
39	39	-476.79015	-476.31972	-473.34161	0.47043546	-2.9781104	-467.08601	-457.64659	-456.66117
40	40	-356.79674	-356.53236	-356.88386	0.26438577	0.35150335	-354.3517	-350.10875	-348.44434
41	41	-325.88136	-326.05773	-326.42868	-0.1763732	0.37095321	-318.65822	-317.68655	-316.1576
42	42	-303.55262	-304.41796	-302.71852	-0.86533741	-1.6994376	-300.98494	-301.27191	-295.88974
43	43	-173.34272	-173.83586	-174.12807	-0.49313841	0.29221726	-169.59982	-170.01815	-170.01733
44	44	-324.98171	-325.24862	-325.78574	-0.26691222	0.5371177	-319.15056	-317.68589	-317.69555
45	45	-289.56045	-290.22869	-290.66575	-0.66824413	0.43706079	-287.03296	-286.23513	-286.2295
46	46	-304.89264	-305.17988	-304.59313	-0.28723809	-0.58674622	-302.30299	-300.22837	-293.20722
47	47	-326.41746	-323.08007	-323.94951	3.3373886	0.86943918	-319.22231	-315.36428	-315.53749
48	48	-226.99586	-227.08639	-228.0711	-0.090526126	0.98471483	-223.807	-221.18047	-221.17892
49	49	-284.24995	-282.16487	-283.26706	2.0850863	1.1021929	-277.1938	-272.1741	-272.15465
50	50	-305.29133	-305.14322	-305.34276	0.14810977	0.19954174	-299.36041	-298.3408	-297.53114
51	51	-294.26943	-294.62788	-295.10601	-0.35844876	0.47813087	-289.42425	-289.95662	-288.77093
52	52	-272.06052	-270.40523	-271.37402	1.655281	0.9687811	-269.33371	-263.10483	-263.11029
53	53	-215.47275	-216.05498	-216.56396	-0.5822302	0.50897952	-211.379	-210.91123	-211.91652
