No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	optM
6	0	-985.55402	-861.85527	-863.07741	123.69875	1.2221429	1
6	1	-507.60906	-483.17768	-487.9536	24.431378	4.77592	1
6	2	-721.30642	-691.58403	-691.65846	29.722385	0.074426142	1
6	3	-710.68777	-681.83674	-682.35893	28.851025	0.5221931	1
6	4	-903.32762	-841.82413	-841.50559	61.503492	-0.31854268	2
6	5	-1057.0873	-928.27874	-930.00805	128.80851	1.7293069	1
6	6	-737.19932	-678.9073	-685.51357	58.292023	6.6062782	1
6	7	-1164.1013	-1034.187	-1032.5069	129.91425	-1.6801142	2
6	8	-852.73142	-744.05872	-733.989	108.6727	-10.069718	2
6	9	-707.26052	-657.12116	-657.4227	50.139362	0.30154236	1
6	10	-717.89667	-646.45094	-652.81726	71.445737	6.3663208	1
6	11	-727.86041	-686.14908	-687.45404	41.71133	1.3049598	1
6	12	-772.08579	-731.56617	-736.85829	40.519616	5.2921128	1
6	13	-1382.7783	-1193.6875	-1134.6542	189.09072	-59.033331	2
6	14	-939.36082	-828.15156	-826.48527	111.20926	-1.6662899	2
6	15	-1117.1988	-1029.7906	-1028.8448	87.408113	-0.94585471	2
6	16	-1102.9232	-1003.8384	-1003.635	99.084814	-0.20342167	2
6	17	-1132.9026	-1048.28	-979.43305	84.62261	-68.846979	2
6	18	-750.87482	-689.99506	-697.1248	60.87976	7.129744	1
6	19	-835.24024	-776.51406	-776.47803	58.726179	-0.036027073	2
6	20	-768.6536	-720.26747	-719.40201	48.386126	-0.86546048	2
6	21	-691.76528	-648.96606	-655.95791	42.799222	6.99185	1
6	22	-908.43869	-824.25447	-821.59624	84.184217	-2.6582308	2
6	23	-720.28233	-660.05148	-661.46077	60.230848	1.4092876	1
6	24	-987.55599	-945.62263	-945.07793	41.933364	-0.54469765	2
6	25	-640.29249	-597.73106	-604.1463	42.561427	6.4152396	1
6	26	-748.5735	-686.01982	-687.29491	62.55368	1.2750852	1
6	27	-800.88982	-738.62451	-740.25917	62.265304	1.6346573	1
6	28	-879.44162	-793.44512	-793.54427	85.996498	0.099146617	1
6	29	-637.65154	-579.25931	-585.74598	58.392225	6.4866715	1
6	30	-816.03924	-770.80427	-753.57755	45.234972	-17.226713	2
