No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-476.80542	-477.01963	-475.22683	-0.21421378	-1.7927971	-459.79363	-460.21241	-458.19823
1	1	-1063.315	-1037.2632	-992.55822	26.05179	-44.705031	-1049.71	-1015.2071	-966.48605
2	2	-367.14663	-363.03416	-364.89407	4.1124739	1.85991	-362.72388	-351.40711	-351.43964
3	3	-631.40942	-608.68861	-599.28206	22.720804	-9.406557	-614.85395	-587.84822	-581.59126
4	4	-753.39876	-731.47193	-716.40926	21.926827	-15.062671	-737.78115	-714.69371	-697.88531
5	5	-540.53806	-486.57579	-488.34616	53.962268	1.770373	-524.91507	-473.05651	-473.06859
6	6	-699.97933	-698.25664	-685.46786	1.7226899	-12.788779	-685.83052	-677.85405	-663.56825
7	7	-682.47948	-641.33549	-641.12615	41.143993	-0.20933594	-665.73351	-617.86211	-617.86511
8	8	-645.12745	-621.7708	-620.11359	23.356656	-1.6572131	-630.34815	-603.09522	-603.50297
9	9	-759.77499	-735.81649	-735.96776	23.958499	0.1512712	-745.25799	-712.99643	-712.99522
10	10	-573.21373	-561.40293	-560.86947	11.810798	-0.53345973	-560.05002	-539.73815	-538.39284
11	11	-354.3492	-353.53583	-353.72656	0.81336228	0.19072431	-351.88394	-346.52409	-343.17294
12	12	-480.09679	-463.57926	-464.41791	16.517527	0.83864797	-468.72567	-450.94065	-447.05854
13	13	-441.66155	-428.51937	-430.4078	13.142179	1.8884238	-437.36591	-416.75119	-416.74401
14	14	-1196.6807	-1066.6682	-1047.9569	130.0125	-18.711266	-1182.1208	-1043.8461	-1026.3626
15	15	-680.97047	-660.63651	-639.05139	20.333959	-21.585127	-664.37335	-639.34448	-618.95196
16	16	-882.64597	-845.03361	-826.62891	37.612358	-18.404698	-868.28127	-832.15923	-808.07873
17	17	-323.38727	-319.54437	-321.4949	3.8429	1.9505327	-319.39237	-306.80176	-306.88871
18	18	-1174.0281	-1106.2765	-1057.3427	67.751579	-48.933791	-1162.1795	-1086.4495	-1035.1898
19	19	-661.94569	-598.60679	-600.33642	63.338907	1.7296386	-648.4633	-584.92446	-584.92785
20	20	-364.64641	-361.68801	-362.8234	2.9584009	1.1353953	-359.75586	-347.88723	-347.85352
21	21	-529.24671	-518.69711	-511.45267	10.549605	-7.2444358	-514.9977	-496.90723	-493.56267
22	22	-474.31966	-460.1003	-461.43623	14.219358	1.3359303	-469.5708	-450.43891	-450.4461
23	23	-545.87762	-537.74464	-528.62662	8.1329834	-9.1180203	-527.64212	-514.67992	-505.88366
24	24	-508.30878	-504.60967	-503.35276	3.6991108	-1.256901	-506.24005	-494.79904	-488.22108
25	25	-629.99892	-628.6742	-623.25953	1.3247262	-5.4146635	-614.35763	-610.5984	-602.94988
26	26	-371.47235	-359.19929	-360.68223	12.273064	1.4829406	-360.24182	-345.2822	-345.26725
27	27	-289.66371	-278.35791	-278.88972	11.305797	0.53180679	-280.44395	-271.97029	-271.70729
28	28	-564.26743	-548.86475	-550.94834	15.402679	2.0835917	-552.94048	-535.41703	-535.24438
29	29	-955.99951	-916.53014	-916.45603	39.469372	-0.074110795	-939.87045	-894.00784	-894.00762
30	30	-920.96196	-908.02171	-888.8046	12.940257	-19.217103	-908.49001	-887.8082	-865.48319
