No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
0	5.49468	0.127389	0.150693	0.314384	0	0	0.99	0.01	0	0	1	0	0	0	1	0	0	0	0.00642857	0.00285714	0.990714	0	0.00642857	0.00428571	0.989286	0	0.00785714	0.000714286	0.991429	0	0	0.0235714	0.976429	0	0	0	1	0	0.996429	0.00357143	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999286	0.000714286	0	0	1	0	0	0	0.993571	0.00642857	0	0	1	0	0	0	1	0	0	0	0.00785714	0.00285714	0.989286	0	0.00785714	0.992143	0	0	0	0.997857	0.00214286	0	0.212857	0.787143	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
100	4.3818	0.169641	0.317604	0.30422	0	0	0.441429	0.558571	0	0	0.095	0.905	0	0	0.00285714	0.997143	0	0	0	0	1	0	0	0.00428571	0.995714	0	0.00357143	0.0585714	0.937857	0	0	0	1	0	0	0.115714	0.884286	0	0.604286	0.395714	0	0	0.997857	0.00214286	0	0	0.0685714	0.931429	0	0	1	0	0	0	0.999286	0.000714286	0	0	0.197143	0.802857	0	0	0.970714	0.0292857	0	0	0.957857	0.0421429	0	0	0.441429	0.558571	0	0	0.464286	0.535714	0	0	0	0.0571429	0.942857	0	0.00357143	0.974286	0.0221429	0	0	1	0	0	0.308571	0.691429	0	0	0.998571	0.00142857	0	0	0.998571	0.00142857	0	0	1	0	0	0	0.999286	0.000714286	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
1	2.39207	0.206775	0.821102	0.130815	0	0	0.00357143	0.996429	0	0	0.00285714	0.997143	0	0	0	1	0	0	0.000714286	0.115	0.884286	0	0.000714286	0.00357143	0.995714	0	0.000714286	0.532143	0.467143	0	0.00714286	0.942143	0.0507143	0	0.00928571	0.939286	0.0514286	0	0.02	0.98	0	0	0.0214286	0.978571	0	0	0.00214286	0.997857	0	0	0.00214286	0.997857	0	0	0	1	0	0	0	1	0	0	0.0135714	0.986429	0	0	0.00357143	0.996429	0	0	0.00357143	0.996429	0	0	0.00642857	0.993571	0	0	0.000714286	0.259286	0.74	0	0.000714286	0.915714	0.0835714	0	0.0192857	0.942857	0.0378571	0	0.02	0.963571	0.0164286	0	0.0214286	0.978571	0	0	0.0214286	0.978571	0	0	0.00214286	0.997857	0	0	0	1	0	0	0.00214286	0.997857	0	0	0.0178571	0.982143	0	0	0.0228571	0.977143	0	0	0.0235714	0.976429	0	0	0.388571	0.611429	0
101	4.00354	0.108307	0.359005	0.206646	0	0	1	0	0	0	0.0207143	0.979286	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0.005	0.00142857	0.993571	0	0	0	1	0	0	0.944286	0.0557143	0	0.416429	0.583571	0	0	0.309286	0.690714	0	0	0.986429	0.0135714	0	0	0.999286	0.000714286	0	0	0.00642857	0.993571	0	0	0.00214286	0.997857	0	0	1	0	0	0	0.46	0.54	0	0	1	0	0	0	1	0	0	0	0	0.0957143	0.904286	0	0.00642857	0.198571	0.795	0	0	1	0	0	0.0292857	0.970714	0	0	0.418571	0.581429	0	0	0.545	0.455	0	0	0.999286	0.000714286	0	0	0.633571	0.366429	0	0	0.999286	0.000714286	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
2	10.7559	0.16216	0.143119	0.211289	0	0	0.995714	0.00428571	0	0	1	0	0	0	0.999286	0.000714286	0	0	0	0	1	0	0	0	1	0	0	0.000714286	0.999286	0	0.475714	0.524286	0	0	0.596429	0.403571	0	0	0.998571	0.00142857	0	0	0.996429	0.00357143	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.993571	0.00642857	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0.657857	0.342143	0	0	0.707143	0.292857	0	0	0.998571	0.00142857	0	0	0.998571	0.00142857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
102	1.85447	0.337757	0.817958	0.109346	0	0	0	1	0	0	0.000714286	0.999286	0	0	0.00285714	0.997143	0	0	0	0.397857	0.602143	0	0	0.403571	0.596429	0	0	0.886429	0.113571	0	0	0.532143	0.467857	0	0	0.761429	0.238571	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000714286	0.999286	0	0	0.00571429	0.994286	0	0	0	0.428571	0.571429	0	0	0.964286	0.0357143	0	0	0.820714	0.179286	0	0	0.975	0.025	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00428571	0.995714	0	0	0.372857	0.627143	0
3	2.74616	0.361879	0.82925	0.197349	0	0	0.000714286	0.999286	0	0	0.000714286	0.999286	0	0	0	1	0	0	0	0.240714	0.759286	0	0	0.242857	0.757143	0	0	0.595714	0.404286	0	0	0.598571	0.401429	0	0	0	1	0	0.00142857	0.998571	0	0	0.00142857	0.998571	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00214286	0.997857	0	0	0.000714286	0.999286	0	0	0.01	0.99	0	0	0	0.514286	0.485714	0	0	0.997857	0.00214286	0	0	0.966429	0.0335714	0	0.000714286	0.999286	0	0	0.00142857	0.998571	0	0	0.00142857	0.998571	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00285714	0.997143	0	0	0.00928571	0.990714	0	0	0.392143	0.607857	0
103	3.63339	0.160481	0.45713	0.189098	0	0	0.323571	0.676429	0	0	0.76	0.24	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.995	0.005	0	0	0	1	0	0.00142857	0.998571	0	0	0.00142857	0.998571	0	0	0.075	0.925	0	0	0.358571	0.641429	0	0	0.594286	0.405714	0	0	0.122143	0.877857	0	0	0.287857	0.712143	0	0	0.0792857	0.920714	0	0	0.76	0.24	0	0	0.76	0.24	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0.00142857	0.998571	0	0	0.108571	0.891429	0	0	0.368571	0.631429	0	0	0.594286	0.405714	0	0	0.594286	0.405714	0	0	0.594286	0.405714	0	0	0.595714	0.404286	0	0	0.598571	0.401429	0	0	0.852143	0.147857	0
4	2.19217	0.317053	0.807983	0.125517	0	0	0.0371429	0.962857	0	0	0.005	0.995	0	0	0.000714286	0.999286	0	0	0	0.0592857	0.940714	0	0	0.467857	0.532143	0	0	0.767143	0.232857	0	0	0.963571	0.0364286	0	0	0.662143	0.337857	0	0	1	0	0	0.00142857	0.998571	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.005	0.995	0	0	0.0378571	0.962143	0	0	0.0421429	0.957857	0	0	0	0.560714	0.439286	0	0	0.914286	0.0857143	0	0	0.992857	0.00714286	0	0	0.994286	0.00571429	0	0.00142857	0.998571	0	0	0.00214286	0.997857	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000714286	0.999286	0	0	0.00285714	0.997143	0	0	0.0164286	0.983571	0	0	0.415	0.585	0
104	1.85155	0.0989023	0.766217	0.169443	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.769286	0.230714	0	0	0.788571	0.211429	0	0	0.0407143	0.959286	0	0.000714286	0.665	0.334286	0	0.000714286	0.191429	0.807857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00285714	0.997143	0	0	0.00357143	0.996429	0	0	0.549286	0.450714	0	0	0	0.916429	0.0835714	0	0	0.99	0.01	0	0.000714286	0.967857	0.0314286	0	0.00142857	0.995	0.00357143	0	0	1	0	0	0.00571429	0.994286	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0357143	0.964286	0	0	0.594286	0.405714	0	0	0.993571	0.00642857	0
