No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2
0	0	-320.12593	-321.18281	-321.95297	-1.0568857	0.7701602
1	1	-500.86887	-505.66202	-498.3068	-4.7931542	-7.3552184
2	2	-451.73636	-454.46471	-452.06075	-2.7283499	-2.4039553
3	3	-563.41295	-560.85902	-563.16864	2.5539231	2.3096217
4	4	-261.04226	-262.3892	-265.45545	-1.3469432	3.0662518
5	5	-351.71632	-348.06943	-350.20819	3.6468867	2.1387588
6	6	-281.42479	-280.15794	-285.9994	1.2668498	5.8414643
7	7	-581.67357	-577.11643	-578.59741	4.5571395	1.4809791
8	8	-424.18613	-422.88815	-426.0189	1.2979781	3.1307514
9	9	-562.44786	-550.4453	-548.61339	12.002568	-1.83191
10	10	-507.24819	-506.74722	-503.7093	0.50097527	-3.0379176
11	11	-453.3885	-441.36208	-433.7095	12.026415	-7.6525775
12	12	-528.53081	-529.43317	-524.5862	-0.9023557	-4.8469677
13	13	-544.11916	-540.58133	-541.42508	3.5378326	0.84374765
14	14	-471.87797	-472.60311	-471.938	-0.72514366	-0.66510656
15	15	-528.53878	-529.03672	-523.3434	-0.49793919	-5.6933183
16	16	-488.40557	-486.00874	-489.98203	2.3968307	3.9732871
17	17	-621.32941	-619.74437	-624.99673	1.5850328	5.2523576
18	18	-536.02347	-532.94295	-536.39476	3.0805109	3.4518046
19	19	-624.37124	-625.62771	-620.1866	-1.256474	-5.4411103
20	20	-478.21796	-478.51647	-479.96578	-0.29851174	1.4493123
21	21	-485.31596	-486.1624	-487.90773	-0.84643812	1.7453353
22	22	-588.23968	-593.18678	-592.04618	-4.9470978	-1.1406022
23	23	-412.69239	-412.53897	-415.63013	0.15341921	3.0911567
24	24	-384.44951	-379.89953	-381.19109	4.549985	1.2915556
25	25	-493.9278	-488.61323	-494.71025	5.3145752	6.0970211
26	26	-773.14361	-768.90868	-759.7003	4.2349323	-9.208382
27	27	-415.27093	-417.03351	-419.08156	-1.7625873	2.0480422
28	28	-391.97464	-385.81908	-384.9939	6.1555623	-0.82518135
29	29	-478.51029	-478.73558	-478.24909	-0.22528264	-0.48648962
30	30	-491.5956	-493.91083	-499.00804	-2.3152308	5.0972164
31	31	-279.21459	-279.65932	-281.50365	-0.44473934	1.8443254
32	32	-513.83944	-517.84622	-514.98697	-4.0067812	-2.8592465
33	33	-665.77396	-666.26881	-660.50086	-0.49485081	-5.7679425
34	34	-520.75829	-521.54969	-522.51082	-0.79140583	0.96113136
35	35	-331.21981	-331.72801	-336.60605	-0.50820407	4.8780426
36	36	-517.07249	-524.81622	-512.68078	-7.743726	-12.135438
37	37	-422.8847	-423.79851	-426.93701	-0.91381076	3.138501
38	38	-451.85082	-439.90519	-443.40203	11.945639	3.4968429
39	39	-535.15742	-539.51034	-536.0855	-4.3529129	-3.4248326
40	40	-699.48062	-693.27308	-685.54334	6.2075467	-7.7297367
41	41	-620.03653	-616.56288	-611.68665	3.4736543	-4.8762266
42	42	-604.4376	-602.19552	-598.21252	2.2420853	-3.9829942
43	43	-443.80647	-440.21918	-443.70716	3.5872867	3.4879818
44	44	-632.72288	-634.03044	-636.17558	-1.3075613	2.1451337
45	45	-375.95684	-376.22234	-378.03844	-0.26550625	1.8161003
46	46	-522.76047	-521.92036	-520.8092	0.84011333	-1.1111607
47	47	-351.50958	-351.34318	-352.07637	0.16640651	0.7331892
48	48	-419.1952	-419.14718	-416.31656	0.048019132	-2.8306176
49	49	-474.96425	-473.8689	-473.61024	1.0953557	-0.25866089
50	50	-287.8299	-289.33467	-291.39983	-1.5047641	2.0651641
51	51	-340.662	-342.15629	-347.57239	-1.4942952	5.4160972
