No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
6	0	-374.06625	-373.55098	-374.09901	0.51526728	0.54802809	-371.66477	-366.61325	-366.62084
6	1	-316.59618	-316.26112	-316.96817	0.33506103	0.70704614	-313.91194	-307.88197	-308.04097
6	2	-483.45422	-477.33037	-475.19502	6.1238487	-2.1353509	-470.04836	-464.95723	-458.52724
6	3	-464.69378	-462.00087	-461.25536	2.6929119	-0.74550792	-462.4732	-452.15429	-448.00111
6	4	-316.93103	-317.65321	-318.06657	-0.72217931	0.41335719	-314.37737	-313.54858	-313.4959
6	5	-542.66147	-530.96973	-531.70864	11.691745	0.73891016	-527.18179	-514.65538	-514.69403
6	6	-865.36022	-803.14979	-788.38321	62.210422	-14.76658	-849.04753	-783.2204	-770.87319
6	7	-330.73402	-328.54045	-328.55012	2.1935677	0.0096637062	-328.21351	-318.43805	-315.96068
6	8	-279.48714	-280.1351	-280.48111	-0.64796418	0.34601056	-275.435	-274.42397	-274.42047
6	9	-260.87852	-261.66669	-262.02454	-0.78816738	0.35785488	-257.85208	-258.2699	-256.16773
6	10	-317.1209	-317.05367	-317.34862	0.067227254	0.2949423	-314.43031	-311.456	-310.91663
6	11	-259.52639	-258.48852	-259.13223	1.037873	0.64370736	-256.20926	-249.52607	-249.5475
6	12	-261.027	-261.54456	-261.906	-0.51756345	0.36143656	-257.4207	-256.8151	-257.03923
6	13	-399.7783	-399.83278	-394.64738	-0.054479573	-5.1853946	-397.43851	-394.69551	-382.43582
6	14	-245.91153	-246.46501	-247.01576	-0.55348372	0.55074436	-242.86168	-240.88815	-240.90582
6	15	-408.09624	-407.87949	-406.79312	0.21675349	-1.086366	-405.72959	-402.39912	-397.37492
6	16	-294.90431	-295.52714	-295.87081	-0.62282998	0.34366619	-291.35492	-291.42542	-291.51283
6	17	-378.21617	-376.19621	-376.65652	2.0199639	0.46030848	-370.90863	-365.01739	-361.88055
6	18	-302.90591	-301.70045	-302.50105	1.2054548	0.80060075	-300.10105	-294.78294	-294.83091
6	19	-274.78994	-275.20061	-275.40556	-0.41067614	0.20495038	-270.47574	-267.57454	-262.144
6	20	-518.40414	-509.31081	-510.95833	9.0933274	1.6475203	-508.57024	-492.34168	-491.28344
6	21	-459.30214	-456.54298	-457.01311	2.7591653	0.47013764	-453.33216	-447.12497	-444.53949
6	22	-319.55669	-316.22651	-317.11182	3.3301844	0.88531128	-316.85754	-307.77106	-307.76257
6	23	-436.90168	-431.64966	-428.26517	5.2520197	-3.3844857	-434.6125	-421.52772	-412.51545
6	24	-461.14735	-455.13233	-455.95253	6.0150249	0.82019887	-457.6323	-446.20603	-446.40126
