No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2
8	0	-384.48746	-385.79918	-388.95024	-1.3117176	3.1510607
8	1	-315.69518	-317.54507	-319.78934	-1.8498891	2.2442759
8	2	-397.7967	-397.43561	-399.29244	0.36109259	1.8568285
8	3	-436.01732	-438.05495	-441.19018	-2.0376236	3.1352323
8	4	-321.01565	-322.88532	-325.96476	-1.8696701	3.0794373
8	5	-484.32471	-480.45907	-485.71499	3.8656369	5.2559227
8	6	-528.25629	-526.33453	-524.578	1.9217605	-1.7565317
8	7	-331.00058	-332.21541	-336.43799	-1.2148267	4.2225835
8	8	-282.60134	-283.62934	-286.87894	-1.0280087	3.2495936
8	9	-280.21569	-282.0013	-284.08273	-1.7856034	2.0814313
8	10	-324.76611	-324.64582	-326.57192	0.1202962	1.9261025
8	11	-261.98023	-262.68349	-266.64969	-0.70325775	3.9661983
8	12	-256.31231	-257.55748	-260.96083	-1.2451732	3.4033527
8	13	-384.07322	-383.50843	-384.81539	0.56478582	1.3069595
8	14	-248.37111	-248.75263	-250.08933	-0.38152261	1.3367071
8	15	-393.5153	-392.95193	-392.2873	0.56337334	-0.66463363
8	16	-304.44024	-306.09638	-308.32008	-1.6561374	2.2237038
8	17	-369.96873	-372.00416	-372.00053	-2.0354265	-0.0036345451
8	18	-308.70204	-309.45934	-311.04526	-0.75729284	1.5859243
8	19	-274.31645	-275.39774	-278.45842	-1.0812951	3.0606811
8	20	-490.04264	-488.90542	-490.91846	1.1372173	2.0130389
8	21	-416.16458	-414.94822	-416.50467	1.216365	1.5564521
8	22	-321.02398	-321.77254	-323.43686	-0.74855584	1.6643284
8	23	-421.88556	-423.22218	-424.80192	-1.3366238	1.5797329
8	24	-444.55893	-442.71007	-443.69358	1.8488628	0.98351844
8	25	-408.59523	-409.8215	-411.40004	-1.2262731	1.5785334
8	26	-309.0628	-309.16551	-310.96853	-0.10270763	1.8030181
8	27	-373.49998	-375.85438	-374.39034	-2.3543905	-1.4640381
8	28	-295.14087	-296.36513	-297.59655	-1.2242569	1.2314168
8	29	-414.97224	-412.77711	-415.07085	2.1951262	2.2937394
8	30	-211.81187	-214.92032	-220.40503	-3.1084442	5.484709
8	31	-452.84769	-453.35799	-454.9874	-0.51029975	1.6294071
8	32	-346.26473	-345.53332	-349.49652	0.73141711	3.9632042
8	33	-359.79024	-359.97298	-364.21127	-0.18273988	4.2382912
8	34	-270.07588	-270.4009	-272.78223	-0.32502282	2.3813241
8	35	-346.14743	-349.83828	-350.43497	-3.6908488	0.59669163
8	36	-383.82586	-386.1517	-385.79353	-2.32584	-0.35817282
8	37	-355.80415	-355.43709	-359.06758	0.36705639	3.6304859
8	38	-394.0451	-392.78564	-395.44282	1.259456	2.6571794
8	39	-334.20979	-335.32352	-337.37868	-1.1137386	2.0551571
8	40	-383.33397	-384.26469	-383.64459	-0.93071758	-0.62010469
8	41	-276.16021	-278.19352	-280.10939	-2.0333061	1.9158744
8	42	-317.78827	-318.50996	-318.76727	-0.72169011	0.25730519
8	43	-364.21046	-363.43282	-364.44547	0.77764147	1.0126513
8	44	-418.63354	-419.67555	-418.73386	-1.0420171	-0.94168857
8	45	-455.54572	-453.93613	-452.83658	1.6095823	-1.0995572
8	46	-366.60488	-368.71358	-369.9475	-2.1087057	1.2339139
8	47	-241.50996	-241.99509	-246.09885	-0.48512598	4.1037655
8	48	-305.03411	-302.76212	-306.01138	2.2719967	3.249263
8	49	-301.80001	-302.4631	-305.80104	-0.66309752	3.3379342
8	50	-267.90647	-268.92092	-271.21274	-1.0144552	2.2918122
8	51	-356.20649	-352.1671	-355.60518	4.0393891	3.4380817
8	52	-396.64726	-396.68977	-395.78279	-0.042509262	-0.9069752
8	53	-432.00739	-433.32637	-433.00595	-1.3189779	-0.32042074
8	54	-284.72958	-284.98487	-288.2384	-0.25529211	3.2535249
8	55	-415.96948	-415.12512	-414.49853	0.84435567	-0.62659367
8	56	-373.59176	-374.82466	-377.07884	-1.2329038	2.2541787
8	57	-491.40191	-492.87618	-490.15748	-1.4742605	-2.7186914
8	58	-542.2671	-543.89998	-543.86531	-1.6328812	-0.034673495
8	59	-423.1841	-424.10882	-421.28684	-0.92471471	-2.8219771
8	60	-604.6545	-607.12389	-602.68873	-2.469396	-4.4351598
8	61	-414.906	-415.0548	-417.72149	-0.14879715	2.6666935
8	62	-337.62179	-340.32875	-347.96651	-2.7069623	7.6377532
8	63	-334.8448	-336.74252	-338.18891	-1.8977122	1.4463957
8	64	-355.61346	-357.04156	-359.27223	-1.4281007	2.2306688
8	65	-416.48169	-416.04653	-413.66429	0.43516051	-2.382242
8	66	-329.90631	-330.87504	-333.85979	-0.96872565	2.9847493
8	67	-428.49743	-428.87427	-432.20452	-0.37684282	3.3302492
8	68	-331.02709	-332.48926	-332.64677	-1.4621641	0.15751004
8	69	-316.29053	-316.76575	-318.93683	-0.47522337	2.1710798
8	70	-249.18704	-252.01616	-255.32148	-2.8291201	3.3053137
8	71	-287.35605	-292.28993	-292.70079	-4.9338819	0.41085868
8	72	-436.10803	-432.42343	-432.89253	3.6846092	0.46910003
