No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
123	1.95764	0.126267	0.52689	0.0823993	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.881	0.119	0	0	0.882	0.118	0	0	0.937714	0.0622857	0	0	0.948286	0.0517143	0	0	0.982571	0.0174286	0	0	0.871429	0.128571	0	0	0.642857	0.357143	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999714	0.000285714	0	0	0.999286	0.000714286	0	0	1	0	0	0.000142857	0.999857	0	0	0	0.961143	0.0388571	0	0	0.999	0.001	0	0	0.999714	0.000285714	0	0	0.999857	0.000142857	0	0	0.986714	0.0132857	0	0	0.999857	0.000142857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.0592857	0.940714	0
47	1.76087	0.0754259	0.529304	0.100262	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.846857	0.153143	0	0	0.854429	0.145571	0	0	0.926857	0.0731429	0	0	0.802857	0.197143	0	0	0.690714	0.309286	0	0	0.768143	0.231857	0	0	0.928	0.072	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999571	0.000428571	0	0	1	0	0	0	1	0	0	0.00128571	0.998714	0	0	0	0.947143	0.0528571	0	0	0.998714	0.00128571	0	0	0.978429	0.0215714	0	0	0.999857	0.000142857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000571429	0.999429	0	0	0.0768571	0.923143	0
0	1.8382	0.298802	0.541385	0.0727865	0	0	0.000857143	0.999143	0	0	0.00314286	0.996857	0	0	0.0182857	0.981714	0	0	0	0.867	0.133	0	0	0.87	0.13	0	0	0.926857	0.0731429	0	0	0.961286	0.0387143	0	0	0.926857	0.0731429	0	0	0.866429	0.133571	0	0	0.845714	0.154286	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.995286	0.00471429	0	0.000142857	0.980286	0.0195714	0	0.00471429	0.995286	0	0	0.0265714	0.973429	0	0	0	0.944714	0.0552857	0	0	0.988714	0.0112857	0	0	0.992143	0.00785714	0	0	0.995143	0.00485714	0	0	0.981	0.019	0	0	0.996571	0.00342857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0.00214286	0.997857	0	0	0.118	0.882	0
84	1.87015	0.105536	0.639365	0.0797629	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.872571	0.127429	0	0	0.880714	0.119286	0	0	0.930286	0.0697143	0	0	0.963571	0.0364286	0	0	0.864	0.136	0	0	0.823286	0.176714	0	0	0.829571	0.170429	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999429	0.000571429	0	0	0.998857	0.00114286	0	0.000142857	0.999857	0	0	0.0221429	0.977857	0	0	0	0.961286	0.0387143	0	0	0.999857	0.000142857	0	0	0.989857	0.0101429	0	0	1	0	0	0	0.997857	0.00214286	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0.00371429	0.996286	0	0	0.370429	0.629571	0
112	1.83656	0.183268	0.525707	0.0639773	0	0	0.000142857	0.999857	0	0	0	1	0	0	0	1	0	0	0	0.887	0.113	0	0	0.878143	0.121857	0	0	0.942857	0.0571429	0	0	0.953286	0.0467143	0	0	0.899571	0.100429	0	0	0.949286	0.0507143	0	0	0.955857	0.0441429	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999	0.001	0	0.000142857	0.997857	0.002	0	0.000428571	0.999571	0	0	0.00157143	0.998429	0	0	0	0.953429	0.0465714	0	0	0.994714	0.00528571	0	0	0.971714	0.0282857	0	0	0.997429	0.00257143	0	0	0.999857	0.000142857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000428571	0.999571	0	0	0.0744286	0.925571	0
25	1.87852	0.25278	0.552218	0.0805512	0	0	0.0747143	0.925286	0	0	0.201714	0.798286	0	0	0.000857143	0.999143	0	0	0	0.878286	0.121714	0	0	0.881571	0.118429	0	0	0.932714	0.0672857	0	0	0.926286	0.0737143	0	0	0.848143	0.151857	0	0	0.805857	0.194143	0	0	0.792	0.208	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.995714	0.00428571	0	0.000428571	0.995857	0.00371429	0	0.304429	0.695571	0	0	0.319	0.681	0	0	0	0.958857	0.0411429	0	0	0.994	0.006	0	0	0.986143	0.0138571	0	0	0.994571	0.00542857	0	0	0.970143	0.0298571	0	0	0.995571	0.00442857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00514286	0.994857	0	0	0.477571	0.522429	0
99	1.66778	0.287264	0.583063	0.115006	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000571429	0.725143	0.274286	0	0.000428571	0.732286	0.267286	0	0.000857143	0.709429	0.289714	0	0.00385714	0.756571	0.239571	0	0.00428571	0.745	0.250714	0	0.012	0.701714	0.286286	0	0.0101429	0.709714	0.280143	0	0.000142857	0.999857	0	0	0	1	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.00857143	0.840286	0.151143	0	0.00342857	0.965571	0.031	0	0.000142857	0.999857	0	0	0.00671429	0.993286	0	0	0.000857143	0.815143	0.184	0	0.002	0.881857	0.116143	0	0.00742857	0.866429	0.126143	0	0.017	0.887429	0.0955714	0	0.0268571	0.739571	0.233571	0	0.0355714	0.890286	0.0741429	0	0.000142857	0.999857	0	0	0.000571429	0.999429	0	0	0.00142857	0.998571	0	0	0.0281429	0.971857	0	0	0.0482857	0.951714	0	0	0.0604286	0.939571	0	0	0.276286	0.723714	0
67	1.62368	0.28456	0.607529	0.158019	0	0	0.00257143	0.997429	0	0	0.000571429	0.999429	0	0	0.00157143	0.998429	0	0	0.000142857	0.685429	0.314429	0	0.000142857	0.649571	0.350286	0	0	0.732714	0.267286	0	0.000142857	0.902571	0.0972857	0	0	0.848714	0.151286	0	0.00228571	0.655714	0.342	0	0.00157143	0.43	0.568429	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000142857	0.633429	0.366429	0	0.00142857	0.989286	0.00928571	0	0.0231429	0.976857	0	0	0.069	0.931	0	0	0.000142857	0.799571	0.200286	0	0.000142857	0.956429	0.0434286	0	0.000142857	0.970714	0.0291429	0	0.00142857	0.976857	0.0217143	0	0.00371429	0.764286	0.232	0	0.00428571	0.977143	0.0185714	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000428571	0.999571	0	0	0.007	0.993	0	0	0.0304286	0.969571	0	0	0.333714	0.666286	0
124	1.80047	0.223866	0.595014	0.103032	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0	0.737571	0.262429	0	0	0.645857	0.354143	0	0	0.801143	0.198857	0	0	0.870714	0.129286	0	0	0.767571	0.232429	0	0	0.914857	0.0851429	0	0	0.919	0.081	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.978571	0.0214286	0	0.000571429	0.996429	0.003	0	0.000857143	0.999143	0	0	0.0145714	0.985429	0	0	0	0.821714	0.178286	0	0	0.98	0.02	0	0	0.968571	0.0314286	0	0	0.989714	0.0102857	0	0	0.993857	0.00614286	0	0.000428571	0.997429	0.00214286	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000857143	0.999143	0	0	0.0155714	0.984429	0	0	0.237286	0.762714	0
26	1.83182	0.163857	0.538992	0.0803048	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0	0.732	0.268	0	0	0.651857	0.348143	0	0	0.925571	0.0744286	0	0	0.966429	0.0335714	0	0	0.973857	0.0261429	0	0	0.935857	0.0641429	0	0	0.945571	0.0544286	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999	0.001	0	0.00514286	0.919143	0.0757143	0	0	1	0	0	0.00228571	0.997714	0	0	0	0.790571	0.209429	0	0	0.990571	0.00942857	0	0	0.993857	0.00614286	0	0	0.998429	0.00157143	0	0	0.999714	0.000285714	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0.0115714	0.988429	0	0	0.11	0.89	0
