No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	optM
8	0	-641.69681	-620.51245	-623.46918	21.184362	2.9567348	1
8	1	-598.39715	-586.64961	-593.59261	11.747537	6.9429952	1
8	2	-795.78075	-777.21845	-781.92256	18.562303	4.7041073	1
8	3	-488.72871	-485.23214	-491.37898	3.4965696	6.1468404	1
8	4	-512.49896	-498.43863	-503.46125	14.060325	5.0226169	1
8	5	-778.2303	-760.17962	-764.24642	18.050689	4.0668093	1
8	6	-522.59477	-506.71029	-510.23396	15.88448	3.5236683	1
8	7	-570.48469	-555.44464	-563.00167	15.040054	7.5570321	1
8	8	-640.34499	-623.6081	-618.37865	16.736885	-5.2294514	2
8	9	-591.3053	-578.85419	-585.0391	12.451106	6.18491	1
8	10	-528.44626	-515.66791	-522.68052	12.778347	7.0126087	1
8	11	-647.21812	-637.42913	-634.65338	9.7889961	-2.7757488	2
8	12	-411.77426	-395.6308	-402.8005	16.143466	7.1697026	1
8	13	-518.73928	-498.19515	-505.61774	20.544133	7.4225921	1
8	14	-633.40737	-625.81434	-630.20924	7.5930369	4.3949004	1
8	15	-506.75544	-492.27307	-496.87962	14.48237	4.6065482	1
8	16	-466.48474	-452.31804	-460.41384	14.166696	8.095795	1
8	17	-752.34427	-746.69668	-743.29246	5.6475884	-3.404221	2
8	18	-798.04973	-777.23941	-782.0348	20.810325	4.7953972	1
8	19	-531.17619	-511.73237	-517.553	19.44382	5.820632	1
8	20	-671.73902	-653.75711	-660.90082	17.981907	7.1437074	1
8	21	-590.43695	-561.83636	-571.81055	28.600583	9.9741865	1
8	22	-511.16778	-501.25323	-508.45738	9.9145516	7.2041501	1
8	23	-736.62504	-720.73222	-720.80405	15.892818	0.071825922	1
8	24	-584.83378	-567.75733	-571.56468	17.076456	3.8073471	1
8	25	-642.08648	-631.61549	-638.77648	10.470984	7.160986	1
8	26	-433.40894	-410.01319	-418.87811	23.395751	8.8649194	1
8	27	-477.74483	-463.5586	-463.45545	14.186231	-0.10314868	2
8	28	-693.12263	-681.35646	-679.06472	11.766177	-2.291733	2
8	29	-656.65601	-639.30776	-644.07405	17.348243	4.7662908	1
8	30	-687.62328	-683.409	-683.4452	4.2142782	0.036198893	1
8	31	-421.99097	-407.85945	-414.62225	14.13152	6.7627948	1
8	32	-701.98512	-696.55527	-697.51341	5.4298491	0.95814457	1
8	33	-710.9214	-702.72876	-702.86748	8.1926409	0.13872161	1
8	34	-550.75003	-536.31075	-540.67348	14.439277	4.3627328	1
8	35	-425.41392	-423.13847	-426.17991	2.2754431	3.0414368	1
8	36	-416.46227	-398.71976	-408.52346	17.742508	9.8036976	1
8	37	-773.19606	-747.79132	-758.26855	25.404738	10.477224	1
8	38	-647.96134	-605.81681	-614.45677	42.144531	8.6399577	1
8	39	-382.42057	-368.48822	-373.38643	13.932346	4.8982058	1
8	40	-699.60558	-685.13549	-690.95716	14.470092	5.8216731	1
8	41	-593.48906	-571.53281	-576.8326	21.956246	5.2997857	1
