No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2
8	0	-398.95063	-399.56386	-400.01189	-0.61322153	0.4480308
8	1	-376.69498	-375.93003	-379.21509	0.76495076	3.2850621
8	2	-405.31248	-404.03768	-403.84092	1.2747949	-0.19676348
8	3	-374.74808	-374.14769	-374.99737	0.60039189	0.84967995
8	4	-318.73267	-318.3479	-316.46139	0.38477482	-1.8865058
8	5	-435.54154	-442.60731	-433.36369	-7.065763	-9.2436173
8	6	-731.73827	-732.46274	-729.17422	-0.72447655	-3.2885223
8	7	-466.49301	-467.29422	-466.07119	-0.80120962	-1.2230319
8	8	-693.56049	-689.38291	-695.34665	4.1775789	5.9637344
8	9	-401.50978	-401.22151	-403.25457	0.28826414	2.0330559
8	10	-547.21844	-547.24331	-548.27115	-0.024872918	1.0278343
8	11	-340.30969	-341.11945	-336.92398	-0.8097672	-4.1954749
8	12	-281.63126	-282.98362	-286.19839	-1.3523615	3.2147641
8	13	-455.75174	-457.37628	-457.51102	-1.6245477	0.13473629
8	14	-333.18925	-332.84949	-335.93947	0.33976559	3.0899791
8	15	-329.88634	-328.52421	-332.36648	1.3621295	3.8422723
8	16	-521.18566	-519.78229	-520.50732	1.4033629	0.72502061
8	17	-321.93967	-324.36886	-325.47542	-2.4291941	1.106561
8	18	-444.16945	-443.38578	-447.07236	0.7836738	3.6865796
8	19	-341.81005	-343.03288	-344.36529	-1.2228319	1.3324014
8	20	-376.38948	-375.69715	-379.09622	0.69233577	3.3990744
8	21	-372.48759	-371.73978	-374.65178	0.74781134	2.9119999
8	22	-500.17806	-498.01834	-495.64309	2.1597181	-2.3752496
8	23	-423.80813	-422.83606	-416.09556	0.9720701	-6.7405002
8	24	-512.45645	-510.84208	-513.85765	1.6143652	3.0155712
8	25	-428.64987	-425.66095	-429.24258	2.9889195	3.5816346
8	26	-351.72496	-352.80934	-354.0774	-1.0843813	1.268058
8	27	-433.13052	-427.96631	-430.12477	5.1642084	2.1584555
8	28	-393.60963	-392.36972	-395.74993	1.2399074	3.3802142
8	29	-411.79221	-412.6406	-412.92222	-0.84838814	0.28162492
8	30	-350.42282	-350.86378	-353.0308	-0.44096389	2.1670197
8	31	-242.85079	-244.27907	-245.64713	-1.4282865	1.3680532
