No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa	genetree
0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	(((((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0163138,((cryCin:0.0476769,tinGut:0.0394399):0.0743576,(eudEle:0.130088,notPer:0.137646):0.00114243):0.0494774):0.000540848,anoDid:0.0898163):0.00247182,strCam:0.0571693):0.038984,(galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841);
1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0216419,(strCam:0.0532226,((eudEle:0.142384,(notPer:0.148732,(cryCin:0.0548001,tinGut:0.0465631):0.0771779):0.00121063):0.00919749,anoDid:0.0601496):0.0281919):0.00626202):0.0366687);
2	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	(((casCas:0.0979495,galGal:0.208478):0.0594949,(((((aptRow:0.0315303,(aptHaa:0.0306979,aptOwe:0.0309447):0.00116525):0.0182916,((droNov:0.0578346,(anoDid:0.0628787,notPer:0.161869):0.0237615):0.000388412,(eudEle:0.161164,(tinGut:0.0418473,cryCin:0.0500843):0.101884):0.0172969):0.000854782):0.000313507,strCam:0.0530781):0.0216201,rhePen:0.0990149):0.0198688,(halLeu:0.0558332,nipNip:0.0538641):0.0826254):0.0587513):0.048577,rheAme:0.225572);
3	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	((galGal:0.173832,(halLeu:0.102895,nipNip:0.100925):0.000174269):0.0344833,(((strCam:0.0521714,(((cryCin:0.0541347,tinGut:0.0458977):0.0791835,anoDid:0.0510818):0.0095234,notPer:0.159595):0.0266851):0.000777147,((casCas:0.0141238,droNov:0.0163109):0.041992,(aptRow:0.0232181,(aptHaa:0.00323793,aptOwe:0.00348478):0.0203131):0.0258289):0.000958905):0.0268886,(rhePen:0.0934952,(rheAme:0.0821944,eudEle:0.185069):0.0106609):0.0106589):0.0138232);
4	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,(((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0022069,(tinGut:0.14633,((notPer:0.0793451,eudEle:0.0717873):0.0770819,anoDid:0.0574368):0.0148942):0.00283754):0.0517314,(strCam:0.057057,cryCin:0.174412):0.0347241):0.00437222);
5	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	(((aptRow:0.053572,aptOwe:0.0541517):0.0164143,((notPer:0.189891,rheAme:0.0794594):0.012056,(((casCas:0.0323676,droNov:0.0345547):0.0141333,rhePen:0.0666916):0.0148707,(((((cryCin:0.0590749,tinGut:0.0508379):0.00863134,eudEle:0.0769022):0.10267,strCam:0.053021):3.45719e-05,anoDid:0.0881744):5.13776e-05,aptHaa:0.0504971):0.00413849):0.0105931):0.00509045):0.025448,(galGal:0.20613,(halLeu:0.0601137,nipNip:0.0581446):0.0752534):0.00690146);
6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	((galGal:0.183153,halLeu:0.11239):0.0565804,((nipNip:0.142345,((eudEle:0.205848,(aptHaa:0.0761636,(aptRow:0.0175073,aptOwe:0.018087):0.0583234):0.000523095):0.0086844,rhePen:0.112298):0.012441):0.0202089,((((((cryCin:0.0589602,tinGut:0.0507232):0.0804316,notPer:0.156145):0.0268899,(droNov:0.0282051,casCas:0.026018):0.0270346):0.00361289,anoDid:0.0876581):0.000189597,strCam:0.0527289):0.00727254,rheAme:0.0836784):0.0606294):0.00444765);
7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	((((anoDid:0.0638797,((cryCin:0.0531066,tinGut:0.0448696):0.0297397,(eudEle:0.0705188,notPer:0.0780766):0.0215233):0.0632699):0.0226683,casCas:0.0555553):0.0369412,(aptRow:0.0270298,(aptHaa:0.0266058,aptOwe:0.0268527):0.000756827):0.0583979):0.23202,(((droNov:0.0597918,strCam:0.0534785):0.00611533,(rheAme:0.0540004,rhePen:0.0546402):0.0292704):0.0326289,((halLeu:0.0632578,nipNip:0.0612886):0.0427065,galGal:0.176727):0.0301502):0.228168);
8	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	((nipNip:0.142653,strCam:0.10073):0.0679668,(((rheAme:0.0770256,(casCas:0.0539917,(eudEle:0.0771514,tinGut:0.0597185):0.0992652):0.00348317):0.0407842,(galGal:0.169939,halLeu:0.0991763):0.0388482):0.0300922,(((anoDid:0.0759974,droNov:0.0471919):0.0217024,(((notPer:0.189129,rhePen:0.0793368):0.00693107,cryCin:0.179306):0.000221438,(aptHaa:0.0269879,aptOwe:0.0272348):0.0325747):0.000408487):0.00154307,aptRow:0.0611813):0.060101):0.044472);
9	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	((galGal:0.27875,(halLeu:0.0743207,nipNip:0.0723515):0.133667):0.0369139,((((eudEle:0.17811,((rheAme:0.0403428,rhePen:0.0409826):0.0319308,aptHaa:0.0459868):0.00296264):0.00302927,tinGut:0.163707):0.0130932,(strCam:0.0630696,(aptOwe:0.052823,((casCas:0.0121494,droNov:0.0143365):0.0369954,((notPer:0.149271,anoDid:0.0502806):0.022565,cryCin:0.155082):0.00729181):0.0101674):0.00788363):0.00461218):0.0210382,aptRow:0.0857773):0.11229);
