No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut.aptFor_0	taeGut.aptFor_1	taeGut.aptFor_2	taeGut.aptFor_3	taeGut.galGal_0	taeGut.galGal_1	taeGut.galGal_2	taeGut.galGal_3	aptHaa.aptOwe_0	aptHaa.aptOwe_1	aptHaa.aptOwe_2	aptHaa.aptOwe_3	aptHaa.aptRow_0	aptHaa.aptRow_1	aptHaa.aptRow_2	aptHaa.aptRow_3	casCas.droNov_0	casCas.droNov_1	casCas.droNov_2	casCas.droNov_3	aptHaa.casCas_0	aptHaa.casCas_1	aptHaa.casCas_2	aptHaa.casCas_3	rheAme.rhePen_0	rheAme.rhePen_1	rheAme.rhePen_2	rheAme.rhePen_3	aptHaa.rheAme_0	aptHaa.rheAme_1	aptHaa.rheAme_2	aptHaa.rheAme_3	cryCin.tinGut_0	cryCin.tinGut_1	cryCin.tinGut_2	cryCin.tinGut_3	eudEle.notPer_0	eudEle.notPer_1	eudEle.notPer_2	eudEle.notPer_3	cryCin.eudEle_0	cryCin.eudEle_1	cryCin.eudEle_2	cryCin.eudEle_3	cryCin.anoDid_0	cryCin.anoDid_1	cryCin.anoDid_2	cryCin.anoDid_3	aptHaa.cryCin_0	aptHaa.cryCin_1	aptHaa.cryCin_2	aptHaa.cryCin_3	aptHaa.strCam_0	aptHaa.strCam_1	aptHaa.strCam_2	aptHaa.strCam_3	taeGut.aptHaa_0	taeGut.aptHaa_1	taeGut.aptHaa_2	taeGut.aptHaa_3
8	3.12991	0.163098	0.189081	0.548705	0	0	1	0	0	0	1	0	0	0	0.14	0.86	0	0	0	0	1	0	0	0	1	0	0.0673333	0.002	0.930667	0	0	0.00866667	0.991333	0	0	0	1	0	0.00266667	0.696667	0.300667	0	0.00333333	0.000666667	0.996	0	0.68	0.255333	0.0646667	0	0.736	0.169333	0.0946667	0	0.750667	0.00533333	0.244	0	0.647333	0.345333	0.00733333	0	0.747333	0.210667	0.042	0	0.812	0.186667	0.00133333	0	1	0	0	0	1	0	0	0	0	0.0813333	0.918667	0	0.0693333	0.0453333	0.885333	0	0	0.963333	0.0366667	0	0.09	0.886	0.024	0	0.00333333	0.996667	0	0	0.406667	0.593333	0	0	0.745333	0.238	0.0166667	0	0.751333	0.245333	0.00333333	0	0.759333	0.240667	0	0	0.817333	0.182667	0	0	0.838667	0.161333	0	0	0.912667	0.0873333	0	0	1	0	0
14	5.47715	0.147781	0.307323	0.842559	0	0	0.0533333	0.946667	0	0	0.995333	0.00466667	0	0	0.018	0.982	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0593333	0.940667	0	0	0	1	0	0.304	0	0.696	0	0.304	0.176	0.52	0	0.737333	0	0.262667	0	0.690667	0.309333	0	0	0.944667	0.0553333	0	0	0.983333	0.0166667	0	0	0.995333	0.00466667	0	0	0.995333	0.00466667	0	0	0	0	1	0	0	1	0	0	0	0.999333	0.000666667	0	0.753333	0.246667	0	0	0	1	0	0	0.900667	0.0993333	0	0	0.304	0.696	0	0	0.737333	0.262667	0	0	0.97	0.03	0	0	0.991333	0.00866667	0	0	0.998	0.002	0	0	1	0	0	0	1	0	0
18	7.55245	0.219169	0.286957	0.734922	0	0	0.772667	0.227333	0	0	0.686667	0.313333	0	0	0.138	0.862	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.469333	0.530667	0	0	0	1	0	0.804	0.196	0	0	0.561333	0.438667	0	0	0.84	0.16	0	0	0.993333	0.00666667	0	0	0.709333	0.290667	0	0	0.0693333	0.930667	0	0	0.780667	0.219333	0	0	0.82	0.18	0	0	0	0.275333	0.724667	0	0	1	0	0	0	0.996667	0.00333333	0	0.566667	0.433333	0	0	0	1	0	0	0.781333	0.218667	0	0	0.953333	0.0466667	0	0	0.998	0.002	0	0	0.998	0.002	0	0	0.998	0.002	0	0	0.998	0.002	0	0	0.998	0.002	0	0	0.998	0.002	0
0	6.76173	0.299381	0.61242	0.25287	0	0	0.00266667	0.997333	0	0	0.002	0.998	0	0	0.00266667	0.997333	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.713333	0.286667	0	0	0.01	0.99	0	0.000666667	0.999333	0	0	0.002	0.998	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0.00133333	0.998667	0	0	0.00466667	0.995333	0	0	0.0133333	0.986667	0	0	0	0.203333	0.796667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.004	0.996	0	0	0.002	0.998	0	0	0.000666667	0.999333	0	0	0.002	0.998	0	0	0.002	0.998	0	0	0.00666667	0.993333	0	0	0.0186667	0.981333	0	0	0.343333	0.656667	0
1	9.01359	0.109378	0.12987	0.738658	0	0	0.988667	0.0113333	0	0	0.998667	0.00133333	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00533333	0.994667	0	0	0	1	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.998	0.002	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0.57	0.43	0	0	1	0	0	0	1	0	0	0.494667	0.505333	0	0	0	1	0	0	0.692	0.308	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
9	11.3507	0.177184	0.265605	0.829361	0	0	0.546	0.454	0	0	0.49	0.51	0	0	0.408	0.592	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.998	0.002	0	0	0.99	0.01	0	0	0.932667	0.0673333	0	0	0.979333	0.0206667	0	0	0.520667	0.479333	0	0	0.486	0.514	0	0	1	0	0	0	1	0	0	0	0	0.62	0.38	0	0	1	0	0	0	1	0	0	0.857333	0.142667	0	0	0	1	0	0	0.953333	0.0466667	0	0	1	0	0	0	0.997333	0.00266667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
15	4.57157	0.332215	0.541159	0.301279	0	0	0.016	0.984	0	0	0.01	0.99	0	0	0.046	0.954	0	0	0	0	1	0	0	0	1	0	0.00533333	0	0.994667	0	0	0	1	0	0	0.028	0.972	0	0	0.116	0.884	0	0	0	1	0	0.133333	0.733333	0.133333	0	0.054	0.946	0	0	0.119333	0.880667	0	0	0.0673333	0.932667	0	0	0.088	0.912	0	0	0.176667	0.823333	0	0	0.148	0.852	0	0	0.197333	0.802667	0	0	0	0.281333	0.718667	0	0.00533333	0.709333	0.285333	0	0	0.965333	0.0346667	0	0.109333	0.866667	0.024	0	0	1	0	0	0.138	0.862	0	0	0.134667	0.865333	0	0	0.132	0.868	0	0	0.134667	0.865333	0	0	0.142	0.858	0	0	0.186	0.814	0	0	0.294	0.706	0	0	0.576	0.424	0
19	4.84881	0.135113	0.641146	0.363177	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00533333	0.994667	0	0	0.944667	0.0553333	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0.00866667	0.991333	0	0	0	0.0246667	0.975333	0	0	0.978667	0.0213333	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.354667	0.645333	0
2	8.44545	0.223604	0.237618	0.709739	0	0	0.786	0.214	0	0	0.936667	0.0633333	0	0	0.393333	0.606667	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.7	0.298	0.002	0	0.790667	0.186	0.0233333	0	0.0926667	0.0746667	0.832667	0	0.0873333	0.460667	0.452	0	0.518667	0.481333	0	0	0.611333	0.388667	0	0	0.812	0.188	0	0	0.148	0.852	0	0	0.732	0.268	0	0	0.316	0.684	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0.800667	0.199333	0	0	0.803333	0.196667	0	0	0.0946667	0.905333	0	0	0.809333	0.190667	0	0	0.741333	0.258667	0	0	0.812667	0.187333	0	0	0.813333	0.186667	0	0	0.816	0.184	0	0	0.824	0.176	0	0	0.838667	0.161333	0	0	1	0	0
10	7.07717	0.244719	0.304085	0.387123	0	0	0.905333	0.0946667	0	0	0.734	0.266	0	0	0.999333	0.000666667	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.01	0.99	0	0	0.00133333	0.998667	0	0	1	0	0	0	0	1	0	0.0853333	0.914667	0	0	0.27	0.73	0	0	0.0106667	0.989333	0	0	0.0873333	0.912667	0	0	0.912667	0.0873333	0	0	0.999333	0.000666667	0	0	0	0.308667	0.691333	0	0	1	0	0	0	1	0	0	0.174667	0.825333	0	0	0	1	0	0	0.242667	0.757333	0	0	0	1	0	0	0.27	0.73	0	0	0.270667	0.729333	0	0	0.275333	0.724667	0	0	0.308	0.692	0	0	0.363333	0.636667	0	0	0.999333	0.000666667	0
