"No."	"n_rate"	"c_rate"	"g_rate"	"l_rate"	"l2_rate"	"halLeu_0"	"halLeu_1"	"halLeu_2"	"halLeu_3"	"nipNip_0"	"nipNip_1"	"nipNip_2"	"nipNip_3"	"galGal_0"	"galGal_1"	"galGal_2"	"galGal_3"	"aptHaa_0"	"aptHaa_1"	"aptHaa_2"	"aptHaa_3"	"aptOwe_0"	"aptOwe_1"	"aptOwe_2"	"aptOwe_3"	"aptRow_0"	"aptRow_1"	"aptRow_2"	"aptRow_3"	"casCas_0"	"casCas_1"	"casCas_2"	"casCas_3"	"droNov_0"	"droNov_1"	"droNov_2"	"droNov_3"	"rheAme_0"	"rheAme_1"	"rheAme_2"	"rheAme_3"	"rhePen_0"	"rhePen_1"	"rhePen_2"	"rhePen_3"	"cryCin_0"	"cryCin_1"	"cryCin_2"	"cryCin_3"	"tinGut_0"	"tinGut_1"	"tinGut_2"	"tinGut_3"	"eudEle_0"	"eudEle_1"	"eudEle_2"	"eudEle_3"	"notPer_0"	"notPer_1"	"notPer_2"	"notPer_3"	"anoDid_0"	"anoDid_1"	"anoDid_2"	"anoDid_3"	"strCam_0"	"strCam_1"	"strCam_2"	"strCam_3"	"taeGut.aptFor_0"	"taeGut.aptFor_1"	"taeGut.aptFor_2"	"taeGut.aptFor_3"	"taeGut.galGal_0"	"taeGut.galGal_1"	"taeGut.galGal_2"	"taeGut.galGal_3"	"aptHaa.aptOwe_0"	"aptHaa.aptOwe_1"	"aptHaa.aptOwe_2"	"aptHaa.aptOwe_3"	"aptHaa.aptRow_0"	"aptHaa.aptRow_1"	"aptHaa.aptRow_2"	"aptHaa.aptRow_3"	"casCas.droNov_0"	"casCas.droNov_1"	"casCas.droNov_2"	"casCas.droNov_3"	"aptHaa.casCas_0"	"aptHaa.casCas_1"	"aptHaa.casCas_2"	"aptHaa.casCas_3"	"rheAme.rhePen_0"	"rheAme.rhePen_1"	"rheAme.rhePen_2"	"rheAme.rhePen_3"	"aptHaa.rheAme_0"	"aptHaa.rheAme_1"	"aptHaa.rheAme_2"	"aptHaa.rheAme_3"	"cryCin.tinGut_0"	"cryCin.tinGut_1"	"cryCin.tinGut_2"	"cryCin.tinGut_3"	"eudEle.notPer_0"	"eudEle.notPer_1"	"eudEle.notPer_2"	"eudEle.notPer_3"	"cryCin.eudEle_0"	"cryCin.eudEle_1"	"cryCin.eudEle_2"	"cryCin.eudEle_3"	"cryCin.anoDid_0"	"cryCin.anoDid_1"	"cryCin.anoDid_2"	"cryCin.anoDid_3"	"aptHaa.cryCin_0"	"aptHaa.cryCin_1"	"aptHaa.cryCin_2"	"aptHaa.cryCin_3"	"aptHaa.strCam_0"	"aptHaa.strCam_1"	"aptHaa.strCam_2"	"aptHaa.strCam_3"	"taeGut.aptHaa_0"	"taeGut.aptHaa_1"	"taeGut.aptHaa_2"	"taeGut.aptHaa_3"
0	1	0.195014	0.376725	0.49762	0	0	0.000111111	0.999889	0	0	0.000111111	0.999889	0	0	0.00355556	0.996444	0	0	0.454111	0.545889	0	0	0.466556	0.533444	0	0	0.674	0.326	0	0	0.724333	0.275667	0	0	0.606111	0.393889	0	0	0.00544444	0.994556	0	0	0.006	0.994	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00455556	0.995444	0	0	0.124889	0.875111	0	0	0.000777778	0.999222	0	0	0.0652222	0.934778	0	0	0.710111	0.289889	0	0	0.999556	0.000444444	0	0	0.977222	0.0227778	0	0	1	0	0	0	0.00977778	0.990222	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0318889	0.968111	0	0	1	0	0	0	1	0	0	0	1	0	0
1	1	0.457359	0.285231	0.496899	0	0	0.338556	0.661444	0	0	0.339222	0.660778	0	0	0.289222	0.710778	0	0	0.331556	0.668444	0	0	0.333111	0.666889	0	0	0.393222	0.606778	0	0	0.401556	0.598444	0	0	0.418889	0.581111	0	0	0.216889	0.783111	0	0	0.217889	0.782111	0	0	0.199444	0.800556	0	0	0.222778	0.777222	0	0	0.243333	0.756667	0	0	0.186556	0.813444	0	0	0.362222	0.637778	0	0	0.441	0.559	0	0	0.418111	0.581889	0	0	0.494889	0.505111	0	0	0.403222	0.596778	0	0	0.490778	0.509222	0	0	0.495333	0.504667	0	0	0.521333	0.478667	0	0	0.262333	0.737667	0	0	0.531556	0.468444	0	0	0.258889	0.741111	0	0	0.275111	0.724889	0	0	0.372667	0.627333	0	0	0.468556	0.531444	0	0	0.563778	0.436222	0	0	0.585667	0.414333	0	0	0.646111	0.353889	0
2	1	0.357592	0.506908	0.502896	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0
3	1	0.135356	0.37483	0.500135	0	0	0.481444	0.518556	0	0	0.365444	0.634556	0	0	0.0804444	0.919556	0	0	0.417778	0.582222	0	0	0.417444	0.582556	0	0	0.655222	0.344778	0	0	0.271444	0.728556	0	0	0.446556	0.553444	0	0	0.00733333	0.992667	0	0	0.00866667	0.991333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000444444	0.999556	0	0	0.258444	0.741556	0	0	0.729556	0.270444	0	0	0.922111	0.0778889	0	0	0.632889	0.367111	0	0	0.973222	0.0267778	0	0	0.613222	0.386778	0	0	0.977444	0.0225556	0	0	0.0124444	0.987556	0	0	0.982	0.018	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00466667	0.995333	0	0	0.997889	0.00211111	0	0	1	0	0	0	1	0	0
4	1	0.0981042	0.370944	0.495912	0	0	0.00722222	0.992778	0	0	0.00155556	0.998444	0	0	0.000222222	0.999778	0	0	0.405778	0.594222	0	0	0.404556	0.595444	0	0	0.704333	0.295667	0	0	0.785556	0.214444	0	0	0.872	0.128	0	0	0.00111111	0.998889	0	0	0.00111111	0.998889	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.026	0.974	0	0	0.0192222	0.980778	0	0	0.210889	0.789111	0	0	0.618889	0.381111	0	0	0.992556	0.00744444	0	0	0.999556	0.000444444	0	0	1	0	0	0	0.00144444	0.998556	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00244444	0.997556	0	0	1	0	0	0	1	0	0	0	1	0	0
5	1	0.149365	0.362426	0.501212	0	0	0.0308889	0.969111	0	0	0.0571111	0.942889	0	0	0.000444444	0.999556	0	0	0.399222	0.600778	0	0	0.407667	0.592333	0	0	0.647444	0.352556	0	0	0.770778	0.229222	0	0	0.777667	0.222333	0	0	0.0123333	0.987667	0	0	0.0123333	0.987667	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00466667	0.995333	0	0	0.239667	0.760333	0	0	0.100333	0.899667	0	0	0.267444	0.732556	0	0	0.610222	0.389778	0	0	0.953	0.047	0	0	0.997	0.003	0	0	0.999444	0.000555556	0	0	0.0185556	0.981444	0	0	0.999556	0.000444444	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0137778	0.986222	0	0	1	0	0	0	1	0	0	0	1	0	0
6	1	0.225751	0.386516	0.499998	0	0	0.0764444	0.923556	0	0	0.045	0.955	0	0	0.175778	0.824222	0	0	0.330333	0.669667	0	0	0.319222	0.680778	0	0	0.642444	0.357556	0	0	0.468556	0.531444	0	0	0.496444	0.503556	0	0	0.109778	0.890222	0	0	0.111444	0.888556	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.015	0.985	0	0	0.364778	0.635222	0	0	0.151667	0.848333	0	0	0.744222	0.255778	0	0	0.514667	0.485333	0	0	0.971444	0.0285556	0	0	0.759556	0.240444	0	0	0.980333	0.0196667	0	0	0.186667	0.813333	0	0	0.985778	0.0142222	0	0	0	1	0	0	0	1	0	0	0.000111111	0.999889	0	0	0.108	0.892	0	0	0.997111	0.00288889	0	0	0.998	0.002	0	0	0.998444	0.00155556	0
7	1	0.15963	0.384431	0.504492	0	0	0	1	0	0	0.000222222	0.999778	0	0	0.0165556	0.983444	0	0	0.374222	0.625778	0	0	0.373444	0.626556	0	0	0.608667	0.391333	0	0	0.658	0.342	0	0	0.725444	0.274556	0	0	0.0103333	0.989667	0	0	0.0102222	0.989778	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0116667	0.988333	0	0	0.130556	0.869444	0	0	0.00144444	0.998556	0	0	0.041	0.959	0	0	0.589333	0.410667	0	0	0.959667	0.0403333	0	0	0.984444	0.0155556	0	0	0.993667	0.00633333	0	0	0.0165556	0.983444	0	0	0.995667	0.00433333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0284444	0.971556	0	0	0.999667	0.000333333	0	0	0.999667	0.000333333	0	0	0.999889	0.000111111	0
8	1	0.30534	0.535265	0.501495	0	0	0.000777778	0.999222	0	0	0.003	0.997	0	0	0.000222222	0.999778	0	0	0.00355556	0.996444	0	0	0.00355556	0.996444	0	0	0.006	0.994	0	0	0.00133333	0.998667	0	0	0.00166667	0.998333	0	0	0.000111111	0.999889	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0156667	0.984333	0	0	0.00566667	0.994333	0	0	0.0204444	0.979556	0	0	0.00588889	0.994111	0	0	0.00966667	0.990333	0	0	0.003	0.997	0	0	0.0101111	0.989889	0	0	0.000111111	0.999889	0	0	0.012	0.988	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000222222	0.999778	0	0	0.019	0.981	0	0	0.0547778	0.945222	0	0	0.128111	0.871889	0
9	1	0.220554	0.369893	0.498114	0	0	0	1	0	0	0	1	0	0	0.000111111	0.999889	0	0	0.464667	0.535333	0	0	0.473222	0.526778	0	0	0.650889	0.349111	0	0	0.715444	0.284556	0	0	0.614556	0.385444	0	0	0.0558889	0.944111	0	0	0.0566667	0.943333	0	0	0.00244444	0.997556	0	0	0.00144444	0.998556	0	0	0	1	0	0	0.000444444	0.999556	0	0	0.0313333	0.968667	0	0	0.162333	0.837667	0	0	0.000222222	0.999778	0	0	0.0152222	0.984778	0	0	0.704444	0.295556	0	0	0.996778	0.00322222	0	0	0.954111	0.0458889	0	0	0.998	0.002	0	0	0.0835556	0.916444	0	0	0.998444	0.00155556	0	0	0.00455556	0.995444	0	0	0.00177778	0.998222	0	0	0.0152222	0.984778	0	0	0.161444	0.838556	0	0	1	0	0	0	1	0	0	0	1	0	0
10	1	0.170688	0.359617	0.507853	0	0	0.0254444	0.974556	0	0	0.0197778	0.980222	0	0	0	1	0	0	0.5	0.5	0	0	0.488	0.512	0	0	0.662556	0.337444	0	0	0.652333	0.347667	0	0	0.779556	0.220444	0	0	0.121111	0.878889	0	0	0.123111	0.876889	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000555556	0.999444	0	0	0.110889	0.889111	0	0	0.0496667	0.950333	0	0	0.198333	0.801667	0	0	0.728778	0.271222	0	0	0.999889	0.000111111	0	0	0.984556	0.0154444	0	0	0.999889	0.000111111	0	0	0.186444	0.813556	0	0	0.999889	0.000111111	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0107778	0.989222	0	0	1	0	0	0	1	0	0	0	1	0	0
11	1	0.275794	0.496447	0.497963	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0
12	1	0.308194	0.499237	0.497142	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0
13	1	0.196364	0.258924	0.504949	0	0	0.012	0.988	0	0	0.0134444	0.986556	0	0	0.00277778	0.997222	0	0	0.542222	0.457778	0	0	0.547556	0.452444	0	0	0.783778	0.216222	0	0	0.772111	0.227889	0	0	0.809222	0.190778	0	0	0.684889	0.315111	0	0	0.732222	0.267778	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00311111	0.996889	0	0	0.660111	0.339889	0	0	0.0352222	0.964778	0	0	0.267444	0.732556	0	0	0.724333	0.275667	0	0	0.992667	0.00733333	0	0	0.992333	0.00766667	0	0	0.999667	0.000333333	0	0	0.978889	0.0211111	0	0	0.999889	0.000111111	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0194444	0.980556	0	0	1	0	0	0	1	0	0	0	1	0	0
14	1	0.196196	0.35176	0.508373	0	0	0.000555556	0.999444	0	0	0.00177778	0.998222	0	0	0.00366667	0.996333	0	0	0.484111	0.515889	0	0	0.503778	0.496222	0	0	0.684111	0.315889	0	0	0.716222	0.283778	0	0	0.748	0.252	0	0	0.00111111	0.998889	0	0	0.00155556	0.998444	0	0	0	1	0	0	0.000111111	0.999889	0	0	0	1	0	0	0	1	0	0	0.012	0.988	0	0	0.417444	0.582556	0	0	0.00544444	0.994556	0	0	0.193889	0.806111	0	0	0.720111	0.279889	0	0	0.995111	0.00488889	0	0	0.982444	0.0175556	0	0	0.998	0.002	0	0	0.00233333	0.997667	0	0	0.998222	0.00177778	0	0	0.000444444	0.999556	0	0	0.000111111	0.999889	0	0	0.000777778	0.999222	0	0	0.0898889	0.910111	0	0	0.999	0.001	0	0	1	0	0	0	1	0	0
