No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-985.55402	-861.85527	-863.07741	123.69875	1.2221429	-975.77353	-846.31146	-846.26446
1	1	-507.60906	-483.17768	-487.9536	24.431378	4.77592	-495.79503	-471.06959	-470.90748
2	2	-721.30642	-691.58403	-691.65846	29.722385	0.074426142	-713.83832	-677.27423	-677.55546
3	3	-710.68777	-681.83674	-682.35893	28.851025	0.5221931	-701.52482	-665.52256	-665.51647
4	4	-903.32762	-841.82413	-841.50559	61.503492	-0.31854268	-898.74958	-827.61219	-827.60021
5	5	-1057.0873	-928.27874	-930.00805	128.80851	1.7293069	-1049.3924	-911.11873	-911.12168
6	6	-737.19932	-678.9073	-685.51357	58.292023	6.6062782	-725.36138	-665.45052	-665.52449
7	7	-1164.1013	-1034.187	-1032.5069	129.91425	-1.6801142	-1158.7088	-1016.8449	-1016.8356
8	8	-852.73142	-744.05872	-733.989	108.6727	-10.069718	-839.78607	-730.94028	-714.63936
9	9	-707.26052	-657.12116	-657.4227	50.139362	0.30154236	-697.98239	-641.66785	-641.6613
10	10	-717.89667	-646.45094	-652.81726	71.445737	6.3663208	-706.32144	-631.47434	-631.46
11	11	-727.86041	-686.14908	-687.45404	41.71133	1.3049598	-723.27242	-669.36394	-669.40421
12	12	-772.08579	-731.56617	-736.85829	40.519616	5.2921128	-762.5963	-716.13578	-716.1335
13	13	-1382.7783	-1193.6875	-1134.6542	189.09072	-59.033331	-1369.6962	-1171.1808	-1113.5501
14	14	-939.36082	-828.15156	-826.48527	111.20926	-1.6662899	-925.63139	-812.40142	-812.43257
15	15	-1117.1988	-1029.7906	-1028.8448	87.408113	-0.94585471	-1110.9582	-1012.3675	-1012.3683
16	16	-1102.9232	-1003.8384	-1003.635	99.084814	-0.20342167	-1096.2687	-987.83265	-987.833
17	17	-1132.9026	-1048.28	-979.43305	84.62261	-68.846979	-1125.4691	-1034.402	-959.97703
18	18	-750.87482	-689.99506	-697.1248	60.87976	7.129744	-740.51699	-675.12019	-675.10983
19	19	-835.24024	-776.51406	-776.47803	58.726179	-0.036027073	-829.38779	-761.31602	-761.31772
20	20	-768.6536	-720.26747	-719.40201	48.386126	-0.86546048	-766.91129	-704.13212	-703.49032
21	21	-691.76528	-648.96606	-655.95791	42.799222	6.99185	-679.28421	-634.45077	-634.44599
22	22	-908.43869	-824.25447	-821.59624	84.184217	-2.6582308	-896.66566	-805.75929	-801.19916
23	23	-720.28233	-660.05148	-661.46077	60.230848	1.4092876	-706.34765	-641.5895	-641.61448
24	24	-987.55599	-945.62263	-945.07793	41.933364	-0.54469765	-980.49688	-931.87155	-931.88107
25	25	-640.29249	-597.73106	-604.1463	42.561427	6.4152396	-628.49356	-588.57076	-588.56398
26	26	-748.5735	-686.01982	-687.29491	62.55368	1.2750852	-738.56761	-671.28632	-671.2875
27	27	-800.88982	-738.62451	-740.25917	62.265304	1.6346573	-787.3094	-721.26768	-717.78999
