No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2
0	0	-906.47852	-878.10362	-881.89515	28.374895	3.7915277
1	1	-499.27962	-484.69684	-488.57217	14.582771	3.8753282
2	2	-707.28291	-699.92151	-704.42742	7.3613971	4.5059093
3	3	-732.907	-714.23744	-717.45961	18.669568	3.2221711
4	4	-826.37764	-819.83912	-825.91639	6.5385175	6.0772693
5	5	-939.08007	-923.37301	-927.60583	15.707053	4.2328155
6	6	-715.71854	-702.04662	-707.25663	13.671919	5.2100136
7	7	-1005.6737	-977.71492	-981.6083	27.95882	3.8933826
8	8	-790.27184	-762.07707	-765.83714	28.194777	3.7600787
9	9	-694.34517	-671.06238	-683.27495	23.282788	12.212568
10	10	-695.72683	-665.01743	-675.80967	30.709407	10.792247
11	11	-744.85383	-724.39276	-729.95293	20.46107	5.5601745
12	12	-780.88859	-768.52163	-774.99518	12.366959	6.4735449
13	13	-862.72836	-905.42998	-922.94908	-42.701619	17.519103
14	14	-824.36955	-795.3816	-800.5077	28.987949	5.1261039
15	15	-986.98907	-983.76779	-982.95303	3.2212806	-0.81476337
16	16	-943.34571	-916.66736	-921.36675	26.678349	4.6993828
17	17	-1018.8746	-980.07982	-976.95586	38.794773	-3.1239608
18	18	-735.99541	-723.82341	-732.26831	12.172001	8.4449001
19	19	-810.84044	-780.48551	-783.05125	30.354928	2.5657356
20	20	-780.55799	-761.16427	-767.36097	19.39372	6.1967004
21	21	-659.90842	-645.13632	-654.40259	14.772105	9.2662701
22	22	-782.95121	-770.01926	-795.30414	12.931952	25.284885
23	23	-686.7123	-668.69039	-671.54857	18.021905	2.8581748
24	24	-857.88954	-868.55345	-868.48492	-10.663911	-0.068532166
25	25	-655.94765	-634.91124	-643.3455	21.036407	8.4342633
26	26	-685.01463	-668.47033	-668.64103	16.544305	0.17070101
27	27	-754.97683	-733.63304	-744.5037	21.343796	10.870659
28	28	-825.73784	-787.6839	-788.48761	38.053942	0.80370748
29	29	-643.32835	-615.24812	-621.1635	28.080234	5.9153852
30	30	-780.1633	-757.11604	-769.45418	23.047262	12.338141
31	31	-736.97879	-722.43045	-755.50334	14.548337	33.072887
32	32	-802.65507	-769.34386	-778.82561	33.311214	9.4817556
33	33	-637.25641	-615.2069	-630.50756	22.049507	15.300662
34	34	-620.30094	-585.93634	-592.96522	34.364597	7.0288774
35	35	-705.26622	-688.19797	-692.52024	17.068249	4.3222734
36	36	-657.17107	-633.72227	-639.52067	23.448798	5.7983991
37	37	-752.89984	-727.29918	-737.53476	25.600657	10.235577
38	38	-611.76947	-611.30077	-602.66635	0.46869113	-8.6344285
39	39	-811.15699	-785.95776	-793.86752	25.199229	7.9097568
40	40	-669.23697	-647.64234	-649.3977	21.59463	1.7553592
41	41	-892.02353	-833.77446	-841.66834	58.249068	7.8938742
42	42	-664.2356	-650.52183	-660.11006	13.713771	9.5882364
43	43	-608.57457	-601.53446	-606.08975	7.0401115	4.5552912
44	44	-731.29305	-719.08225	-726.18888	12.210795	7.1066245
45	45	-1005.4628	-967.64798	-977.72043	37.814781	10.07245
46	46	-605.3631	-601.63763	-607.92748	3.7254694	6.2898508
47	47	-789.08078	-770.17966	-766.77215	18.901127	-3.4075047
48	48	-921.94573	-908.9279	-915.57393	13.017824	6.6460247
49	49	-863.59448	-861.72017	-855.97189	1.8743115	-5.7482777
50	50	-794.10145	-746.23427	-756.90148	47.867178	10.667211
51	51	-557.38735	-552.48672	-544.45257	4.9006307	-8.0341513
52	52	-694.83169	-675.86744	-682.68552	18.964251	6.8180796
53	53	-886.02912	-854.47842	-859.81827	31.5507	5.3398493
54	54	-871.45443	-831.56996	-839.07446	39.884465	7.5044966
55	55	-890.4543	-878.81001	-867.45836	11.64429	-11.351649
56	56	-878.74656	-843.07938	-847.99477	35.667179	4.9153912
57	57	-678.07907	-661.60435	-671.70731	16.474721	10.102963
58	58	-870.01307	-854.40495	-856.40028	15.608119	1.9953309
59	59	-850.4881	-840.94194	-847.29915	9.5461567	6.3572098
60	60	-957.90471	-911.41887	-917.30618	46.485841	5.8873076
61	61	-849.70922	-826.82286	-829.33195	22.886356	2.5090831
62	62	-1007.0536	-952.06265	-959.80103	54.990924	7.7383823
63	63	-806.58365	-770.02703	-783.0809	36.556627	13.053874
64	64	-1099.1796	-1044.1868	-1043.6095	54.992804	-0.57724346
65	65	-673.76722	-661.54514	-665.50193	12.222087	3.9567977
66	66	-808.34893	-796.94228	-806.08518	11.406649	9.1429009
67	67	-656.30815	-654.75919	-656.5706	1.5489625	1.8114092
68	68	-797.2836	-791.72112	-810.05013	5.5624878	18.329014
69	69	-699.0992	-659.01564	-661.5068	40.083555	2.491155
70	70	-593.73011	-578.73977	-583.61599	14.990338	4.8762171
71	71	-677.98619	-660.65124	-661.40488	17.334952	0.75364568
72	72	-904.88783	-880.79279	-887.64253	24.095038	6.8497375
73	73	-723.69219	-688.64077	-703.35037	35.051418	14.709598
74	74	-593.06091	-574.42291	-578.79765	18.637997	4.3747344
75	75	-916.63987	-888.17228	-891.23549	28.467588	3.0632058
76	76	-962.34317	-941.83764	-949.36261	20.505528	7.5249642
77	77	-791.89156	-760.08294	-762.89755	31.808618	2.8146096
78	78	-869.22519	-853.21567	-860.64405	16.009524	7.4283779
79	79	-566.00199	-552.21849	-564.52597	13.783501	12.307481
80	80	-511.98905	-488.89327	-494.62949	23.095779	5.7362218
81	81	-705.13634	-687.86241	-694.13799	17.273925	6.2755807
82	82	-751.40685	-722.99967	-725.64294	28.407183	2.6432727
83	83	-552.46147	-525.86738	-533.15224	26.594091	7.2848565
84	84	-604.12247	-584.50825	-591.39363	19.614222	6.8853836
85	85	-770.54028	-735.58091	-741.55695	34.959374	5.9760398
86	86	-708.13398	-689.7986	-711.53749	18.335378	21.738889
87	87	-715.76041	-709.9539	-715.77869	5.8065123	5.8247857
88	88	-780.74944	-761.21267	-768.66703	19.53677	7.4543573
89	89	-846.68216	-786.87333	-792.56283	59.808832	5.6895045
90	90	-982.48552	-969.88434	-975.32984	12.601178	5.4455043
91	91	-808.08303	-791.8928	-798.48461	16.190231	6.5918114
92	92	-911.70218	-882.40277	-888.25598	29.299403	5.8532096
93	93	-777.88186	-766.19083	-764.69623	11.69103	-1.4946016
94	94	-809.9821	-788.88953	-788.66872	21.092565	-0.22081286
95	95	-1150.8871	-1105.9925	-1113.3492	44.894589	7.3566799
96	96	-587.20286	-572.58374	-575.5422	14.619117	2.958461
97	97	-969.08351	-899.63028	-903.27169	69.453226	3.6414084
98	98	-816.36295	-800.56102	-805.41856	15.801934	4.8575457
99	99	-979.74243	-939.76756	-943.59667	39.974876	3.829114
