No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa	genetree
0	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,(strCam:0.0554427,(((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0151026,((cryCin:0.0475108,tinGut:0.0392738):0.0679183,(notPer:0.0746537,eudEle:0.0670959):0.0575291):0.0548716):0.00102946,anoDid:0.0890937):0.00146788):0.0407106);
1	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,(((notPer:0.173623,(anoDid:0.0644048,(eudEle:0.138579,(cryCin:0.0490105,tinGut:0.0407735):0.0803721):0.0172587):0.0102277):0.015724,strCam:0.0552378):0.00153087,(((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0189259):0.0393847);
2	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((galGal:0.211429,((rheAme:0.0545068,rhePen:0.0551467):0.0591564,casCas:0.0941124):0.00678869):0.301637,((halLeu:0.135881,nipNip:0.133912):0.00675272,(((aptHaa:0.0282611,aptOwe:0.0285079):0.000434315,aptRow:0.0283625):0.0324348,((notPer:0.162377,anoDid:0.0633872):0.0308097,((eudEle:0.127828,(tinGut:0.0541889,cryCin:0.0624259):0.0562061):0.0545783,(strCam:0.0526234,droNov:0.0589366):0.00323168):0.00322303):0.00466193):0.0350021):0.29967);
3	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(halLeu:0.776096,(((rheAme:0.0546461,rhePen:0.0552859):0.0250791,eudEle:0.182599):0.099666,((galGal:0.168142,nipNip:0.0954099):0.0735229,(((droNov:0.0191917,casCas:0.0170046):0.0423468,((anoDid:0.0563639,((tinGut:0.0405393,cryCin:0.0487763):0.0605844,notPer:0.126114):0.0292397):0.0304735,strCam:0.0517186):0.0035067):0.00528621,(aptRow:0.00989279,(aptHaa:0.00427285,aptOwe:0.0045197):0.00595279):0.047676):0.0664988):0.028704):0.57649);
4	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0	((((tinGut:0.147715,((notPer:0.0802046,eudEle:0.0726468):0.0710843,anoDid:0.0522987):0.0214173):0.00147636,(((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.00223077):0.0510382,(cryCin:0.193485,strCam:0.0761302):0.0149815):0.00504157,(galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841);
5	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((((((casCas:0.0344189,droNov:0.036606):0.00781944,rhePen:0.062429):0.0204262,(((eudEle:0.0925757,(tinGut:0.0513869,cryCin:0.0596239):0.0237559):0.0717893,anoDid:0.0729326):0.0173125,strCam:0.0551263):0.00341204):0.0216228,(aptRow:0.0304078,(aptHaa:0.0305267,aptOwe:0.0307735):0.000213983):0.0468106):0.00954664,(rheAme:0.069954,notPer:0.180386):0.0434307):0.124231,(galGal:0.306036,(halLeu:0.0771902,nipNip:0.0752211):0.158083):0.0225574);
6	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((galGal:0.1948,halLeu:0.124038):0.0731133,((nipNip:0.134105,(((aptRow:0.0312292,(aptHaa:0.0301363,aptOwe:0.0303831):0.00142576):0.0172359,eudEle:0.177959):0.00768691,rhePen:0.0834115):0.0330883):0.0296587,(((rheAme:0.0755917,strCam:0.0519148):0.00209992,((cryCin:0.0516645,tinGut:0.0434275):0.11744,notPer:0.185858):0.00226593):8.94184e-05,(anoDid:0.08671,(casCas:0.0341748,droNov:0.0363619):0.0215425):0.00251294):0.0677376):0.0314175);
7	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	(((aptRow:0.012492,(aptHaa:0.0111709,aptOwe:0.0114177):0.00165403):0.0431612,(anoDid:0.0536965,((cryCin:0.0614174,tinGut:0.0531804):0.042955,(eudEle:0.0680559,notPer:0.0756137):0.0455124):0.0315606):0.0400182):0.416732,((galGal:0.211855,(halLeu:0.119449,nipNip:0.11748):0.0216428):0.00265409,(((casCas:0.0130432,droNov:0.0152303):0.0300431,(rheAme:0.0520513,rhePen:0.0526912):0.0105857):0.0241138,strCam:0.0630739):0.0367803):0.375473);
8	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(((((anoDid:0.0783875,droNov:0.049582):0.0187523,(rhePen:0.062051,(aptRow:0.027893,(aptHaa:0.00149421,aptOwe:0.00174106):0.0267317):0.0068985):0.0242868):0.0019167,(cryCin:0.145486,notPer:0.16224):0.0358069):0.337904,(nipNip:0.136907,strCam:0.0949843):0.306857):0.0079515,((galGal:0.29636,(casCas:0.0566219,(rheAme:0.0756712,(tinGut:0.0584889,eudEle:0.0759218):0.102624):0.000501418):0.12921):0.00825989,halLeu:0.233857):0.219827);
9	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((galGal:0.479629,(halLeu:0.071673,nipNip:0.0697039):0.337193):0.240032,((strCam:0.0750881,((cryCin:0.0949365,notPer:0.11169):0.0932444,(anoDid:0.0985595,((tinGut:0.1613,aptHaa:0.0495714):0.00507879,(eudEle:0.179136,(rheAme:0.0308618,rhePen:0.0315017):0.0453995):0.0046756):0.00618064):0.00738491):0.00426255):0.000516797,((casCas:0.017761,droNov:0.0199481):0.0212866,(aptRow:0.026438,aptOwe:0.0270177):0.00554074):0.0406835):0.529402);
10	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((galGal:0.293944,((halLeu:0.0919138,nipNip:0.0899446):0.0548325,(((casCas:0.0297153,droNov:0.0319024):0.0264015,((tinGut:0.0554818,cryCin:0.0637188):0.0766413,eudEle:0.149556):0.0289858):0.00625952,rheAme:0.0819271):0.0446044):0.0764352):0.30147,(((anoDid:0.0880663,(aptRow:0.0112227,(aptHaa:0.00322775,aptOwe:0.0034746):0.00832784):0.038782):0.00123187,rhePen:0.0784961):0.0195585,(notPer:0.186302,strCam:0.0521931):0.0215448):0.407022);
11	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((((((rhePen:0.0633492,(casCas:0.040411,(aptRow:0.0294578,aptOwe:0.0300375):0.00388434):0.00274761):0.0447392,((eudEle:0.177034,droNov:0.0567958):0.0272241,strCam:0.0777066):0.00606498):0.00550254,((rheAme:0.0673694,((notPer:0.0888209,tinGut:0.0638302):0.0754808,anoDid:0.0653115):0.0134997):0.011218,(cryCin:0.16938,aptHaa:0.0494147):0.00288589):0.0343637):0.00431521,halLeu:0.137481):0.0966874,nipNip:0.232199):0.000146805,galGal:0.305078);
12	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	((casCas:0.0654471,((anoDid:0.0527477,(eudEle:0.0833531,(tinGut:0.0559979,cryCin:0.0642349):0.00992226):0.060827):0.0160755,notPer:0.167813):0.0276165):0.138279,(((halLeu:0.0925677,nipNip:0.0905986):0.00436135,galGal:0.167692):0.0572377,((((aptRow:0.030151,(aptHaa:0.0296348,aptOwe:0.0298817):0.000848957):0.00341748,droNov:0.0428244):0.0208205,strCam:0.0573316):0.00834381,(rheAme:0.0340131,rhePen:0.0346529):0.0553393):0.0445997):0.0893245);
13	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	0	0	((((((anoDid:0.055857,(cryCin:0.0592561,tinGut:0.0510191):0.0788374):0.0396454,((eudEle:0.139242,notPer:0.1468):0.0334099,(casCas:0.0127564,droNov:0.0149435):0.0374703):0.0142832):0.0124396,strCam:0.0728232):0.0615024,(galGal:0.195384,nipNip:0.122652):0.0535965):0.0589359,((aptRow:0.0211015,(aptHaa:0.0212858,aptOwe:0.0215326):0.000148618):0.0286734,(rheAme:0.0760681,rhePen:0.0767079):0.000326488):0.140544):0.0146235,halLeu:0.251777);
14	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(((((((notPer:0.186944,(((aptOwe:0.0310098,aptHaa:0.030763):0.000381103,aptRow:0.0308112):0.0188422,rhePen:0.0769129):0.000239254):0.00571242,eudEle:0.185099):0.00663216,((casCas:0.0119119,droNov:0.014099):0.0542252,strCam:0.0620109):0.00316901):0.0209617,(rheAme:0.0761151,((cryCin:0.0526672,tinGut:0.0444302):0.0995365,anoDid:0.0699672):0.0175898):0.0337034):0.0279114,halLeu:0.157945):0.0912514,galGal:0.319959):0.00429417,nipNip:0.251521);
15	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0	(galGal:0.24927,((halLeu:0.139553,((((cryCin:0.0535886,tinGut:0.0453516):0.0616635,(notPer:0.0778028,eudEle:0.070245):0.054203):0.0578613,((strCam:0.0519758,((aptHaa:0.0202444,aptOwe:0.0204913):0.0106831,aptRow:0.0305947):0.0184384):0.00219344,(rheAme:0.0577032,rhePen:0.0583431):0.020143):0.00158882):0.0164709,((droNov:0.0138352,casCas:0.0116481):0.0510969,anoDid:0.0937376):0.0136102):0.0234328):0.0242115,nipNip:0.161796):0.0147427);
16	0	0	0	2	2	2	2	2	2	2	1	1	1	1	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	0	(((tinGut:0.125102,anoDid:0.0511025):0.0660576,((((cryCin:0.0773404,notPer:0.0940941):0.0759667,eudEle:0.162503):0.0209156,(((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0190246):0.00129106,strCam:0.0581584):0.0238829):0.014112,(galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841);
17	0	0	0	2	2	2	2	1	2	2	1	1	1	1	1	1	0	0	2	1	1	1	2	1	1	1	1	1	1	1	0	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,((((eudEle:0.102869,cryCin:0.0936731):0.0510551,(tinGut:0.132294,anoDid:0.0582946):0.00419712):0.0261758,(strCam:0.0531128,(((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.01527):0.000435853):0.00961808,notPer:0.197276):0.0329866);
18	1	0	0	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	2	2	1	1	1	1	1	1	1	1	1	1	0	(((galGal:0.202994,(halLeu:0.0876592,nipNip:0.0856901):0.0445723):0.00458579,((((tinGut:0.0543115,cryCin:0.0625485):0.0873443,(notPer:0.159837,anoDid:0.060847):0.00680939):0.0216583,(droNov:0.053941,eudEle:0.174179):0.00656813):0.0373521,(((aptRow:0.0288014,(aptOwe:0.0278443,aptHaa:0.0275974):0.00153684):0.00483185,casCas:0.0407021):0.0194752,strCam:0.0560511):0.0354969):0.00137766):0.113068,(rheAme:0.0465134,rhePen:0.0471532):0.183157);
19	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	0	1	0	2	2	1	1	2	1	1	1	1	1	1	0	0	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,(((((eudEle:0.0796904,(tinGut:0.0485307,cryCin:0.0567677):0.0137269):0.0998221,strCam:0.0529613):2.36611e-05,notPer:0.187094):0.0071642,(((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0223064):0.0014808,anoDid:0.0967488):0.0345233);
20	1	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	0	0	(((((notPer:0.175818,(aptHaa:0.0361086,(casCas:0.0364965,droNov:0.0386836):0.00634813):0.00299089):0.0231405,(aptOwe:0.0571157,((strCam:0.0534219,((anoDid:0.0512224,tinGut:0.125222):0.0363831,eudEle:0.179038):0.00093522):0.00468504,(rheAme:0.0605326,rhePen:0.0611725):0.0212513):0.00137177):0.00537115):0.0101648,cryCin:0.19237):0.00223217,aptRow:0.0743042):0.0427361,(galGal:0.193973,(halLeu:0.0797704,nipNip:0.0778013):0.0434398):0.0406644);
21	1	1	1	2	2	2	1	1	2	2	1	1	2	2	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	1	1	(((galGal:0.216328,(((rhePen:0.0623705,(aptOwe:0.0236479,aptRow:0.0230682):0.0120428):0.0421981,(notPer:0.146404,eudEle:0.138846):0.0679572):0.0117593,(strCam:0.0527459,droNov:0.0590591):0.0392652):0.00966231):0.15953,(halLeu:0.142214,(((aptHaa:0.0331058,casCas:0.0398418):0.0224099,rheAme:0.0818025):0.00447103,((tinGut:0.127188,anoDid:0.0531888):0.00839435,cryCin:0.14382):0.0361323):0.0357259):0.162881):0.108114,nipNip:0.41124);
22	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(halLeu:0.672235,((nipNip:0.14967,((rheAme:0.0802955,(eudEle:0.181967,aptRow:0.0524727):0.00120314):0.0314653,(strCam:0.0596999,((rhePen:0.0640967,(((cryCin:0.0489164,tinGut:0.0406794):0.0489579,notPer:0.114628):0.0472388,anoDid:0.0628766):0.0120221):0.0152506,((aptHaa:0.0314106,aptOwe:0.0316575):0.0066634,(casCas:0.0209409,droNov:0.023128):0.0238691):0.0143467):0.00466942):0.0283838):0.0196632):0.125333,galGal:0.347734):0.395264);
23	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(((halLeu:0.106812,galGal:0.177575):0.028775,nipNip:0.133618):0.0825849,(((rhePen:0.0610144,rheAme:0.0603745):0.01924,notPer:0.190047):0.02816,((((((eudEle:0.149937,anoDid:0.0585044):0.00704646,tinGut:0.13955):0.0241097,strCam:0.0545417):0.00204701,(aptRow:0.00588615,(aptHaa:0.00571836,aptOwe:0.00596521):0.000500638):0.0477599):0.00440744,cryCin:0.178351):0.00339685,(casCas:0.0155632,droNov:0.0177503):0.052956):0.0197046):0.0901831);
24	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((((((aptRow:0.0302156,(aptHaa:0.0287369,aptOwe:0.0289837):0.00181156):0.0199253,tinGut:0.162202):0.000183882,strCam:0.0532674):0.00317293,rhePen:0.0807572):0.199705,((((casCas:0.0134967,droNov:0.0156838):0.0524758,(((eudEle:0.0728472,notPer:0.080405):0.092989,anoDid:0.0744038):0.021557,rheAme:0.0845189):0.00100441):0.0181922,cryCin:0.197394):0.0149238,nipNip:0.136885):0.161183):0.265868,(halLeu:0.121641,galGal:0.192404):0.444264);
25	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0	((galGal:0.219423,(halLeu:0.0820221,nipNip:0.080053):0.0666377):0.200989,((strCam:0.0564768,(aptOwe:0.05037,tinGut:0.161851):0.00374381):0.0708769,((((cryCin:0.151826,anoDid:0.069589):0.0175678,(((droNov:0.0243304,casCas:0.0221433):0.0169611,aptHaa:0.0323684):0.00396878,(rheAme:0.0358751,rhePen:0.036515):0.0267489):0.013091):0.00998997,(eudEle:0.115254,notPer:0.122812):0.0733253):0.0118974,aptRow:0.0709827):0.0534284):0.178403);
