No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
34	1	0.281191	0.3555	0.495918	0	0	0.0107143	0.989286	0	0	0.0124286	0.987571	0	0	0.196429	0.803571	0	0	0.379143	0.620857	0	0	0.405286	0.594714	0	0	0.502571	0.497429	0	0	0.216143	0.783857	0	0	0.297	0.703	0	0	0.497714	0.502286	0	0	0.547	0.453	0	0	0.000571429	0.999429	0	0	0.000285714	0.999714	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.0188571	0.981143	0	0	0.261857	0.738143	0	0	0.0265714	0.973429	0	0	0.275	0.725	0	0	0.551286	0.448714	0	0	0.733571	0.266429	0	0	0.350571	0.649429	0	0	0.749143	0.250857	0	0	0.771	0.229	0	0	0.799286	0.200714	0	0	0.000714286	0.999286	0	0	0.000428571	0.999571	0	0	0.00114286	0.998857	0	0	0.06	0.94	0	0	0.811714	0.188286	0	0	0.845571	0.154429	0	0	0.859714	0.140286	0
51	1	0.113605	0.225055	0.505685	0	0	0.683429	0.316571	0	0	0.722	0.278	0	0	0.418286	0.581714	0	0	0.727857	0.272143	0	0	0.819857	0.180143	0	0	0.800714	0.199286	0	0	0.0894286	0.910571	0	0	0.0778571	0.922143	0	0	0.784714	0.215286	0	0	0.765714	0.234286	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000428571	0.999571	0	0	0.916286	0.0837143	0	0	0.981143	0.0188571	0	0	1	0	0	0	0.953143	0.0468571	0	0	1	0	0	0	0.117	0.883	0	0	1	0	0	0	0.999714	0.000285714	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00285714	0.997143	0	0	1	0	0	0	1	0	0	0	1	0	0
64	1	0.201119	0.163192	0.499527	0	0	0.996143	0.00385714	0	0	0.984143	0.0158571	0	0	0.0142857	0.985714	0	0	0.97	0.03	0	0	0.997286	0.00271429	0	0	0.998	0.002	0	0	0.762429	0.237571	0	0	0.976286	0.0237143	0	0	0.999286	0.000714286	0	0	0.991	0.009	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.346714	0.653286	0	0	0.167571	0.832429	0	0	0.996714	0.00328571	0	0	0.996857	0.00314286	0	0	1	0	0	0	1	0	0	0	0.984714	0.0152857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.489	0.511	0	0	1	0	0	0	1	0	0	0	1	0	0
13	1	0.241114	0.246142	0.500805	0	0	0.721429	0.278571	0	0	0.440857	0.559143	0	0	0.417429	0.582571	0	0	0.644143	0.355857	0	0	0.658571	0.341429	0	0	0.746714	0.253286	0	0	0.152571	0.847429	0	0	0.163	0.837	0	0	0.734714	0.265286	0	0	0.724429	0.275571	0	0	0.000142857	0.999857	0	0	0.000571429	0.999429	0	0	0	1	0	0	0	1	0	0	0.062	0.938	0	0	0.800571	0.199429	0	0	0.788857	0.211143	0	0	0.872286	0.127714	0	0	0.839429	0.160571	0	0	0.977286	0.0227143	0	0	0.230857	0.769143	0	0	0.982	0.018	0	0	0.961143	0.0388571	0	0	0.999286	0.000714286	0	0	0.000571429	0.999429	0	0	0	1	0	0	0.000714286	0.999286	0	0	0.112143	0.887857	0	0	0.999857	0.000142857	0	0	1	0	0	0	1	0	0
0	1	0.311974	0.169342	0.500933	0	0	0.204286	0.795714	0	0	0.182571	0.817429	0	0	0.238429	0.761571	0	0	1	0	0	0	0.989571	0.0104286	0	0	0.992429	0.00757143	0	0	0.834	0.166	0	0	0.831857	0.168143	0	0	0.997286	0.00271429	0	0	0.998429	0.00157143	0	0	0.000714286	0.999286	0	0	0.00214286	0.997857	0	0	0.000285714	0.999714	0	0	0.000428571	0.999571	0	0	0.0361429	0.963857	0	0	0.398714	0.601286	0	0	0.218714	0.781286	0	0	0.287714	0.712286	0	0	1	0	0	0	1	0	0	0	0.912143	0.0878571	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.003	0.997	0	0	0.00114286	0.998857	0	0	0.00442857	0.995571	0	0	0.0657143	0.934286	0	0	1	0	0	0	1	0	0	0	1	0	0
43	1	0.207435	0.25652	0.493545	0	0	0.261286	0.738714	0	0	0.909571	0.0904286	0	0	0.182857	0.817143	0	0	0.479714	0.520286	0	0	0.473143	0.526857	0	0	0.621143	0.378857	0	0	0.038	0.962	0	0	0.0372857	0.962714	0	0	0.753571	0.246429	0	0	0.796	0.204	0	0	0.512571	0.487429	0	0	0.537	0.463	0	0	0.277	0.723	0	0	0.0855714	0.914429	0	0	0.587571	0.412429	0	0	0.569286	0.430714	0	0	0.937429	0.0625714	0	0	0.965	0.035	0	0	0.625	0.375	0	0	0.818143	0.181857	0	0	0.0558571	0.944143	0	0	0.852	0.148	0	0	0.997286	0.00271429	0	0	0.997286	0.00271429	0	0	0.629143	0.370857	0	0	0.354	0.646	0	0	0.726286	0.273714	0	0	0.859714	0.140286	0	0	0.997286	0.00271429	0	0	0.997286	0.00271429	0	0	0.998714	0.00128571	0
58	1	0.294001	0.191714	0.490182	0	0	0.227429	0.772571	0	0	0.250143	0.749857	0	0	0.0187143	0.981286	0	0	0.883571	0.116429	0	0	0.862143	0.137857	0	0	0.999	0.001	0	0	0.892857	0.107143	0	0	0.868571	0.131429	0	0	1	0	0	0	0.980714	0.0192857	0	0	0.000142857	0.999857	0	0	0	1	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.0152857	0.984714	0	0	0.284286	0.715714	0	0	0.258	0.742	0	0	0.272143	0.727857	0	0	0.994286	0.00571429	0	0	1	0	0	0	0.955429	0.0445714	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.000142857	0.999857	0	0	0.000428571	0.999571	0	0	0.000571429	0.999429	0	0	0.0325714	0.967429	0	0	1	0	0	0	1	0	0	0	1	0	0
24	1	0.28104	0.262235	0.493699	0	0	0.421714	0.578286	0	0	0.328571	0.671429	0	0	0.656714	0.343286	0	0	0.630143	0.369857	0	0	0.619571	0.380429	0	0	0.773	0.227	0	0	0.307286	0.692714	0	0	0.391857	0.608143	0	0	0.794286	0.205714	0	0	0.720857	0.279143	0	0	0.000857143	0.999143	0	0	0.000571429	0.999429	0	0	0.0208571	0.979143	0	0	0.0161429	0.983857	0	0	0.304714	0.695286	0	0	0.147429	0.852571	0	0	0.539143	0.460857	0	0	0.845286	0.154714	0	0	0.819143	0.180857	0	0	0.999	0.001	0	0	0.489	0.511	0	0	0.999429	0.000571429	0	0	0.998857	0.00114286	0	0	1	0	0	0	0.00185714	0.998143	0	0	0.0244286	0.975571	0	0	0.0304286	0.969571	0	0	0.458429	0.541571	0	0	1	0	0	0	1	0	0	0	1	0	0
35	1	0.280688	0.319031	0.51226	0	0	0.0605714	0.939429	0	0	0.115	0.885	0	0	0.261714	0.738286	0	0	0.499429	0.500571	0	0	0.518	0.482	0	0	0.746	0.254	0	0	0.277	0.723	0	0	0.318857	0.681143	0	0	0.707429	0.292571	0	0	0.703571	0.296429	0	0	0.000428571	0.999571	0	0	0.000142857	0.999857	0	0	0.00128571	0.998714	0	0	0.000142857	0.999857	0	0	0.0258571	0.974143	0	0	0.262	0.738	0	0	0.165286	0.834714	0	0	0.420286	0.579714	0	0	0.724857	0.275143	0	0	0.995143	0.00485714	0	0	0.430143	0.569857	0	0	0.997286	0.00271429	0	0	0.997429	0.00257143	0	0	1	0	0	0	0.000714286	0.999286	0	0	0.00171429	0.998286	0	0	0.00371429	0.996286	0	0	0.0985714	0.901429	0	0	1	0	0	0	1	0	0	0	1	0	0
59	1	0.265774	0.453369	0.503213	0	0	0.138714	0.861286	0	0	0.175714	0.824286	0	0	0.0367143	0.963286	0	0	0.0395714	0.960429	0	0	0.0375714	0.962429	0	0	0.067	0.933	0	0	0.00771429	0.992286	0	0	0.00985714	0.990143	0	0	0.168714	0.831286	0	0	0.184857	0.815143	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.001	0.999	0	0	0.0511429	0.948857	0	0	0.281714	0.718286	0	0	0.371143	0.628857	0	0	0.0558571	0.944143	0	0	0.105429	0.894571	0	0	0.0167143	0.983286	0	0	0.151286	0.848714	0	0	0.295714	0.704286	0	0	0.304571	0.695429	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00571429	0.994286	0	0	0.320571	0.679429	0	0	0.351286	0.648714	0	0	0.413286	0.586714	0
14	1	0.150883	0.376909	0.489685	0	0	0.442143	0.557857	0	0	0.091	0.909	0	0	0.000142857	0.999857	0	0	0.357	0.643	0	0	0.350857	0.649143	0	0	0.519	0.481	0	0	0.0255714	0.974429	0	0	0.0204286	0.979571	0	0	0.581143	0.418857	0	0	0.617	0.383	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0434286	0.956571	0	0	0.197857	0.802143	0	0	0.526571	0.473429	0	0	0.603857	0.396143	0	0	0.533286	0.466714	0	0	0.810857	0.189143	0	0	0.0468571	0.953143	0	0	0.844571	0.155429	0	0	0.958	0.042	0	0	0.967714	0.0322857	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0.0968571	0.903143	0	0	0.972286	0.0277143	0	0	0.973714	0.0262857	0	0	0.975143	0.0248571	0
