No.	prop	genetree
34	0.0694286	(galGal:0.406888,(nipNip:0.165613,(halLeu:0.144727,(((((aptRow:0.0294284,(aptHaa:0.0266614,aptOwe:0.0269082):0.00309986):0.0086672,(casCas:0.0332484,droNov:0.0354355):0.011916):0.00524486,(rheAme:0.0589129,rhePen:0.0595527):0.0110472):0.00621912,(cryCin:0.113225,tinGut:0.104988):0.056633):0.0318152,(strCam:0.0641276,(anoDid:0.0777584,(eudEle:0.107539,notPer:0.115097):0.0616515):0.021488):0.0201898):0.0165178):0.0228551):0.168544);
34	0.048	(galGal:0.415336,(nipNip:0.163377,(halLeu:0.142268,(((((aptRow:0.0292108,(aptHaa:0.0262907,aptOwe:0.0265375):0.00325298):0.00640318,(casCas:0.0338164,droNov:0.0360035):0.00886642):0.00844997,(rheAme:0.0600785,rhePen:0.0607184):0.0106051):0.00538704,(cryCin:0.11825,tinGut:0.110013):0.0514989):0.0306389,(anoDid:0.100389,(strCam:0.0571934,(eudEle:0.11558,notPer:0.123137):0.068165):0.00807717):0.017762):0.0153437):0.0230778):0.179227);
34	0.029	(galGal:0.438366,(nipNip:0.167597,(halLeu:0.145006,(((((aptRow:0.0294585,(aptHaa:0.0270072,aptOwe:0.027254):0.00278422):0.00845212,(casCas:0.0350241,droNov:0.0372112):0.00995541):0.00605622,(rheAme:0.0595804,rhePen:0.0602203):0.0110061):0.00749255,(cryCin:0.12355,tinGut:0.115313):0.0482071):0.0295883,((eudEle:0.109371,notPer:0.116929):0.0839005,(anoDid:0.093382,strCam:0.0582632):0.00845722):0.01727):0.017124):0.0245597):0.198037);
34	0.0154286	(galGal:0.399983,(nipNip:0.163951,(halLeu:0.141746,(strCam:0.0789878,(((((aptRow:0.0301495,(aptHaa:0.0292198,aptOwe:0.0294667):0.0012625):0.0039259,(casCas:0.0336426,droNov:0.0358297):0.00750168):0.00598234,(rheAme:0.0577795,rhePen:0.0584194):0.00889784):0.00478084,(cryCin:0.118737,tinGut:0.1105):0.0463993):0.0248449,(anoDid:0.0817862,(eudEle:0.112508,notPer:0.120066):0.0607104):0.0259587):0.00636173):0.0188662):0.0241746):0.1633);
34	0.0122857	(galGal:0.580602,(nipNip:0.162026,(halLeu:0.140919,(aptOwe:0.0873086,((rhePen:0.0914984,((aptRow:0.0417958,(aptHaa:0.0351809,casCas:0.0419169):0.00694774):0.0138812,(rheAme:0.0763016,(cryCin:0.117901,tinGut:0.109664):0.0520788):0.00599505):0.00856195):0.017554,((droNov:0.0607995,strCam:0.0544863):0.00978592,(anoDid:0.0692439,(eudEle:0.0831822,notPer:0.09074):0.0774941):0.0301471):0.0204635):0.0049359):0.00735545):0.0230765):0.345844);
51	0.0307143	((galGal:0.190496,(halLeu:0.109423,nipNip:0.107454):0.0103108):0.0535705,((eudEle:0.182033,(droNov:0.0541792,(rheAme:0.0658573,(aptRow:0.0300578,(aptHaa:0.0280489,aptOwe:0.0282958):0.00234171):0.00917987):0.00568558):0.00761585):0.0350449,(notPer:0.199408,(rhePen:0.0819324,(strCam:0.0540562,(casCas:0.0534392,(anoDid:0.0594344,(cryCin:0.0792644,tinGut:0.0710274):0.0624065):0.0249974):0.00474312):0.00355945):0.00768369):0.0252273):0.0388857);
51	0.0235714	((galGal:0.194347,(halLeu:0.113586,nipNip:0.111617):0.00999817):0.0340563,((eudEle:0.180447,(droNov:0.053993,(rheAme:0.0666493,(aptRow:0.0302387,(aptHaa:0.027445,aptOwe:0.0276918):0.00312654):0.00979095):0.00470738):0.00621599):0.0317094,(notPer:0.19518,((casCas:0.0514472,(anoDid:0.0621536,(cryCin:0.0744836,tinGut:0.0662466):0.0699065):0.0202862):0.00798581,(rhePen:0.0776457,strCam:0.0533289):0.00197797):0.00576378):0.0245344):0.0281435);
51	0.0198571	((galGal:0.191014,(halLeu:0.107841,nipNip:0.105871):0.012411):0.0697816,((eudEle:0.185553,(droNov:0.0552726,(rheAme:0.0676332,(aptRow:0.0293767,(aptHaa:0.0287075,aptOwe:0.0289543):0.00100204):0.0116369):0.00500299):0.0100425):0.0413169,(notPer:0.20066,(strCam:0.058233,(casCas:0.0563087,(rhePen:0.0687107,(anoDid:0.0618921,(cryCin:0.0795199,tinGut:0.0712829):0.0646087):0.0176206):0.00778869):0.00605048):0.00831773):0.0337679):0.0458228);
51	0.0181429	((galGal:0.194994,(halLeu:0.107912,nipNip:0.105943):0.0163191):0.0441823,((eudEle:0.183834,(droNov:0.0545209,(rheAme:0.0663385,(aptRow:0.0301639,(aptHaa:0.0286136,aptOwe:0.0288604):0.00188318):0.00955488):0.00554611):0.00907539):0.0379718,(notPer:0.200876,(strCam:0.0596682,(rhePen:0.0794148,(casCas:0.0534544,(anoDid:0.062086,(cryCin:0.0707927,tinGut:0.0625557):0.0735298):0.022361):0.0057698):0.00457023):0.00709851):0.0284881):0.0292674);
51	0.0138571	((galGal:0.183192,(halLeu:0.102364,nipNip:0.100395):0.0100656):0.049021,((eudEle:0.178778,(droNov:0.0489655,(rheAme:0.062918,(aptRow:0.0299717,(aptHaa:0.0285032,aptOwe:0.02875):0.00180144):0.00632665):0.00341117):0.00957462):0.0377065,(strCam:0.0628836,((casCas:0.0518611,rhePen:0.0720517):0.0052673,(anoDid:0.0629458,(notPer:0.12637,(cryCin:0.0720325,tinGut:0.0637955):0.037584):0.0355658):0.0251752):0.0098814):0.0270498):0.0276254);
