No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
0	6.46892	0.349751	0.543473	0.214349	0	0	0.00733333	0.992667	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.046	0.953333	0.000666667	0	0.0673333	0.928667	0.004	0	0	0	1	0	0	0	1	0	0.149333	0.850667	0	0	0.138667	0.861333	0	0	0.149333	0.850667	0	0	0.13	0.87	0	0	0.0673333	0.932667	0	0	0.135333	0.864667	0	0	0.008	0.992	0	0	0.0666667	0.933333	0	0	0	0	1	0	0	1	0	0	0.088	0.912	0	0	0.0993333	0.900667	0	0	0	1	0	0	0.125333	0.874667	0	0	0.153333	0.846667	0	0	0.155333	0.844667	0	0	0.156	0.844	0	0	0.158667	0.841333	0	0	0.18	0.82	0	0	0.259333	0.740667	0	0	0.497333	0.502667	0
8	5.60162	0.163848	0.651684	0.193357	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	1	0	0	0	0.000666667	0.999333	0	0	0.004	0.996	0	0	0	1	0	0	0.998667	0.00133333	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.00133333	0.998667	0	0	0	0.00466667	0.995333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00133333	0.998667	0	0	0.00733333	0.992667	0	0	0.312	0.688	0
18	3.04733	0.228441	0.590227	0.183525	0	0	0.002	0.998	0	0	0.0313333	0.968667	0	0	0.008	0.992	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.0106667	0.974	0.0153333	0	0.00733333	0.986	0.00666667	0	0.136	0.132	0.732	0	0.172667	0.0246667	0.802667	0	0.004	0.826	0.17	0	0.00133333	0.998	0.000666667	0	0	1	0	0	0	0.999333	0.000666667	0	0.00533333	0.994667	0	0	0.00933333	0.990667	0	0	0.0333333	0.966667	0	0	0.196	0.804	0	0	0	0	1	0	0	0.982	0.018	0	0.0226667	0.976667	0.000666667	0	0.062	0.938	0	0	0.178	0.134	0.688	0	0.178667	0.821333	0	0	0.004	0.996	0	0	0.002	0.998	0	0	0.00466667	0.995333	0	0	0.05	0.95	0	0	0.216	0.784	0	0	0.399333	0.600667	0	0	0.661333	0.338667	0
14	4.07095	0.230117	0.586349	0.172187	0	0	0	1	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	0	1	0	0	0.03	0.97	0	0.004	0	0.996	0	0.04	0.943333	0.0166667	0	0.036	0.949333	0.0146667	0	0.120667	0.276	0.603333	0	0.117333	0.25	0.632667	0	0	1	0	0	0	0.997333	0.00266667	0	0.000666667	0.994667	0.00466667	0	0	0.998	0.002	0	0	1	0	0	0.04	0.96	0	0	0.00666667	0.993333	0	0	0.112	0.888	0	0	0	0.276	0.724	0	0.004	0.786	0.21	0	0.0813333	0.908	0.0106667	0	0.0966667	0.892667	0.0106667	0	0.140667	0.733333	0.126	0	0.156	0.837333	0.00666667	0	0.000666667	0.999333	0	0	0.00133333	0.996667	0.002	0	0.00133333	0.998667	0	0	0.0113333	0.988667	0	0	0.180667	0.819333	0	0	0.326	0.674	0	0	0.574	0.426	0
1	3.117	0.281812	0.597948	0.173335	0	0	0	1	0	0	0.00133333	0.998667	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.0146667	0.519333	0.466	0	0.014	0.359333	0.626667	0	0.018	0	0.982	0	0.0146667	0.004	0.981333	0	0	1	0	0	0.004	0.995333	0.000666667	0	0.01	0.862667	0.127333	0	0.00866667	0.976667	0.0146667	0	0.0106667	0.986667	0.00266667	0	0.028	0.97	0.002	0	0.00133333	0.998667	0	0	0.0166667	0.983333	0	0	0	0	1	0	0	0.372	0.628	0	0.0166667	0.568667	0.414667	0	0.0173333	0.599333	0.383333	0	0.018	0.000666667	0.981333	0	0.018	0.644667	0.337333	0	0.00533333	0.994667	0	0	0.0106667	0.984	0.00533333	0	0.0106667	0.989333	0	0	0.0173333	0.982667	0	0	0.0266667	0.973333	0	0	0.0693333	0.930667	0	0	0.341333	0.658667	0
19	5.99731	0.169736	0.600932	0.217353	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.00133333	0.529333	0.469333	0	0	0.999333	0.000666667	0	0	0	1	0	0	0	1	0	0.000666667	0.998667	0.000666667	0	0.000666667	0.999333	0	0	0	1	0	0	0	1	0	0	0.00133333	0.998667	0	0	0.01	0.99	0	0	0	1	0	0	0.00133333	0.998667	0	0	0	0.000666667	0.999333	0	0	1	0	0	0.00133333	0.998667	0	0	0.00333333	0.996667	0	0	0	1	0	0	0.006	0.994	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.00133333	0.998667	0	0	0.00866667	0.991333	0	0	0.018	0.982	0	0	0.299333	0.700667	0
15	5.73561	0.129672	0.274878	0.80624	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00133333	0.00133333	0.997333	0	0.00133333	0.00133333	0.997333	0	0.00266667	0.00266667	0.994667	0	0.396667	0.602667	0.000666667	0	0.368	0.630667	0.00133333	0	0	0	1	0	0	0	1	0	0.988	0.000666667	0.0113333	0	0.949333	0.0506667	0	0	0.984	0.016	0	0	0.989333	0	0.0106667	0	0.0546667	0.945333	0	0	0.702667	0.297333	0	0	0	1	0	0	0.012	0.988	0	0	0.00266667	0	0.997333	0	0.00266667	0.997333	0	0	0.762	0.238	0	0	0.801333	0.198667	0	0	0	1	0	0	0.867333	0.132667	0	0	0.988667	0.0113333	0	0	0.989333	0.0106667	0	0	0.989333	0.0106667	0	0	0.989333	0.0106667	0	0	0.989333	0.0106667	0	0	0.989333	0.0106667	0	0	0.992667	0.00733333	0
9	4.43646	0.141725	0.571697	0.155862	0	0	0.002	0.998	0	0	0.283333	0.716667	0	0	0	1	0	0	0	0.00133333	0.998667	0	0	0.681333	0.318667	0	0	0.894667	0.105333	0	0	0.802	0.198	0	0	0.98	0.02	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0.283333	0.716667	0	0	0.284	0.716	0	0	0	0.794667	0.205333	0	0	0.990667	0.00933333	0	0	1	0	0	0.000666667	0.999333	0	0	0	0.999333	0.000666667	0	0.000666667	0.999333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.00466667	0.995333	0	0	0.012	0.988	0	0	0.504	0.496	0
2	4.45726	0.259224	0.608557	0.204426	0	0	0	1	0	0	0.00466667	0.995333	0	0	0.000666667	0.999333	0	0	0	0.00533333	0.994667	0	0	0.000666667	0.999333	0	0	0.00666667	0.993333	0	0	0.952667	0.0473333	0	0	0.997333	0.00266667	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.008	0.992	0	0	0.00466667	0.995333	0	0	0.012	0.988	0	0	0	0.0366667	0.963333	0	0	0.998	0.002	0	0	1	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.00133333	0.998667	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00533333	0.994667	0	0	0.02	0.98	0	0	0.327333	0.672667	0
16	5.50572	0.330955	0.634589	0.167117	0	0	0	1	0	0	0.002	0.998	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.999333	0.000666667	0	0	0.998667	0.00133333	0	0	0	1	0	0	0	1	0	0.00266667	0.997333	0	0	0.002	0.998	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.0473333	0.952667	0	0	0.00266667	0.997333	0	0	0.0133333	0.986667	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00666667	0.993333	0	0	0.00466667	0.995333	0	0	0.00533333	0.994667	0	0	0.00733333	0.992667	0	0	0.00733333	0.992667	0	0	0.022	0.978	0	0	0.066	0.934	0	0	0.375333	0.624667	0
