No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2
0	0	-604.75796	-588.7011	-593.81965	16.056866	5.1185497
1	1	-576.59091	-561.42044	-563.81158	15.170472	2.3911372
2	2	-468.8753	-460.191	-466.36935	8.6842987	6.1783539
3	3	-513.06867	-494.16507	-500.55758	18.903603	6.3925144
4	4	-568.96893	-555.5641	-558.81421	13.404832	3.250112
5	5	-569.06902	-557.11602	-560.22329	11.953	3.1072744
6	6	-472.37481	-461.42257	-468.70052	10.952233	7.2779486
7	7	-631.52464	-609.01165	-616.12889	22.512988	7.1172422
8	8	-439.61899	-423.24036	-428.42186	16.378635	5.181497
9	9	-404.88955	-394.12862	-396.357	10.760925	2.2283792
10	10	-673.95463	-646.29926	-652.836	27.655376	6.536744
11	11	-409.94367	-396.11325	-402.5052	13.830417	6.3919541
12	12	-319.19387	-308.21775	-317.7917	10.976118	9.5739442
13	13	-525.87512	-506.89322	-514.46561	18.981899	7.5723961
14	14	-443.72299	-433.49	-438.88312	10.232989	5.3931109
15	15	-538.84101	-527.69568	-528.40678	11.145329	0.71110614
16	16	-625.4291	-604.26713	-612.43157	21.161968	8.164433
17	17	-448.09415	-434.72329	-443.49161	13.370867	8.7683214
18	18	-468.79018	-458.57403	-464.60946	10.216149	6.0354278
19	19	-484.85018	-468.2018	-472.80529	16.648372	4.6034866
20	20	-418.54146	-406.33004	-412.48348	12.21142	6.1534349
21	21	-358.34119	-350.74542	-358.93755	7.5957769	8.1921369
22	22	-383.39696	-366.75445	-375.35076	16.642509	8.5963109
23	23	-497.99743	-483.14623	-487.95351	14.851202	4.8072877
24	24	-342.12308	-335.37055	-342.23621	6.7525234	6.8656521
25	25	-444.17501	-421.71267	-427.92215	22.46234	6.2094801
26	26	-453.62284	-439.79154	-443.55569	13.831295	3.7641449
27	27	-567.00878	-547.39196	-553.06861	19.61682	5.6766508
28	28	-571.43429	-551.48204	-558.01983	19.952242	6.5377892
29	29	-450.0446	-439.4725	-446.45052	10.572093	6.9780205
30	30	-616.6298	-596.29999	-601.78267	20.329812	5.4826777
31	31	-391.1257	-377.33285	-384.44478	13.792858	7.1119347
32	32	-662.73644	-641.52591	-647.76121	21.210525	6.2352965
33	33	-671.60302	-656.65402	-662.6961	14.948995	6.0420767
34	34	-491.50194	-473.77604	-479.37576	17.725896	5.5997162
35	35	-669.13934	-666.64586	-667.24929	2.4934748	0.60342234
36	36	-493.43943	-484.67253	-490.03483	8.7668932	5.3622948
37	37	-484.07056	-477.81454	-480.27788	6.2560196	2.4633371
38	38	-515.9783	-504.03304	-507.40138	11.945261	3.3683476
39	39	-373.11896	-352.57263	-360.62275	20.546328	8.050123
40	40	-528.7151	-519.34274	-523.81343	9.3723588	4.4706914
41	41	-442.87059	-427.69987	-436.36554	15.17072	8.6656638
42	42	-610.79867	-601.23378	-607.19336	9.5648852	5.9595781
43	43	-526.84327	-517.04273	-522.0176	9.8005369	4.9748672
44	44	-417.95655	-407.98051	-412.92183	9.9760367	4.9413168
45	45	-608.28429	-600.29446	-604.92552	7.9898375	4.6310644
46	46	-479.12298	-474.81721	-475.99277	4.3057783	1.1755608
47	47	-517.9531	-504.49033	-508.57073	13.462772	4.0803993
48	48	-408.68826	-398.23549	-404.74551	10.452769	6.5100197
49	49	-459.18317	-439.45639	-445.79255	19.726781	6.3361589
50	50	-606.09081	-583.39703	-589.82209	22.693775	6.4250556
51	51	-500.84792	-485.97003	-491.2958	14.877885	5.3257688
52	52	-450.21721	-436.84068	-444.43543	13.376531	7.5947499
53	53	-416.69997	-391.5611	-397.98268	25.138871	6.4215734
54	54	-393.80233	-378.48503	-388.23827	15.317295	9.7532342
55	55	-474.86509	-454.9364	-460.91481	19.928691	5.9784092
56	56	-402.41238	-394.31417	-399.70729	8.0982086	5.3931156
57	57	-544.09005	-528.59449	-534.09646	15.49556	5.5019736
58	58	-463.69138	-448.09784	-455.45982	15.593537	7.361976
59	59	-446.57737	-424.58488	-431.84458	21.992488	7.2597017
60	60	-533.69135	-521.35649	-524.5362	12.334862	3.1797111
61	61	-359.54359	-342.42933	-348.74871	17.11426	6.3193793
62	62	-599.82255	-579.16754	-586.42142	20.655017	7.2538808
63	63	-497.83103	-475.00074	-481.50938	22.830294	6.5086434
64	64	-520.25544	-507.41047	-510.60315	12.844971	3.1926798
65	65	-461.41247	-456.52352	-457.16941	4.8889517	0.64588813
66	66	-475.91099	-446.22719	-454.67984	29.683803	8.4526514
