No.	prop	genetree
24	0.00866667	((galGal:0.187765,(halLeu:0.0801075,nipNip:0.0781383):0.0368948):0.0295834,((((aptHaa:0.0392019,(rheAme:0.0495691,rhePen:0.050209):0.0159196):0.0136823,(aptOwe:0.0176206,aptRow:0.0170409):0.0355105):0.0076124,((casCas:0.0197498,droNov:0.0219369):0.042129,(anoDid:0.0879696,strCam:0.0528508):0.00490177):0.00535387):0.0117759,(notPer:0.158967,(eudEle:0.102726,(cryCin:0.0631525,tinGut:0.0549155):0.0303778):0.0486828):0.0500246):0.0278116);
24	0.0072	((galGal:0.186962,(halLeu:0.0811928,nipNip:0.0792236):0.0350063):0.0255026,(((aptHaa:0.0460184,(rheAme:0.0492521,rhePen:0.049892):0.0230531):0.0118718,(strCam:0.0554227,((anoDid:0.0810453,(aptOwe:0.0218766,aptRow:0.0212969):0.0216869):0.00594521,(casCas:0.0214782,droNov:0.0236653):0.0345197):0.00355103):0.00507732):0.0120122,(notPer:0.156635,(eudEle:0.0992735,(cryCin:0.0600588,tinGut:0.0518218):0.0300189):0.0498032):0.0499867):0.0252978);
24	0.00546667	((galGal:0.189561,(halLeu:0.0942636,nipNip:0.0922945):0.0245345):0.0401867,(((strCam:0.056275,(aptHaa:0.0419503,(rheAme:0.0552254,rhePen:0.0558653):0.0130116):0.0117149):0.00559729,((aptOwe:0.0181456,aptRow:0.0175659):0.0347916,(anoDid:0.0858997,(casCas:0.0203479,droNov:0.022535):0.0345591):0.00451931):0.00657207):0.0107625,(notPer:0.1568,(eudEle:0.0986521,(cryCin:0.052279,tinGut:0.044042):0.0371772):0.05059):0.0499439):0.0424584);
24	0.00506667	((galGal:0.196641,(halLeu:0.100195,nipNip:0.0982254):0.0256833):0.0238748,(((strCam:0.0574189,(aptHaa:0.049759,(rheAme:0.0579937,rhePen:0.0586336):0.0180521):0.00505004):0.00287127,((anoDid:0.0838958,(aptOwe:0.0183063,aptRow:0.0177266):0.0281077):0.00442859,(casCas:0.0205605,droNov:0.0227476):0.0367712):0.00708461):0.0186466,(notPer:0.170107,(eudEle:0.117488,(cryCin:0.0676397,tinGut:0.0594027):0.0406522):0.0450609):0.0429393):0.0269241);
24	0.0048	(((galGal:0.184253,(halLeu:0.0818496,nipNip:0.0798805):0.0316403):0.0381606,((aptHaa:0.0385869,(rheAme:0.0547386,rhePen:0.0553784):0.0101351):0.0117994,(eudEle:0.162075,(tinGut:0.134614,(cryCin:0.116437,notPer:0.133191):0.026414):0.0100277):0.0174725):0.0547627):0.0164275,((aptOwe:0.0371117,aptRow:0.036532):0.0303039,(anoDid:0.1,(strCam:0.0594188,(casCas:0.0184311,droNov:0.0206182):0.0451139):0.00546288):0.00489688):0.0544077);
24	0.0048	(nipNip:0.170865,((halLeu:0.103547,galGal:0.17431):0.0424382,((((aptHaa:0.0458085,(rheAme:0.0586221,rhePen:0.059262):0.0134732):0.00941884,(anoDid:0.0878982,strCam:0.0527794):0.00505779):0.00207132,((aptOwe:0.013929,aptRow:0.0133493):0.0343665,(casCas:0.0229135,droNov:0.0251006):0.0318711):0.00925004):0.0176149,(notPer:0.177152,(eudEle:0.126201,(cryCin:0.0610702,tinGut:0.0528332):0.0559345):0.0433937):0.0344804):0.0245706):0.0268482);
64	0.00666667	((halLeu:0.0743029,nipNip:0.0723338):0.102427,(galGal:0.218287,((strCam:0.0624992,(rheAme:0.0793645,(((aptHaa:0.0229908,aptRow:0.0226579):0.0209801,(casCas:0.028952,droNov:0.0311391):0.0217549):0.00641623,(aptOwe:0.0418518,rhePen:0.0685316):0.00878213):0.00269056):0.00681171):0.00965966,((cryCin:0.049943,tinGut:0.041706):0.116032,(anoDid:0.0601329,(eudEle:0.14087,notPer:0.148428):0.0106949):0.0236057):0.0235391):0.0314741):0.0292051);
64	0.0064	((halLeu:0.070295,nipNip:0.0683259):0.0967235,(galGal:0.217208,((((aptHaa:0.0177485,aptRow:0.0174157):0.0236163,(rheAme:0.0563806,rhePen:0.0570205):0.0112711):0.0155202,(strCam:0.0533283,(eudEle:0.151039,(anoDid:0.0537865,(cryCin:0.0521704,tinGut:0.0439334):0.0838526):0.00582055):0.02884):0.00616662):0.00757967,(notPer:0.191597,(aptOwe:0.0487779,(casCas:0.0258428,droNov:0.0280299):0.0294243):0.00634737):0.00958634):0.0354786):0.0205736);
64	0.00573333	((halLeu:0.0766196,nipNip:0.0746505):0.0823913,(galGal:0.212772,(notPer:0.203131,((strCam:0.0547153,(aptOwe:0.0500529,(((aptHaa:0.0198293,aptRow:0.0194965):0.0178826,(casCas:0.034946,droNov:0.0371331):0.00950192):0.00344633,(rheAme:0.0519532,rhePen:0.0525931):0.0154918):0.00864782):0.00229936):0.0039403,(anoDid:0.0750923,(eudEle:0.154114,(cryCin:0.051908,tinGut:0.043671):0.0930098):0.012411):0.0186821):0.0103665):0.0290958):0.0170014);
64	0.0056	((galGal:0.190583,(halLeu:0.0756602,nipNip:0.073691):0.0441598):0.0214839,(((rheAme:0.0781354,((aptHaa:0.0255782,aptRow:0.0252453):0.0211512,(casCas:0.0264942,droNov:0.0286813):0.0269712):0.00511917):0.0132698,(strCam:0.0619441,(aptOwe:0.0476939,rhePen:0.0743737):0.0118873):0.00578403):0.0121916,(anoDid:0.0905203,(eudEle:0.165308,(notPer:0.160854,(cryCin:0.0513972,tinGut:0.0431602):0.0927029):0.0120125):0.0166443):0.0245183):0.0174924);
