No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-621.60275	-592.13239	-595.57078	29.470359	3.4383927	-609.40611	-583.62497	-580.19345
1	1	-324.79144	-309.38242	-312.72854	15.409018	3.3461238	-312.25121	-304.06537	-299.97858
2	2	-638.07806	-577.22447	-582.31813	60.853588	5.0936663	-624.98059	-571.39443	-571.41871
3	3	-448.17739	-416.30194	-421.37071	31.875447	5.0687732	-434.45662	-405.9353	-404.37554
4	4	-567.06432	-556.04883	-558.84973	11.015484	2.800894	-558.11109	-546.05692	-542.57505
5	5	-581.66847	-550.99323	-556.00481	30.675238	5.0115713	-566.84565	-541.41255	-540.61338
6	6	-356.52735	-331.09975	-336.19759	25.427598	5.0978392	-344.04746	-323.45407	-321.46737
7	7	-457.37595	-418.10782	-424.46023	39.26813	6.3524086	-444.10381	-410.23541	-410.24336
8	8	-464.09803	-444.13765	-449.34464	19.96038	5.2069926	-450.69776	-437.32722	-436.82694
9	9	-624.12611	-568.82417	-574.6179	55.301932	5.7937238	-609.76834	-558.90073	-557.30238
10	10	-454.32713	-420.28313	-426.29869	34.044001	6.0155602	-441.05942	-411.21953	-410.05129
11	11	-466.91216	-442.432	-447.34225	24.480163	4.9102497	-454.52506	-436.47675	-435.45824
12	12	-395.14752	-368.84361	-374.92271	26.303907	6.0790958	-383.26635	-360.4501	-360.45867
13	13	-523.60069	-490.82568	-496.7434	32.775014	5.9177229	-509.44829	-479.52756	-477.76855
14	14	-599.8094	-580.62163	-582.28658	19.187771	1.6649522	-586.76529	-566.53483	-566.84044
15	15	-525.82843	-490.61504	-496.24634	35.213385	5.6312983	-512.13538	-482.14065	-481.33324
16	16	-401.99915	-395.24927	-399.84685	6.7498853	4.5975819	-389.99429	-382.89234	-382.89516
17	17	-444.111	-431.34102	-434.54229	12.769988	3.2012732	-433.0971	-422.91428	-418.51794
18	18	-584.03458	-560.20344	-556.12768	23.831141	-4.0757553	-570.20687	-546.74818	-534.01761
19	19	-522.11289	-505.47403	-510.92341	16.638862	5.4493763	-510.99244	-497.59265	-497.10646
20	20	-516.4286	-482.53706	-487.30945	33.891548	4.7723975	-503.9734	-473.62186	-469.5617
21	21	-787.57564	-700.80546	-702.66229	86.770174	1.856828	-764.77698	-687.03119	-684.76145
22	22	-554.96224	-508.49246	-514.73806	46.469778	6.2456012	-541.61531	-501.28103	-501.28207
23	23	-449.97249	-412.6305	-417.98661	37.341989	5.3561052	-437.39446	-406.17624	-404.69686
24	24	-369.90165	-350.54894	-356.1095	19.35271	5.5605535	-356.91424	-343.34493	-343.36099
25	25	-588.13935	-531.62351	-539.03037	56.51584	7.4068595	-573.97948	-523.1275	-523.12882
26	26	-599.69775	-575.33642	-579.5605	24.361326	4.2240848	-585.01129	-565.58244	-565.49159
27	27	-467.1323	-448.52749	-452.03693	18.604815	3.5094404	-454.65622	-439.70682	-435.18319
28	28	-583.11987	-548.42626	-551.17438	34.693605	2.7481114	-570.71174	-539.00848	-534.52919
29	29	-697.62274	-656.756	-648.79373	40.866738	-7.9622684	-686.03842	-641.84691	-629.37402
30	30	-448.83149	-410.57521	-416.51232	38.256279	5.9371104	-435.4312	-406.87428	-406.8826
31	31	-600.75456	-584.50098	-575.84747	16.253578	-8.6535077	-586.64175	-567.23007	-558.31101
32	32	-581.19661	-540.43352	-542.94008	40.763086	2.5065629	-568.10986	-532.21871	-526.64275
33	33	-575.72286	-526.47134	-532.62866	49.251516	6.1573191	-563.13334	-521.86971	-521.86314
34	34	-438.22908	-420.89659	-425.99392	17.332486	5.0973307	-425.10837	-413.83705	-413.81794
35	35	-485.1316	-447.81527	-455.60658	37.316336	7.7913167	-472.18198	-438.76922	-438.75927
36	36	-647.76433	-615.45895	-621.0696	32.305372	5.6106434	-635.10509	-607.57649	-606.59701
37	37	-724.72101	-673.53242	-674.26967	51.18859	0.73724591	-714.3316	-660.16013	-657.55488
38	38	-444.47518	-426.50653	-432.9836	17.968651	6.4770712	-430.4949	-419.28874	-419.29309
39	39	-660.89084	-635.56965	-640.9777	25.321187	5.40805	-649.60307	-627.41854	-627.42932
40	40	-666.46484	-611.40034	-618.02035	55.064509	6.6200164	-653.923	-601.54584	-601.53759
41	41	-549.35741	-512.99116	-518.66689	36.366252	5.6757305	-534.77321	-505.42458	-504.49299
42	42	-736.90117	-712.93521	-695.9335	23.965969	-17.001707	-725.50509	-699.68186	-680.38997
43	43	-403.18812	-381.17039	-387.52673	22.017733	6.3563364	-390.16006	-371.80308	-371.80247
44	44	-746.3451	-673.82368	-681.25137	72.521421	7.4276877	-729.70065	-661.03965	-661.0442
45	45	-452.76497	-432.84189	-431.30125	19.923075	-1.5406464	-440.40318	-425.58316	-415.16297
46	46	-410.3645	-388.90007	-395.22632	21.46443	6.3262479	-396.82022	-380.72886	-379.89723
47	47	-535.00301	-516.54787	-513.39199	18.455141	-3.1558844	-523.25347	-507.14118	-497.01628
48	48	-523.04375	-473.13322	-478.79565	49.910528	5.6624318	-509.08329	-463.63156	-463.35483
49	49	-774.49757	-743.88066	-740.83281	30.616911	-3.047841	-765.93221	-729.15384	-725.7843
50	50	-438.71734	-422.80947	-428.83361	15.907862	6.0241328	-425.04763	-409.69927	-408.45518
51	51	-478.1722	-461.21535	-467.59165	16.956856	6.3763039	-464.71637	-452.73495	-451.81467
52	52	-563.89694	-537.69771	-536.50957	26.199232	-1.1881393	-548.57163	-520.2177	-519.80048
53	53	-631.06104	-591.12107	-591.46995	39.939961	0.34887421	-615.87397	-579.64088	-574.48568
54	54	-494.26008	-469.52079	-475.30702	24.739292	5.7862281	-481.69669	-458.94394	-458.92452
55	55	-417.41708	-404.93395	-409.35946	12.483124	4.4255118	-405.33706	-395.02198	-392.38297
56	56	-395.51048	-379.60518	-384.46118	15.905303	4.8559955	-382.872	-372.905	-372.91249
57	57	-537.29415	-508.30965	-514.50278	28.984496	6.1931317	-519.99422	-500.54861	-499.61231
58	58	-521.68323	-496.1127	-496.95829	25.570525	0.8455855	-507.49945	-486.16872	-480.14036
59	59	-627.38348	-584.10945	-587.94395	43.274028	3.8344952	-613.46768	-577.03894	-572.16967
60	60	-445.2354	-417.36466	-421.83676	27.870739	4.4721005	-432.59224	-413.37034	-412.09376
61	61	-787.57912	-730.23395	-735.40126	57.345172	5.1673138	-780.27989	-722.15683	-720.36227
