No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
0	3.89557	0.302002	0.433294	0.29763	0	0	0.0233333	0.976667	0	0	0.00933333	0.990667	0	0	0.00666667	0.993333	0	0	0	0.004	0.996	0	0	0.004	0.996	0	0	0	1	0	0	0	1	0	0	0	1	0	0.00466667	0.482	0.513333	0	0.00533333	0.120667	0.874	0	0.332	0.65	0.018	0	0.324	0.662667	0.0133333	0	0.336	0.629333	0.0346667	0	0.271333	0.728667	0	0	0.156667	0.843333	0	0	0.230667	0.769333	0	0	0.03	0.97	0	0	0.0993333	0.900667	0	0	0	0.004	0.996	0	0	0.941333	0.0586667	0	0	0.086	0.914	0	0.0233333	0.93	0.0466667	0	0.006	0.994	0	0	0.224	0.776	0	0	0.338667	0.661333	0	0	0.34	0.66	0	0	0.34	0.66	0	0	0.342	0.658	0	0	0.37	0.63	0	0	0.453333	0.546667	0	0	0.628667	0.371333	0
8	2.06598	0.230106	0.622565	0.210836	0	0	0.008	0.992	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	0.002	0.998	0	0	0	1	0	0	0.00266667	0.997333	0	0	0	1	0	0	0	1	0	0	0.874667	0.125333	0	0	0.886667	0.113333	0	0.000666667	0.555333	0.444	0	0.000666667	0.384667	0.614667	0	0.000666667	0.754667	0.244667	0	0.000666667	0.694	0.305333	0	0	0.992	0.008	0	0.000666667	0.999333	0	0	0.00866667	0.991333	0	0	0.0233333	0.976667	0	0	0	0.00333333	0.996667	0	0	0.308	0.692	0	0	0.0193333	0.980667	0	0	0.440667	0.559333	0	0	0.998667	0.00133333	0	0.00333333	0.996	0.000666667	0	0.000666667	0.858	0.141333	0	0.000666667	0.859333	0.14	0	0.000666667	0.998667	0.000666667	0	0.000666667	0.999333	0	0	0.0106667	0.989333	0	0	0.04	0.96	0	0	0.362	0.638	0
18	4.41952	0.229036	0.538082	0.281448	0	0	0.314667	0.685333	0	0	0.368667	0.631333	0	0	0.006	0.994	0	0	0	0.018	0.982	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00666667	0.993333	0	0	0.00466667	0.995333	0	0.00133333	0.998667	0	0	0.000666667	0.999333	0	0	0.000666667	0.998667	0.000666667	0	0	1	0	0	0.00133333	0.998667	0	0	0.038	0.962	0	0	0.954	0.046	0	0	0.954	0.046	0	0	0	0.327333	0.672667	0	0	0.798667	0.201333	0	0	0.788667	0.211333	0	0.00333333	0.894667	0.102	0	0	0.999333	0.000666667	0	0.016	0.983333	0.000666667	0	0.00266667	0.997333	0	0	0.00133333	0.998667	0	0	0.00266667	0.997333	0	0	0.00666667	0.993333	0	0	0.03	0.97	0	0	0.096	0.904	0	0	0.972667	0.0273333	0
14	4.71131	0.228613	0.255064	0.644143	0	0	0.052	0.948	0	0	0.0313333	0.968667	0	0	0.002	0.998	0	0	0	0	1	0	0	0	1	0	0.402667	0.195333	0.402	0	0.687333	0.00533333	0.307333	0	0.673333	0.0313333	0.295333	0	0.562	0.419333	0.0186667	0	0.586	0.398	0.016	0	0.132	0.868	0	0	0.469333	0.530667	0	0	0.935333	0.00466667	0.06	0	0.878667	0.118	0.00333333	0	0.748	0.252	0	0	0.178	0.822	0	0	0.0566667	0.943333	0	0	0.163333	0.836667	0	0	0	0.682	0.318	0	0.535333	0.422667	0.042	0	0.692	0.196667	0.111333	0	0.836	0.140667	0.0233333	0	0.850667	0.149333	0	0	0.938667	0.0613333	0	0	0.663333	0.336667	0	0	0.936	0.0606667	0.00333333	0	0.94	0.06	0	0	0.997333	0.00266667	0	0	0.998	0.002	0	0	0.998	0.002	0	0	0.998667	0.00133333	0
1	1.74734	0.0787294	0.605244	0.193683	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.000666667	0.999333	0	0.000666667	0.00333333	0.996	0	0.000666667	0.004	0.995333	0	0.000666667	0	0.999333	0	0.000666667	0	0.999333	0	0	0.294667	0.705333	0	0	0.310667	0.689333	0	0	0.995333	0.00466667	0	0	0.998667	0.00133333	0	0	1	0	0	0	0.774	0.226	0	0	0.999333	0.000666667	0	0	1	0	0	0.00133333	0.998667	0	0	0.00333333	0.996667	0	0	0.000666667	0.0233333	0.976	0	0.000666667	0.156667	0.842667	0	0.000666667	0.002	0.997333	0	0.000666667	0.304	0.695333	0	0	0.978	0.022	0	0.000666667	0.98	0.0193333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0	0.00666667	0.993333	0	0	0.270667	0.729333	0
9	5.7045	0.260053	0.527006	0.227282	0	0	0.209333	0.790667	0	0	0.0326667	0.967333	0	0	0.00266667	0.997333	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00133333	0.998667	0	0	0	1	0	0.008	0.783333	0.208667	0	0.006	0.962667	0.0313333	0	0.0846667	0.915333	0	0	0.00733333	0.992667	0	0	0.152	0.848	0	0	0.002	0.998	0	0	0.0853333	0.914667	0	0	0.09	0.91	0	0	0.214667	0.785333	0	0	0.280667	0.719333	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.0766667	0.923333	0	0	0.0106667	0.989333	0	0	0.134	0.866	0	0	0.131333	0.868667	0	0	0.152	0.848	0	0	0.152	0.848	0	0	0.185333	0.814667	0	0	0.220667	0.779333	0	0	0.335333	0.664667	0	0	0.602667	0.397333	0
19	2.32248	0.343308	0.558774	0.182002	0	0	0.00333333	0.996667	0	0	0.00333333	0.996667	0	0	0.002	0.998	0	0	0.000666667	0.00933333	0.99	0	0.000666667	0.00466667	0.994667	0	0.00133333	0	0.998667	0	0	0.188	0.812	0	0	0	1	0	0.054	0.810667	0.135333	0	0.0413333	0.822667	0.136	0	0.0266667	0.959333	0.014	0	0.0526667	0.913333	0.034	0	0.0513333	0.910667	0.038	0	0.072	0.535333	0.392667	0	0.0533333	0.926667	0.02	0	0.052	0.94	0.008	0	0.00333333	0.996667	0	0	0.0253333	0.974667	0	0	0.000666667	0.0113333	0.988	0	0.00133333	0.0293333	0.969333	0	0	0.736667	0.263333	0	0.00533333	0.768667	0.226	0	0.074	0.865333	0.0606667	0	0.08	0.877333	0.0426667	0	0.0686667	0.918667	0.0126667	0	0.0733333	0.897333	0.0293333	0	0.0766667	0.92	0.00333333	0	0.084	0.912667	0.00333333	0	0.0926667	0.904	0.00333333	0	0.124667	0.874	0.00133333	0	0.375333	0.624667	0
15	3.91651	0.230637	0.622671	0.214069	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.00133333	0.506667	0.492	0	0.000666667	0.952667	0.0466667	0	0.00266667	0.994667	0.00266667	0	0.004	0.988667	0.00733333	0	0.00466667	0.775333	0.22	0	0.000666667	0.999333	0	0	0	1	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.00333333	0.996667	0	0	0	0.000666667	0.999333	0	0	0.382667	0.617333	0	0	0.974	0.026	0	0.002	0.979333	0.0186667	0	0.00133333	0.998667	0	0	0.00466667	0.995333	0	0	0.00466667	0.995333	0	0	0.00466667	0.995333	0	0	0.00466667	0.995333	0	0	0.00866667	0.991333	0	0	0.00933333	0.990667	0	0	0.0133333	0.986667	0	0	0.328	0.672	0
2	4.92936	0.176229	0.6263	0.108326	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.000666667	0.98	0.0193333	0	0.000666667	0.988	0.0113333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0166667	0.983333	0	0	0	1	0	0	0.0113333	0.988667	0	0	0	0	1	0	0	0	1	0	0	0.116	0.884	0	0	0.308	0.692	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00266667	0.997333	0	0	0.004	0.996	0	0	0.0306667	0.969333	0	0	0.326	0.674	0
10	4.23986	0.174506	0.618445	0.220611	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0	0	0	1	0	0	0	1	0	0	0.00266667	0.997333	0	0	0	1	0	0	0	1	0	0	0.478	0.522	0	0	0.961333	0.0386667	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.0133333	0.986667	0	0	0	0.284667	0.715333	0	0	0.927333	0.0726667	0	0	0.902667	0.0973333	0	0.000666667	0.962	0.0373333	0	0	1	0	0	0.00133333	0.998667	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.00533333	0.994667	0	0	0.0213333	0.978667	0	0	0.34	0.66	0
