No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa	genetree
0	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((halLeu:0.0718635,nipNip:0.0698944):0.0319568,galGal:0.174583):0.0362246,((tinGut:0.123685,notPer:0.148676):0.0587626,(((rheAme:0.0774868,((((aptHaa:0.00428991,aptOwe:0.00453676):0.0447117,aptRow:0.0486688):0.000155209,strCam:0.0517667):0.00144787,eudEle:0.179766):0.000595333):0.00203614,(casCas:0.0357796,droNov:0.0379667):0.0241926):0.00282568,(rhePen:0.0760507,(cryCin:0.14612,anoDid:0.0638837):0.022969):0.00693782):0.0146577):0.0228239);
1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((halLeu:0.0707219,nipNip:0.0687528):0.133012,(galGal:0.209135,((anoDid:0.0898494,((cryCin:0.0749071,(tinGut:0.0617784,eudEle:0.0792113):0.00489172):0.0942593,(rheAme:0.0507434,rhePen:0.0513833):0.0247446):0.00291945):2.98353e-06,(strCam:0.0534919,(((aptRow:0.0152928,(aptHaa:0.0137831,aptOwe:0.01403):0.00184251):0.024919,notPer:0.177263):0.00919008,(casCas:0.0134453,droNov:0.0156324):0.0430254):0.00114734):0.00124167):0.039747):0.0653617);
2	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((((aptRow:0.0100208,aptOwe:0.0106005):0.0328824,aptHaa:0.0432361):0.0226124,(((strCam:0.0522402,(notPer:0.165223,(eudEle:0.074435,(cryCin:0.048945,tinGut:0.040708):0.0162941):0.08323):0.0211263):0.0013295,(droNov:0.0364031,casCas:0.034216):0.0234798):0.00453676,anoDid:0.0932252):0.0103519):0.00283079,(rheAme:0.0117846,rhePen:0.0124245):0.0831815):0.0248642,(galGal:0.167983,(halLeu:0.073888,nipNip:0.0719188):0.0233317):0.0428253);
3	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	0	0	(((halLeu:0.0543322,nipNip:0.052363):0.0445084,galGal:0.169603):0.0412044,((((rheAme:0.00933134,rhePen:0.0099712):0.0691265,(strCam:0.0524454,((notPer:0.107875,eudEle:0.100318):0.0363381,(cryCin:0.0595151,tinGut:0.0512781):0.0679448):0.0423408):0.00233541):0.00136521,(aptRow:0.0498613,(anoDid:0.0788646,droNov:0.050059):0.00905818):0.00334209):0.00191384,(casCas:0.0566994,(aptHaa:0.0016923,aptOwe:0.00193915):0.048271):0.00548671):0.0380934);
4	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	((((((droNov:0.0396726,casCas:0.0374855):0.0186077,(anoDid:0.0585331,((cryCin:0.0807338,eudEle:0.0899297):0.00964166,notPer:0.107129):0.0503942):0.0285527):8.75317e-05,(rheAme:0.00933629,rhePen:0.00997615):0.0663952):0.00285804,((aptOwe:0.0154825,(aptHaa:0.00773623,aptRow:0.00740338):0.00749939):0.0362764,(strCam:0.0517997,tinGut:0.160918):0.00232215):0.000790751):0.0385559,nipNip:0.135391):0.00268479,(galGal:0.195706,halLeu:0.124943):0.0151023);
5	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	0	0	(((nipNip:0.0715732,halLeu:0.0735424):0.0261872,galGal:0.170492):0.0403155,(eudEle:0.18977,((((((cryCin:0.0504689,tinGut:0.0422319):0.113278,(casCas:0.0142838,droNov:0.0164709):0.0362339):0.00647691,(aptHaa:0.0016923,aptOwe:0.00193915):0.0485663):0.000366241,(strCam:0.0525605,notPer:0.18667):0.000674147):0.00460344,(aptRow:0.0487823,(rheAme:0.00664009,rhePen:0.00727995):0.0687618):0.00611317):0.00306027,anoDid:0.0960172):0.00232035):0.0329346);
6	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((((cryCin:0.0577494,tinGut:0.0495124):0.116353,notPer:0.190856):0.0251629,(anoDid:0.0885622,((rheAme:0.0758312,(eudEle:0.178268,(strCam:0.0514953,(rhePen:0.0692827,(droNov:0.0445753,casCas:0.0423882):0.00670384):0.00652943):0.000221263):0.000437644):0.00109473,((aptOwe:0.0228941,aptHaa:0.0226472):0.00718714,aptRow:0.0295015):0.0208048):0.000194489):0.0284668):0.0150439,(galGal:0.171668,(halLeu:0.062207,nipNip:0.0602378):0.038698):0.0399408);
7	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((halLeu:0.0634713,nipNip:0.0615021):0.0470218,galGal:0.181256):0.029552,(((((cryCin:0.142113,(anoDid:0.0544285,(tinGut:0.0869687,notPer:0.111959):0.0414593):0.00544763):0.0150167,(rheAme:0.0136044,rhePen:0.0142443):0.0498465):0.0120987,eudEle:0.178424):0.00236888,(aptOwe:0.0511739,strCam:0.0535369):0.000704699):0.0121341,(casCas:0.0664249,((aptHaa:0.00693555,aptRow:0.0066027):0.0271344,droNov:0.0429931):0.0256189):0.00407693):0.0297776);
8	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((((strCam:0.0541301,((aptHaa:0.00247683,aptOwe:0.00272368):0.028311,aptRow:0.030455):0.0207324):0.000897436,(eudEle:0.178142,((rheAme:0.0128042,rhePen:0.0134441):0.0624477,(notPer:0.0817757,cryCin:0.065022):0.103908):1.54238e-05):0.00343708):0.00969458,((tinGut:0.126876,anoDid:0.0528764):0.0382678,(droNov:0.0288235,casCas:0.0266364):0.0335151):0.0086967):0.0339733,(galGal:0.176072,(halLeu:0.101125,nipNip:0.0991554):0.00418502):0.0372775);
9	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	((halLeu:0.136042,((strCam:0.0592328,(((((rheAme:0.0154873,rhePen:0.0161271):0.0540007,casCas:0.0499372):0.00614295,eudEle:0.178505):0.000377198,droNov:0.0586445):0.00575594,(aptHaa:0.0162055,aptOwe:0.0164524):0.0392718):0.00114563):0.0270663,(((anoDid:0.0506952,notPer:0.149685):0.0152557,(cryCin:0.0537249,tinGut:0.0454879):0.0944625):0.021836,aptRow:0.0497254):0.0336309):0.00585103):0.00400325,(galGal:0.167362,nipNip:0.0946301):0.0434457);
10	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((galGal:0.170673,(halLeu:0.0615619,nipNip:0.0595927):0.0383478):0.0401353,(((((casCas:0.0394134,droNov:0.0416005):0.0165676,(((notPer:0.153033,tinGut:0.128042):0.0036357,(cryCin:0.0643938,eudEle:0.0735897):0.0755211):0.00236056,anoDid:0.0600389):0.0269347):0.00484626,strCam:0.0567011):0.00198443,aptHaa:0.0560757):0.00175814,((aptRow:0.0153003,aptOwe:0.01588):0.0349501,(rhePen:0.0210745,rheAme:0.0204346):0.0564354):0.00725063):0.0357096);
11	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((((eudEle:0.153684,((cryCin:0.0480718,tinGut:0.0398348):0.0960021,notPer:0.160828):0.000414468):0.0128799,(aptRow:0.00570612,(aptHaa:0.00172684,aptOwe:0.00197369):0.00431213):0.0313641):0.0323078,(strCam:0.0552547,(((casCas:0.0303183,droNov:0.0325054):0.0192155,(rheAme:0.0252268,rhePen:0.0258667):0.0438578):0.006478,anoDid:0.0870044):0.00336906):0.017066):0.0238326,((nipNip:0.0942615,galGal:0.166993):0.0179054,halLeu:0.114136):0.0259089);
12	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((galGal:0.170938,(nipNip:0.0575451,halLeu:0.0595142):0.0406614):0.0368638,(((strCam:0.0526387,(tinGut:0.12036,(eudEle:0.102626,notPer:0.110184):0.0351666):0.0413974):0.0010364,(((cryCin:0.145436,anoDid:0.0631991):0.0233641,(aptHaa:0.0169074,aptOwe:0.0171543):0.0319272):0.000227685,((rheAme:0.0209602,rhePen:0.0216):0.0541542,aptRow:0.0484947):0.000234689):0.00200301):0.00227032,(droNov:0.0399109,casCas:0.0377238):0.0223479):0.0372023);
13	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	0	0	(((((droNov:0.0589398,(casCas:0.04379,eudEle:0.166215):0.0129627):0.000483007,((notPer:0.168445,tinGut:0.143454):0.017959,(((aptHaa:0.0143461,aptOwe:0.0145929):0.0224234,(aptRow:0.0351883,rhePen:0.0624478):0.00124834):0.0125645,rheAme:0.0756208):0.000350857):0.000814879):0.00813756,(strCam:0.0517967,cryCin:0.169152):0.00945042):0.0228435,anoDid:0.119209):0.0120627,(galGal:0.201238,(halLeu:0.0611366,nipNip:0.0591675):0.0693384):0.00957);
14	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((((rheAme:0.0142097,rhePen:0.0148496):0.0673468,((strCam:0.0514985,eudEle:0.17805):0.00413169,(((aptRow:0.00663235,aptHaa:0.0069652):0.0439359,(casCas:0.0267661,droNov:0.0289532):0.0308711):0.000129825,aptOwe:0.0512778):0.00198935):0.00224938):0.0341136,(anoDid:0.0544548,((cryCin:0.0479428,tinGut:0.0397058):0.0329511,notPer:0.0976477):0.0557974):0.072657):0.00416023,(halLeu:0.102775,(galGal:0.172903,nipNip:0.100171):0.000634593):0.03727);
15	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((galGal:0.207935,(halLeu:0.0873878,nipNip:0.0854186):0.0497845):0.00287274,(((casCas:0.0559363,(strCam:0.0516171,droNov:0.0579304):0.000193011):0.00737662,(eudEle:0.166138,((notPer:0.12687,(tinGut:0.0985525,cryCin:0.106789):0.00332676):0.0233501,anoDid:0.0512298):0.0234753):0.0196004):0.00429109,((aptRow:0.0235091,(aptHaa:0.0145611,aptOwe:0.014808):0.00928086):0.0270398,(rheAme:0.0103597,rhePen:0.0109996):0.0668089):0.0099862):0.0326755);
16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	(strCam:0.135945,(((aptRow:0.056358,(rheAme:0.00493569,rhePen:0.00557555):0.078042):0.0113934,(((notPer:0.155487,(((tinGut:0.0532947,cryCin:0.0615317):0.0115937,eudEle:0.0823213):0.0636188,anoDid:0.0545077):0.00198868):0.0306867,droNov:0.0583776):0.00245925,(casCas:0.0573698,(aptHaa:0.00581194,aptOwe:0.00605879):0.0448218):0.00127993):0.0161706):0.0354859,(halLeu:0.129736,(nipNip:0.126214,galGal:0.198946):0.00155276):0.0203357):0.0297649);
17	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((halLeu:0.0835131,nipNip:0.081544):0.0309111,galGal:0.185187):0.0256208,((((((rhePen:0.0320557,rheAme:0.0314158):0.0440808,(anoDid:0.0866108,casCas:0.0556182):0.000327613):0.00176216,tinGut:0.1627):0.000442519,(((cryCin:0.0668735,notPer:0.0836272):0.00915073,eudEle:0.0852201):0.0936694,droNov:0.0586516):0.00168602):0.000328088,strCam:0.0543524):0.024973,(aptRow:0.0556671,(aptHaa:0.00296427,aptOwe:0.00321112):0.0530357):0.0207157):0.0168279);
18	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	0	2	2	2	2	1	1	1	1	1	1	1	1	0	(((((casCas:0.0335242,droNov:0.0357113):0.0260509,(rheAme:0.0772884,(((aptRow:0.00872516,aptHaa:0.00905801):0.0401243,rhePen:0.076109):0.000124112,(cryCin:0.0498106,tinGut:0.0415736):0.119461):0.0016951):0.00183746):0.000380751,((aptOwe:0.0497545,((eudEle:0.0678594,notPer:0.0754172):0.0770612,anoDid:0.0534882):0.033748):0.000331406,strCam:0.0524488):0.00338077):0.0378235,galGal:0.208308):0.00250023,(halLeu:0.0689329,nipNip:0.0669638):0.0711121);
19	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((((notPer:0.156328,((eudEle:0.0931058,(cryCin:0.049484,tinGut:0.041247):0.0344259):0.0545109,anoDid:0.0561843):0.00115388):0.0337082,(droNov:0.0610479,strCam:0.0547346):0.00119289):0.00578794,(((rheAme:0.00609192,rhePen:0.00673178):0.0695828,casCas:0.056124):0.00746861,(aptRow:0.0124398,(aptHaa:0.00350488,aptOwe:0.00375173):0.00926779):0.0440839):0.00224905):0.0344379,((halLeu:0.0828372,nipNip:0.0808681):0.0256738,galGal:0.179274):0.031534);
20	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((galGal:0.166062,(nipNip:0.0810945,halLeu:0.0830637):0.0122357):0.0447456,((strCam:0.0560644,((cryCin:0.156862,anoDid:0.0746255):0.0137327,((eudEle:0.178809,(casCas:0.0329502,droNov:0.0351373):0.023434):0.000426649,(tinGut:0.0782005,notPer:0.103191):0.0836025):0.000554732):0.00282502):0.0102548,(rheAme:0.0759624,((aptRow:0.0202862,aptHaa:0.020619):0.0182146,(rhePen:0.0622126,aptOwe:0.0355328):0.00354766):0.010842):0.0140338):0.0298341);
21	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	0	0	0	(((((((aptRow:0.0104351,aptOwe:0.0110148):0.0293726,anoDid:0.0778691):0.00871852,strCam:0.0514689):0.000105028,aptHaa:0.0489641):0.035755,((droNov:0.0601621,(cryCin:0.147758,(tinGut:0.0800175,(eudEle:0.074345,notPer:0.0819028):0.0231054):0.059503):0.0234466):0.00842788,((casCas:0.0454543,rheAme:0.065005):0.0103964,rhePen:0.0760413):0.0105522):0.0250522):0.00624913,galGal:0.208232):0.00257532,(halLeu:0.0871239,nipNip:0.0851548):0.0529211);
22	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((halLeu:0.121262,galGal:0.192025):0.0187828,(nipNip:0.137909,((tinGut:0.165974,(casCas:0.0561221,((aptOwe:0.0311391,(aptRow:0.00542155,aptHaa:0.0057544):0.0251378):0.0180208,strCam:0.0515228):0.000473141):0.00486021):0.0138175,((rheAme:0.00686478,rhePen:0.00750464):0.0713029,(droNov:0.0459944,((notPer:0.150348,(eudEle:0.119185,cryCin:0.10999):0.0236048):0.00360403,anoDid:0.0549619):0.019838):0.0148096):0.016183):0.0253126):0.000167037);
23	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((galGal:0.177916,halLeu:0.107153):0.0320029,nipNip:0.137187):0.000889316,(((strCam:0.0514607,(anoDid:0.0758373,(notPer:0.154499,((cryCin:0.0514905,tinGut:0.0432535):0.0844466,eudEle:0.145133):0.00180823):0.0203284):0.0107422):0.000101646,((aptOwe:0.0394018,(rheAme:0.0108123,rhePen:0.0114522):0.0546294):0.00972079,((aptRow:0.00542619,aptHaa:0.00575904):0.0430731,droNov:0.0577553):4.35976e-05):7.67292e-05):0.013536,casCas:0.0692245):0.031055);
24	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((((cryCin:0.0875211,notPer:0.104275):0.0165387,eudEle:0.113256):0.046654,anoDid:0.0684773):0.0325154,(droNov:0.0657334,(((((aptHaa:0.00409532,aptOwe:0.00434217):0.0154445,aptRow:0.0192069):0.0292708,strCam:0.0514204):0.000736531,(rheAme:0.00727007,rhePen:0.00790993):0.0685638):0.00307061,(tinGut:0.16328,casCas:0.0582883):0.0010655):0.00419255):0.0064538):0.0302794,((halLeu:0.0666521,nipNip:0.064683):0.0506946,galGal:0.18811):0.0226983);
25	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((galGal:0.180785,(nipNip:0.0995779,halLeu:0.101547):0.00847502):0.0300229,((rheAme:0.00987499,rhePen:0.0105148):0.0846131,((((strCam:0.0515527,((droNov:0.046552,(aptHaa:0.0149172,aptOwe:0.015164):0.0227118):6.88649e-05,anoDid:0.0754264):0.0112451):0.000266499,casCas:0.0559454):0.00103935,aptRow:0.0499159):0.00682344,((tinGut:0.119427,(eudEle:0.114718,notPer:0.122276):0.0221416):0.0472056,cryCin:0.17487):0.00216758):0.011129):0.0253422);
26	1	1	0	2	2	2	2	2	1	1	1	1	1	1	1	1	1	0	2	2	2	2	1	1	1	1	1	1	1	1	0	(((((aptRow:0.00784735,aptOwe:0.00842705):0.0420071,(anoDid:0.0876513,(casCas:0.018737,droNov:0.0209241):0.0379216):0.000264662):0.00291382,((((cryCin:0.0511775,tinGut:0.0429405):0.0714805,(eudEle:0.0723925,notPer:0.0799503):0.0594613):0.0466936,aptHaa:0.0493864):0.00227137,strCam:0.0542676):0.00144336):0.00565741,(rheAme:0.0581823,rhePen:0.0588221):0.0268631):0.0347849,((halLeu:0.0674624,nipNip:0.0654933):0.0547314,galGal:0.192957):0.0178512);
27	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((galGal:0.199548,(halLeu:0.0597344,nipNip:0.0577652):0.069051):0.0112596,((((anoDid:0.0564195,notPer:0.15541):0.00954377,((cryCin:0.0870947,eudEle:0.0962906):0.0262675,tinGut:0.105125):0.0348376):0.026151,((((rheAme:0.030688,rhePen:0.0313279):0.0444001,strCam:0.0514111):0.000748221,casCas:0.0562855):0.0031853,(aptHaa:0.0329073,droNov:0.0418304):0.0198275):0.0016508):0.00620942,(aptRow:0.00513679,aptOwe:0.00571649):0.0551254):0.0329484);
28	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((((cryCin:0.0480686,tinGut:0.0398316):0.0378061,notPer:0.102628):0.102296,(((aptRow:0.0493347,anoDid:0.0873962):0.00257703,(rheAme:0.0641909,aptOwe:0.0381509):0.0143405):0.00497811,(((((aptHaa:0.0358547,casCas:0.0425907):0.00483174,eudEle:0.169847):0.008282,rhePen:0.0758951):0.000814246,strCam:0.0523925):0.000656694,droNov:0.0593625):0.00678329):0.0109832):0.0253376,((nipNip:0.083649,halLeu:0.0856181):0.0141588,galGal:0.17054):0.040268);
29	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((halLeu:0.102335,nipNip:0.100366):0.0157165,galGal:0.188815):0.0219932,(((tinGut:0.160822,droNov:0.0580169):0.00302177,(((eudEle:0.113346,notPer:0.120904):0.058998,((aptHaa:0.018358,aptOwe:0.0186048):0.0205228,rheAme:0.0651676):0.00430258):0.00784577,(strCam:0.0519864,rhePen:0.0763033):0.00165256):0.00108643):0.0221729,((casCas:0.0578889,(cryCin:0.135265,anoDid:0.0530287):0.0358529):0.00550523,aptRow:0.0563253):0.0176304):0.019255);
30	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	((galGal:0.173961,(nipNip:0.075786,halLeu:0.0777551):0.0254426):0.0408357,(((anoDid:0.0736568,((tinGut:0.0560144,cryCin:0.0642514):0.0755546,notPer:0.15656):0.0160873):0.0141246,((aptRow:0.0155984,(aptHaa:0.0057661,aptOwe:0.00601295):0.0101652):0.0270723,eudEle:0.172165):0.00704926):0.000716085,((strCam:0.0514952,(casCas:0.0167553,droNov:0.0189424):0.0388661):0.00118779,(rhePen:0.00837434,rheAme:0.00773448):0.0686255):0.000695718):0.046763);
