No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
51	1	0.304401	0.592739	0.49854	0	0	0.0004	0.9996	0	0	0.000266667	0.999733	0	0	0.00186667	0.998133	0	0	0.000533333	0.999467	0	0	0.000533333	0.999467	0	0	0.0004	0.9996	0	0	0.00146667	0.998533	0	0	0.00226667	0.997733	0	0	0.000133333	0.999867	0	0	0.000133333	0.999867	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.000533333	0.999467	0	0	0.00106667	0.998933	0	0	0.0174667	0.982533	0	0	0.000533333	0.999467	0	0	0.000666667	0.999333	0	0	0.00306667	0.996933	0	0	0.00306667	0.996933	0	0	0.000133333	0.999867	0	0	0.00306667	0.996933	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0004	0.9996	0	0	0.00493333	0.995067	0	0	0.0121333	0.987867	0	0	0.247867	0.752133	0
64	1	0.122624	0.391786	0.500366	0	0	0.0052	0.9948	0	0	0.00413333	0.995867	0	0	0	1	0	0	0.332933	0.667067	0	0	0.336	0.664	0	0	0.63	0.37	0	0	0.839867	0.160133	0	0	0.602667	0.397333	0	0	0.0108	0.9892	0	0	0.0108	0.9892	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.004	0.996	0	0	0.0745333	0.925467	0	0	0.0174667	0.982533	0	0	0.155333	0.844667	0	0	0.526667	0.473333	0	0	0.954	0.046	0	0	1	0	0	0	1	0	0	0	0.0189333	0.981067	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0465333	0.953467	0	0	1	0	0	0	1	0	0	0	1	0	0
24	1	0.0958169	0.375312	0.494637	0	0	0	1	0	0	0	1	0	0	0.000266667	0.999733	0	0	0.527333	0.472667	0	0	0.650933	0.349067	0	0	0.621467	0.378533	0	0	0.616133	0.383867	0	0	0.655333	0.344667	0	0	0.0012	0.9988	0	0	0.00133333	0.998667	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0286667	0.971333	0	0	0.0004	0.9996	0	0	0.102	0.898	0	0	0.8652	0.1348	0	0	0.999333	0.000666667	0	0	0.9672	0.0328	0	0	0.999333	0.000666667	0	0	0.00306667	0.996933	0	0	0.999333	0.000666667	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00826667	0.991733	0	0	0.999333	0.000666667	0	0	0.999333	0.000666667	0	0	0.999467	0.000533333	0
34	1	0.188767	0.416114	0.496093	0	0	0.0016	0.9984	0	0	0.0004	0.9996	0	0	0.000133333	0.999867	0	0	0.3204	0.6796	0	0	0.2876	0.7124	0	0	0.373733	0.626267	0	0	0.434533	0.565467	0	0	0.564667	0.435333	0	0	0.0164	0.9836	0	0	0.0152	0.9848	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0008	0.9992	0	0	0.0922667	0.907733	0	0	0.00866667	0.991333	0	0	0.104933	0.895067	0	0	0.465467	0.534533	0	0	0.6528	0.3472	0	0	0.7472	0.2528	0	0	0.756533	0.243467	0	0	0.0250667	0.974933	0	0	0.761733	0.238267	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0136	0.9864	0	0	0.776933	0.223067	0	0	0.785067	0.214933	0	0	0.820267	0.179733	0
0	1	0.268706	0.362338	0.493397	0	0	0.0262667	0.973733	0	0	0.0162667	0.983733	0	0	0.0104	0.9896	0	0	0.386	0.614	0	0	0.375733	0.624267	0	0	0.6688	0.3312	0	0	0.720667	0.279333	0	0	0.7916	0.2084	0	0	0.0416	0.9584	0	0	0.0426667	0.957333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0102667	0.989733	0	0	0.297467	0.702533	0	0	0.0504	0.9496	0	0	0.188933	0.811067	0	0	0.594667	0.405333	0	0	0.980533	0.0194667	0	0	0.981467	0.0185333	0	0	0.999067	0.000933333	0	0	0.064	0.936	0	0	0.999333	0.000666667	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.000266667	0.999733	0	0	0.0612	0.9388	0	0	0.999733	0.000266667	0	0	0.999867	0.000133333	0	0	0.999867	0.000133333	0
43	1	0.110333	0.382489	0.5	0	0	0.0004	0.9996	0	0	0.000266667	0.999733	0	0	0	1	0	0	0.391333	0.608667	0	0	0.386267	0.613733	0	0	0.5888	0.4112	0	0	0.7552	0.2448	0	0	0.7256	0.2744	0	0	0.0084	0.9916	0	0	0.0096	0.9904	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00933333	0.990667	0	0	0.0978667	0.902133	0	0	0.0048	0.9952	0	0	0.124533	0.875467	0	0	0.594533	0.405467	0	0	0.9296	0.0704	0	0	0.992133	0.00786667	0	0	0.995067	0.00493333	0	0	0.0154667	0.984533	0	0	0.996133	0.00386667	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.0690667	0.930933	0	0	0.999733	0.000266667	0	0	1	0	0	0	1	0	0
13	1	0.140103	0.380586	0.497665	0	0	0.000666667	0.999333	0	0	0.00173333	0.998267	0	0	0	1	0	0	0.371467	0.628533	0	0	0.378667	0.621333	0	0	0.596	0.404	0	0	0.7452	0.2548	0	0	0.7996	0.2004	0	0	0.00626667	0.993733	0	0	0.006	0.994	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.094	0.906	0	0	0.0945333	0.905467	0	0	0.0233333	0.976667	0	0	0.427333	0.572667	0	0	0.584533	0.415467	0	0	0.963867	0.0361333	0	0	0.999867	0.000133333	0	0	1	0	0	0	0.01	0.99	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.1224	0.8776	0	0	1	0	0	0	1	0	0	0	1	0	0
58	1	0.108506	0.374287	0.497235	0	0	0.0012	0.9988	0	0	0	1	0	0	0	1	0	0	0.565733	0.434267	0	0	0.559733	0.440267	0	0	0.656533	0.343467	0	0	0.838133	0.161867	0	0	0.451467	0.548533	0	0	0.000666667	0.999333	0	0	0.000533333	0.999467	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00253333	0.997467	0	0	0.0293333	0.970667	0	0	0.00146667	0.998533	0	0	0.0285333	0.971467	0	0	0.836133	0.163867	0	0	1	0	0	0	0.989467	0.0105333	0	0	1	0	0	0	0.0008	0.9992	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0824	0.9176	0	0	1	0	0	0	1	0	0	0	1	0	0
1	1	0.133412	0.443755	0.504996	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.157067	0.842933	0	0	0.159067	0.840933	0	0	0.234	0.766	0	0	0.2436	0.7564	0	0	0.215333	0.784667	0	0	0.00853333	0.991467	0	0	0.0088	0.9912	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00813333	0.991867	0	0	0	1	0	0	0.0052	0.9948	0	0	0.2536	0.7464	0	0	0.388667	0.611333	0	0	0.367733	0.632267	0	0	0.3892	0.6108	0	0	0.0137333	0.986267	0	0	0.3892	0.6108	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.004	0.996	0	0	0.3892	0.6108	0	0	0.3896	0.6104	0	0	0.417333	0.582667	0
65	1	0.194302	0.38655	0.505984	0	0	0.000533333	0.999467	0	0	0.00293333	0.997067	0	0	0.000933333	0.999067	0	0	0.434667	0.565333	0	0	0.4276	0.5724	0	0	0.631333	0.368667	0	0	0.6548	0.3452	0	0	0.615867	0.384133	0	0	0.0249333	0.975067	0	0	0.0264	0.9736	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00666667	0.993333	0	0	0.118533	0.881467	0	0	0.01	0.99	0	0	0.1688	0.8312	0	0	0.666667	0.333333	0	0	0.9988	0.0012	0	0	0.984667	0.0153333	0	0	1	0	0	0	0.0414667	0.958533	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0204	0.9796	0	0	1	0	0	0	1	0	0	0	1	0	0
