No.	prop	genetree
64	0.0466667	((galGal:0.173672,(halLeu:0.0809879,nipNip:0.0790188):0.0219216):0.0371355,((aptRow:0.0492467,(aptHaa:0.00192338,aptOwe:0.00217023):0.0476561):0.0372988,((((casCas:0.0373408,droNov:0.0395279):0.018771,(tinGut:0.0562059,(eudEle:0.0708201,notPer:0.0783779):0.0028187):0.104898):0.0001525,(rheAme:0.00955991,rhePen:0.0101998):0.0662551):0.0223519,(strCam:0.0532175,(cryCin:0.137001,anoDid:0.0547645):0.0335717):0.0212725):0.0149982):0.00666515);
64	0.02	((galGal:0.172199,(halLeu:0.0626102,nipNip:0.0606411):0.0388262):0.0386086,((aptRow:0.0153639,(aptHaa:0.00265182,aptOwe:0.00289867):0.0130449):0.0552446,((casCas:0.0206415,droNov:0.0228286):0.0506603,((strCam:0.0518752,((rheAme:0.020178,rhePen:0.0208178):0.0473708,(tinGut:0.0627833,(eudEle:0.0680773,notPer:0.0756351):0.012139):0.0902068):0.00800344):0.00689364,(cryCin:0.138697,anoDid:0.0564609):0.0374268):0.00840677):0.00637545):0.0226022);
64	0.0173333	((galGal:0.172199,(halLeu:0.0650803,nipNip:0.0631112):0.0363561):0.0386086,((aptRow:0.033225,(aptHaa:0.00265182,aptOwe:0.00289867):0.030906):0.0341195,((casCas:0.0206415,droNov:0.0228286):0.0402233,((rheAme:0.020178,rhePen:0.0208178):0.0568971,(strCam:0.0516893,((cryCin:0.140448,anoDid:0.0582111):0.0191272,(tinGut:0.0627833,(eudEle:0.0668116,notPer:0.0743694):0.0134046):0.0885544):0.00946987):0.00170879):0.00334055):0.0135485):0.0258661);
64	0.016	((galGal:0.170107,(halLeu:0.0950312,nipNip:0.0930621):0.0043125):0.0407013,((aptRow:0.0536425,((((aptHaa:0.00265182,aptOwe:0.00289867):0.0424872,(casCas:0.0206415,droNov:0.0228286):0.0312335):0.00628639,(strCam:0.0514334,(rheAme:0.020178,rhePen:0.0208178):0.0549324):0.00260191):0.00117875,(cryCin:0.138809,anoDid:0.056573):0.0337599):0.00137117):0.00211277,(tinGut:0.0627833,(eudEle:0.0726445,notPer:0.0802023):0.00757173):0.105033):0.0374554);
64	0.0153333	((galGal:0.169836,(halLeu:0.0879553,nipNip:0.0859861):0.0111176):0.0409721,((aptRow:0.0285936,(aptHaa:0.00195505,aptOwe:0.0022019):0.0269714):0.0509103,((strCam:0.0544819,((casCas:0.0364864,droNov:0.0386735):0.0193673,(tinGut:0.0562059,(eudEle:0.0702239,notPer:0.0777817):0.00341484):0.10464):0.00275434):0.00351696,((rheAme:0.0100213,rhePen:0.0106611):0.0650478,(cryCin:0.137341,anoDid:0.0551043):0.0314066):0.00660672):0.0244478):0.0137067);
64	0.0153333	((halLeu:0.130876,(nipNip:0.105692,galGal:0.178424):0.0232144):0.00916941,((aptRow:0.0257529,(aptHaa:0.00192338,aptOwe:0.00217023):0.0241624):0.0344763,(strCam:0.0534864,((((casCas:0.0135204,droNov:0.0157075):0.0310625,(rheAme:0.0288436,rhePen:0.0294834):0.0352902):0.00378839,(cryCin:0.144816,anoDid:0.0625796):0.0167844):0.000283952,(tinGut:0.0562059,(eudEle:0.070314,notPer:0.0778718):0.0033248):0.0974416):0.00895728):0.00968546):0.0329814);
51	0.0346667	((galGal:0.191374,(halLeu:0.0798793,nipNip:0.0779102):0.0407321):0.0194336,((((aptHaa:0.035836,(casCas:0.0266919,droNov:0.028879):0.0158801):0.0166083,(rheAme:0.0445885,rhePen:0.0452284):0.0341426):0.0140153,(notPer:0.169621,(eudEle:0.0868101,(cryCin:0.0488915,tinGut:0.0406545):0.0287228):0.0752532):0.0335573):0.00603986,((aptOwe:0.0246494,aptRow:0.0240697):0.0295359,(anoDid:0.0876313,strCam:0.0525125):0.00403579):0.018561):0.021044);
51	0.028	((galGal:0.199661,(halLeu:0.0783029,nipNip:0.0763338):0.0505952):0.0111469,(((strCam:0.0628685,((aptHaa:0.0370484,(casCas:0.0170833,droNov:0.0192704):0.0267011):0.0178075,(notPer:0.153195,(cryCin:0.112859,(tinGut:0.0836141,eudEle:0.101047):0.0210078):0.0235825):0.0383796):0.0054028):0.00825567,(aptOwe:0.0437693,(rheAme:0.0108478,rhePen:0.0114876):0.0589615):0.0249919):0.00209133,(aptRow:0.0492723,anoDid:0.0873338):0.0210005):0.0229378);
51	0.024	((galGal:0.183062,(halLeu:0.0717565,nipNip:0.0697874):0.0405426):0.0277459,(strCam:0.0692258,((aptHaa:0.0504695,(casCas:0.0202231,droNov:0.0224102):0.0369824):0.0118822,(aptOwe:0.0498285,((aptRow:0.0374335,(rheAme:0.0181226,rhePen:0.0187625):0.0459305):0.0107203,(anoDid:0.0740754,(notPer:0.156033,(cryCin:0.104495,(tinGut:0.0720518,eudEle:0.0894847):0.0242059):0.0347847):0.0170325):0.0121399):0.00109498):0.0127701):0.0042643):0.0269275);
51	0.0206667	((galGal:0.181383,(halLeu:0.0615135,nipNip:0.0595444):0.0491069):0.0294246,(((aptHaa:0.0445992,(rheAme:0.00935575,rhePen:0.00999561):0.0615303):0.00784509,(casCas:0.0253974,droNov:0.0275845):0.0337829):0.0322428,((strCam:0.0523489,(aptOwe:0.0443852,aptRow:0.0438055):0.0056008):0.000394848,(notPer:0.169621,(anoDid:0.0638047,(eudEle:0.0860618,(cryCin:0.0600734,tinGut:0.0518364):0.0167926):0.0691753):0.00682617):0.0172317):0.0345532):0.00885636);
