No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
8	4.34496	0.256192	0.576304	0.319639	0	0	0.0253333	0.974667	0	0	0.00133333	0.998667	0	0	0.00266667	0.997333	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.00266667	0.997333	0	0	0.0146667	0.985333	0	0	0.00466667	0.995333	0	0	0.00466667	0.995333	0	0	0.0893333	0.108667	0.802	0	0.098	0	0.902	0	0.0753333	0.924667	0	0	0.0846667	0.915333	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.362667	0.637333	0	0	0.999333	0.000666667	0	0.026	0.973333	0.000666667	0	0.0326667	0.967333	0	0	0.0273333	0.972667	0	0	0.0333333	0.966667	0	0	0.0893333	0.910667	0	0	0.0906667	0.909333	0	0	0.098	0.902	0	0	0.414	0.586	0
0	5.02671	0.359678	0.373067	0.437615	0	0	0.0346667	0.965333	0	0	0.0506667	0.949333	0	0	0.012	0.988	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.238	0.000666667	0.761333	0	0.206667	0.266667	0.526667	0	0	0	1	0	0	0	1	0	0.366667	0.626667	0.00666667	0	0.357333	0.637333	0.00533333	0	0.376	0.61	0.014	0	0.29	0.71	0	0	0.39	0	0.61	0	0.792667	0.158	0.0493333	0	0.052	0.948	0	0	0.141333	0.858667	0	0	0	0	1	0	0	0.996667	0.00333333	0	0.238667	0.324	0.437333	0	0.315333	0.682	0.00266667	0	0	0.997333	0.00266667	0	0.418667	0.58	0.00133333	0	0.388	0.612	0	0	0.388	0.612	0	0	0.389333	0.610667	0	0	0.39	0.61	0	0	0.556	0.444	0	0	0.836667	0.163333	0	0	0.896	0.104	0
18	7.8685	0.156271	0.421887	0.863549	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.0426667	0.957333	0	0	0.302667	0.697333	0	0	0.066	0.934	0	0	0.04	0.96	0	0	0.998	0.002	0	0	0.999333	0	0.000666667	0	0	1	0	0	0.0353333	0.964667	0	0	0	0.000666667	0.999333	0	0	1	0	0	0	1	0	0	0.778667	0.221333	0	0	0	1	0	0	0.918667	0.0813333	0	0	0.931333	0.0686667	0	0	0.996	0.004	0	0	0.996	0.004	0	0	0.999333	0.000666667	0	0	0.999333	0.000666667	0	0	0.999333	0.000666667	0	0	0.999333	0.000666667	0
14	2.35958	0.214672	0.612569	0.269801	0	0	0.00133333	0.998667	0	0	0.00133333	0.998667	0	0	0	1	0	0	0	0.00666667	0.993333	0	0	0	1	0	0	0	1	0	0	0.101333	0.898667	0	0	0.000666667	0.999333	0	0.002	0	0.998	0	0.002	0.012	0.986	0	0	0.996667	0.00333333	0	0	0.748	0.252	0	0	1	0	0	0	1	0	0	0.02	0.865333	0.114667	0	0.078	0.144667	0.777333	0	0.00133333	0.998667	0	0	0.00466667	0.995333	0	0	0	0.0146667	0.985333	0	0	0.036	0.964	0	0	0.685333	0.314667	0	0	0.702	0.298	0	0.002	0.248667	0.749333	0	0.00933333	0.760667	0.23	0	0	0.998	0.002	0	0	1	0	0	0	1	0	0	0.0233333	0.976667	0	0	0.03	0.97	0	0	0.0786667	0.921333	0	0	0.367333	0.632667	0
9	3.31039	0.351348	0.642869	0.302545	0	0	0.00733333	0.992667	0	0	0.00666667	0.993333	0	0	0.0113333	0.988667	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.000666667	0	0.999333	0	0.000666667	0.000666667	0.998667	0	0	0.998667	0.00133333	0	0	0.922	0.078	0	0	0.748	0.252	0	0	1	0	0	0	0	1	0	0.098	0.000666667	0.901333	0	0.0146667	0.985333	0	0	0.338	0.662	0	0	0	0	1	0	0	0	1	0	0	0.0286667	0.971333	0	0	0.114667	0.885333	0	0.000666667	0.000666667	0.998667	0	0.000666667	0.328667	0.670667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.026	0.974	0	0	0.098	0.902	0	0	0.590667	0.409333	0
19	6.4758	0.175683	0.431287	0.359275	0	0	0.00333333	0.996667	0	0	0.00266667	0.997333	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.00466667	0.995333	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.728667	0.034	0.237333	0	0.76	0	0.24	0	0.016	0.984	0	0	0.054	0.946	0	0	0	0	1	0	0	0	1	0	0	0.556	0.444	0	0	0.762	0.238	0	0	1	0	0	0.247333	0.752667	0	0	0.00666667	0.993333	0	0	0.00733333	0.992667	0	0	0.0153333	0.984667	0	0	0.728667	0.271333	0	0	0.733333	0.266667	0	0	0.76	0.24	0	0	0.856	0.144	0
15	5.9201	0.210084	0.531322	0.357856	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0	0.999333	0	0.712667	0.0346667	0.252667	0	0.000666667	0.999333	0	0	0.0126667	0.987333	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.0773333	0.922667	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.208	0.792	0	0	0.713333	0.286667	0	0	0.816	0.184	0
1	4.34983	0.208999	0.341651	0.834041	0	0	0.00933333	0.990667	0	0	0.006	0.994	0	0	0.000666667	0.999333	0	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0.000666667	0	0.999333	0	0.000666667	0	0.999333	0	0.0106667	0	0.989333	0	0.00933333	0.102	0.888667	0	0.982	0.012	0.006	0	0.698	0.301333	0.000666667	0	0.0433333	0.956667	0	0	0.042	0.958	0	0	0.990667	0.00866667	0.000666667	0	0.998667	0	0.00133333	0	0.0106667	0.989333	0	0	0.026	0.974	0	0	0	0	1	0	0	0.995333	0.00466667	0	0.000666667	0.998667	0.000666667	0	0.712667	0.287333	0	0	0.0106667	0.989333	0	0	0.878	0.122	0	0	0.989333	0.0106667	0	0	0.878	0.122	0	0	0.994667	0.00533333	0	0	0.998667	0.00133333	0	0	0.998667	0.00133333	0	0	0.998667	0.00133333	0	0	0.998667	0.00133333	0
16	3.30979	0.0949876	0.570932	0.317438	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.00266667	0.997333	0	0	0.00666667	0.993333	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.128667	0.048	0.823333	0	0.139333	0	0.860667	0	0	1	0	0	0.006	0.994	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.323333	0.676667	0	0	0.998667	0.00133333	0	0.0273333	0.972	0.000666667	0	0.0113333	0.988667	0	0	0.0106667	0.989333	0	0	0.02	0.98	0	0	0.128667	0.871333	0	0	0.133333	0.866667	0	0	0.139333	0.860667	0	0	0.422	0.578	0
20	4.28566	0.0864957	0.433132	0.537581	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.0346667	0.965333	0	0	0.046	0.954	0	0	0.002	0.998	0	0	0.0673333	0.932667	0	0	0.934667	0	0.0653333	0	0.992	0	0.008	0	0.002	0.998	0	0	0.424	0.576	0	0	0	0	1	0	0	1	0	0	0	0.981333	0.0186667	0	0	1	0	0	0	0	1	0	0	1	0	0	0.932	0.068	0	0	0.418	0.582	0	0	0.932	0.068	0	0	0.934667	0.0653333	0	0	0.964	0.036	0	0	0.992	0.008	0	0	1	0	0
