No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-805.20239	-754.84132	-761.16868	50.361066	6.3273542	-795.62021	-740.98445	-740.97954
1	1	-628.09317	-601.94558	-604.28111	26.147588	2.3355328	-616.00544	-587.01389	-586.92905
2	2	-443.32184	-422.98996	-429.54495	20.331881	6.5549898	-432.3674	-411.44619	-411.44598
3	3	-646.02974	-592.40811	-599.04546	53.621634	6.6373461	-634.58923	-579.075	-579.02807
4	4	-630.47271	-589.48404	-595.11463	40.988675	5.6305886	-618.14018	-577.07371	-577.09
5	5	-729.05729	-648.19784	-654.57008	80.859452	6.3722438	-716.93905	-634.32978	-634.27074
6	6	-555.33098	-530.83452	-527.24098	24.496453	-3.5935421	-542.80468	-523.98021	-513.67999
7	7	-414.90353	-402.83545	-409.4199	12.068079	6.5844465	-404.29236	-395.59767	-395.6626
8	8	-785.48541	-714.87472	-721.27894	70.610692	6.4042216	-771.25265	-704.28517	-704.34488
9	9	-770.9078	-721.69519	-726.46971	49.212608	4.7745267	-758.38763	-712.5037	-712.28969
10	10	-576.08571	-540.78865	-544.18869	35.297057	3.4000408	-564.54156	-526.3505	-526.32248
11	11	-627.29637	-580.78774	-587.32857	46.508632	6.5408273	-615.60858	-566.67573	-566.37605
12	12	-661.65101	-620.22545	-627.05734	41.425561	6.8318836	-650.23249	-610.54592	-610.54528
13	13	-621.83342	-598.18594	-599.30422	23.647482	1.1182821	-607.40218	-581.38972	-581.39062
14	14	-553.18448	-533.10609	-538.42462	20.078384	5.3185217	-541.87775	-523.0966	-523.01118
15	15	-844.29642	-747.94195	-755.07434	96.354465	7.1323911	-832.48676	-734.82327	-734.82793
16	16	-610.60966	-565.88533	-571.06462	44.724326	5.1792884	-599.48646	-556.41971	-556.41838
17	17	-509.98091	-493.87076	-499.04099	16.110145	5.1702281	-498.97909	-479.38971	-479.37376
18	18	-818.32398	-728.30412	-730.38745	90.019863	2.083337	-802.75166	-711.9987	-712.02715
19	19	-798.33548	-716.02418	-721.62678	82.311307	5.6026039	-786.56563	-703.54113	-703.53801
20	20	-654.07149	-614.2426	-615.48247	39.828884	1.2398624	-638.62007	-597.61787	-597.6183
21	21	-557.53377	-514.57214	-520.80196	42.961621	6.2298163	-546.59217	-502.45621	-502.5014
22	22	-669.63108	-629.23839	-632.85364	40.392689	3.6152491	-657.38259	-615.791	-615.69546
23	23	-491.99346	-475.48127	-478.60587	16.512194	3.1246032	-480.15213	-461.63031	-460.92175
24	24	-680.61683	-641.16755	-648.23034	39.449275	7.0627937	-669.1911	-626.57093	-626.53558
25	25	-716.91559	-663.60661	-670.70552	53.308978	7.0989121	-705.73268	-658.18821	-658.18724
26	26	-601.08781	-581.23802	-586.44358	19.849796	5.205569	-589.591	-570.74518	-569.71846
27	27	-631.18878	-621.26963	-620.91812	9.9191425	-0.3515128	-619.33447	-604.28933	-604.28803
28	28	-679.52108	-637.06973	-640.92477	42.451358	3.855046	-665.96958	-619.10367	-619.10938
29	29	-497.19556	-471.33378	-478.00223	25.861781	6.6684492	-485.25944	-458.15765	-458.15582
30	30	-639.94241	-600.69306	-607.6719	39.249355	6.9788455	-628.16047	-589.03061	-589.03981
31	31	-434.3776	-426.14994	-431.73809	8.2276566	5.5881492	-423.78016	-419.99507	-419.83696
32	32	-592.67534	-546.69607	-551.71182	45.979272	5.0157491	-581.19728	-532.65296	-532.65292
33	33	-707.0815	-655.67265	-661.31149	51.408854	5.6388448	-694.81295	-642.87251	-642.86703
34	34	-643.90746	-590.91687	-596.13167	52.99059	5.2148005	-632.58563	-577.36611	-577.3698
35	35	-765.40067	-728.65852	-733.66864	36.742147	5.0101224	-755.60623	-715.18857	-715.22299
36	36	-866.40855	-792.81734	-799.96196	73.591215	7.1446244	-856.08261	-780.01751	-780.02141
37	37	-911.14058	-821.76257	-828.98478	89.378013	7.2222093	-900.85018	-813.74887	-813.82081
38	38	-642.46712	-585.97834	-591.42152	56.488775	5.4431838	-629.02786	-575.94148	-575.99231
39	39	-642.57116	-619.24445	-624.6016	23.326712	5.3571511	-630.20207	-608.57179	-608.57755
40	40	-814.61636	-743.94107	-749.05905	70.675292	5.1179838	-802.62866	-729.11029	-729.06543
41	41	-744.5575	-702.19083	-707.49451	42.366677	5.3036846	-732.64845	-690.7036	-690.66308
42	42	-713.59313	-637.82775	-644.96391	75.765372	7.1361597	-702.44961	-633.59457	-633.66414
43	43	-682.25033	-638.87809	-643.98615	43.372242	5.1080661	-669.91763	-626.06261	-626.0671
44	44	-798.98393	-702.16843	-708.27034	96.815502	6.1019173	-787.91266	-686.01817	-686.01905
45	45	-698.86287	-637.51156	-645.53187	61.35131	8.0203097	-687.05499	-622.22155	-622.21847
46	46	-933.75164	-829.97337	-836.49041	103.77828	6.5170482	-920.65123	-819.80981	-817.81047
47	47	-779.87175	-691.39597	-699.83771	88.475781	8.4417397	-767.49224	-677.92893	-677.92351
48	48	-912.37486	-802.03115	-809.27465	110.34371	7.2434996	-899.73266	-788.17907	-788.14634
49	49	-713.34236	-664.34675	-664.61323	48.995606	0.26647475	-698.01936	-647.56994	-644.36721
50	50	-503.55852	-488.74442	-493.66626	14.814093	4.9218397	-492.11104	-483.63466	-482.28149
51	51	-690.97202	-658.49591	-661.41498	32.476105	2.9190694	-676.22638	-643.69561	-643.61604
52	52	-688.50706	-617.72125	-622.28083	70.785804	4.5595776	-676.61491	-600.97739	-600.97703
53	53	-717.93211	-663.76293	-670.96925	54.169185	7.2063175	-705.43009	-651.91004	-651.90454
54	54	-411.33481	-400.35924	-405.99749	10.975565	5.6382451	-399.90919	-391.39546	-391.38877
55	55	-646.27973	-589.50565	-595.67074	56.774077	6.1650815	-633.44098	-576.83608	-576.82693
56	56	-584.24309	-547.94514	-554.58728	36.297952	6.6421414	-572.52028	-536.20043	-536.17556
57	57	-667.76365	-661.73053	-660.4177	6.0331183	-1.3128359	-658.01381	-652.84837	-645.43566
58	58	-820.17629	-744.8487	-749.94848	75.327581	5.0997742	-805.15532	-727.05313	-726.79383
59	59	-663.00693	-616.5732	-623.04385	46.433729	6.4706522	-648.71483	-604.23099	-604.23094
60	60	-704.61759	-675.10047	-678.9375	29.517129	3.8370311	-690.85809	-662.14527	-662.07195
61	61	-674.74487	-635.69905	-639.77981	39.045814	4.0807556	-663.1919	-621.59697	-621.6063
62	62	-817.08718	-728.14481	-735.16523	88.942373	7.0204167	-804.37805	-721.50085	-721.51227
63	63	-626.13631	-578.35249	-586.29796	47.783821	7.9454715	-615.32382	-573.75978	-573.7606
64	64	-769.44083	-706.08255	-703.74963	63.358282	-2.3329164	-755.6989	-696.78739	-686.96036
65	65	-726.84672	-687.04148	-693.01161	39.805238	5.9701308	-715.04915	-676.19925	-676.29847
66	66	-652.23537	-612.39757	-613.28248	39.837806	0.88491874	-640.08584	-606.721	-599.62633
67	67	-594.35371	-554.03166	-562.63329	40.32205	8.6016294	-583.14023	-541.99166	-541.99272
68	68	-635.68813	-597.8652	-601.00177	37.822933	3.1365702	-623.78214	-584.598	-584.60514
69	69	-633.95803	-604.85633	-610.67973	29.101698	5.8234012	-621.68478	-589.4205	-589.04693
70	70	-707.28522	-660.19434	-667.53505	47.090876	7.340706	-694.31537	-650.563	-650.56471
71	71	-787.98553	-754.15496	-754.23114	33.830572	0.076179872	-779.24385	-739.35497	-739.36191
72	72	-589.45111	-544.396	-549.9599	45.055119	5.5639009	-578.36383	-531.49219	-531.48955
73	73	-710.68087	-652.51925	-657.66399	58.161616	5.1447437	-695.1475	-634.38354	-634.32212
74	74	-503.48396	-485.16156	-492.03308	18.322392	6.8715114	-491.84819	-474.35691	-474.3558
75	75	-634.11772	-591.48055	-592.04643	42.637171	0.56588123	-620.84681	-575.28651	-575.33162
76	76	-612.36356	-593.16121	-596.69372	19.202355	3.5325108	-599.16259	-577.97629	-578.08685
77	77	-766.16968	-720.49174	-725.85547	45.677934	5.3637303	-754.29072	-707.46384	-707.46664
78	78	-451.33883	-438.54118	-443.55623	12.797651	5.0150439	-439.20106	-426.67898	-426.68079
79	79	-885.98035	-827.3259	-823.26759	58.654449	-4.0583107	-880.19012	-812.95471	-802.14216
80	80	-754.04997	-708.75046	-715.20529	45.299512	6.4548374	-741.67046	-696.06124	-696.14763
81	81	-579.58022	-559.70248	-562.46554	19.877736	2.7630604	-565.53854	-543.79774	-543.6686
82	82	-680.83798	-650.04927	-652.39607	30.788711	2.3468042	-669.97173	-632.11133	-631.93186
83	83	-698.18484	-610.68656	-616.5997	87.498277	5.913142	-687.13326	-597.80206	-597.79431
84	84	-616.56797	-583.50848	-589.63426	33.059488	6.1257807	-604.88706	-569.2925	-569.28664
85	85	-439.61168	-429.8108	-434.91786	9.8008765	5.1070569	-427.96559	-418.66913	-418.70568
86	86	-671.29189	-657.36868	-657.58032	13.923205	0.21163573	-663.4682	-643.03826	-638.10248
87	87	-521.53712	-504.03942	-503.33947	17.497694	-0.69995648	-508.87943	-488.49222	-485.93884
88	88	-578.12597	-562.71559	-567.5096	15.410379	4.7940084	-567.30712	-555.27816	-555.34993
89	89	-447.38668	-431.52145	-437.6143	15.865232	6.0928453	-436.78438	-422.55047	-422.55077
90	90	-797.45184	-726.59761	-732.11426	70.854234	5.516653	-786.07248	-710.86424	-710.79423
91	91	-716.07604	-674.65444	-679.65067	41.421603	4.9962271	-699.91028	-660.90579	-660.83165
92	92	-591.47758	-550.00901	-553.72832	41.468564	3.7193052	-580.23625	-538.72613	-536.25839
93	93	-630.51013	-584.75372	-590.18913	45.756409	5.4354166	-618.99649	-570.46917	-570.4609
94	94	-597.39116	-575.73116	-576.40536	21.660006	0.67420544	-585.31618	-560.68352	-560.66596
95	95	-750.29667	-683.7207	-690.54956	66.575977	6.8288673	-737.52561	-672.13633	-672.11808
96	96	-539.57223	-509.68207	-513.8983	29.890169	4.2162385	-527.25761	-495.65169	-495.68693
97	97	-743.00209	-693.42947	-700.5834	49.572621	7.1539338	-726.15616	-679.84325	-679.83294
98	98	-894.01745	-801.81824	-807.48136	92.199209	5.6631234	-881.29209	-791.68712	-791.68856
99	99	-606.0802	-574.92795	-575.72638	31.152243	0.79842373	-595.98057	-562.81406	-562.80159
