No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
0	1	0.24409	0.0629236	0.495606	0	0	0.292667	0.707333	0	0	0.312	0.688	0	0	0.220667	0.779333	0	0	0.922667	0.0773333	0	0	0.968	0.032	0	0	1	0	0	0	1	0	0	0	0.968	0.032	0	0	1	0	0	0	1	0	0	0	0.945333	0.0546667	0	0	0.944	0.056	0	0	0.966	0.034	0	0	0.894667	0.105333	0	0	1	0	0	0	0.997333	0.00266667	0	0	0.312667	0.687333	0	0	0.352667	0.647333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.956667	0.0433333	0	0	0.97	0.03	0	0	0.970667	0.0293333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
18	1	0.164756	0.147052	0.482304	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.03	0.97	0	0	0.147333	0.852667	0	0	0.105333	0.894667	0	0	0.0726667	0.927333	0	0	0.996667	0.00333333	0	0	1	0	0	0	0.00133333	0.998667	0	0	0.0206667	0.979333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.252667	0.747333	0	0	0.507333	0.492667	0	0	0.509333	0.490667	0	0	0.996667	0.00333333	0	0	1	0	0	0	1	0	0	0	1	0	0
8	1	0.245557	0.130813	0.517755	0	0	0.152667	0.847333	0	0	0.0313333	0.968667	0	0	0.0313333	0.968667	0	0	0.994	0.006	0	0	1	0	0	0	0.992	0.008	0	0	0.996667	0.00333333	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	0.00333333	0.996667	0	0	0.00933333	0.990667	0	0	0.002	0.998	0	0	0.00466667	0.995333	0	0	0.988667	0.0113333	0	0	1	0	0	0	0.214	0.786	0	0	0.222667	0.777333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0133333	0.986667	0	0	0.00933333	0.990667	0	0	0.0153333	0.984667	0	0	0.988667	0.0113333	0	0	1	0	0	0	1	0	0	0	1	0	0
14	1	0.224703	0.133697	0.507999	0	0	0.0153333	0.984667	0	0	0.0133333	0.986667	0	0	0	1	0	0	0.992	0.008	0	0	0.999333	0.000666667	0	0	0.998667	0.00133333	0	0	0.986	0.014	0	0	0.999333	0.000666667	0	0	0.999333	0.000666667	0	0	0.990667	0.00933333	0	0	0.000666667	0.999333	0	0	0.00133333	0.998667	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.536667	0.463333	0	0	0.999333	0.000666667	0	0	0.016	0.984	0	0	0.024	0.976	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.00133333	0.998667	0	0	0.000666667	0.999333	0	0	0.00133333	0.998667	0	0	0.573333	0.426667	0	0	1	0	0	0	1	0	0	0	1	0	0
9	1	0.264333	0.0925591	0.497034	0	0	0.168	0.832	0	0	0.174	0.826	0	0	0.09	0.91	0	0	0.960667	0.0393333	0	0	0.967333	0.0326667	0	0	0.998667	0.00133333	0	0	1	0	0	0	1	0	0	0	0.99	0.01	0	0	0.952667	0.0473333	0	0	0.58	0.42	0	0	0.647333	0.352667	0	0	0.677333	0.322667	0	0	0.494667	0.505333	0	0	1	0	0	0	0.999333	0.000666667	0	0	0.189333	0.810667	0	0	0.308	0.692	0	0	0.993333	0.00666667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.659333	0.340667	0	0	0.679333	0.320667	0	0	0.688667	0.311333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
19	1	0.157532	0.126856	0.519992	0	0	0.00133333	0.998667	0	0	0.00333333	0.996667	0	0	0.000666667	0.999333	0	0	1	0	0	0	1	0	0	0	0.998667	0.00133333	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	1	0	0	0.996667	0.00333333	0	0	1	0	0	0	0.00666667	0.993333	0	0	0.0193333	0.980667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.00133333	0.998667	0	0	0.996667	0.00333333	0	0	1	0	0	0	1	0	0	0	1	0	0
15	1	0.209911	0.122833	0.493953	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.00133333	0.998667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.998667	0.00133333	0	0	1	0	0	0	1	0	0	0	0.024	0.976	0	0	0.0233333	0.976667	0	0	0.0186667	0.981333	0	0	0.02	0.98	0	0	1	0	0	0	1	0	0	0	0.00133333	0.998667	0	0	0.0126667	0.987333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.026	0.974	0	0	0.0233333	0.976667	0	0	0.032	0.968	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
1	1	0.20346	0.123806	0.504405	0	0	0.022	0.978	0	0	0.0133333	0.986667	0	0	0.00133333	0.998667	0	0	0.956667	0.0433333	0	0	0.909333	0.0906667	0	0	1	0	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	0.970667	0.0293333	0	0	0.884667	0.115333	0	0	0.792	0.208	0	0	0.02	0.98	0	0	0.0333333	0.966667	0	0	0.991333	0.00866667	0	0	1	0	0	0	0.022	0.978	0	0	0.0326667	0.967333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.884667	0.115333	0	0	0.208667	0.791333	0	0	0.890667	0.109333	0	0	0.996667	0.00333333	0	0	1	0	0	0	1	0	0	0	1	0	0
10	1	0.189207	0.138702	0.513757	0	0	0.0166667	0.983333	0	0	0.0206667	0.979333	0	0	0.000666667	0.999333	0	0	1	0	0	0	0.982667	0.0173333	0	0	1	0	0	0	0.957333	0.0426667	0	0	0.986	0.014	0	0	0.999333	0.000666667	0	0	1	0	0	0	0.01	0.99	0	0	0.018	0.982	0	0	0.00133333	0.998667	0	0	0.0153333	0.984667	0	0	0.995333	0.00466667	0	0	0.998	0.002	0	0	0.0206667	0.979333	0	0	0.034	0.966	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0686667	0.931333	0	0	0.032	0.968	0	0	0.171333	0.828667	0	0	0.996667	0.00333333	0	0	1	0	0	0	1	0	0	0	1	0	0
20	1	0.0921457	0.191187	0.482475	0	0	0.000666667	0.999333	0	0	0.00133333	0.998667	0	0	0	1	0	0	0.774667	0.225333	0	0	0.974667	0.0253333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.996	0.004	0	0	0.0733333	0.926667	0	0	0.125333	0.874667	0	0	0.002	0.998	0	0	0.0333333	0.966667	0	0	1	0	0	0	1	0	0	0	0.004	0.996	0	0	0.292	0.708	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.912	0.088	0	0	0.0886667	0.911333	0	0	0.912667	0.0873333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
16	1	0.0851487	0.127253	0.502466	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.999333	0.000666667	0	0	0.987333	0.0126667	0	0	0.999333	0.000666667	0	0	0.997333	0.00266667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.996667	0.00333333	0	0	1	0	0	0	0	1	0	0	0.00533333	0.994667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.00533333	0.994667	0	0	0.996667	0.00333333	0	0	1	0	0	0	1	0	0	0	1	0	0
2	1	0.0800212	0.136523	0.511832	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0.808	0.192	0	0	0.994667	0.00533333	0	0	0.998	0.002	0	0	0.998667	0.00133333	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.982667	0.0173333	0	0	1	0	0	0	0	1	0	0	0.000666667	0.999333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.983333	0.0166667	0	0	1	0	0	0	1	0	0	0	1	0	0
21	1	0.106469	0.128626	0.510646	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.980667	0.0193333	0	0	0.999333	0.000666667	0	0	0.984	0.016	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0.000666667	0.999333	0	0	0.0153333	0.984667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.00133333	0.998667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
